Fecha,Reserva
01/01/2012,36.8
02/01/2012,36.77
03/01/2012,36.84
06/01/2012,36.91
07/01/2012,37.72
09/01/2012,37.5
12/01/2012,37.55
13/01/2012,37.53
14/01/2012,37.59
16/01/2012,37.53
18/01/2012,37.72
20/01/2012,37.72
22/01/2012,37.79
24/01/2012,37.81
25/01/2012,37.84
28/01/2012,37.89
30/01/2012,37.87
31/01/2012,37.95
02/02/2012,37.97
04/02/2012,38.01
05/02/2012,38.02
07/02/2012,38.05
10/02/2012,38.11
11/02/2012,38.06
13/02/2012,38.1
15/02/2012,38.13
16/02/2012,38.12
18/02/2012,38.18
21/02/2012,38.23
22/02/2012,38.24
24/02/2012,38.28
26/02/2012,38.3
28/02/2012,38.32
01/03/2012,38.32
03/03/2012,38.36
05/03/2012,38.38
07/03/2012,38.42
08/03/2012,38.43
10/03/2012,38.45
11/03/2012,38.47
13/03/2012,38.47
15/03/2012,38.49
17/03/2012,38.51
19/03/2012,38.53
20/03/2012,38.54
23/03/2012,38.61
25/03/2012,38.61
27/03/2012,38.63
28/03/2012,38.64
30/03/2012,38.66
31/03/2012,38.66
03/04/2012,38.7
05/04/2012,38.74
07/04/2012,38.76
08/04/2012,38.78
10/04/2012,38.78
11/04/2012,38.77
14/04/2012,38.79
16/04/2012,38.9
17/04/2012,38.93
20/04/2012,38.96
21/04/2012,39.0
23/04/2012,39.02
25/04/2012,39.07
26/04/2012,39.07
28/04/2012,39.1
01/05/2012,39.22
02/05/2012,39.23
04/05/2012,39.25
06/05/2012,39.25
07/05/2012,39.25
09/05/2012,39.35
11/05/2012,39.37
13/05/2012,39.35
14/05/2012,39.35
17/05/2012,39.3
19/05/2012,39.27
21/05/2012,39.27
23/05/2012,39.25
24/05/2012,39.23
26/05/2012,39.19
28/05/2012,39.14
30/05/2012,39.08
01/06/2012,38.98
02/06/2012,38.94
04/06/2012,38.85
06/06/2012,38.73
08/06/2012,38.58
10/06/2012,38.4
11/06/2012,38.32
13/06/2012,38.13
15/06/2012,37.96
17/06/2012,37.96
18/06/2012,37.96
20/06/2012,37.49
22/06/2012,37.32
25/06/2012,37.05
26/06/2012,36.97
28/06/2012,36.8
30/06/2012,36.6
02/07/2012,36.4
04/07/2012,36.22
06/07/2012,36.02
07/07/2012,35.93
08/07/2012,35.84
10/07/2012,35.65
12/07/2012,35.45
14/07/2012,35.26
16/07/2012,35.06
18/07/2012,34.86
20/07/2012,34.66
22/07/2012,34.45
24/07/2012,34.26
26/07/2012,34.14
28/07/2012,33.94
29/07/2012,33.85
31/07/2012,33.65
02/08/2012,33.45
03/08/2012,33.35
06/08/2012,33.03
07/08/2012,32.94
09/08/2012,32.75
10/08/2012,32.66
12/08/2012,32.47
15/08/2012,32.16
16/08/2012,32.06
18/08/2012,31.88
20/08/2012,31.7
21/08/2012,31.61
24/08/2012,31.31
26/08/2012,31.12
28/08/2012,30.95
29/08/2012,30.85
31/08/2012,30.64
01/09/2012,30.56
03/09/2012,30.38
06/09/2012,30.15
08/09/2012,29.97
10/09/2012,29.81
11/09/2012,29.74
12/09/2012,29.65
14/09/2012,29.5
16/09/2012,29.41
18/09/2012,29.33
21/09/2012,29.25
22/09/2012,29.25
24/09/2012,29.21
25/09/2012,29.19
28/09/2012,29.18
29/09/2012,29.25
02/10/2012,29.31
03/10/2012,29.32
04/10/2012,29.34
06/10/2012,29.36
09/10/2012,29.41
11/10/2012,29.43
12/10/2012,29.44
14/10/2012,29.48
15/10/2012,29.49
17/10/2012,29.53
19/10/2012,29.55
21/10/2012,29.63
23/10/2012,29.67
25/10/2012,29.71
26/10/2012,29.82
29/10/2012,29.93
30/10/2012,29.27
01/11/2012,30.04
04/11/2012,30.13
05/11/2012,30.22
07/11/2012,30.46
09/11/2012,30.58
11/11/2012,30.73
13/11/2012,30.93
15/11/2012,31.05
16/11/2012,31.1
17/11/2012,31.14
19/11/2012,31.36
21/11/2012,31.47
23/11/2012,31.56
26/11/2012,31.68
27/11/2012,31.73
29/11/2012,31.81
30/11/2012,31.84
02/12/2012,31.92
04/12/2012,31.98
07/12/2012,32.08
08/12/2012,32.12
10/12/2012,32.19
11/12/2012,32.13
14/12/2012,32.22
15/12/2012,32.25
17/12/2012,32.34
19/12/2012,32.38
20/12/2012,32.44
22/12/2012,32.51
25/12/2012,32.6
27/12/2012,32.71
28/12/2012,32.74
30/12/2012,32.8
