Fecha,Reserva
01/01/2014,29.98
02/01/2014,30.0
03/01/2014,30.05
05/01/2014,30.11
07/01/2014,30.16
10/01/2014,30.22
11/01/2014,30.25
12/01/2014,30.25
14/01/2014,30.48
17/01/2014,30.53
18/01/2014,30.62
20/01/2014,31.24
22/01/2014,31.82
23/01/2014,32.08
25/01/2014,32.3
27/01/2014,32.38
29/01/2014,32.42
01/02/2014,32.5
02/02/2014,32.5
04/02/2014,32.55
06/02/2014,33.38
08/02/2014,35.14
10/02/2014,35.95
11/02/2014,35.61
13/02/2014,35.64
14/02/2014,35.07
16/02/2014,36.3
18/02/2014,35.74
20/02/2014,35.35
23/02/2014,35.22
24/02/2014,35.27
25/02/2014,35.35
28/02/2014,35.27
02/03/2014,35.22
04/03/2014,35.27
05/03/2014,35.25
07/03/2014,35.09
09/03/2014,35.07
11/03/2014,35.22
13/03/2014,35.14
15/03/2014,35.2
16/03/2014,35.12
18/03/2014,35.07
19/03/2014,35.07
22/03/2014,35.14
24/03/2014,35.09
26/03/2014,35.04
27/03/2014,34.92
29/03/2014,35.12
31/03/2014,34.99
01/04/2014,35.27
03/04/2014,35.32
05/04/2014,35.12
07/04/2014,34.97
09/04/2014,34.99
11/04/2014,34.36
12/04/2014,34.09
14/04/2014,33.66
16/04/2014,33.19
18/04/2014,32.71
20/04/2014,32.35
22/04/2014,32.47
23/04/2014,32.3
26/04/2014,31.77
28/04/2014,31.29
29/04/2014,31.02
30/04/2014,30.74
02/05/2014,30.2
05/05/2014,29.48
06/05/2014,29.24
08/05/2014,28.69
09/05/2014,28.41
12/05/2014,27.68
14/05/2014,27.11
16/05/2014,26.64
18/05/2014,26.09
19/05/2014,25.84
21/05/2014,25.33
23/05/2014,24.79
25/05/2014,24.3
27/05/2014,23.76
28/05/2014,23.49
30/05/2014,22.92
01/06/2014,22.41
03/06/2014,21.84
04/06/2014,21.58
06/06/2014,21.02
08/06/2014,20.47
10/06/2014,19.97
12/06/2014,19.34
14/06/2014,19.15
16/06/2014,18.98
18/06/2014,18.97
19/06/2014,18.95
21/06/2014,18.93
23/06/2014,18.93
25/06/2014,18.95
26/06/2014,18.93
28/06/2014,18.93
01/07/2014,18.9
02/07/2014,18.88
04/07/2014,18.87
05/07/2014,19.03
07/07/2014,19.02
09/07/2014,19.17
11/07/2014,20.04
13/07/2014,20.09
14/07/2014,20.09
16/07/2014,20.89
18/07/2014,21.12
21/07/2014,21.11
22/07/2014,21.28
23/07/2014,21.28
26/07/2014,22.47
27/07/2014,22.47
30/07/2014,23.51
01/08/2014,24.24
02/08/2014,24.34
04/08/2014,24.32
05/08/2014,24.32
08/08/2014,25.08
09/08/2014,25.35
11/08/2014,25.35
13/08/2014,26.19
15/08/2014,26.79
16/08/2014,26.79
19/08/2014,27.81
20/08/2014,28.16
23/08/2014,29.26
24/08/2014,29.24
25/08/2014,29.24
28/08/2014,29.2
29/08/2014,29.43
31/08/2014,29.41
02/09/2014,29.4
03/09/2014,29.39
06/09/2014,29.37
08/09/2014,29.41
10/09/2014,29.39
11/09/2014,29.4
13/09/2014,29.37
15/09/2014,29.37
16/09/2014,29.35
18/09/2014,29.35
20/09/2014,29.39
23/09/2014,29.43
24/09/2014,29.43
26/09/2014,29.43
27/09/2014,29.43
30/09/2014,29.76
01/10/2014,29.76
04/10/2014,29.76
05/10/2014,29.74
07/10/2014,29.74
09/10/2014,29.72
11/10/2014,30.02
13/10/2014,30.07
15/10/2014,30.43
16/10/2014,30.46
17/10/2014,30.46
19/10/2014,30.46
21/10/2014,30.46
24/10/2014,30.46
25/10/2014,30.43
27/10/2014,30.43
28/10/2014,30.43
31/10/2014,30.43
02/11/2014,30.41
03/11/2014,30.41
05/11/2014,30.43
06/11/2014,30.41
09/11/2014,30.43
11/11/2014,30.76
12/11/2014,31.99
15/11/2014,33.85
16/11/2014,33.97
18/11/2014,34.16
19/11/2014,34.21
21/11/2014,34.23
23/11/2014,34.26
26/11/2014,34.38
27/11/2014,34.97
28/11/2014,37.36
30/11/2014,35.48
03/12/2014,34.82
05/12/2014,35.3
06/12/2014,34.72
08/12/2014,34.94
10/12/2014,35.35
12/12/2014,35.27
14/12/2014,36.11
15/12/2014,35.85
18/12/2014,35.51
19/12/2014,36.22
20/12/2014,35.35
22/12/2014,35.22
25/12/2014,35.3
27/12/2014,35.9
28/12/2014,35.3
30/12/2014,35.22
