Fecha,Reserva
2012-01-01,350.43
2012-01-02,350.63
2012-01-03,350.82
2012-01-04,351.12
2012-01-05,351.12
2012-01-06,351.41
2012-01-07,356.92
2012-01-08,357.02
2012-01-09,357.02
2012-01-10,357.11
2012-01-11,356.82
2012-01-12,356.52
2012-01-13,356.52
2012-01-14,356.32
2012-01-15,356.32
2012-01-16,356.32
2012-01-17,356.32
2012-01-18,356.92
2012-01-19,357.02
2012-01-20,357.11
2012-01-21,357.41
2012-01-22,357.41
2012-01-23,357.71
2012-01-24,357.71
2012-01-25,357.71
2012-01-26,357.71
2012-01-27,358.1
2012-01-28,358.5
2012-01-29,358.1
2012-01-30,357.71
2012-01-31,358.9
2012-02-01,358.8
2012-02-02,358.7
2012-02-03,358.7
2012-02-04,358.7
2012-02-05,358.3
2012-02-06,358.21
2012-02-07,358.21
2012-02-08,358.11
2012-02-09,354.94
2012-02-10,356.32
2012-02-11,357.71
2012-02-12,357.32
2012-02-13,356.92
2012-02-14,357.12
2012-02-15,357.31
2012-02-16,357.12
2012-02-17,356.92
2012-02-18,356.92
2012-02-19,356.82
2012-02-20,356.72
2012-02-21,356.12
2012-02-22,356.12
2012-02-23,355.53
2012-02-24,354.94
2012-02-25,354.54
2012-02-26,354.15
2012-02-27,353.66
2012-02-28,353.17
2012-02-29,353.17
2012-03-01,353.17
2012-03-02,352.0
2012-03-03,351.61
2012-03-04,351.22
2012-03-05,350.54
2012-03-06,350.54
2012-03-07,349.85
2012-03-08,349.27
2012-03-09,348.88
2012-03-10,348.49
2012-03-11,347.91
2012-03-12,347.33
2012-03-13,346.94
2012-03-14,345.69
2012-03-15,345.69
2012-03-16,344.44
2012-03-17,343.48
2012-03-18,342.52
2012-03-19,341.57
2012-03-20,340.61
2012-03-21,340.06
2012-03-22,340.06
2012-03-23,339.5
2012-03-24,339.09
2012-03-25,338.62
2012-03-26,338.15
2012-03-27,337.58
2012-03-28,337.01
2012-03-29,336.54
2012-03-30,336.07
2012-03-31,335.69
2012-04-01,334.94
2012-04-02,334.94
2012-04-03,334.19
2012-04-04,333.63
2012-04-05,333.35
2012-04-06,333.35
2012-04-07,333.07
2012-04-08,332.51
2012-04-09,332.14
2012-04-10,331.76
2012-04-11,331.2
2012-04-12,330.65
2012-04-13,330.28
2012-04-14,330.28
2012-04-15,330.28
2012-04-16,330.74
2012-04-17,331.2
2012-04-18,331.39
2012-04-19,331.58
2012-04-20,331.67
2012-04-21,331.76
2012-04-22,331.76
2012-04-23,331.76
2012-04-24,331.39
2012-04-25,330.84
2012-04-26,330.84
2012-04-27,330.28
2012-04-28,329.53
2012-04-29,328.88
2012-04-30,328.88
2012-05-01,328.24
2012-05-02,328.05
2012-05-03,327.68
2012-05-04,327.32
2012-05-05,327.32
2012-05-06,327.32
2012-05-07,327.6
2012-05-08,327.87
2012-05-09,328.05
2012-05-10,327.04
2012-05-11,326.03
2012-05-12,324.93
2012-05-13,323.83
2012-05-14,322.74
2012-05-15,321.1
2012-05-16,321.1
2012-05-17,319.47
2012-05-18,318.3
2012-05-19,317.13
2012-05-20,315.88
2012-05-21,314.54
2012-05-22,314.54
2012-05-23,313.2
2012-05-24,311.96
2012-05-25,310.9
2012-05-26,309.05
2012-05-27,309.05
2012-05-28,307.21
2012-05-29,305.99
2012-05-30,304.77
2012-05-31,303.73
2012-06-01,302.44
2012-06-02,301.14
2012-06-03,299.94
2012-06-04,298.74
2012-06-05,297.55
2012-06-06,296.1
2012-06-07,294.66
2012-06-08,292.89
2012-06-09,291.12
2012-06-10,288.87
2012-06-11,288.87
2012-06-12,286.62
2012-06-13,285.14
2012-06-14,283.66
2012-06-15,282.02
2012-06-16,282.02
2012-06-17,282.02
2012-06-18,282.02
2012-06-19,278.38
2012-06-20,274.73
2012-06-21,273.46
2012-06-22,272.18
2012-06-23,270.52
2012-06-24,268.86
2012-06-25,267.68
2012-06-26,266.5
2012-06-27,265.18
2012-06-28,263.85
2012-06-29,262.3
2012-06-30,260.99
2012-07-01,259.68
2012-07-02,257.85
2012-07-03,257.85
2012-07-04,256.01
2012-07-05,254.64
2012-07-06,253.28
2012-07-07,252.08
2012-07-08,250.5
2012-07-09,248.93
2012-07-10,247.74
2012-07-11,246.56
2012-07-12,245.38
2012-07-13,243.25
2012-07-14,243.25
2012-07-15,241.12
2012-07-16,239.81
2012-07-17,238.72
2012-07-18,237.64
2012-07-19,236.63
2012-07-20,234.42
2012-07-21,234.42
2012-07-22,232.2
2012-07-23,230.64
2012-07-24,229.44
2012-07-25,228.25
2012-07-26,226.85
2012-07-27,225.45
2012-07-28,223.86
2012-07-29,222.26
2012-07-30,221.1
2012-07-31,219.93
2012-08-01,218.5
2012-08-02,217.06
2012-08-03,215.44
2012-08-04,213.82
2012-08-05,212.28
2012-08-06,210.74
2012-08-07,209.48
2012-08-08,208.22
2012-08-09,206.77
2012-08-10,205.52
2012-08-11,204.27
2012-08-12,202.78
2012-08-13,201.28
2012-08-14,199.99
2012-08-15,198.7
2012-08-16,197.55
2012-08-17,196.4
2012-08-18,195.25
2012-08-19,193.98
2012-08-20,192.72
2012-08-21,191.65
2012-08-22,190.58
2012-08-23,189.33
2012-08-24,188.08
2012-08-25,186.84
2012-08-26,185.18
2012-08-27,185.18
2012-08-28,183.51
2012-08-29,182.29
2012-08-30,181.07
2012-08-31,179.61
2012-09-01,178.29
2012-09-02,176.14
2012-09-03,176.14
2012-09-04,173.98
2012-09-05,172.68
2012-09-06,171.38
2012-09-07,170.21
2012-09-08,166.9
2012-09-09,163.59
2012-09-10,164.74
2012-09-11,165.9
2012-09-12,164.92
2012-09-13,163.94
2012-09-14,163.14
2012-09-15,162.33
2012-09-16,161.54
2012-09-17,160.74
2012-09-18,159.83
2012-09-19,159.1
2012-09-20,158.37
2012-09-21,157.92
2012-09-22,157.47
2012-09-23,157.24
2012-09-24,157.3
2012-09-25,157.3
2012-09-26,157.36
2012-09-27,157.58
2012-09-28,157.8
2012-09-29,158.71
2012-09-30,159.61
2012-10-01,159.95
2012-10-02,160.12
2012-10-03,160.29
2012-10-04,160.29
2012-10-05,160.34
2012-10-06,160.4
2012-10-07,160.51
2012-10-08,160.63
2012-10-09,160.63
2012-10-10,160.63
2012-10-11,160.74
2012-10-12,160.74
2012-10-13,160.85
2012-10-14,161.08
2012-10-15,161.08
2012-10-16,161.2
2012-10-17,161.2
2012-10-18,161.31
2012-10-19,161.48
2012-10-20,161.65
2012-10-21,161.88
2012-10-22,162.39
2012-10-23,162.91
2012-10-24,163.2
2012-10-25,163.48
2012-10-26,164.28
2012-10-27,165.09
2012-10-28,167.76
2012-10-29,170.44
2012-10-30,159.61
2012-10-31,165.73
2012-11-01,171.85
2012-11-02,172.32
2012-11-03,172.8
2012-11-04,187.56
2012-11-05,202.32
2012-11-06,215.98
2012-11-07,220.44
2012-11-08,220.44
2012-11-09,224.9
2012-11-10,232.06
2012-11-11,240.87
2012-11-12,240.87
2012-11-13,249.68
2012-11-14,253.89
2012-11-15,257.09
2012-11-16,260.29
2012-11-17,263.32
2012-11-18,266.34
2012-11-19,269.18
2012-11-20,272.02
2012-11-21,274.34
2012-11-22,276.66
2012-11-23,278.76
2012-11-24,280.72
2012-11-25,282.67
2012-11-26,284.4
2012-11-27,286.13
2012-11-28,287.96
2012-11-29,289.79
2012-11-30,290.54
2012-12-01,291.29
2012-12-02,291.62
2012-12-03,291.96
2012-12-04,292.97
2012-12-05,293.48
2012-12-06,293.98
2012-12-07,294.66
2012-12-08,295.34
2012-12-09,295.85
2012-12-10,296.36
2012-12-11,296.7
2012-12-12,297.38
2012-12-13,297.38
2012-12-14,298.06
2012-12-15,298.57
2012-12-16,299.94
2012-12-17,299.94
2012-12-18,301.32
2012-12-19,301.83
2012-12-20,302.52
2012-12-21,303.3
2012-12-22,303.3
2012-12-23,304.08
2012-12-24,304.69
2012-12-25,305.3
2012-12-26,305.74
2012-12-27,306.17
2012-12-28,302.12
2012-12-29,298.06
2012-12-30,302.87
2012-12-31,304.96
2013-01-01,307.04
2013-01-02,309.49
2013-01-03,309.67
2013-01-04,310.64
2013-01-05,311.61
2013-01-06,312.32
2013-01-07,313.03
2013-01-08,314.18
2013-01-09,314.18
2013-01-10,315.34
2013-01-11,316.59
2013-01-12,317.13
2013-01-13,317.85
2013-01-14,318.57
2013-01-15,320.11
2013-01-16,320.11
2013-01-17,321.65
2013-01-18,324.12
2013-01-19,326.58
2013-01-20,329.35
2013-01-21,342.94
2013-01-22,356.52
2013-01-23,367.53
2013-01-24,373.28
2013-01-25,379.04
2013-01-26,387.95
2013-01-27,396.86
2013-01-28,400.56
2013-01-29,404.27
2013-01-30,405.15
2013-01-31,405.15
2013-02-01,406.03
2013-02-02,405.81
2013-02-03,406.25
2013-02-04,405.92
2013-02-05,405.59
2013-02-06,406.36
2013-02-07,407.13
2013-02-08,408.57
2013-02-09,408.57
2013-02-10,410.01
2013-02-11,411.46
2013-02-12,412.91
2013-02-13,413.8
2013-02-14,413.8
2013-02-15,414.25
2013-02-16,414.7
2013-02-17,415.94
2013-02-18,415.94
2013-02-19,417.17
2013-02-20,417.96
2013-02-21,418.75
2013-02-22,420.11
2013-02-23,423.76
2013-02-24,427.41
2013-02-25,428.33
2013-02-26,429.25
2013-02-27,428.56
2013-02-28,427.52
2013-03-01,426.49
2013-03-02,425.69
2013-03-03,425.69
2013-03-04,424.89
2013-03-05,423.97
2013-03-06,424.66
2013-03-07,425.34
2013-03-08,433.88
2013-03-09,445.99
2013-03-10,458.1
2013-03-11,479.16
2013-03-12,479.16
2013-03-13,500.23
2013-03-14,504.91
2013-03-15,500.38
2013-03-16,495.84
2013-03-17,493.02
2013-03-18,490.21
2013-03-19,487.41
2013-03-20,486.64
2013-03-21,485.88
2013-03-22,483.48
2013-03-23,483.48
2013-03-24,481.08
2013-03-25,480.96
2013-03-26,480.83
2013-03-27,482.85
2013-03-28,485.12
2013-03-29,485.12
2013-03-30,485.12
2013-03-31,485.12
2013-04-01,494.76
2013-04-02,504.39
2013-04-03,504.65
2013-04-04,500.89
2013-04-05,497.13
2013-04-06,494.94
2013-04-07,492.76
2013-04-08,492.76
2013-04-09,489.96
2013-04-10,487.15
2013-04-11,486.26
2013-04-12,485.38
2013-04-13,484.87
2013-04-14,484.87
2013-04-15,484.36
2013-04-16,484.36
2013-04-17,483.22
2013-04-18,482.09
2013-04-19,481.34
2013-04-20,480.58
2013-04-21,480.08
2013-04-22,479.58
2013-04-23,479.07
2013-04-24,479.82
2013-04-25,479.82
2013-04-26,480.58
2013-04-27,478.82
2013-04-28,477.07
2013-04-29,476.82
2013-04-30,475.82
2013-05-01,474.82
2013-05-02,474.32
2013-05-03,473.83
2013-05-04,474.33
2013-05-05,474.58
2013-05-06,474.58
2013-05-07,474.82
2013-05-08,476.57
2013-05-09,477.82
2013-05-10,477.57
2013-05-11,477.32
2013-05-12,477.07
2013-05-13,476.82
2013-05-14,475.94
2013-05-15,475.07
2013-05-16,474.2
2013-05-17,473.33
2013-05-18,473.58
2013-05-19,473.83
2013-05-20,473.96
2013-05-21,474.08
2013-05-22,473.58
2013-05-23,473.08
2013-05-24,473.08
2013-05-25,473.08
2013-05-26,473.08
2013-05-27,473.08
2013-05-28,471.1
2013-05-29,469.12
2013-05-30,471.34
2013-05-31,470.35
2013-06-01,468.62
2013-06-02,468.62
2013-06-03,466.9
2013-06-04,465.67
2013-06-05,465.18
2013-06-06,465.18
2013-06-07,464.69
2013-06-08,464.69
2013-06-09,464.69
2013-06-10,464.69
2013-06-11,464.69
2013-06-12,464.44
2013-06-13,464.2
2013-06-14,465.3
2013-06-15,466.41
2013-06-16,466.41
2013-06-17,466.41
2013-06-18,465.92
2013-06-19,465.42
2013-06-20,465.42
2013-06-21,465.42
2013-06-22,464.81
2013-06-23,464.2
2013-06-24,463.96
2013-06-25,463.71
2013-06-26,463.22
2013-06-27,462.73
2013-06-28,461.75
2013-06-29,459.92
2013-06-30,459.92
2013-07-01,458.1
2013-07-02,457.13
2013-07-03,456.16
2013-07-04,455.2
2013-07-05,454.12
2013-07-06,453.03
2013-07-07,451.59
2013-07-08,450.15
2013-07-09,448.96
2013-07-10,447.77
2013-07-11,446.57
2013-07-12,445.62
2013-07-13,444.68
2013-07-14,443.49
2013-07-15,442.54
2013-07-16,441.6
2013-07-17,440.42
2013-07-18,440.42
2013-07-19,439.25
2013-07-20,438.08
2013-07-21,437.02
2013-07-22,435.97
2013-07-23,435.27
2013-07-24,433.53
2013-07-25,433.53
2013-07-26,431.79
2013-07-27,430.98
2013-07-28,430.17
2013-07-29,429.25
2013-07-30,428.33
2013-07-31,429.14
2013-08-01,429.94
2013-08-02,430.17
2013-08-03,429.6
2013-08-04,429.02
2013-08-05,428.1
2013-08-06,426.6
2013-08-07,425.11
2013-08-08,423.06
2013-08-09,423.06
2013-08-10,421.01
2013-08-11,419.88
2013-08-12,418.52
2013-08-13,417.17
2013-08-14,415.82
2013-08-15,414.47
2013-08-16,412.91
2013-08-17,411.35
2013-08-18,410.23
2013-08-19,408.9
2013-08-20,407.57
2013-08-21,406.14
2013-08-22,404.71
2013-08-23,404.38
2013-08-24,404.05
2013-08-25,403.83
2013-08-26,403.61
2013-08-27,403.5
2013-08-28,403.39
2013-08-29,404.16
2013-08-30,404.93
2013-08-31,405.37
2013-09-01,405.37
2013-09-02,405.37
2013-09-03,405.37
2013-09-04,405.37
2013-09-05,405.37
2013-09-06,405.7
2013-09-07,405.7
2013-09-08,406.03
2013-09-09,405.81
2013-09-10,405.59
2013-09-11,405.59
2013-09-12,405.26
2013-09-13,404.93
2013-09-14,404.49
2013-09-15,404.05
2013-09-16,403.72
2013-09-17,403.39
2013-09-18,402.95
2013-09-19,403.39
2013-09-20,403.83
2013-09-21,404.16
2013-09-22,404.16
2013-09-23,404.49
2013-09-24,404.93
2013-09-25,405.15
2013-09-26,404.71
2013-09-27,404.71
2013-09-28,404.27
2013-09-29,403.83
2013-09-30,403.39
2013-10-01,403.28
2013-10-02,403.17
2013-10-03,402.74
2013-10-04,402.3
2013-10-05,402.08
2013-10-06,401.53
2013-10-07,400.98
2013-10-08,400.77
2013-10-09,400.0
2013-10-10,400.0
2013-10-11,399.24
2013-10-12,398.59
2013-10-13,397.94
2013-10-14,397.72
2013-10-15,397.18
2013-10-16,396.64
2013-10-17,396.1
2013-10-18,395.56
2013-10-19,395.13
2013-10-20,394.7
2013-10-21,394.16
2013-10-22,393.62
2013-10-23,393.41
2013-10-24,392.76
2013-10-25,392.76
2013-10-26,392.12
2013-10-27,391.48
2013-10-28,391.06
2013-10-29,390.63
2013-10-30,389.99
2013-10-31,389.35
2013-11-01,389.35
2013-11-02,388.71
2013-11-03,387.86
2013-11-04,387.33
2013-11-05,386.8
2013-11-06,386.48
2013-11-07,386.17
2013-11-08,385.54
2013-11-09,385.12
2013-11-10,384.69
2013-11-11,383.85
2013-11-12,383.85
2013-11-13,383.01
2013-11-14,382.7
2013-11-15,382.38
2013-11-16,377.59
2013-11-17,367.85
2013-11-18,358.11
2013-11-19,380.71
2013-11-20,380.29
2013-11-21,379.87
2013-11-22,379.24
2013-11-23,379.24
2013-11-24,378.62
2013-11-25,378.0
2013-11-26,377.69
2013-11-27,377.38
2013-11-28,376.66
2013-11-29,375.93
2013-11-30,362.69
2013-12-01,369.52
2013-12-02,376.34
2013-12-03,376.14
2013-12-04,375.93
2013-12-05,375.93
2013-12-06,375.93
2013-12-07,375.72
2013-12-08,375.52
2013-12-09,375.52
2013-12-10,375.42
2013-12-11,375.31
2013-12-12,375.1
2013-12-13,374.9
2013-12-14,374.79
2013-12-15,374.79
2013-12-16,374.69
2013-12-17,374.48
2013-12-18,374.38
2013-12-19,374.28
2013-12-20,374.69
2013-12-21,375.1
2013-12-22,375.0
2013-12-23,374.9
2013-12-24,375.31
2013-12-25,375.72
2013-12-26,379.05
2013-12-27,382.38
2013-12-28,383.12
2013-12-29,383.85
2013-12-30,384.27
2013-12-31,384.58
2014-01-01,384.9
2014-01-02,385.11
2014-01-03,385.74
2014-01-04,386.38
2014-01-05,387.65
2014-01-06,388.92
2014-01-07,389.56
2014-01-08,390.2
2014-01-09,390.2
2014-01-10,390.84
2014-01-11,391.06
2014-01-12,391.38
2014-01-13,391.7
2014-01-14,392.34
2014-01-15,392.98
2014-01-16,393.74
2014-01-17,394.49
2014-01-18,395.46
2014-01-19,396.43
2014-01-20,398.59
2014-01-21,399.68
2014-01-22,400.77
2014-01-23,402.19
2014-01-24,403.61
2014-01-25,406.47
2014-01-26,408.58
2014-01-27,410.68
2014-01-28,412.36
2014-01-29,414.03
2014-01-30,416.05
2014-01-31,418.07
2014-02-01,419.77
2014-02-02,421.47
2014-02-03,423.4
2014-02-04,425.34
2014-02-05,426.26
