Fecha,Reserva
01/01/2018,107.1
02/01/2018,107.16
04/01/2018,107.36
06/01/2018,107.53
07/01/2018,107.81
10/01/2018,108.13
11/01/2018,108.35
13/01/2018,108.6
15/01/2018,109.09
17/01/2018,109.37
19/01/2018,109.5
20/01/2018,109.59
22/01/2018,109.83
24/01/2018,109.94
26/01/2018,110.22
27/01/2018,110.3
29/01/2018,110.47
31/01/2018,110.8
02/02/2018,111.03
04/02/2018,111.24
05/02/2018,111.51
07/02/2018,111.8
10/02/2018,112.07
12/02/2018,112.21
13/02/2018,112.32
15/02/2018,112.62
16/02/2018,112.71
18/02/2018,112.86
20/02/2018,113.0
23/02/2018,113.16
24/02/2018,113.17
26/02/2018,113.3
28/02/2018,113.68
02/03/2018,114.49
04/03/2018,119.75
05/03/2018,121.57
07/03/2018,128.06
09/03/2018,135.55
10/03/2018,137.71
13/03/2018,142.39
15/03/2018,144.53
16/03/2018,146.35
17/03/2018,148.46
20/03/2018,162.58
21/03/2018,164.68
24/03/2018,168.12
26/03/2018,171.24
27/03/2018,172.43
28/03/2018,173.29
31/03/2018,175.49
01/04/2018,176.25
04/04/2018,178.0
06/04/2018,178.88
07/04/2018,180.74
09/04/2018,181.79
11/04/2018,184.3
13/04/2018,189.99
14/04/2018,191.3
16/04/2018,193.21
18/04/2018,195.35
20/04/2018,196.78
21/04/2018,197.19
23/04/2018,198.36
25/04/2018,199.35
27/04/2018,200.24
29/04/2018,201.15
01/05/2018,202.24
03/05/2018,203.39
04/05/2018,203.93
07/05/2018,205.28
08/05/2018,205.71
10/05/2018,206.91
12/05/2018,207.77
13/05/2018,208.08
16/05/2018,209.11
18/05/2018,209.54
19/05/2018,209.84
21/05/2018,210.45
23/05/2018,211.21
25/05/2018,211.81
26/05/2018,212.03
28/05/2018,212.61
30/05/2018,211.6
01/06/2018,210.38
02/06/2018,209.65
04/06/2018,209.09
06/06/2018,209.5
08/06/2018,210.54
10/06/2018,211.11
12/06/2018,211.57
14/06/2018,212.0
15/06/2018,212.21
18/06/2018,211.21
20/06/2018,210.35
21/06/2018,210.0
23/06/2018,209.17
25/06/2018,208.19
27/06/2018,207.29
28/06/2018,207.15
01/07/2018,206.54
02/07/2018,206.13
03/07/2018,205.75
05/07/2018,205.4
08/07/2018,204.78
10/07/2018,203.91
11/07/2018,203.6
12/07/2018,203.3
15/07/2018,202.51
16/07/2018,201.95
19/07/2018,200.93
20/07/2018,200.76
22/07/2018,200.14
24/07/2018,199.2
26/07/2018,198.83
27/07/2018,198.47
29/07/2018,198.09
31/07/2018,197.31
02/08/2018,196.92
04/08/2018,196.55
05/08/2018,196.35
08/08/2018,195.09
10/08/2018,193.96
11/08/2018,193.52
13/08/2018,192.29
14/08/2018,191.65
17/08/2018,189.76
19/08/2018,190.26
20/08/2018,190.31
22/08/2018,189.66
24/08/2018,189.16
26/08/2018,188.7
28/08/2018,187.74
30/08/2018,187.27
01/09/2018,186.91
02/09/2018,186.71
03/09/2018,186.24
05/09/2018,185.82
07/09/2018,185.45
09/09/2018,185.02
11/09/2018,185.65
13/09/2018,185.64
15/09/2018,185.48
16/09/2018,185.36
18/09/2018,184.54
21/09/2018,184.31
23/09/2018,184.04
24/09/2018,183.71
26/09/2018,183.04
28/09/2018,182.88
30/09/2018,181.89
02/10/2018,180.28
03/10/2018,179.97
05/10/2018,179.73
07/10/2018,179.69
09/10/2018,178.67
11/10/2018,178.15
12/10/2018,177.92
15/10/2018,177.32
16/10/2018,177.4
17/10/2018,177.5
20/10/2018,177.87
22/10/2018,177.94
24/10/2018,178.04
25/10/2018,178.07
27/10/2018,177.86
28/10/2018,177.79
30/10/2018,177.78
02/11/2018,178.19
04/11/2018,178.34
05/11/2018,178.45
07/11/2018,178.62
09/11/2018,179.13
10/11/2018,179.83
12/11/2018,180.2
15/11/2018,180.49
16/11/2018,180.62
18/11/2018,180.78
20/11/2018,181.3
22/11/2018,182.68
23/11/2018,183.06
25/11/2018,183.49
27/11/2018,184.32
28/11/2018,184.54
30/11/2018,184.91
03/12/2018,185.3
04/12/2018,185.4
06/12/2018,185.65
08/12/2018,185.82
10/12/2018,186.06
11/12/2018,186.09
14/12/2018,186.49
16/12/2018,186.69
17/12/2018,186.83
19/12/2018,187.04
20/12/2018,187.2
23/12/2018,187.46
24/12/2018,187.59
27/12/2018,187.82
29/12/2018,188.02
30/12/2018,188.13
