Fecha,Reserva
01/01/2019,490.22
02/01/2019,489.97
03/01/2019,489.84
06/01/2019,489.47
08/01/2019,489.21
09/01/2019,489.12
11/01/2019,489.21
12/01/2019,489.09
14/01/2019,489.09
16/01/2019,488.96
18/01/2019,488.46
20/01/2019,488.96
22/01/2019,488.84
24/01/2019,488.71
26/01/2019,488.71
27/01/2019,488.59
30/01/2019,488.46
31/01/2019,488.59
02/02/2019,491.36
04/02/2019,491.36
05/02/2019,491.23
07/02/2019,491.23
09/02/2019,491.1
11/02/2019,491.1
13/02/2019,491.1
15/02/2019,490.85
16/02/2019,490.85
18/02/2019,490.73
20/02/2019,490.35
22/02/2019,490.1
24/02/2019,489.84
25/02/2019,489.72
27/02/2019,489.21
01/03/2019,488.33
04/03/2019,487.46
05/03/2019,487.46
06/03/2019,487.33
08/03/2019,487.71
11/03/2019,487.71
13/03/2019,487.83
15/03/2019,487.71
16/03/2019,487.46
17/03/2019,487.2
20/03/2019,486.45
21/03/2019,486.08
24/03/2019,485.33
25/03/2019,485.08
27/03/2019,484.33
29/03/2019,483.45
30/03/2019,482.95
01/04/2019,482.95
04/04/2019,481.71
05/04/2019,481.71
07/04/2019,481.96
09/04/2019,482.46
11/04/2019,482.21
12/04/2019,481.96
14/04/2019,481.83
17/04/2019,480.71
18/04/2019,480.59
20/04/2019,480.09
22/04/2019,479.72
24/04/2019,478.98
26/04/2019,478.73
28/04/2019,478.23
29/04/2019,477.86
30/04/2019,477.37
03/05/2019,476.28
05/05/2019,475.3
06/05/2019,474.8
08/05/2019,474.19
10/05/2019,473.33
12/05/2019,472.59
13/05/2019,472.22
16/05/2019,470.75
17/05/2019,470.14
19/05/2019,469.16
21/05/2019,468.19
23/05/2019,467.21
25/05/2019,466.24
26/05/2019,465.87
28/05/2019,464.9
30/05/2019,463.69
31/05/2019,463.3
02/06/2019,461.39
05/06/2019,459.34
06/06/2019,458.74
08/06/2019,457.29
10/06/2019,455.98
11/06/2019,455.38
14/06/2019,453.58
15/06/2019,453.11
18/06/2019,451.35
19/06/2019,450.75
21/06/2019,449.57
23/06/2019,448.15
24/06/2019,447.44
26/06/2019,446.26
28/06/2019,445.08
01/07/2019,443.31
02/07/2019,442.73
04/07/2019,441.32
06/07/2019,439.92
08/07/2019,438.52
09/07/2019,438.06
11/07/2019,436.66
12/07/2019,435.97
15/07/2019,433.88
16/07/2019,433.31
18/07/2019,432.15
21/07/2019,430.43
22/07/2019,429.85
24/07/2019,428.73
26/07/2019,427.36
28/07/2019,425.88
29/07/2019,425.88
31/07/2019,423.83
02/08/2019,422.47
03/08/2019,421.79
06/08/2019,419.75
08/08/2019,418.51
10/08/2019,417.05
12/08/2019,415.7
13/08/2019,415.14
14/08/2019,414.69
16/08/2019,413.46
18/08/2019,412.12
20/08/2019,410.79
23/08/2019,408.79
24/08/2019,408.01
25/08/2019,407.24
28/08/2019,405.61
29/08/2019,405.17
31/08/2019,404.07
02/09/2019,402.97
03/09/2019,402.31
05/09/2019,401.22
08/09/2019,399.9
09/09/2019,399.58
11/09/2019,398.92
13/09/2019,398.27
15/09/2019,397.83
16/09/2019,397.62
19/09/2019,396.96
20/09/2019,396.64
23/09/2019,395.99
24/09/2019,395.66
26/09/2019,395.01
28/09/2019,394.47
29/09/2019,394.15
02/10/2019,393.17
03/10/2019,392.85
05/10/2019,392.2
06/10/2019,391.88
08/10/2019,391.45
11/10/2019,390.59
12/10/2019,390.37
15/10/2019,389.73
16/10/2019,389.51
18/10/2019,388.87
19/10/2019,388.65
22/10/2019,388.33
23/10/2019,388.23
26/10/2019,387.9
27/10/2019,387.8
28/10/2019,387.69
31/10/2019,387.05
01/11/2019,386.94
03/11/2019,386.94
05/11/2019,386.62
07/11/2019,386.19
09/11/2019,386.09
10/11/2019,385.47
12/11/2019,385.66
15/11/2019,385.34
16/11/2019,385.24
18/11/2019,385.05
20/11/2019,384.83
22/11/2019,385.24
23/11/2019,385.88
25/11/2019,385.77
27/11/2019,385.77
28/11/2019,385.77
30/11/2019,385.77
02/12/2019,385.88
04/12/2019,385.56
06/12/2019,385.56
08/12/2019,385.34
10/12/2019,385.13
12/12/2019,385.13
13/12/2019,385.13
16/12/2019,385.05
17/12/2019,385.34
19/12/2019,385.45
21/12/2019,390.05
22/12/2019,391.12
24/12/2019,391.23
27/12/2019,391.12
29/12/2019,390.69
30/12/2019,390.37
