Fecha,Reserva
2012-01-01,126.14
2012-01-02,126.14
2012-01-03,126.14
2012-01-04,126.14
2012-01-05,126.14
2012-01-06,126.14
2012-01-07,126.69
2012-01-08,126.69
2012-01-09,126.69
2012-01-10,126.69
2012-01-11,126.69
2012-01-12,126.69
2012-01-13,126.47
2012-01-14,126.58
2012-01-15,126.52
2012-01-16,126.47
2012-01-17,126.58
2012-01-18,126.69
2012-01-19,126.69
2012-01-20,126.69
2012-01-21,126.69
2012-01-22,126.81
2012-01-23,126.81
2012-01-24,126.81
2012-01-25,126.81
2012-01-26,126.81
2012-01-27,126.86
2012-01-28,126.92
2012-01-29,126.87
2012-01-30,126.82
2012-01-31,126.92
2012-02-01,126.92
2012-02-02,126.92
2012-02-03,126.92
2012-02-04,127.03
2012-02-05,126.92
2012-02-06,126.92
2012-02-07,126.92
2012-02-08,126.92
2012-02-09,126.81
2012-02-10,126.81
2012-02-11,126.81
2012-02-12,126.81
2012-02-13,126.81
2012-02-14,126.81
2012-02-15,126.81
2012-02-16,126.81
2012-02-17,126.81
2012-02-18,126.81
2012-02-19,126.81
2012-02-20,126.81
2012-02-21,126.64
2012-02-22,126.47
2012-02-23,126.47
2012-02-24,126.47
2012-02-25,126.47
2012-02-26,126.47
2012-02-27,126.42
2012-02-28,126.36
2012-02-29,126.47
2012-03-01,126.47
2012-03-02,126.47
2012-03-03,126.42
2012-03-04,126.36
2012-03-05,126.42
2012-03-06,126.42
2012-03-07,126.47
2012-03-08,126.36
2012-03-09,126.36
2012-03-10,126.36
2012-03-11,126.36
2012-03-12,126.36
2012-03-13,126.36
2012-03-14,126.36
2012-03-15,126.36
2012-03-16,126.36
2012-03-17,126.14
2012-03-18,126.14
2012-03-19,126.14
2012-03-20,126.25
2012-03-21,126.36
2012-03-22,126.3
2012-03-23,126.25
2012-03-24,126.25
2012-03-25,126.25
2012-03-26,126.3
2012-03-27,126.36
2012-03-28,126.25
2012-03-29,126.3
2012-03-30,126.36
2012-03-31,126.25
2012-04-01,126.25
2012-04-02,126.25
2012-04-03,126.14
2012-04-04,126.02
2012-04-05,126.02
2012-04-06,126.02
2012-04-07,126.02
2012-04-08,126.02
2012-04-09,126.02
2012-04-10,126.02
2012-04-11,125.91
2012-04-12,125.96
2012-04-13,125.96
2012-04-14,126.02
2012-04-15,126.36
2012-04-16,126.42
2012-04-17,126.47
2012-04-18,126.42
2012-04-19,126.36
2012-04-20,126.36
2012-04-21,126.36
2012-04-22,126.47
2012-04-23,126.42
2012-04-24,126.36
2012-04-25,126.36
2012-04-26,126.36
2012-04-27,126.36
2012-04-28,126.25
2012-04-29,126.36
2012-04-30,126.47
