Fecha,Reserva
01/01/2016,85.06
02/01/2016,84.97
04/01/2016,84.97
05/01/2016,85.14
07/01/2016,85.06
10/01/2016,85.06
12/01/2016,85.23
13/01/2016,85.57
15/01/2016,85.66
17/01/2016,85.92
18/01/2016,85.74
20/01/2016,85.83
22/01/2016,85.83
24/01/2016,85.74
25/01/2016,85.83
27/01/2016,85.74
30/01/2016,85.74
31/01/2016,85.66
02/02/2016,85.66
04/02/2016,85.66
05/02/2016,85.14
08/02/2016,85.57
10/02/2016,85.48
12/02/2016,85.57
14/02/2016,86.7
15/02/2016,89.42
17/02/2016,90.22
19/02/2016,90.31
20/02/2016,90.49
22/02/2016,90.58
24/02/2016,90.67
26/02/2016,90.58
28/02/2016,91.93
29/02/2016,92.39
03/03/2016,92.84
04/03/2016,92.93
07/03/2016,93.02
08/03/2016,93.21
09/03/2016,93.21
12/03/2016,93.21
13/03/2016,93.3
15/03/2016,93.21
18/03/2016,93.21
19/03/2016,93.12
20/03/2016,93.3
22/03/2016,93.21
24/03/2016,93.3
26/03/2016,93.3
29/03/2016,93.12
30/03/2016,93.12
31/03/2016,93.02
03/04/2016,92.93
04/04/2016,92.84
06/04/2016,96.54
08/04/2016,97.66
10/04/2016,97.95
11/04/2016,97.95
13/04/2016,98.14
16/04/2016,98.23
18/04/2016,98.32
20/04/2016,98.8
21/04/2016,100.23
22/04/2016,101.19
24/04/2016,101.97
26/04/2016,102.36
28/04/2016,102.45
01/05/2016,102.36
02/05/2016,102.26
04/05/2016,102.26
05/05/2016,102.16
08/05/2016,102.26
10/05/2016,102.45
12/05/2016,103.92
13/05/2016,104.91
15/05/2016,107.49
16/05/2016,108.1
18/05/2016,108.6
20/05/2016,108.8
22/05/2016,108.8
24/05/2016,108.8
26/05/2016,108.7
28/05/2016,108.5
29/05/2016,108.5
01/06/2016,108.22
03/06/2016,108.13
04/06/2016,108.0
06/06/2016,107.8
08/06/2016,107.59
10/06/2016,107.39
11/06/2016,107.19
13/06/2016,106.99
15/06/2016,106.59
16/06/2016,106.39
19/06/2016,106.09
21/06/2016,105.85
22/06/2016,105.6
25/06/2016,105.3
26/06/2016,105.1
27/06/2016,104.91
29/06/2016,104.71
01/07/2016,104.46
03/07/2016,104.12
05/07/2016,103.82
07/07/2016,103.59
09/07/2016,103.33
11/07/2016,102.94
13/07/2016,102.65
15/07/2016,102.49
17/07/2016,102.06
18/07/2016,101.98
20/07/2016,101.77
22/07/2016,101.39
23/07/2016,101.19
25/07/2016,100.9
28/07/2016,100.52
29/07/2016,100.52
31/07/2016,100.04
01/08/2016,99.85
04/08/2016,97.19
06/08/2016,95.51
08/08/2016,93.9
09/08/2016,93.18
10/08/2016,92.11
12/08/2016,90.51
14/08/2016,88.71
17/08/2016,86.3
18/08/2016,85.51
20/08/2016,83.52
22/08/2016,81.67
24/08/2016,79.93
25/08/2016,79.2
28/08/2016,76.77
29/08/2016,76.05
31/08/2016,74.45
02/09/2016,72.77
03/09/2016,71.93
05/09/2016,70.44
07/09/2016,69.0
10/09/2016,66.65
11/09/2016,65.72
13/09/2016,64.23
15/09/2016,62.34
17/09/2016,61.04
19/09/2016,59.99
21/09/2016,58.77
22/09/2016,58.37
24/09/2016,57.78
25/09/2016,57.59
28/09/2016,56.74
30/09/2016,56.28
01/10/2016,55.97
03/10/2016,55.53
05/10/2016,55.37
06/10/2016,55.21
08/10/2016,55.09
11/10/2016,54.9
12/10/2016,54.84
14/10/2016,54.84
15/10/2016,54.84
18/10/2016,54.69
19/10/2016,54.58
22/10/2016,54.52
23/10/2016,54.52
25/10/2016,54.58
26/10/2016,54.58
29/10/2016,54.4
31/10/2016,54.46
02/11/2016,54.35
03/11/2016,54.35
05/11/2016,53.84
07/11/2016,54.58
08/11/2016,54.71
10/11/2016,54.71
12/11/2016,54.71
14/11/2016,54.71
16/11/2016,54.71
18/11/2016,54.71
20/11/2016,54.65
21/11/2016,54.71
24/11/2016,57.78
25/11/2016,58.17
27/11/2016,58.83
28/11/2016,59.83
30/11/2016,60.44
03/12/2016,60.91
05/12/2016,61.11
06/12/2016,61.11
08/12/2016,61.25
09/12/2016,61.25
12/12/2016,61.25
14/12/2016,61.18
15/12/2016,61.32
18/12/2016,61.52
19/12/2016,61.52
20/12/2016,61.52
22/12/2016,61.66
24/12/2016,61.66
27/12/2016,61.66
28/12/2016,61.66
30/12/2016,61.73
