Fecha,Reserva
2012-01-01,108.36
2012-01-02,108.52
2012-01-03,108.64
2012-01-04,108.88
2012-01-05,108.88
2012-01-06,109.13
2012-01-07,112.91
2012-01-08,112.46
2012-01-09,112.02
2012-01-10,112.16
2012-01-11,112.31
2012-01-12,112.32
2012-01-13,112.33
2012-01-14,112.33
2012-01-15,112.56
2012-01-16,112.56
2012-01-17,112.78
2012-01-18,112.91
2012-01-19,112.98
2012-01-20,112.98
2012-01-21,113.05
2012-01-22,113.14
2012-01-23,113.24
2012-01-24,113.27
2012-01-25,113.35
2012-01-26,113.43
2012-01-27,113.43
2012-01-28,113.43
2012-01-29,113.43
2012-01-30,113.6
2012-01-31,113.77
2012-02-01,113.86
2012-02-02,113.86
2012-02-03,113.95
2012-02-04,113.97
2012-02-05,114.0
2012-02-06,114.03
2012-02-07,113.97
2012-02-08,113.98
2012-02-09,114.0
2012-02-10,114.04
2012-02-11,114.04
2012-02-12,114.08
2012-02-13,114.18
2012-02-14,114.29
2012-02-15,114.29
2012-02-16,114.36
2012-02-17,114.42
2012-02-18,114.42
2012-02-19,114.42
2012-02-20,114.59
2012-02-21,114.58
2012-02-22,114.58
2012-02-23,114.58
2012-02-24,114.61
2012-02-25,114.61
2012-02-26,114.61
2012-02-27,114.58
2012-02-28,114.58
2012-02-29,114.58
2012-03-01,114.58
2012-03-02,114.58
2012-03-03,114.58
2012-03-04,114.61
2012-03-05,114.61
2012-03-06,114.61
2012-03-07,114.61
2012-03-08,114.61
2012-03-09,114.61
2012-03-10,114.61
2012-03-11,114.61
2012-03-12,114.6
2012-03-13,114.6
2012-03-14,114.58
2012-03-15,114.52
2012-03-16,114.36
2012-03-17,114.21
2012-03-18,114.09
2012-03-19,113.97
2012-03-20,113.8
2012-03-21,113.64
2012-03-22,113.44
2012-03-23,113.24
2012-03-24,113.24
2012-03-25,113.18
2012-03-26,113.12
2012-03-27,113.09
2012-03-28,113.06
2012-03-29,112.98
2012-03-30,112.9
2012-03-31,112.83
2012-04-01,112.87
2012-04-02,112.91
2012-04-03,112.91
2012-04-04,112.91
2012-04-05,112.91
2012-04-06,112.83
2012-04-07,112.83
2012-04-08,112.83
2012-04-09,112.83
2012-04-10,112.75
2012-04-11,112.74
2012-04-12,112.74
2012-04-13,112.71
2012-04-14,112.71
2012-04-15,112.71
2012-04-16,112.46
2012-04-17,112.46
2012-04-18,112.22
2012-04-19,112.02
2012-04-20,112.01
2012-04-21,112.0
2012-04-22,112.02
2012-04-23,111.62
2012-04-24,111.23
2012-04-25,111.0
2012-04-26,111.0
2012-04-27,110.77
2012-04-28,110.92
2012-04-29,111.06
2012-04-30,110.66
2012-05-01,110.62
2012-05-02,110.58
2012-05-03,110.52
2012-05-04,110.46
2012-05-05,110.46
2012-05-06,110.46
2012-05-07,110.46
2012-05-08,110.62
2012-05-09,110.79
2012-05-10,110.8
2012-05-11,110.81
2012-05-12,110.74
2012-05-13,110.66
2012-05-14,110.66
2012-05-15,110.62
2012-05-16,110.57
2012-05-17,110.32
2012-05-18,110.32
2012-05-19,110.06
2012-05-20,110.06
2012-05-21,109.88
2012-05-22,109.71
2012-05-23,109.57
2012-05-24,109.44
2012-05-25,109.25
2012-05-26,109.06
2012-05-27,109.06
2012-05-28,108.88
2012-05-29,108.88
2012-05-30,108.69
2012-05-31,108.43
2012-06-01,108.22
2012-06-02,108.22
2012-06-03,108.01
2012-06-04,107.73
2012-06-05,107.69
2012-06-06,107.65
2012-06-07,107.54
2012-06-08,107.43
2012-06-09,106.91
2012-06-10,106.88
2012-06-11,106.84
2012-06-12,106.64
2012-06-13,106.44
2012-06-14,106.33
2012-06-15,106.22
2012-06-16,106.22
2012-06-17,106.22
2012-06-18,106.22
2012-06-19,105.88
2012-06-20,105.53
2012-06-21,105.3
2012-06-22,105.06
2012-06-23,104.95
2012-06-24,104.84
2012-06-25,104.66
2012-06-26,104.47
2012-06-27,104.16
2012-06-28,104.06
2012-06-29,103.96
2012-06-30,103.78
2012-07-01,103.59
2012-07-02,103.3
2012-07-03,103.3
2012-07-04,103.01
2012-07-05,102.92
2012-07-06,102.72
2012-07-07,102.53
2012-07-08,102.34
2012-07-09,102.06
2012-07-10,102.06
2012-07-11,101.77
2012-07-12,101.75
2012-07-13,101.47
2012-07-14,101.47
2012-07-15,101.19
2012-07-16,100.93
2012-07-17,100.72
2012-07-18,100.5
2012-07-19,100.32
2012-07-20,100.15
2012-07-21,99.96
2012-07-22,99.83
2012-07-23,99.7
2012-07-24,99.54
2012-07-25,99.54
2012-07-26,99.38
2012-07-27,99.2
2012-07-28,99.02
2012-07-29,98.91
2012-07-30,98.72
2012-07-31,98.54
2012-08-01,98.37
2012-08-02,98.2
2012-08-03,98.1
2012-08-04,97.83
2012-08-05,97.83
2012-08-06,97.56
2012-08-07,97.44
2012-08-08,97.28
2012-08-09,97.11
2012-08-10,97.04
2012-08-11,96.98
2012-08-12,96.98
2012-08-13,96.66
2012-08-14,96.33
2012-08-15,96.15
2012-08-16,95.97
2012-08-17,95.74
2012-08-18,95.74
2012-08-19,95.51
2012-08-20,95.42
2012-08-21,95.23
2012-08-22,95.05
