Fecha,Reserva
01/01/2017,69.25
02/01/2017,69.2
04/01/2017,69.31
06/01/2017,69.31
08/01/2017,69.34
09/01/2017,69.31
11/01/2017,69.31
13/01/2017,69.34
14/01/2017,69.4
16/01/2017,69.45
19/01/2017,69.4
20/01/2017,69.45
22/01/2017,69.4
23/01/2017,69.31
25/01/2017,69.25
28/01/2017,69.34
29/01/2017,69.25
01/02/2017,69.25
02/02/2017,69.18
03/02/2017,69.2
05/02/2017,69.17
08/02/2017,68.96
10/02/2017,68.93
11/02/2017,69.0
13/02/2017,69.73
14/02/2017,70.53
17/02/2017,71.11
19/02/2017,71.47
20/02/2017,72.0
22/02/2017,72.19
24/02/2017,72.53
25/02/2017,72.77
28/02/2017,73.22
01/03/2017,73.33
04/03/2017,73.69
05/03/2017,73.86
06/03/2017,74.07
09/03/2017,74.45
11/03/2017,74.62
13/03/2017,74.83
14/03/2017,74.92
16/03/2017,75.53
17/03/2017,75.62
20/03/2017,75.92
22/03/2017,76.01
24/03/2017,76.01
25/03/2017,76.01
27/03/2017,76.11
29/03/2017,76.15
30/03/2017,76.03
01/04/2017,75.96
03/04/2017,75.92
06/04/2017,75.68
07/04/2017,75.65
08/04/2017,75.53
10/04/2017,75.36
13/04/2017,75.23
14/04/2017,75.1
17/04/2017,74.98
18/04/2017,74.92
20/04/2017,74.71
21/04/2017,74.62
24/04/2017,74.39
25/04/2017,74.39
27/04/2017,74.23
29/04/2017,74.2
01/05/2017,74.07
03/05/2017,74.0
04/05/2017,73.85
07/05/2017,73.61
08/05/2017,73.6
09/05/2017,73.33
12/05/2017,73.24
13/05/2017,73.22
16/05/2017,72.88
18/05/2017,72.7
19/05/2017,72.62
20/05/2017,72.57
22/05/2017,72.17
25/05/2017,71.87
27/05/2017,71.7
29/05/2017,71.49
30/05/2017,71.32
01/06/2017,70.98
03/06/2017,70.74
05/06/2017,70.39
07/06/2017,70.15
08/06/2017,70.08
10/06/2017,69.77
12/06/2017,69.45
13/06/2017,69.3
16/06/2017,68.9
18/06/2017,68.58
20/06/2017,68.21
21/06/2017,68.07
23/06/2017,67.79
25/06/2017,67.51
27/06/2017,67.38
29/06/2017,67.11
30/06/2017,66.97
02/07/2017,66.61
04/07/2017,66.27
05/07/2017,66.12
08/07/2017,65.82
10/07/2017,65.4
11/07/2017,65.35
12/07/2017,65.32
15/07/2017,64.98
16/07/2017,64.83
19/07/2017,64.34
20/07/2017,64.21
22/07/2017,63.93
23/07/2017,63.82
25/07/2017,63.49
27/07/2017,63.21
30/07/2017,62.81
31/07/2017,62.7
02/08/2017,62.37
04/08/2017,62.1
05/08/2017,62.02
07/08/2017,61.74
10/08/2017,61.35
11/08/2017,61.2
13/08/2017,60.92
15/08/2017,60.57
16/08/2017,60.57
19/08/2017,60.17
21/08/2017,59.88
22/08/2017,59.7
24/08/2017,59.42
25/08/2017,59.29
28/08/2017,58.88
30/08/2017,59.64
31/08/2017,59.61
02/09/2017,59.28
04/09/2017,59.22
05/09/2017,59.03
08/09/2017,58.69
09/09/2017,58.61
12/09/2017,58.19
13/09/2017,58.08
15/09/2017,57.83
17/09/2017,57.54
19/09/2017,57.28
21/09/2017,57.12
23/09/2017,56.88
24/09/2017,56.7
25/09/2017,56.62
27/09/2017,56.4
30/09/2017,56.1
01/10/2017,56.03
03/10/2017,55.83
05/10/2017,55.62
07/10/2017,55.39
08/10/2017,55.2
11/10/2017,54.68
13/10/2017,54.28
15/10/2017,53.91
16/10/2017,53.86
18/10/2017,53.7
20/10/2017,54.02
21/10/2017,54.0
23/10/2017,53.8
25/10/2017,53.69
27/10/2017,53.51
29/10/2017,53.34
30/10/2017,53.31
02/11/2017,52.97
03/11/2017,52.86
05/11/2017,53.33
07/11/2017,53.63
08/11/2017,53.46
10/11/2017,53.31
12/11/2017,53.13
15/11/2017,52.94
16/11/2017,52.86
17/11/2017,52.81
20/11/2017,52.62
22/11/2017,52.37
24/11/2017,52.2
26/11/2017,52.06
27/11/2017,51.93
29/11/2017,51.84
30/11/2017,54.67
02/12/2017,55.52
05/12/2017,55.59
07/12/2017,55.52
08/12/2017,55.41
10/12/2017,55.31
11/12/2017,55.33
13/12/2017,55.9
15/12/2017,55.85
17/12/2017,55.83
19/12/2017,55.72
20/12/2017,55.7
22/12/2017,55.52
25/12/2017,55.31
27/12/2017,55.23
29/12/2017,55.24
30/12/2017,55.26
