Fecha,Reserva
01/01/2021,71.52
02/01/2021,71.51
04/01/2021,71.43
06/01/2021,71.36
08/01/2021,71.35
10/01/2021,77.97
11/01/2021,79.47
13/01/2021,80.58
15/01/2021,81.05
17/01/2021,81.28
19/01/2021,81.42
21/01/2021,81.72
22/01/2021,82.11
24/01/2021,83.14
26/01/2021,83.9
28/01/2021,84.39
30/01/2021,84.7
01/02/2021,84.91
02/02/2021,84.96
05/02/2021,85.15
07/02/2021,85.32
09/02/2021,86.12
11/02/2021,89.73
12/02/2021,91.44
14/02/2021,93.13
16/02/2021,93.92
18/02/2021,94.35
20/02/2021,94.61
22/02/2021,94.82
24/02/2021,94.97
26/02/2021,95.07
27/02/2021,95.1
02/03/2021,95.16
04/03/2021,95.16
05/03/2021,95.15
07/03/2021,95.12
08/03/2021,95.12
10/03/2021,95.2
13/03/2021,95.22
15/03/2021,95.18
17/03/2021,95.12
18/03/2021,95.07
20/03/2021,94.92
21/03/2021,94.87
23/03/2021,94.75
26/03/2021,94.53
27/03/2021,94.45
29/03/2021,94.32
31/03/2021,94.19
03/04/2021,93.95
04/04/2021,93.9
06/04/2021,93.76
08/04/2021,93.58
10/04/2021,93.42
12/04/2021,93.28
13/04/2021,93.19
15/04/2021,93.04
17/04/2021,92.93
19/04/2021,92.76
21/04/2021,92.57
23/04/2021,92.5
25/04/2021,92.36
27/04/2021,92.36
28/04/2021,92.59
30/04/2021,92.59
02/05/2021,92.5
04/05/2021,92.37
06/05/2021,92.23
07/05/2021,92.13
09/05/2021,91.93
11/05/2021,91.82
13/05/2021,91.62
15/05/2021,91.41
17/05/2021,91.22
20/05/2021,90.88
21/05/2021,90.76
22/05/2021,90.66
25/05/2021,90.3
26/05/2021,90.18
28/05/2021,89.98
31/05/2021,89.68
01/06/2021,89.56
03/06/2021,89.3
05/06/2021,89.06
06/06/2021,89.23
08/06/2021,89.03
10/06/2021,88.82
12/06/2021,88.56
15/06/2021,88.23
17/06/2021,87.97
18/06/2021,87.89
20/06/2021,87.64
22/06/2021,87.43
23/06/2021,87.26
25/06/2021,87.03
27/06/2021,86.79
29/06/2021,86.53
02/07/2021,86.14
04/07/2021,85.91
05/07/2021,85.8
07/07/2021,85.53
08/07/2021,85.4
11/07/2021,85.05
13/07/2021,84.79
15/07/2021,84.52
16/07/2021,84.39
18/07/2021,84.16
21/07/2021,83.77
22/07/2021,83.65
23/07/2021,83.52
26/07/2021,83.14
28/07/2021,82.29
29/07/2021,82.09
31/07/2021,81.84
02/08/2021,81.55
05/08/2021,81.17
06/08/2021,81.05
08/08/2021,80.79
10/08/2021,80.55
12/08/2021,80.33
14/08/2021,80.1
15/08/2021,79.99
17/08/2021,79.71
19/08/2021,79.45
21/08/2021,79.21
22/08/2021,79.08
24/08/2021,78.85
26/08/2021,78.62
29/08/2021,78.23
30/08/2021,78.1
02/09/2021,77.75
03/09/2021,77.6
06/09/2021,77.24
07/09/2021,77.24
08/09/2021,76.99
11/09/2021,76.66
13/09/2021,76.43
15/09/2021,76.39
16/09/2021,76.33
18/09/2021,76.12
20/09/2021,75.9
22/09/2021,75.67
24/09/2021,75.45
26/09/2021,75.26
28/09/2021,75.06
30/09/2021,74.83
01/10/2021,74.73
03/10/2021,74.51
06/10/2021,74.25
07/10/2021,74.1
09/10/2021,73.89
10/10/2021,73.8
12/10/2021,73.59
15/10/2021,73.3
16/10/2021,73.16
19/10/2021,72.9
20/10/2021,72.77
22/10/2021,72.54
22/10/2021,72.54
24/10/2021,72.33
26/10/2021,72.15
28/10/2021,71.93
30/10/2021,71.81
31/10/2021,71.9
02/11/2021,71.77
02/11/2021,71.77
03/11/2021,71.68
04/11/2021,71.56
07/11/2021,71.24
09/11/2021,71.04
11/11/2021,70.87
12/11/2021,70.76
15/11/2021,70.49
16/11/2021,70.38
18/11/2021,70.19
20/11/2021,70.0
21/11/2021,69.93
23/11/2021,69.83
26/11/2021,69.57
28/11/2021,69.37
29/11/2021,69.3
01/12/2021,69.1
03/12/2021,68.92
04/12/2021,68.82
05/12/2021,68.74
06/12/2021,68.65
07/12/2021,68.58
08/12/2021,68.51
09/12/2021,68.41
11/12/2021,68.26
12/12/2021,68.17
14/12/2021,68.02
16/12/2021,67.86
18/12/2021,67.65
20/12/2021,67.47
22/12/2021,67.34
25/12/2021,67.47
27/12/2021,68.73
28/12/2021,68.96
30/12/2021,69.16
