Fecha,Reserva
2012-01-01,287.07
2012-01-02,287.1
2012-01-03,287.25
2012-01-04,287.36
2012-01-05,287.36
2012-01-06,287.46
2012-01-07,290.3
2012-01-08,290.02
2012-01-09,289.73
2012-01-10,289.58
2012-01-11,289.42
2012-01-12,289.62
2012-01-13,289.82
2012-01-14,289.84
2012-01-15,289.83
2012-01-16,289.82
2012-01-17,290.06
2012-01-18,290.3
2012-01-19,290.33
2012-01-20,290.36
2012-01-21,290.48
2012-01-22,290.48
2012-01-23,290.59
2012-01-24,290.59
2012-01-25,290.74
2012-01-26,290.86
2012-01-27,290.86
2012-01-28,290.97
2012-01-29,290.94
2012-01-30,290.9
2012-01-31,290.94
2012-02-01,290.97
2012-02-02,291.1
2012-02-03,291.22
2012-02-04,289.73
2012-02-05,291.16
2012-02-06,291.24
2012-02-07,291.24
2012-02-08,291.32
2012-02-09,276.38
2012-02-10,283.9
2012-02-11,291.42
2012-02-12,291.42
2012-02-13,291.41
2012-02-14,291.48
2012-02-15,291.55
2012-02-16,291.64
2012-02-17,291.72
2012-02-18,291.68
2012-02-19,291.72
2012-02-20,291.72
2012-02-21,291.76
2012-02-22,291.71
2012-02-23,291.66
2012-02-24,291.78
2012-02-25,291.8
2012-02-26,291.82
2012-02-27,291.85
2012-02-28,291.88
2012-02-29,291.88
2012-03-01,291.88
2012-03-02,291.96
2012-03-03,292.03
2012-03-04,292.07
2012-03-05,292.11
2012-03-06,292.08
2012-03-07,292.03
2012-03-08,291.99
2012-03-09,292.01
2012-03-10,292.03
2012-03-11,291.94
2012-03-12,291.94
2012-03-13,291.93
2012-03-14,291.88
2012-03-15,291.83
2012-03-16,291.77
2012-03-17,291.77
2012-03-18,291.72
2012-03-19,291.66
2012-03-20,291.63
2012-03-21,291.77
2012-03-22,291.77
2012-03-23,291.91
2012-03-24,292.06
2012-03-25,292.1
2012-03-26,292.14
2012-03-27,292.1
2012-03-28,292.1
2012-03-29,292.06
2012-03-30,292.06
2012-03-31,292.03
2012-04-01,292.03
2012-04-02,292.03
2012-04-03,292.17
2012-04-04,292.31
2012-04-05,292.41
2012-04-06,292.52
2012-04-07,292.6
2012-04-08,292.6
2012-04-09,292.68
2012-04-10,292.66
2012-04-11,292.67
2012-04-12,292.67
2012-04-13,292.78
2012-04-14,292.89
2012-04-15,293.17
2012-04-16,293.32
2012-04-17,293.32
2012-04-18,293.46
2012-04-19,293.49
2012-04-20,293.52
2012-04-21,293.69
2012-04-22,293.81
2012-04-23,293.88
2012-04-24,293.88
2012-04-25,293.96
2012-04-26,293.94
2012-04-27,293.98
2012-04-28,294.03
2012-04-29,294.23
2012-04-30,294.42
2012-05-01,294.56
2012-05-02,294.69
2012-05-03,294.75
2012-05-04,294.81
2012-05-05,294.81
2012-05-06,294.81
2012-05-07,294.81
2012-05-08,295.29
2012-05-09,295.78
2012-05-10,295.85
2012-05-11,295.91
2012-05-12,295.94
2012-05-13,295.97
2012-05-14,249.26
2012-05-15,272.56
2012-05-16,295.87
2012-05-17,295.74
2012-05-18,295.74
2012-05-19,295.62
2012-05-20,295.59
2012-05-21,295.62
2012-05-22,295.64
2012-05-23,295.62
2012-05-24,295.59
2012-05-25,295.53
2012-05-26,295.47
2012-05-27,295.38
2012-05-28,295.28
2012-05-29,295.14
2012-05-30,295.0
2012-05-31,294.9
2012-06-01,294.77
2012-06-02,294.64
2012-06-03,294.51
2012-06-04,294.38
2012-06-05,294.24
2012-06-06,294.11
2012-06-07,293.94
2012-06-08,293.65
2012-06-09,293.36
2012-06-10,292.98
2012-06-11,292.59
2012-06-12,292.3
2012-06-13,292.02
2012-06-14,291.76
2012-06-15,291.51
2012-06-16,291.51
2012-06-17,291.51
2012-06-18,291.51
2012-06-19,290.54
2012-06-20,289.57
2012-06-21,288.91
2012-06-22,288.91
2012-06-23,288.26
2012-06-24,287.54
2012-06-25,286.83
2012-06-26,286.0
2012-06-27,285.23
2012-06-28,284.46
2012-06-29,283.6
2012-06-30,282.75
2012-07-01,281.85
2012-07-02,280.68
2012-07-03,280.68
2012-07-04,279.52
2012-07-05,278.68
2012-07-06,277.85
2012-07-07,277.03
2012-07-08,276.47
2012-07-09,275.68
2012-07-10,274.88
2012-07-11,273.64
2012-07-12,273.64
2012-07-13,272.4
2012-07-14,271.67
2012-07-15,270.94
2012-07-16,270.39
2012-07-17,269.7
2012-07-18,269.01
2012-07-19,268.28
2012-07-20,267.56
2012-07-21,266.84
2012-07-22,266.15
2012-07-23,265.47
2012-07-24,264.37
2012-07-25,264.37
2012-07-26,263.27
2012-07-27,262.62
2012-07-28,261.86
2012-07-29,261.1
2012-07-30,260.48
2012-07-31,259.85
2012-08-01,259.09
2012-08-02,258.32
2012-08-03,258.09
2012-08-04,257.32
2012-08-05,256.56
2012-08-06,255.94
2012-08-07,255.33
2012-08-08,254.56
2012-08-09,253.8
2012-08-10,253.18
2012-08-11,252.43
2012-08-12,251.68
2012-08-13,250.62
2012-08-14,250.62
2012-08-15,249.56
2012-08-16,248.87
2012-08-17,248.18
2012-08-18,247.54
2012-08-19,246.91
2012-08-20,246.43
2012-08-21,245.77
2012-08-22,245.11
2012-08-23,244.41
2012-08-24,243.71
2012-08-25,242.91
2012-08-26,241.8
2012-08-27,241.8
2012-08-28,240.69
2012-08-29,240.07
2012-08-30,239.61
2012-08-31,239.15
2012-09-01,238.7
2012-09-02,238.25
2012-09-03,237.8
2012-09-04,237.36
2012-09-05,236.98
2012-09-06,236.6
2012-09-07,236.22
2012-09-08,235.74
2012-09-09,235.27
2012-09-10,234.9
2012-09-11,234.54
2012-09-12,234.15
2012-09-13,233.76
2012-09-14,233.27
2012-09-15,232.7
