Fecha,Reserva
01/01/2022,74.27
02/01/2022,74.26
04/01/2022,74.2
05/01/2022,74.25
07/01/2022,74.63
09/01/2022,74.53
11/01/2022,74.64
14/01/2022,74.61
15/01/2022,74.55
18/01/2022,74.51
20/01/2022,74.42
22/01/2022,74.43
24/01/2022,74.33
26/01/2022,74.3
28/01/2022,74.16
29/01/2022,74.17
31/01/2022,74.06
02/02/2022,73.88
03/02/2022,73.91
05/02/2022,73.78
07/02/2022,73.67
09/02/2022,73.57
10/02/2022,73.57
11/02/2022,73.46
12/02/2022,73.46
13/02/2022,73.43
14/02/2022,73.39
15/02/2022,73.31
16/02/2022,73.29
17/02/2022,73.24
17/02/2022,73.24
18/02/2022,73.16
19/02/2022,73.11
20/02/2022,73.09
21/02/2022,72.97
22/02/2022,72.95
24/02/2022,72.9
26/02/2022,72.85
28/02/2022,72.6
02/03/2022,72.63
03/03/2022,72.52
05/03/2022,72.42
07/03/2022,72.47
10/03/2022,72.37
11/03/2022,72.44
14/03/2022,72.54
15/03/2022,72.5
17/03/2022,72.41
18/03/2022,72.41
20/03/2022,72.36
22/03/2022,72.4
24/03/2022,72.38
27/03/2022,72.31
29/03/2022,72.34
30/03/2022,72.39
02/04/2022,73.87
04/04/2022,74.33
05/04/2022,74.47
07/04/2022,76.8
09/04/2022,77.92
11/04/2022,78.43
13/04/2022,78.75
14/04/2022,78.89
15/04/2022,79.03
16/04/2022,79.13
17/04/2022,79.21
18/04/2022,79.28
20/04/2022,79.4
22/04/2022,79.54
23/04/2022,79.71
25/04/2022,80.71
27/04/2022,81.13
30/04/2022,81.5
01/05/2022,81.62
03/05/2022,81.97
05/05/2022,82.36
07/05/2022,82.66
09/05/2022,82.89
11/05/2022,83.06
12/05/2022,83.13
15/05/2022,83.31
17/05/2022,83.38
19/05/2022,83.43
20/05/2022,83.43
23/05/2022,83.38
24/05/2022,83.33
26/05/2022,83.31
29/05/2022,83.24
30/05/2022,83.16
01/06/2022,83.06
03/06/2022,82.77
06/06/2022,82.27
07/06/2022,82.09
08/06/2022,81.91
11/06/2022,81.46
13/06/2022,81.13
14/06/2022,80.92
16/06/2022,80.59
18/06/2022,80.49
20/06/2022,80.12
22/06/2022,79.88
25/06/2022,79.37
26/06/2022,79.27
28/06/2022,78.9
01/07/2022,78.42
03/07/2022,78.17
04/07/2022,77.97
06/07/2022,77.65
08/07/2022,77.36
10/07/2022,65.99
11/07/2022,77.1
13/07/2022,76.89
15/07/2022,76.71
18/07/2022,76.44
19/07/2022,76.11
22/07/2022,75.32
24/07/2022,74.71
25/07/2022,74.53
28/07/2022,73.59
29/07/2022,73.29
31/07/2022,72.76
02/08/2022,72.13
04/08/2022,71.4
05/08/2022,71.01
08/08/2022,69.83
09/08/2022,69.51
12/08/2022,68.61
13/08/2022,68.34
15/08/2022,67.73
17/08/2022,67.0
19/08/2022,66.27
22/08/2022,65.43
24/08/2022,64.97
25/08/2022,64.7
28/08/2022,63.98
29/08/2022,63.76
01/09/2022,62.77
02/09/2022,62.43
04/09/2022,61.96
05/09/2022,61.73
08/09/2022,61.36
10/09/2022,61.17
12/09/2022,61.0
14/09/2022,60.68
16/09/2022,60.27
17/09/2022,60.1
20/09/2022,59.9
21/09/2022,59.84
23/09/2022,59.9
25/09/2022,59.79
28/09/2022,59.6
30/09/2022,59.51
02/10/2022,59.38
03/10/2022,55.2
05/10/2022,55.11
07/10/2022,54.99
08/10/2022,54.95
10/10/2022,54.84
13/10/2022,54.77
15/10/2022,54.59
17/10/2022,54.48
18/10/2022,54.47
21/10/2022,54.39
22/10/2022,54.54
25/10/2022,54.39
27/10/2022,54.14
28/10/2022,54.31
30/10/2022,54.23
30/10/2022,54.23
31/10/2022,54.2
03/11/2022,54.07
04/11/2022,54.06
06/11/2022,53.98
09/11/2022,53.91
10/11/2022,53.9
12/11/2022,53.88
15/11/2022,53.8
16/11/2022,53.81
19/11/2022,53.83
21/11/2022,53.81
23/11/2022,53.84
26/11/2022,53.82
28/11/2022,53.82
29/11/2022,53.8
01/12/2022,53.79
03/12/2022,53.76
04/12/2022,53.79
07/12/2022,53.75
09/12/2022,53.8
11/12/2022,54.12
13/12/2022,55.61
15/12/2022,63.62
16/12/2022,67.63
18/12/2022,70.7
20/12/2022,71.86
22/12/2022,72.47
24/12/2022,72.89
26/12/2022,73.19
29/12/2022,73.5
30/12/2022,73.58
