Fecha,Reserva
2012-01-01,140.04
2012-01-02,140.29
2012-01-03,140.48
2012-01-04,140.66
2012-01-05,140.97
2012-01-06,139.72
2012-01-07,138.47
2012-01-08,139.18
2012-01-09,139.89
2012-01-10,139.73
2012-01-11,139.57
2012-01-12,139.34
2012-01-13,139.11
2012-01-14,138.92
2012-01-15,138.72
2012-01-16,138.58
2012-01-17,138.52
2012-01-18,138.52
2012-01-19,138.47
2012-01-20,138.44
2012-01-21,138.11
2012-01-22,137.78
2012-01-23,137.57
2012-01-24,137.37
2012-01-25,137.24
2012-01-26,137.1
2012-01-27,136.97
2012-01-28,136.97
2012-01-29,136.97
2012-01-30,136.83
2012-01-31,136.69
2012-02-01,136.68
2012-02-02,136.68
2012-02-03,136.68
2012-02-04,136.55
2012-02-05,136.68
2012-02-06,136.48
2012-02-07,136.27
2012-02-08,136.06
2012-02-09,136.06
2012-02-10,135.86
2012-02-11,135.86
2012-02-12,135.86
2012-02-13,135.68
2012-02-14,135.5
2012-02-15,135.2
2012-02-16,134.87
2012-02-17,134.54
2012-02-18,134.54
2012-02-19,134.54
2012-02-20,133.87
2012-02-21,133.54
2012-02-22,133.21
2012-02-23,132.8
2012-02-24,132.8
2012-02-25,132.39
2012-02-26,132.73
2012-02-27,132.1
2012-02-28,131.9
2012-02-29,131.71
2012-03-01,131.65
2012-03-02,131.59
2012-03-03,131.5
2012-03-04,131.5
2012-03-05,131.42
2012-03-06,131.21
2012-03-07,131.01
2012-03-08,130.76
2012-03-09,130.51
2012-03-10,130.26
2012-03-11,130.45
2012-03-12,129.92
2012-03-13,129.92
2012-03-14,129.39
2012-03-15,129.21
2012-03-16,129.19
2012-03-17,129.17
2012-03-18,129.19
2012-03-19,129.21
2012-03-20,129.22
2012-03-21,129.22
2012-03-22,129.26
2012-03-23,129.3
2012-03-24,129.28
2012-03-25,129.26
2012-03-26,129.27
2012-03-27,129.28
2012-03-28,129.28
2012-03-29,129.28
2012-03-30,129.27
2012-03-31,129.26
2012-04-01,129.28
2012-04-02,129.3
2012-04-03,129.36
2012-04-04,129.41
2012-04-05,129.4
2012-04-06,129.39
2012-04-07,129.43
2012-04-08,129.43
2012-04-09,129.47
2012-04-10,129.28
2012-04-11,129.21
2012-04-12,128.78
2012-04-13,128.78
2012-04-14,128.34
2012-04-15,128.65
2012-04-16,128.5
2012-04-17,128.34
2012-04-18,128.34
2012-04-19,128.35
2012-04-20,128.34
2012-04-21,128.34
2012-04-22,128.34
2012-04-23,128.34
2012-04-24,128.1
2012-04-25,127.93
2012-04-26,127.93
2012-04-27,127.76
2012-04-28,128.1
2012-04-29,127.96
2012-04-30,127.82
2012-05-01,127.72
2012-05-02,127.61
2012-05-03,127.66
2012-05-04,127.63
2012-05-05,127.63
2012-05-06,127.6
2012-05-07,127.6
2012-05-08,127.43
2012-05-09,127.43
2012-05-10,127.26
2012-05-11,127.24
2012-05-12,127.24
2012-05-13,127.23
2012-05-14,127.23
2012-05-15,126.92
2012-05-16,126.92
2012-05-17,126.6
2012-05-18,126.24
2012-05-19,126.07
2012-05-20,125.91
2012-05-21,125.61
2012-05-22,125.31
2012-05-23,125.06
2012-05-24,124.81
2012-05-25,124.67
2012-05-26,124.64
2012-05-27,124.64
2012-05-28,124.6
2012-05-29,124.31
2012-05-30,124.02
2012-05-31,123.25
2012-06-01,123.23
2012-06-02,123.23
2012-06-03,123.21
2012-06-04,123.17
2012-06-05,122.73
2012-06-06,122.61
2012-06-07,122.49
2012-06-08,122.18
2012-06-09,121.86
2012-06-10,121.94
2012-06-11,122.03
2012-06-12,121.72
2012-06-13,121.4
2012-06-14,121.01
2012-06-15,120.62
2012-06-16,120.62
2012-06-17,120.62
2012-06-18,120.62
2012-06-19,119.96
2012-06-20,119.96
2012-06-21,119.3
2012-06-22,118.88
2012-06-23,118.83
2012-06-24,118.83
2012-06-25,118.78
2012-06-26,118.46
2012-06-27,118.01
2012-06-28,117.57
2012-06-29,117.13
2012-06-30,117.04
2012-07-01,117.04
2012-07-02,116.95
2012-07-03,116.65
2012-07-04,116.06
2012-07-05,116.06
2012-07-06,115.46
2012-07-07,115.3
2012-07-08,115.26
2012-07-09,115.22
2012-07-10,114.95
2012-07-11,114.4
2012-07-12,114.4
2012-07-13,113.86
2012-07-14,113.78
2012-07-15,113.69
2012-07-16,113.63
2012-07-17,113.19
2012-07-18,112.75
2012-07-19,112.36
2012-07-20,111.98
2012-07-21,111.77
2012-07-22,111.76
2012-07-23,111.74
2012-07-24,111.42
2012-07-25,111.1
2012-07-26,110.68
2012-07-27,110.68
2012-07-28,110.27
2012-07-29,110.26
2012-07-30,110.24
2012-07-31,109.72
2012-08-01,109.72
2012-08-02,109.21
2012-08-03,108.86
2012-08-04,108.7
2012-08-05,108.7
2012-08-06,108.54
2012-08-07,108.28
2012-08-08,107.88
2012-08-09,107.48
2012-08-10,107.08
2012-08-11,107.08
2012-08-12,107.08
2012-08-13,106.78
2012-08-14,106.48
2012-08-15,106.36
2012-08-16,106.24
2012-08-17,105.94
2012-08-18,105.65
2012-08-19,105.6
2012-08-20,105.55
2012-08-21,105.12
2012-08-22,104.65
2012-08-23,104.65
2012-08-24,104.18
2012-08-25,103.99
2012-08-26,103.96
2012-08-27,103.94
2012-08-28,103.58
2012-08-29,103.23
2012-08-30,102.9
2012-08-31,102.57
2012-09-01,102.36
2012-09-02,102.3
2012-09-03,102.25
2012-09-04,101.88
2012-09-05,101.5
2012-09-06,101.16
2012-09-07,100.83
2012-09-08,100.7
2012-09-09,100.7
2012-09-10,100.58
2012-09-11,100.31
2012-09-12,100.0
2012-09-13,99.6
2012-09-14,99.6
2012-09-15,99.21
2012-09-16,99.19
2012-09-17,99.17
2012-09-18,98.9
2012-09-19,98.62
2012-09-20,98.18
2012-09-21,97.97
2012-09-22,97.76
2012-09-23,97.74
2012-09-24,97.72
2012-09-25,97.41
2012-09-26,97.1
2012-09-27,96.82
2012-09-28,98.1
2012-09-29,99.38
2012-09-30,99.46
2012-10-01,99.54
2012-10-02,99.59
2012-10-03,99.64
2012-10-04,99.64
2012-10-05,99.66
2012-10-06,99.67
2012-10-07,99.71
2012-10-08,99.75
2012-10-09,99.78
2012-10-10,99.81
2012-10-11,99.82
2012-10-12,99.82
2012-10-13,99.82
2012-10-14,99.82
2012-10-15,99.82
2012-10-16,99.82
2012-10-17,99.36
2012-10-18,99.14
2012-10-19,99.14
2012-10-20,98.91
2012-10-21,98.92
2012-10-22,98.93
2012-10-23,98.72
2012-10-24,98.46
2012-10-25,98.2
2012-10-26,98.5
2012-10-27,98.8
2012-10-28,98.78
2012-10-29,98.76
2012-10-30,99.13
2012-10-31,99.5
2012-11-01,101.25
2012-11-02,101.58
2012-11-03,101.92
2012-11-04,103.35
2012-11-05,104.78
2012-11-06,107.35
2012-11-07,109.92
2012-11-08,111.58
2012-11-09,113.24
2012-11-10,117.79
2012-11-11,122.35
2012-11-12,125.06
2012-11-13,126.0
2012-11-14,126.93
2012-11-15,127.48
2012-11-16,128.02
2012-11-17,128.88
2012-11-18,129.75
2012-11-19,133.04
2012-11-20,133.9
2012-11-21,134.77
2012-11-22,135.45
2012-11-23,135.45
2012-11-24,136.13
2012-11-25,136.46
2012-11-26,136.79
2012-11-27,137.07
2012-11-28,137.38
2012-11-29,137.69
2012-11-30,138.07
2012-12-01,138.46
2012-12-02,138.66
2012-12-03,138.85
2012-12-04,139.17
2012-12-05,139.49
2012-12-06,139.69
2012-12-07,139.95
2012-12-08,140.21
2012-12-09,140.48
2012-12-10,140.74
2012-12-11,140.89
2012-12-12,141.1
2012-12-13,141.31
2012-12-14,141.55
2012-12-15,141.78
2012-12-16,142.1
2012-12-17,142.1
2012-12-18,142.41
2012-12-19,142.67
2012-12-20,142.86
2012-12-21,143.05
2012-12-22,143.15
2012-12-23,143.44
2012-12-24,143.44
2012-12-25,143.74
2012-12-26,143.84
2012-12-27,143.95
2012-12-28,144.1
2012-12-29,144.2
2012-12-30,144.29
2012-12-31,144.31
2013-01-01,144.33
2013-01-02,144.34
2013-01-03,144.36
2013-01-04,144.38
2013-01-05,144.36
2013-01-06,144.34
2013-01-07,144.34
2013-01-08,144.34
2013-01-09,144.37
2013-01-10,144.4
2013-01-11,144.4
2013-01-12,144.08
2013-01-13,143.77
2013-01-14,143.86
2013-01-15,143.94
2013-01-16,144.06
2013-01-17,144.17
2013-01-18,144.2
2013-01-19,144.24
2013-01-20,145.36
2013-01-21,145.61
2013-01-22,145.85
2013-01-23,145.58
2013-01-24,145.32
2013-01-25,145.44
2013-01-26,145.56
2013-01-27,145.41
2013-01-28,145.26
2013-01-29,145.21
2013-01-30,145.17
2013-01-31,145.13
2013-02-01,145.12
2013-02-02,145.12
2013-02-03,145.01
2013-02-04,145.0
2013-02-05,145.0
2013-02-06,144.99
2013-02-07,144.94
