Fecha,Reserva
01/01/2012,140.04
02/01/2012,140.29
04/01/2012,140.66
05/01/2012,140.97
07/01/2012,138.47
09/01/2012,139.89
11/01/2012,139.57
13/01/2012,139.11
15/01/2012,138.72
16/01/2012,138.58
19/01/2012,138.47
20/01/2012,138.44
22/01/2012,137.78
24/01/2012,137.37
26/01/2012,137.1
27/01/2012,136.97
29/01/2012,136.97
31/01/2012,136.69
03/02/2012,136.68
04/02/2012,136.55
05/02/2012,136.68
07/02/2012,136.27
10/02/2012,135.86
12/02/2012,135.86
14/02/2012,135.5
15/02/2012,135.2
17/02/2012,134.54
19/02/2012,134.54
20/02/2012,133.87
22/02/2012,133.21
25/02/2012,132.39
26/02/2012,132.73
27/02/2012,132.1
29/02/2012,131.71
02/03/2012,131.59
05/03/2012,131.42
07/03/2012,131.01
08/03/2012,130.76
10/03/2012,130.26
11/03/2012,130.45
14/03/2012,129.39
15/03/2012,129.21
17/03/2012,129.17
19/03/2012,129.21
21/03/2012,129.22
23/03/2012,129.3
25/03/2012,129.26
26/03/2012,129.27
28/03/2012,129.28
30/03/2012,129.27
31/03/2012,129.26
02/04/2012,129.3
04/04/2012,129.41
06/04/2012,129.39
09/04/2012,129.47
10/04/2012,129.28
11/04/2012,129.21
14/04/2012,128.34
15/04/2012,128.65
17/04/2012,128.34
19/04/2012,128.35
21/04/2012,128.34
23/04/2012,128.34
24/04/2012,128.1
27/04/2012,127.76
28/04/2012,128.1
30/04/2012,127.82
02/05/2012,127.61
03/05/2012,127.66
06/05/2012,127.6
07/05/2012,127.6
10/05/2012,127.26
11/05/2012,127.24
13/05/2012,127.23
14/05/2012,127.23
17/05/2012,126.6
18/05/2012,126.24
20/05/2012,125.91
22/05/2012,125.31
24/05/2012,124.81
25/05/2012,124.67
28/05/2012,124.6
30/05/2012,124.02
31/05/2012,123.25
03/06/2012,123.21
04/06/2012,123.17
05/06/2012,122.73
07/06/2012,122.49
09/06/2012,121.86
11/06/2012,122.03
13/06/2012,121.4
15/06/2012,120.62
17/06/2012,120.62
18/06/2012,120.62
21/06/2012,119.3
22/06/2012,118.88
25/06/2012,118.78
26/06/2012,118.46
28/06/2012,117.57
29/06/2012,117.13
02/07/2012,116.95
03/07/2012,116.65
06/07/2012,115.46
07/07/2012,115.3
09/07/2012,115.22
10/07/2012,114.95
13/07/2012,113.86
15/07/2012,113.69
16/07/2012,113.63
18/07/2012,112.75
20/07/2012,111.98
21/07/2012,111.77
23/07/2012,111.74
25/07/2012,111.1
28/07/2012,110.27
29/07/2012,110.26
30/07/2012,110.24
02/08/2012,109.21
03/08/2012,108.86
06/08/2012,108.54
07/08/2012,108.28
09/08/2012,107.48
10/08/2012,107.08
12/08/2012,107.08
14/08/2012,106.48
16/08/2012,106.24
18/08/2012,105.65
20/08/2012,105.55
21/08/2012,105.12
24/08/2012,104.18
25/08/2012,103.99
27/08/2012,103.94
29/08/2012,103.23
31/08/2012,102.57
01/09/2012,102.36
03/09/2012,102.25
05/09/2012,101.5
07/09/2012,100.83
10/09/2012,100.58
11/09/2012,100.31
12/09/2012,100.0
15/09/2012,99.21
17/09/2012,99.17
19/09/2012,98.62
20/09/2012,98.18
22/09/2012,97.76
24/09/2012,97.72
26/09/2012,97.1
27/09/2012,96.82
29/09/2012,99.38
01/10/2012,99.54
03/10/2012,99.64
04/10/2012,99.64
06/10/2012,99.67
08/10/2012,99.75
10/10/2012,99.81
12/10/2012,99.82
14/10/2012,99.82
16/10/2012,99.82
17/10/2012,99.36
20/10/2012,98.91
22/10/2012,98.93
23/10/2012,98.72
25/10/2012,98.2
27/10/2012,98.8
29/10/2012,98.76
31/10/2012,99.5
01/11/2012,101.25
03/11/2012,101.92
05/11/2012,104.78
07/11/2012,109.92
09/11/2012,113.24
11/11/2012,122.35
12/11/2012,125.06
14/11/2012,126.93
16/11/2012,128.02
18/11/2012,129.75
19/11/2012,133.04
21/11/2012,134.77
24/11/2012,136.13
26/11/2012,136.79
27/11/2012,137.07
29/11/2012,137.69
01/12/2012,138.46
03/12/2012,138.85
05/12/2012,139.49
06/12/2012,139.69
08/12/2012,140.21
10/12/2012,140.74
11/12/2012,140.89
13/12/2012,141.31
15/12/2012,141.78
18/12/2012,142.41
19/12/2012,142.67
21/12/2012,143.05
22/12/2012,143.15
25/12/2012,143.74
27/12/2012,143.95
28/12/2012,144.1
30/12/2012,144.29
