Fecha,Reserva
01/01/2015,1.44
02/01/2015,1.44
03/01/2015,1.44
05/01/2015,1.44
07/01/2015,1.44
09/01/2015,1.44
11/01/2015,1.44
12/01/2015,1.44
15/01/2015,1.44
17/01/2015,1.45
18/01/2015,1.44
21/01/2015,1.44
22/01/2015,1.45
24/01/2015,1.44
26/01/2015,1.44
27/01/2015,1.45
30/01/2015,1.45
31/01/2015,1.44
02/02/2015,1.45
04/02/2015,1.44
06/02/2015,1.44
08/02/2015,1.45
09/02/2015,1.45
11/02/2015,1.45
13/02/2015,1.45
15/02/2015,1.45
17/02/2015,1.44
18/02/2015,1.44
20/02/2015,1.44
22/02/2015,1.44
24/02/2015,1.44
25/02/2015,1.44
28/02/2015,1.44
02/03/2015,1.43
03/03/2015,1.43
05/03/2015,1.43
06/03/2015,1.43
09/03/2015,1.43
10/03/2015,1.42
13/03/2015,1.42
14/03/2015,1.42
16/03/2015,1.41
18/03/2015,1.41
19/03/2015,1.41
22/03/2015,1.43
23/03/2015,1.43
25/03/2015,1.43
27/03/2015,1.43
28/03/2015,1.43
31/03/2015,1.43
02/04/2015,1.42
03/04/2015,1.42
05/04/2015,1.42
07/04/2015,1.42
09/04/2015,1.41
10/04/2015,1.47
12/04/2015,1.41
14/04/2015,1.41
16/04/2015,1.4
18/04/2015,1.4
19/04/2015,1.4
22/04/2015,1.4
23/04/2015,1.39
25/04/2015,1.39
27/04/2015,1.39
29/04/2015,1.39
30/04/2015,1.38
02/05/2015,1.38
04/05/2015,1.37
07/05/2015,1.37
08/05/2015,1.36
10/05/2015,1.35
11/05/2015,1.36
14/05/2015,1.34
16/05/2015,1.33
18/05/2015,1.33
19/05/2015,1.32
21/05/2015,1.32
22/05/2015,1.31
24/05/2015,1.3
27/05/2015,1.3
28/05/2015,1.29
30/05/2015,1.29
31/05/2015,1.29
03/06/2015,1.27
05/06/2015,1.26
07/06/2015,1.26
08/06/2015,1.25
10/06/2015,1.25
11/06/2015,1.24
13/06/2015,1.23
16/06/2015,1.23
18/06/2015,1.22
20/06/2015,1.22
21/06/2015,1.21
22/06/2015,1.21
25/06/2015,1.19
27/06/2015,1.19
28/06/2015,1.18
30/06/2015,1.18
02/07/2015,1.17
03/07/2015,1.16
06/07/2015,1.15
07/07/2015,1.14
09/07/2015,1.14
11/07/2015,1.13
12/07/2015,1.12
14/07/2015,1.11
16/07/2015,1.11
19/07/2015,1.09
21/07/2015,1.09
22/07/2015,1.08
23/07/2015,1.08
25/07/2015,1.06
27/07/2015,1.06
30/07/2015,1.04
31/07/2015,1.04
02/08/2015,1.03
03/08/2015,1.03
05/08/2015,1.01
07/08/2015,1.01
10/08/2015,1.0
11/08/2015,0.99
13/08/2015,0.98
15/08/2015,0.97
17/08/2015,0.97
18/08/2015,0.96
20/08/2015,0.96
23/08/2015,0.94
24/08/2015,0.94
25/08/2015,0.93
28/08/2015,0.93
29/08/2015,0.92
01/09/2015,0.92
02/09/2015,0.91
04/09/2015,0.91
05/09/2015,0.9
08/09/2015,0.9
10/09/2015,0.89
12/09/2015,0.89
13/09/2015,0.88
14/09/2015,0.88
17/09/2015,0.88
19/09/2015,0.87
20/09/2015,0.87
23/09/2015,0.87
24/09/2015,0.86
25/09/2015,0.86
28/09/2015,0.86
30/09/2015,0.85
01/10/2015,0.85
03/10/2015,0.85
05/10/2015,0.85
06/10/2015,0.85
09/10/2015,0.85
10/10/2015,0.84
13/10/2015,0.85
14/10/2015,0.85
16/10/2015,0.84
18/10/2015,0.84
19/10/2015,0.85
21/10/2015,0.85
23/10/2015,0.85
25/10/2015,0.85
27/10/2015,0.85
28/10/2015,0.85
31/10/2015,0.85
02/11/2015,0.87
04/11/2015,0.97
05/11/2015,0.98
06/11/2015,0.98
08/11/2015,0.98
10/11/2015,0.98
12/11/2015,0.98
14/11/2015,0.98
16/11/2015,0.98
18/11/2015,0.97
19/11/2015,0.97
21/11/2015,0.97
24/11/2015,0.97
26/11/2015,0.96
27/11/2015,0.97
28/11/2015,0.96
01/12/2015,0.96
03/12/2015,0.95
04/12/2015,0.95
06/12/2015,0.95
08/12/2015,0.95
10/12/2015,0.95
12/12/2015,0.94
13/12/2015,0.94
15/12/2015,0.94
18/12/2015,0.94
19/12/2015,0.93
20/12/2015,0.93
22/12/2015,0.93
24/12/2015,0.93
26/12/2015,0.93
28/12/2015,0.93
30/12/2015,0.93
