Fecha,Reserva
2012-01-01,72.24
2012-01-02,72.22
2012-01-03,72.18
2012-01-04,72.14
2012-01-05,72.14
2012-01-06,72.14
2012-01-07,71.81
2012-01-08,71.88
2012-01-09,71.94
2012-01-10,71.91
2012-01-11,71.91
2012-01-12,71.89
2012-01-13,71.81
2012-01-14,71.8
2012-01-15,71.78
2012-01-16,71.83
2012-01-17,71.82
2012-01-18,71.81
2012-01-19,71.82
2012-01-20,71.83
2012-01-21,71.8
2012-01-22,71.77
2012-01-23,71.78
2012-01-24,71.78
2012-01-25,71.78
2012-01-26,71.77
2012-01-27,71.73
2012-01-28,71.77
2012-01-29,71.77
2012-01-30,71.81
2012-01-31,71.79
2012-02-01,71.77
2012-02-02,71.76
2012-02-03,71.68
2012-02-04,71.61
2012-02-05,71.64
2012-02-06,71.56
2012-02-07,71.56
2012-02-08,71.48
2012-02-09,71.5
2012-02-10,71.52
2012-02-11,71.52
2012-02-12,71.52
2012-02-13,71.37
2012-02-14,71.34
2012-02-15,71.32
2012-02-16,71.25
2012-02-17,71.26
2012-02-18,71.27
2012-02-19,71.28
2012-02-20,71.3
2012-02-21,71.24
2012-02-22,71.19
2012-02-23,71.19
2012-02-24,71.19
2012-02-25,71.19
2012-02-26,71.22
2012-02-27,71.19
2012-02-28,71.18
2012-02-29,71.18
2012-03-01,71.17
2012-03-02,71.11
2012-03-03,71.13
2012-03-04,71.13
2012-03-05,71.15
2012-03-06,71.16
2012-03-07,71.13
2012-03-08,71.11
2012-03-09,71.08
2012-03-10,71.05
2012-03-11,71.1
2012-03-12,71.07
2012-03-13,71.07
2012-03-14,71.04
2012-03-15,70.97
2012-03-16,70.94
2012-03-17,70.94
2012-03-18,70.92
2012-03-19,70.88
2012-03-20,70.84
2012-03-21,70.8
2012-03-22,70.76
2012-03-23,70.77
2012-03-24,70.78
2012-03-25,70.73
2012-03-26,70.73
2012-03-27,70.68
2012-03-28,70.6
2012-03-29,70.59
2012-03-30,70.58
2012-03-31,70.57
2012-04-01,70.57
2012-04-02,70.53
2012-04-03,70.44
2012-04-04,70.44
2012-04-05,70.34
2012-04-06,70.38
2012-04-07,70.41
2012-04-08,70.35
2012-04-09,70.3
2012-04-10,70.19
2012-04-11,70.06
2012-04-12,69.94
2012-04-13,69.84
2012-04-14,69.84
2012-04-15,69.84
2012-04-16,69.64
2012-04-17,69.43
2012-04-18,69.28
2012-04-19,69.14
2012-04-20,69.12
2012-04-21,69.09
2012-04-22,69.14
2012-04-23,68.8
2012-04-24,68.46
2012-04-25,68.22
2012-04-26,68.22
2012-04-27,67.99
2012-04-28,68.14
2012-04-29,68.3
2012-04-30,67.83
2012-05-01,67.74
2012-05-02,67.66
2012-05-03,67.54
2012-05-04,67.42
2012-05-05,67.42
2012-05-06,67.42
2012-05-07,67.42
2012-05-08,67.06
2012-05-09,66.69
2012-05-10,66.63
2012-05-11,66.57
2012-05-12,66.45
2012-05-13,66.33
2012-05-14,66.13
2012-05-15,65.96
2012-05-16,65.79
2012-05-17,65.56
2012-05-18,65.56
2012-05-19,65.32
2012-05-20,65.24
2012-05-21,65.1
2012-05-22,64.96
2012-05-23,64.74
2012-05-24,64.53
2012-05-25,64.41
2012-05-26,64.3
2012-05-27,64.15
2012-05-28,63.92
2012-05-29,63.7
2012-05-30,63.45
2012-05-31,63.45
2012-06-01,63.2
2012-06-02,63.06
2012-06-03,62.91
2012-06-04,62.67
2012-06-05,62.52
2012-06-06,62.28
2012-06-07,62.05
2012-06-08,61.78
2012-06-09,61.78
2012-06-10,61.5
2012-06-11,61.28
2012-06-12,61.1
2012-06-13,60.92
2012-06-14,60.69
2012-06-15,60.46
2012-06-16,60.46
2012-06-17,60.46
2012-06-18,60.46
2012-06-19,59.98
2012-06-20,59.49
2012-06-21,59.26
2012-06-22,59.04
2012-06-23,58.75
2012-06-24,58.75
2012-06-25,58.46
2012-06-26,58.37
2012-06-27,58.1
2012-06-28,57.83
2012-06-29,57.66
2012-06-30,57.5
2012-07-01,57.21
2012-07-02,57.03
2012-07-03,56.85
2012-07-04,56.62
2012-07-05,56.38
2012-07-06,56.13
2012-07-07,55.88
2012-07-08,55.84
2012-07-09,55.81
2012-07-10,55.59
2012-07-11,55.29
2012-07-12,55.29
2012-07-13,54.99
2012-07-14,54.76
2012-07-15,54.52
2012-07-16,54.12
2012-07-17,54.0
2012-07-18,53.88
2012-07-19,53.64
2012-07-20,53.4
2012-07-21,53.26
2012-07-22,53.04
2012-07-23,52.81
2012-07-24,52.52
2012-07-25,52.52
2012-07-26,52.23
2012-07-27,52.02
2012-07-28,51.8
2012-07-29,51.68
2012-07-30,51.46
2012-07-31,51.24
2012-08-01,51.24
2012-08-02,51.18
2012-08-03,51.13
2012-08-04,51.01
2012-08-05,51.01
2012-08-06,50.89
2012-08-07,50.89
2012-08-08,50.88
2012-08-09,50.81
2012-08-10,50.79
2012-08-11,50.77
2012-08-12,50.77
2012-08-13,50.64
2012-08-14,50.5
2012-08-15,50.43
2012-08-16,50.43
2012-08-17,50.36
2012-08-18,50.28
2012-08-19,50.26
2012-08-20,50.23
2012-08-21,50.18
2012-08-22,50.14
2012-08-23,50.07
2012-08-24,50.0
2012-08-25,49.94
2012-08-26,49.88
2012-08-27,49.88
2012-08-28,49.81
2012-08-29,49.75
2012-08-30,49.68
2012-08-31,49.6
2012-09-01,49.57
2012-09-02,49.48
2012-09-03,49.48
2012-09-04,49.4
2012-09-05,49.37
2012-09-06,49.28
2012-09-07,49.19
2012-09-08,49.06
2012-09-09,48.93
2012-09-10,48.79
2012-09-11,48.65
2012-09-12,48.51
2012-09-13,48.34
2012-09-14,48.34
2012-09-15,48.17
2012-09-16,48.13
2012-09-17,48.09
2012-09-18,47.73
2012-09-19,47.54
2012-09-20,47.54
2012-09-21,47.36
2012-09-22,47.1
2012-09-23,46.96
2012-09-24,46.83
2012-09-25,46.65
2012-09-26,46.47
2012-09-27,46.48
2012-09-28,46.5
2012-09-29,46.48
2012-09-30,46.46
2012-10-01,46.34
2012-10-02,46.21
2012-10-03,46.02
2012-10-04,45.81
2012-10-05,45.6
2012-10-06,45.46
2012-10-07,45.33
2012-10-08,45.33
2012-10-09,45.2
2012-10-10,45.06
2012-10-11,44.92
2012-10-12,44.75
2012-10-13,44.59
2012-10-14,44.43
2012-10-15,44.28
2012-10-16,44.13
2012-10-17,44.0
2012-10-18,43.86
2012-10-19,43.78
2012-10-20,43.64
2012-10-21,43.51
2012-10-22,43.38
2012-10-23,43.38
2012-10-24,43.24
2012-10-25,43.38
2012-10-26,43.85
2012-10-27,44.32
2012-10-28,44.2
2012-10-29,44.09
2012-10-30,44.14
2012-10-31,44.19
2012-11-01,44.1
2012-11-02,44.02
2012-11-03,44.14
2012-11-04,44.56
2012-11-05,44.99
2012-11-06,45.48
2012-11-07,45.97
2012-11-08,50.53
2012-11-09,55.09
2012-11-10,56.38
2012-11-11,56.6
2012-11-12,56.81
2012-11-13,56.86
2012-11-14,56.92
2012-11-15,56.92
2012-11-16,56.91
2012-11-17,57.01
2012-11-18,57.61
2012-11-19,58.21
2012-11-20,58.26
2012-11-21,58.3
2012-11-22,58.29
2012-11-23,58.28
2012-11-24,58.25
2012-11-25,58.25
2012-11-26,58.22
2012-11-27,58.15
2012-11-28,58.11
2012-11-29,58.02
2012-11-30,58.02
2012-12-01,57.92
2012-12-02,57.82
2012-12-03,57.71
2012-12-04,57.64
2012-12-05,57.57
2012-12-06,57.56
2012-12-07,57.55
2012-12-08,58.31
2012-12-09,58.37
2012-12-10,58.43
2012-12-11,58.38
2012-12-12,58.36
2012-12-13,58.36
2012-12-14,58.35
2012-12-15,58.41
2012-12-16,58.7
2012-12-17,58.99
2012-12-18,59.08
2012-12-19,59.16
2012-12-20,59.31
2012-12-21,59.36
2012-12-22,59.36
2012-12-23,59.41
2012-12-24,59.3
2012-12-25,59.4
2012-12-26,59.51
2012-12-27,59.44
2012-12-28,59.36
2012-12-29,59.36
2012-12-30,59.37
2012-12-31,59.38
2013-01-01,59.4
2013-01-02,59.4
2013-01-03,59.43
2013-01-04,59.43
2013-01-05,59.43
2013-01-06,59.45
2013-01-07,59.47
2013-01-08,59.47
2013-01-09,59.47
2013-01-10,59.47
2013-01-11,59.49
2013-01-12,59.51
2013-01-13,59.53
2013-01-14,59.51
2013-01-15,59.54
2013-01-16,59.54
2013-01-17,59.57
2013-01-18,59.71
2013-01-19,59.85
2013-01-20,61.12
2013-01-21,62.4
2013-01-22,63.01
2013-01-23,63.28
2013-01-24,63.54
2013-01-25,64.83
2013-01-26,66.13
2013-01-27,66.61
2013-01-28,67.09
2013-01-29,67.43
2013-01-30,67.6
2013-01-31,67.76
2013-02-01,67.89
2013-02-02,68.02
2013-02-03,68.1
2013-02-04,68.18
2013-02-05,68.16
2013-02-06,68.14
2013-02-07,68.06
2013-02-08,67.99
2013-02-09,67.96
2013-02-10,67.92
2013-02-11,67.94
2013-02-12,67.91
2013-02-13,67.89
2013-02-14,67.88
2013-02-15,67.82
2013-02-16,67.82
2013-02-17,67.75
2013-02-18,67.8
2013-02-19,67.84
2013-02-20,70.46
2013-02-21,70.8
2013-02-22,71.14
2013-02-23,72.92
2013-02-24,74.71
2013-02-25,74.71
2013-02-26,74.83
2013-02-27,74.96
2013-02-28,75.17
2013-03-01,75.38
2013-03-02,75.66
2013-03-03,75.66
2013-03-04,75.93
2013-03-05,79.87
2013-03-06,81.38
2013-03-07,82.88
2013-03-08,85.59
2013-03-09,83.13
2013-03-10,83.13
2013-03-11,80.67
2013-03-12,83.86
2013-03-13,87.04
2013-03-14,85.18
2013-03-15,85.52
2013-03-16,85.87
2013-03-17,86.18
2013-03-18,86.49
2013-03-19,87.19
2013-03-20,87.89
2013-03-21,85.47
2013-03-22,86.76
2013-03-23,86.76
2013-03-24,88.05
2013-03-25,88.06
2013-03-26,88.08
2013-03-27,85.84
2013-03-28,86.32
2013-03-29,86.81
2013-03-30,87.51
2013-03-31,88.21
2013-04-01,88.24
2013-04-02,88.27
2013-04-03,86.78
2013-04-04,85.29
2013-04-05,88.58
2013-04-06,88.38
2013-04-07,88.18
2013-04-08,88.05
2013-04-09,87.98
2013-04-10,87.92
2013-04-11,87.86
2013-04-12,87.86
2013-04-13,87.8
2013-04-14,87.79
2013-04-15,87.79
2013-04-16,87.79
2013-04-17,87.79
2013-04-18,87.78
2013-04-19,87.76
2013-04-20,87.75
2013-04-21,87.76
2013-04-22,87.77
2013-04-23,87.71
2013-04-24,87.7
2013-04-25,87.7
2013-04-26,87.7
2013-04-27,87.66
2013-04-28,87.63
2013-04-29,87.63
2013-04-30,87.64
2013-05-01,87.6
2013-05-02,87.6
2013-05-03,87.57
2013-05-04,87.59
2013-05-05,87.64
2013-05-06,87.64
2013-05-07,87.69
