Fecha,Reserva
01/01/2017,58.11
02/01/2017,58.13
04/01/2017,58.24
06/01/2017,58.22
08/01/2017,58.26
10/01/2017,58.27
11/01/2017,58.3
13/01/2017,58.35
15/01/2017,58.31
17/01/2017,58.29
19/01/2017,58.36
21/01/2017,58.26
22/01/2017,58.3
24/01/2017,58.3
26/01/2017,58.3
28/01/2017,58.49
30/01/2017,58.49
01/02/2017,58.6
02/02/2017,58.56
04/02/2017,58.57
06/02/2017,58.74
07/02/2017,58.76
10/02/2017,58.69
12/02/2017,59.33
13/02/2017,61.66
14/02/2017,62.47
16/02/2017,62.87
19/02/2017,63.18
20/02/2017,63.54
23/02/2017,63.84
24/02/2017,64.09
25/02/2017,64.17
28/02/2017,64.31
01/03/2017,64.37
04/03/2017,64.35
05/03/2017,65.37
07/03/2017,65.81
08/03/2017,65.84
11/03/2017,65.87
13/03/2017,65.83
14/03/2017,65.82
16/03/2017,66.54
17/03/2017,66.52
20/03/2017,66.57
21/03/2017,66.56
24/03/2017,66.45
25/03/2017,66.5
27/03/2017,66.49
29/03/2017,66.53
31/03/2017,66.46
02/04/2017,66.36
03/04/2017,66.38
06/04/2017,66.2
07/04/2017,66.09
09/04/2017,65.89
11/04/2017,65.67
12/04/2017,65.63
14/04/2017,65.49
17/04/2017,65.21
18/04/2017,65.14
20/04/2017,64.98
21/04/2017,64.82
23/04/2017,64.64
25/04/2017,64.38
28/04/2017,64.19
29/04/2017,67.19
30/04/2017,68.16
03/05/2017,68.31
05/05/2017,68.22
06/05/2017,68.16
08/05/2017,68.13
09/05/2017,67.94
12/05/2017,67.81
14/05/2017,67.91
16/05/2017,67.72
18/05/2017,67.48
19/05/2017,67.41
21/05/2017,67.22
23/05/2017,66.94
24/05/2017,66.83
26/05/2017,66.53
29/05/2017,66.21
30/05/2017,66.06
01/06/2017,65.84
02/06/2017,65.67
05/06/2017,65.3
06/06/2017,65.14
09/06/2017,64.59
10/06/2017,64.44
12/06/2017,64.16
14/06/2017,63.88
16/06/2017,63.47
18/06/2017,63.11
20/06/2017,62.79
21/06/2017,62.56
22/06/2017,62.32
25/06/2017,61.83
26/06/2017,61.67
28/06/2017,61.22
01/07/2017,60.58
02/07/2017,60.43
04/07/2017,60.0
05/07/2017,59.8
07/07/2017,59.44
10/07/2017,58.8
11/07/2017,58.65
12/07/2017,58.36
14/07/2017,57.93
17/07/2017,57.37
19/07/2017,56.97
20/07/2017,56.75
22/07/2017,56.25
24/07/2017,55.89
26/07/2017,55.42
28/07/2017,55.08
29/07/2017,54.99
31/07/2017,54.86
02/08/2017,54.63
04/08/2017,54.55
06/08/2017,54.4
07/08/2017,54.36
09/08/2017,54.19
11/08/2017,54.07
13/08/2017,53.86
14/08/2017,53.79
16/08/2017,53.67
19/08/2017,53.45
21/08/2017,53.36
22/08/2017,53.29
24/08/2017,53.18
26/08/2017,53.08
28/08/2017,53.02
30/08/2017,52.88
01/09/2017,52.81
02/09/2017,52.68
04/09/2017,52.59
06/09/2017,52.37
07/09/2017,52.1
09/09/2017,51.74
11/09/2017,51.29
13/09/2017,50.93
14/09/2017,50.77
17/09/2017,50.06
18/09/2017,49.93
20/09/2017,49.51
23/09/2017,49.02
24/09/2017,48.77
26/09/2017,48.45
27/09/2017,48.25
29/09/2017,47.96
02/10/2017,47.43
03/10/2017,47.26
05/10/2017,47.0
06/10/2017,46.8
09/10/2017,46.28
11/10/2017,46.04
13/10/2017,45.57
15/10/2017,45.28
16/10/2017,45.22
18/10/2017,44.92
19/10/2017,44.99
21/10/2017,44.73
23/10/2017,44.52
26/10/2017,44.07
27/10/2017,43.97
28/10/2017,43.82
31/10/2017,43.35
02/11/2017,43.13
03/11/2017,42.97
05/11/2017,42.96
06/11/2017,42.85
09/11/2017,42.44
11/11/2017,42.12
13/11/2017,41.82
14/11/2017,41.67
16/11/2017,41.58
18/11/2017,41.44
19/11/2017,41.44
22/11/2017,41.27
23/11/2017,41.24
25/11/2017,41.1
27/11/2017,41.13
29/11/2017,41.16
30/11/2017,41.47
02/12/2017,41.44
04/12/2017,41.44
07/12/2017,41.44
08/12/2017,41.39
10/12/2017,41.44
12/12/2017,41.72
13/12/2017,41.65
15/12/2017,41.77
18/12/2017,41.88
19/12/2017,41.88
20/12/2017,41.89
23/12/2017,41.86
25/12/2017,41.89
26/12/2017,41.93
29/12/2017,42.16
30/12/2017,42.16
