Fecha,Reserva
2012-01-01,117.66
2012-01-02,117.65
2012-01-03,117.65
2012-01-04,117.64
2012-01-05,117.64
2012-01-06,117.62
2012-01-07,116.96
2012-01-08,117.04
2012-01-09,117.12
2012-01-10,117.1
2012-01-11,117.1
2012-01-12,117.07
2012-01-13,117.02
2012-01-14,117.01
2012-01-15,117.0
2012-01-16,117.04
2012-01-17,117.08
2012-01-18,116.96
2012-01-19,116.92
2012-01-20,116.92
2012-01-21,116.87
2012-01-22,116.85
2012-01-23,116.83
2012-01-24,116.83
2012-01-25,116.78
2012-01-26,116.75
2012-01-27,116.75
2012-01-28,116.72
2012-01-29,116.73
2012-01-30,116.74
2012-01-31,116.6
2012-02-01,116.54
2012-02-02,116.54
2012-02-03,116.48
2012-02-04,116.46
2012-02-05,116.35
2012-02-06,116.25
2012-02-07,116.2
2012-02-08,116.15
2012-02-09,116.22
2012-02-10,116.18
2012-02-11,116.13
2012-02-12,116.1
2012-02-13,116.06
2012-02-14,116.02
2012-02-15,115.97
2012-02-16,115.92
2012-02-17,115.9
2012-02-18,115.87
2012-02-19,115.84
2012-02-20,115.8
2012-02-21,115.74
2012-02-22,115.69
2012-02-23,115.64
2012-02-24,115.64
2012-02-25,115.58
2012-02-26,115.55
2012-02-27,115.52
2012-02-28,115.48
2012-02-29,115.48
2012-03-01,115.48
2012-03-02,115.37
2012-03-03,115.32
2012-03-04,115.32
2012-03-05,115.28
2012-03-06,115.23
2012-03-07,115.18
2012-03-08,115.12
2012-03-09,115.09
2012-03-10,115.04
2012-03-11,114.98
2012-03-12,114.92
2012-03-13,114.92
2012-03-14,114.86
2012-03-15,114.77
2012-03-16,114.78
2012-03-17,114.79
2012-03-18,114.74
2012-03-19,114.68
2012-03-20,114.62
2012-03-21,114.56
2012-03-22,114.51
2012-03-23,114.46
2012-03-24,114.42
2012-03-25,114.38
2012-03-26,114.34
2012-03-27,114.29
2012-03-28,114.22
2012-03-29,114.15
2012-03-30,114.11
2012-03-31,114.05
2012-04-01,114.02
2012-04-02,113.99
2012-04-03,113.94
2012-04-04,113.94
2012-04-05,113.89
2012-04-06,113.8
2012-04-07,113.71
2012-04-08,113.83
2012-04-09,113.78
2012-04-10,113.74
2012-04-11,113.67
2012-04-12,113.58
2012-04-13,113.58
2012-04-14,113.48
2012-04-15,113.47
2012-04-16,113.4
2012-04-17,113.33
2012-04-18,113.26
2012-04-19,113.26
2012-04-20,113.2
2012-04-21,113.1
2012-04-22,113.05
2012-04-23,112.98
2012-04-24,112.92
2012-04-25,112.84
2012-04-26,112.84
2012-04-27,112.75
2012-04-28,112.75
2012-04-29,112.75
2012-04-30,112.78
2012-05-01,112.74
2012-05-02,112.69
2012-05-03,112.64
2012-05-04,112.68
2012-05-05,112.68
2012-05-06,112.73
2012-05-07,112.93
2012-05-08,113.12
2012-05-09,113.08
2012-05-10,113.05
2012-05-11,112.98
2012-05-12,112.93
2012-05-13,112.87
2012-05-14,112.81
2012-05-15,112.74
2012-05-16,112.66
2012-05-17,112.54
2012-05-18,112.54
2012-05-19,112.41
2012-05-20,112.35
2012-05-21,112.29
2012-05-22,112.22
2012-05-23,112.14
2012-05-24,112.07
2012-05-25,112.01
2012-05-26,111.9
2012-05-27,111.8
2012-05-28,111.66
2012-05-29,111.66
2012-05-30,111.53
2012-05-31,111.46
2012-06-01,111.37
2012-06-02,111.28
2012-06-03,111.2
2012-06-04,111.12
2012-06-05,111.03
2012-06-06,110.94
2012-06-07,110.84
2012-06-08,110.73
2012-06-09,110.61
2012-06-10,110.51
2012-06-11,110.41
2012-06-12,110.29
2012-06-13,110.17
2012-06-14,110.07
2012-06-15,109.97
2012-06-16,109.97
2012-06-17,109.97
2012-06-18,109.97
2012-06-19,109.7
2012-06-20,109.44
2012-06-21,109.29
2012-06-22,109.29
2012-06-23,109.14
2012-06-24,109.03
2012-06-25,108.93
2012-06-26,108.83
2012-06-27,108.74
2012-06-28,108.62
2012-06-29,108.51
2012-06-30,108.31
2012-07-01,108.31
2012-07-02,108.11
2012-07-03,108.0
2012-07-04,107.9
2012-07-05,107.77
2012-07-06,107.66
2012-07-07,107.54
2012-07-08,107.43
2012-07-09,107.32
2012-07-10,107.21
2012-07-11,107.09
2012-07-12,106.97
2012-07-13,106.8
2012-07-14,106.8
2012-07-15,106.62
2012-07-16,106.51
2012-07-17,106.42
2012-07-18,106.32
2012-07-19,106.18
2012-07-20,106.03
2012-07-21,106.03
2012-07-22,105.88
2012-07-23,105.73
2012-07-24,105.58
2012-07-25,105.58
2012-07-26,105.44
2012-07-27,105.3
2012-07-28,105.16
2012-07-29,105.06
2012-07-30,104.95
2012-07-31,104.86
2012-08-01,104.77
2012-08-02,104.58
2012-08-03,104.58
2012-08-04,104.39
2012-08-05,104.31
2012-08-06,104.18
2012-08-07,104.05
2012-08-08,103.96
2012-08-09,103.86
2012-08-10,103.72
2012-08-11,103.62
2012-08-12,103.51
2012-08-13,103.39
2012-08-14,103.27
2012-08-15,103.12
2012-08-16,103.12
2012-08-17,102.96
2012-08-18,102.85
2012-08-19,102.76
2012-08-20,102.66
2012-08-21,102.58
2012-08-22,102.5
2012-08-23,102.4
2012-08-24,102.22
2012-08-25,102.22
2012-08-26,102.05
2012-08-27,101.94
2012-08-28,101.83
2012-08-29,101.73
2012-08-30,101.62
2012-08-31,101.5
2012-09-01,101.4
2012-09-02,101.28
2012-09-03,101.17
2012-09-04,101.0
2012-09-05,101.0
2012-09-06,100.84
2012-09-07,100.74
2012-09-08,100.65
2012-09-09,100.55
2012-09-10,100.45
2012-09-11,100.35
2012-09-12,100.26
2012-09-13,100.16
2012-09-14,100.04
2012-09-15,99.89
2012-09-16,99.89
2012-09-17,99.74
2012-09-18,99.64
2012-09-19,99.56
2012-09-20,99.47
2012-09-21,99.38
2012-09-22,99.29
2012-09-23,99.19
2012-09-24,99.06
2012-09-25,99.06
2012-09-26,98.94
2012-09-27,99.52
2012-09-28,100.1
2012-09-29,100.22
2012-09-30,100.16
2012-10-01,100.11
2012-10-02,100.04
2012-10-03,99.97
2012-10-04,99.89
2012-10-05,99.81
2012-10-06,99.74
2012-10-07,99.67
2012-10-08,99.6
2012-10-09,99.53
2012-10-10,99.46
2012-10-11,99.38
2012-10-12,99.31
2012-10-13,99.22
2012-10-14,99.13
2012-10-15,99.04
2012-10-16,98.95
2012-10-17,98.88
2012-10-18,98.8
2012-10-19,98.87
2012-10-20,98.8
2012-10-21,98.72
2012-10-22,98.64
2012-10-23,98.64
2012-10-24,98.55
2012-10-25,98.61
2012-10-26,99.02
2012-10-27,98.95
2012-10-28,98.95
2012-10-29,98.88
2012-10-30,100.17
2012-10-31,99.49
2012-11-01,98.81
2012-11-02,98.88
2012-11-03,98.96
2012-11-04,101.02
2012-11-05,103.09
2012-11-06,103.26
2012-11-07,103.43
2012-11-08,104.08
2012-11-09,104.74
2012-11-10,105.26
2012-11-11,105.43
2012-11-12,105.59
2012-11-13,105.63
2012-11-14,105.67
2012-11-15,105.66
2012-11-16,105.66
2012-11-17,106.52
2012-11-18,107.38
2012-11-19,111.01
2012-11-20,111.58
2012-11-21,111.58
2012-11-22,112.14
2012-11-23,112.38
2012-11-24,112.54
2012-11-25,112.7
2012-11-26,112.78
2012-11-27,112.87
2012-11-28,112.9
2012-11-29,112.92
2012-11-30,112.93
2012-12-01,112.94
2012-12-02,112.94
2012-12-03,112.93
2012-12-04,110.39
2012-12-05,107.85
2012-12-06,107.14
2012-12-07,107.24
2012-12-08,107.34
2012-12-09,107.35
2012-12-10,107.36
2012-12-11,104.84
2012-12-12,102.32
2012-12-13,99.73
2012-12-14,99.5
2012-12-15,99.28
2012-12-16,100.03
2012-12-17,100.78
2012-12-18,101.06
2012-12-19,101.35
2012-12-20,101.52
2012-12-21,101.68
2012-12-22,101.78
2012-12-23,101.91
2012-12-24,101.91
2012-12-25,102.04
2012-12-26,102.09
2012-12-27,102.12
2012-12-28,102.12
2012-12-29,102.14
2012-12-30,102.15
2012-12-31,102.18
2013-01-01,102.22
2013-01-02,102.25
2013-01-03,102.26
2013-01-04,102.26
2013-01-05,102.25
2013-01-06,102.26
2013-01-07,102.26
2013-01-08,102.26
2013-01-09,102.23
2013-01-10,102.22
2013-01-11,102.22
2013-01-12,102.18
2013-01-13,102.19
2013-01-14,102.2
2013-01-15,102.18
2013-01-16,102.18
2013-01-17,102.16
2013-01-18,102.35
2013-01-19,102.55
2013-01-20,103.45
2013-01-21,103.92
2013-01-22,104.39
2013-01-23,104.77
2013-01-24,105.02
2013-01-25,105.26
2013-01-26,105.61
2013-01-27,105.96
2013-01-28,106.18
2013-01-29,106.39
2013-01-30,106.53
2013-01-31,106.67
2013-02-01,106.77
2013-02-02,106.87
2013-02-03,106.91
2013-02-04,106.95
2013-02-05,107.0
2013-02-06,107.04
2013-02-07,107.07
2013-02-08,107.06
2013-02-09,107.06
2013-02-10,107.06
2013-02-11,107.07
2013-02-12,107.08
2013-02-13,107.09
2013-02-14,107.06
2013-02-15,107.0
2013-02-16,107.0
2013-02-17,106.94
2013-02-18,107.1
2013-02-19,107.26
2013-02-20,108.31
2013-02-21,109.36
2013-02-22,111.88
2013-02-23,113.25
2013-02-24,114.62
2013-02-25,115.22
2013-02-26,115.56
2013-02-27,115.89
2013-02-28,117.65
2013-03-01,117.65
2013-03-02,119.4
2013-03-03,120.01
2013-03-04,120.62
2013-03-05,119.2
2013-03-06,123.44
2013-03-07,124.33
2013-03-08,125.22
2013-03-09,123.88
2013-03-10,122.53
2013-03-11,119.42
2013-03-12,116.3
2013-03-13,115.32
2013-03-14,115.32
2013-03-15,114.33
2013-03-16,114.51
2013-03-17,115.24
2013-03-18,115.96
2013-03-19,116.53
2013-03-20,118.22
2013-03-21,119.91
2013-03-22,120.42
2013-03-23,120.42
2013-03-24,120.92
2013-03-25,120.92
2013-03-26,117.1
2013-03-27,113.28
2013-03-28,114.87
2013-03-29,116.52
2013-03-30,116.52
2013-03-31,118.18
2013-04-01,121.93
2013-04-02,125.68
2013-04-03,125.08
2013-04-04,124.47
2013-04-05,123.5
2013-04-06,122.54
2013-04-07,119.35
2013-04-08,119.35
2013-04-09,119.98
2013-04-10,120.62
2013-04-11,121.2
2013-04-12,121.78
2013-04-13,122.24
2013-04-14,122.69
2013-04-15,123.06
2013-04-16,123.42
2013-04-17,123.74
2013-04-18,124.07
2013-04-19,124.34
2013-04-20,124.68
2013-04-21,124.68
2013-04-22,125.01
2013-04-23,125.22
2013-04-24,125.44
2013-04-25,125.44
2013-04-26,125.66
2013-04-27,125.84
2013-04-28,125.96
2013-04-29,126.08
2013-04-30,126.33
2013-05-01,126.5
2013-05-02,126.66
2013-05-03,126.85
2013-05-04,126.85
2013-05-05,127.04
2013-05-06,127.1
2013-05-07,127.15
2013-05-08,127.35
2013-05-09,127.42
2013-05-10,127.5
2013-05-11,127.56
2013-05-12,127.64
2013-05-13,127.64
2013-05-14,127.71
2013-05-15,128.0
2013-05-16,128.15
2013-05-17,128.15
2013-05-18,128.3
2013-05-19,128.35
2013-05-20,128.45
2013-05-21,128.54
2013-05-22,128.54
2013-05-23,128.63
2013-05-24,128.66
2013-05-25,128.7
2013-05-26,128.73
2013-05-27,128.76
2013-05-28,128.77
2013-05-29,128.79
2013-05-30,128.79
2013-05-31,128.8
2013-06-01,128.82
2013-06-02,128.82
2013-06-03,128.82
2013-06-04,128.82
2013-06-05,128.8
2013-06-06,128.8
2013-06-07,128.78
2013-06-08,128.79
2013-06-09,128.79
2013-06-10,128.79
2013-06-11,128.79
2013-06-12,128.77
2013-06-13,128.77
2013-06-14,128.76
2013-06-15,128.72
2013-06-16,128.69
2013-06-17,128.62
2013-06-18,128.56
2013-06-19,128.62
2013-06-20,128.59
2013-06-21,128.56
2013-06-22,128.53
2013-06-23,128.45
2013-06-24,128.45
2013-06-25,128.38
2013-06-26,128.32
2013-06-27,128.25
2013-06-28,128.2
2013-06-29,128.14
2013-06-30,128.06
2013-07-01,127.98
2013-07-02,127.89
2013-07-03,127.87
2013-07-04,127.74
2013-07-05,127.74
2013-07-06,127.61
2013-07-07,127.57
2013-07-08,127.48
2013-07-09,127.38
2013-07-10,127.3
2013-07-11,127.22
2013-07-12,127.12
2013-07-13,127.03
2013-07-14,126.97
2013-07-15,126.91
2013-07-16,126.84
2013-07-17,126.72
2013-07-18,126.72
2013-07-19,126.6
2013-07-20,126.54
2013-07-21,126.47
2013-07-22,126.35
2013-07-23,126.29
2013-07-24,126.24
2013-07-25,126.11
2013-07-26,126.0
2013-07-27,126.0
2013-07-28,125.88
2013-07-29,125.76
2013-07-30,125.68
2013-07-31,125.59
2013-08-01,125.52
2013-08-02,125.45
2013-08-03,125.31
2013-08-04,125.2
2013-08-05,125.2
2013-08-06,125.08
2013-08-07,124.98
