Fecha,Reserva
01/01/2012,117.66
02/01/2012,117.65
03/01/2012,117.65
06/01/2012,117.62
07/01/2012,116.96
09/01/2012,117.12
12/01/2012,117.07
13/01/2012,117.02
15/01/2012,117.0
17/01/2012,117.08
18/01/2012,116.96
21/01/2012,116.87
23/01/2012,116.83
24/01/2012,116.83
25/01/2012,116.78
28/01/2012,116.72
30/01/2012,116.74
31/01/2012,116.6
03/02/2012,116.48
04/02/2012,116.46
06/02/2012,116.25
08/02/2012,116.15
09/02/2012,116.22
11/02/2012,116.13
13/02/2012,116.06
15/02/2012,115.97
16/02/2012,115.92
18/02/2012,115.87
20/02/2012,115.8
22/02/2012,115.69
25/02/2012,115.58
26/02/2012,115.55
28/02/2012,115.48
01/03/2012,115.48
02/03/2012,115.37
05/03/2012,115.28
06/03/2012,115.23
08/03/2012,115.12
09/03/2012,115.09
11/03/2012,114.98
14/03/2012,114.86
15/03/2012,114.77
17/03/2012,114.79
19/03/2012,114.68
21/03/2012,114.56
23/03/2012,114.46
25/03/2012,114.38
27/03/2012,114.29
29/03/2012,114.15
30/03/2012,114.11
31/03/2012,114.05
02/04/2012,113.99
05/04/2012,113.89
07/04/2012,113.71
08/04/2012,113.83
10/04/2012,113.74
11/04/2012,113.67
14/04/2012,113.48
15/04/2012,113.47
17/04/2012,113.33
20/04/2012,113.2
21/04/2012,113.1
22/04/2012,113.05
24/04/2012,112.92
27/04/2012,112.75
29/04/2012,112.75
30/04/2012,112.78
02/05/2012,112.69
03/05/2012,112.64
06/05/2012,112.73
08/05/2012,113.12
10/05/2012,113.05
11/05/2012,112.98
13/05/2012,112.87
14/05/2012,112.81
16/05/2012,112.66
19/05/2012,112.41
21/05/2012,112.29
22/05/2012,112.22
24/05/2012,112.07
25/05/2012,112.01
27/05/2012,111.8
30/05/2012,111.53
31/05/2012,111.46
02/06/2012,111.28
04/06/2012,111.12
06/06/2012,110.94
08/06/2012,110.73
09/06/2012,110.61
11/06/2012,110.41
13/06/2012,110.17
15/06/2012,109.97
17/06/2012,109.97
18/06/2012,109.97
20/06/2012,109.44
23/06/2012,109.14
24/06/2012,109.03
26/06/2012,108.83
27/06/2012,108.74
29/06/2012,108.51
02/07/2012,108.11
04/07/2012,107.9
05/07/2012,107.77
07/07/2012,107.54
09/07/2012,107.32
10/07/2012,107.21
12/07/2012,106.97
15/07/2012,106.62
16/07/2012,106.51
18/07/2012,106.32
19/07/2012,106.18
22/07/2012,105.88
23/07/2012,105.73
26/07/2012,105.44
28/07/2012,105.16
29/07/2012,105.06
30/07/2012,104.95
01/08/2012,104.77
04/08/2012,104.39
05/08/2012,104.31
07/08/2012,104.05
09/08/2012,103.86
10/08/2012,103.72
12/08/2012,103.51
14/08/2012,103.27
17/08/2012,102.96
18/08/2012,102.85
20/08/2012,102.66
22/08/2012,102.5
23/08/2012,102.4
26/08/2012,102.05
28/08/2012,101.83
29/08/2012,101.73
31/08/2012,101.5
01/09/2012,101.4
03/09/2012,101.17
06/09/2012,100.84
08/09/2012,100.65
09/09/2012,100.55
11/09/2012,100.35
13/09/2012,100.16
14/09/2012,100.04
17/09/2012,99.74
18/09/2012,99.64
20/09/2012,99.47
22/09/2012,99.29
23/09/2012,99.19
26/09/2012,98.94
28/09/2012,100.1
29/09/2012,100.22
01/10/2012,100.11
03/10/2012,99.97
05/10/2012,99.81
07/10/2012,99.67
09/10/2012,99.53
11/10/2012,99.38
12/10/2012,99.31
14/10/2012,99.13
16/10/2012,98.95
18/10/2012,98.8
19/10/2012,98.87
21/10/2012,98.72
24/10/2012,98.55
25/10/2012,98.61
26/10/2012,99.02
29/10/2012,98.88
30/10/2012,100.17
01/11/2012,98.81
03/11/2012,98.96
05/11/2012,103.09
07/11/2012,103.43
09/11/2012,104.74
10/11/2012,105.26
12/11/2012,105.59
14/11/2012,105.67
16/11/2012,105.66
18/11/2012,107.38
19/11/2012,111.01
22/11/2012,112.14
23/11/2012,112.38
25/11/2012,112.7
27/11/2012,112.87
29/11/2012,112.92
01/12/2012,112.94
03/12/2012,112.93
05/12/2012,107.85
06/12/2012,107.14
08/12/2012,107.34
10/12/2012,107.36
12/12/2012,102.32
13/12/2012,99.73
15/12/2012,99.28
17/12/2012,100.78
19/12/2012,101.35
21/12/2012,101.68
22/12/2012,101.78
25/12/2012,102.04
26/12/2012,102.09
29/12/2012,102.14
30/12/2012,102.15
