Fecha,Reserva
2012-01-01,779.5
2012-01-02,780.81
2012-01-03,781.9
2012-01-04,782.99
2012-01-05,783.86
2012-01-06,784.74
2012-01-07,820.39
2012-01-08,816.59
2012-01-09,812.79
2012-01-10,813.9
2012-01-11,815.02
2012-01-12,815.58
2012-01-13,816.14
2012-01-14,816.81
2012-01-15,817.48
2012-01-16,816.14
2012-01-17,818.26
2012-01-18,820.39
2012-01-19,821.62
2012-01-20,821.62
2012-01-21,822.85
2012-01-22,823.75
2012-01-23,823.98
2012-01-24,824.2
2012-01-25,825.77
2012-01-26,827.0
2012-01-27,827.0
2012-01-28,828.24
2012-01-29,827.79
2012-01-30,827.34
2012-01-31,830.37
2012-02-01,831.16
2012-02-02,831.96
2012-02-03,832.92
2012-02-04,833.88
2012-02-05,834.33
2012-02-06,834.78
2012-02-07,835.68
2012-02-08,836.59
2012-02-09,837.27
2012-02-10,838.29
2012-02-11,838.29
2012-02-12,839.31
2012-02-13,839.99
2012-02-14,840.33
2012-02-15,840.67
2012-02-16,841.35
2012-02-17,842.03
2012-02-18,842.03
2012-02-19,842.71
2012-02-20,843.05
2012-02-21,843.39
2012-02-22,843.28
2012-02-23,843.16
2012-02-24,843.16
2012-02-25,843.16
2012-02-26,843.16
2012-02-27,843.16
2012-02-28,843.16
2012-02-29,843.16
2012-03-01,843.16
2012-03-02,843.39
2012-03-03,843.62
2012-03-04,843.62
2012-03-05,843.62
2012-03-06,843.62
2012-03-07,843.16
2012-03-08,842.71
2012-03-09,842.26
2012-03-10,841.8
2012-03-11,841.35
2012-03-12,840.9
2012-03-13,839.92
2012-03-14,838.94
2012-03-15,837.04
2012-03-16,834.9
2012-03-17,832.75
2012-03-18,830.84
2012-03-19,828.92
2012-03-20,827.12
2012-03-21,824.76
2012-03-22,824.76
2012-03-23,822.4
2012-03-24,820.94
2012-03-25,819.49
2012-03-26,817.92
2012-03-27,816.36
2012-03-28,814.8
2012-03-29,813.24
2012-03-30,811.68
2012-03-31,810.79
2012-04-01,809.9
2012-04-02,809.01
2012-04-03,808.23
2012-04-04,808.23
2012-04-05,807.45
2012-04-06,807.45
2012-04-07,807.12
2012-04-08,806.79
2012-04-09,806.68
2012-04-10,806.56
