Fecha,Reserva
01/01/2017,445.01
02/01/2017,445.43
04/01/2017,446.88
05/01/2017,446.88
07/01/2017,448.06
09/01/2017,449.05
11/01/2017,449.85
12/01/2017,450.45
14/01/2017,450.69
17/01/2017,451.75
18/01/2017,452.28
21/01/2017,453.31
22/01/2017,453.54
23/01/2017,454.11
25/01/2017,455.07
27/01/2017,455.65
29/01/2017,456.87
31/01/2017,457.71
02/02/2017,458.38
04/02/2017,458.99
05/02/2017,459.1
07/02/2017,460.18
10/02/2017,461.29
11/02/2017,461.99
13/02/2017,463.61
14/02/2017,464.62
17/02/2017,466.27
19/02/2017,467.25
21/02/2017,468.34
22/02/2017,469.06
24/02/2017,469.92
25/02/2017,470.17
28/02/2017,471.48
02/03/2017,472.43
03/03/2017,472.67
05/03/2017,474.09
06/03/2017,475.09
08/03/2017,476.43
10/03/2017,477.42
13/03/2017,478.34
15/03/2017,479.94
16/03/2017,480.46
18/03/2017,481.45
20/03/2017,481.97
22/03/2017,482.56
24/03/2017,483.32
25/03/2017,483.0
27/03/2017,483.64
29/03/2017,484.18
30/03/2017,484.32
01/04/2017,484.18
03/04/2017,484.66
05/04/2017,484.83
07/04/2017,483.91
09/04/2017,482.95
11/04/2017,482.8
13/04/2017,481.99
15/04/2017,480.95
17/04/2017,479.68
18/04/2017,479.68
19/04/2017,479.45
22/04/2017,476.43
24/04/2017,474.89
26/04/2017,473.25
28/04/2017,471.77
29/04/2017,472.0
01/05/2017,472.73
03/05/2017,473.05
04/05/2017,473.05
06/05/2017,472.72
08/05/2017,471.5
10/05/2017,470.1
11/05/2017,469.55
13/05/2017,469.89
15/05/2017,470.57
18/05/2017,470.07
19/05/2017,469.42
20/05/2017,468.61
22/05/2017,466.78
24/05/2017,465.1
27/05/2017,462.27
29/05/2017,460.25
30/05/2017,459.48
01/06/2017,457.44
02/06/2017,456.54
05/06/2017,453.62
06/06/2017,452.55
09/06/2017,449.36
10/06/2017,448.57
11/06/2017,446.82
13/06/2017,444.85
15/06/2017,442.13
17/06/2017,439.08
20/06/2017,434.29
21/06/2017,432.56
23/06/2017,429.53
24/06/2017,427.02
27/06/2017,422.28
29/06/2017,418.84
01/07/2017,415.45
02/07/2017,413.87
03/07/2017,412.17
05/07/2017,408.15
07/07/2017,403.7
10/07/2017,397.32
11/07/2017,395.09
13/07/2017,390.84
14/07/2017,388.49
16/07/2017,383.97
18/07/2017,379.55
20/07/2017,374.99
22/07/2017,370.32
24/07/2017,365.83
25/07/2017,363.32
27/07/2017,358.79
30/07/2017,351.7
01/08/2017,347.03
02/08/2017,344.79
03/08/2017,342.57
06/08/2017,335.55
07/08/2017,333.31
09/08/2017,328.71
12/08/2017,321.8
13/08/2017,319.4
14/08/2017,317.07
17/08/2017,310.39
19/08/2017,305.68
21/08/2017,300.89
23/08/2017,296.27
24/08/2017,293.88
26/08/2017,289.26
28/08/2017,284.84
29/08/2017,283.48
31/08/2017,282.47
02/09/2017,279.64
04/09/2017,276.43
06/09/2017,273.02
08/09/2017,269.58
09/09/2017,267.67
11/09/2017,265.16
13/09/2017,262.21
14/09/2017,260.83
16/09/2017,257.88
19/09/2017,253.48
20/09/2017,252.15
22/09/2017,249.26
24/09/2017,246.26
25/09/2017,244.71
28/09/2017,240.22
30/09/2017,237.37
01/10/2017,236.66
03/10/2017,235.59
05/10/2017,234.36
07/10/2017,233.14
09/10/2017,231.76
11/10/2017,230.54
13/10/2017,229.49
15/10/2017,228.07
16/10/2017,228.11
18/10/2017,228.29
20/10/2017,229.82
22/10/2017,230.49
24/10/2017,230.88
25/10/2017,231.16
27/10/2017,231.57
29/10/2017,231.75
31/10/2017,231.93
02/11/2017,232.25
04/11/2017,232.25
05/11/2017,233.49
06/11/2017,234.04
09/11/2017,234.83
11/11/2017,234.47
12/11/2017,234.47
14/11/2017,235.95
16/11/2017,236.47
18/11/2017,235.35
19/11/2017,235.72
22/11/2017,236.36
24/11/2017,236.84
25/11/2017,236.96
27/11/2017,237.39
29/11/2017,239.85
30/11/2017,244.87
02/12/2017,247.03
04/12/2017,248.09
07/12/2017,249.48
08/12/2017,249.95
10/12/2017,250.88
11/12/2017,251.32
13/12/2017,253.42
15/12/2017,254.34
17/12/2017,256.02
19/12/2017,257.13
20/12/2017,257.75
22/12/2017,258.65
25/12/2017,260.12
27/12/2017,261.1
29/12/2017,263.83
30/12/2017,265.0
