Fecha,Reserva
01/01/2020,36.61
02/01/2020,36.61
03/01/2020,36.62
06/01/2020,36.59
08/01/2020,36.58
10/01/2020,36.55
12/01/2020,36.55
13/01/2020,36.51
15/01/2020,36.53
17/01/2020,36.6
19/01/2020,36.76
20/01/2020,36.79
22/01/2020,36.85
24/01/2020,37.01
25/01/2020,39.02
27/01/2020,39.73
29/01/2020,40.03
31/01/2020,40.03
02/02/2020,40.11
04/02/2020,40.16
06/02/2020,37.8
07/02/2020,37.8
10/02/2020,37.83
11/02/2020,37.88
14/02/2020,37.81
15/02/2020,37.81
17/02/2020,37.81
18/02/2020,37.83
20/02/2020,37.77
22/02/2020,37.75
24/02/2020,37.7
26/02/2020,37.67
27/02/2020,37.67
01/03/2020,37.64
03/03/2020,37.63
05/03/2020,37.59
06/03/2020,37.58
08/03/2020,37.53
10/03/2020,37.5
12/03/2020,37.42
14/03/2020,37.41
16/03/2020,37.39
17/03/2020,37.39
19/03/2020,37.29
20/03/2020,37.27
23/03/2020,37.48
25/03/2020,37.51
27/03/2020,37.5
28/03/2020,37.48
30/03/2020,37.42
01/04/2020,38.08
02/04/2020,38.15
05/04/2020,38.23
06/04/2020,38.37
08/04/2020,36.57
10/04/2020,36.63
12/04/2020,36.61
14/04/2020,36.59
15/04/2020,36.57
17/04/2020,36.63
20/04/2020,36.67
21/04/2020,36.76
23/04/2020,36.79
25/04/2020,36.84
27/04/2020,36.85
29/04/2020,36.88
30/04/2020,36.92
02/05/2020,36.92
04/05/2020,36.88
06/05/2020,36.82
08/05/2020,36.79
09/05/2020,36.72
11/05/2020,36.73
13/05/2020,36.73
15/05/2020,36.79
17/05/2020,36.8
19/05/2020,36.84
21/05/2020,36.79
23/05/2020,36.63
24/05/2020,36.68
25/05/2020,36.63
28/05/2020,36.54
30/05/2020,36.42
01/06/2020,36.25
02/06/2020,36.2
04/06/2020,36.08
06/06/2020,36.08
08/06/2020,35.98
09/06/2020,35.86
11/06/2020,35.83
13/06/2020,35.75
15/06/2020,35.63
17/06/2020,35.52
19/06/2020,35.37
20/06/2020,35.39
22/06/2020,35.24
25/06/2020,35.04
26/06/2020,34.98
28/06/2020,34.8
29/06/2020,34.71
01/07/2020,34.61
04/07/2020,34.37
06/07/2020,34.17
07/07/2020,34.11
09/07/2020,33.99
11/07/2020,33.78
13/07/2020,33.61
14/07/2020,33.57
17/07/2020,33.28
18/07/2020,33.16
19/07/2020,33.06
22/07/2020,32.85
23/07/2020,32.77
25/07/2020,32.59
27/07/2020,32.4
29/07/2020,32.29
30/07/2020,32.26
02/08/2020,31.98
04/08/2020,31.78
05/08/2020,31.81
07/08/2020,31.64
09/08/2020,31.4
11/08/2020,31.24
12/08/2020,31.21
14/08/2020,31.13
16/08/2020,30.9
18/08/2020,30.76
20/08/2020,30.6
21/08/2020,30.51
23/08/2020,30.35
26/08/2020,30.1
28/08/2020,29.74
29/08/2020,29.91
31/08/2020,29.74
02/09/2020,29.55
04/09/2020,29.44
06/09/2020,29.28
08/09/2020,29.14
09/09/2020,29.12
11/09/2020,29.01
13/09/2020,28.85
14/09/2020,28.78
16/09/2020,28.66
18/09/2020,28.58
20/09/2020,28.49
22/09/2020,28.42
23/09/2020,28.39
26/09/2020,28.24
28/09/2020,28.13
29/09/2020,28.03
02/10/2020,27.89
03/10/2020,27.87
05/10/2020,27.79
07/10/2020,27.7
08/10/2020,27.68
10/10/2020,27.55
13/10/2020,27.4
14/10/2020,27.32
15/10/2020,27.29
18/10/2020,27.16
20/10/2020,27.64
21/10/2020,27.19
23/10/2020,27.27
25/10/2020,27.25
26/10/2020,27.24
29/10/2020,27.19
30/10/2020,27.17
01/11/2020,27.11
04/11/2020,27.05
05/11/2020,27.11
06/11/2020,27.14
08/11/2020,27.16
11/11/2020,27.27
12/11/2020,27.25
14/11/2020,27.28
16/11/2020,27.29
18/11/2020,27.28
19/11/2020,27.64
21/11/2020,27.24
24/11/2020,27.19
25/11/2020,27.16
27/11/2020,27.76
28/11/2020,27.87
30/11/2020,27.97
02/12/2020,27.97
04/12/2020,28.04
06/12/2020,28.01
08/12/2020,27.99
09/12/2020,27.66
11/12/2020,28.02
13/12/2020,28.1
16/12/2020,28.18
17/12/2020,28.24
19/12/2020,28.29
21/12/2020,28.53
23/12/2020,28.61
25/12/2020,28.63
26/12/2020,28.65
28/12/2020,28.69
30/12/2020,28.66
