Fecha,Reserva
2012-01-01,91.84
2012-01-02,91.84
2012-01-03,91.84
2012-01-04,91.86
2012-01-05,91.86
2012-01-06,91.87
2012-01-07,92.11
2012-01-08,92.07
2012-01-09,92.03
2012-01-10,92.04
2012-01-11,92.04
2012-01-12,92.05
2012-01-13,92.07
2012-01-14,92.04
2012-01-15,92.06
2012-01-16,92.07
2012-01-17,92.09
2012-01-18,92.11
2012-01-19,92.12
2012-01-20,92.13
2012-01-21,92.12
2012-01-22,92.1
2012-01-23,92.1
2012-01-24,92.1
2012-01-25,92.07
2012-01-26,92.08
2012-01-27,92.09
2012-01-28,92.09
2012-01-29,92.09
2012-01-30,92.09
2012-01-31,92.02
2012-02-01,91.99
2012-02-02,91.96
2012-02-03,91.94
2012-02-04,91.92
2012-02-05,91.88
2012-02-06,91.86
2012-02-07,91.86
2012-02-08,91.85
2012-02-09,91.81
2012-02-10,91.77
2012-02-11,91.77
2012-02-12,91.76
2012-02-13,91.76
2012-02-14,91.75
2012-02-15,91.7
2012-02-16,91.66
2012-02-17,91.66
2012-02-18,91.66
2012-02-19,91.65
2012-02-20,91.62
2012-02-21,91.59
2012-02-22,91.58
2012-02-23,91.58
2012-02-24,91.53
2012-02-25,91.5
2012-02-26,91.48
2012-02-27,91.46
2012-02-28,91.45
2012-02-29,91.46
2012-03-01,91.46
2012-03-02,91.36
2012-03-03,91.35
2012-03-04,91.35
2012-03-05,91.35
2012-03-06,91.32
2012-03-07,91.32
2012-03-08,91.31
2012-03-09,91.21
2012-03-10,91.2
2012-03-11,91.2
2012-03-12,91.18
2012-03-13,91.17
2012-03-14,91.12
2012-03-15,91.12
2012-03-16,91.07
2012-03-17,91.09
2012-03-18,91.11
2012-03-19,91.09
2012-03-20,91.04
2012-03-21,90.99
2012-03-22,90.92
2012-03-23,90.86
2012-03-24,90.82
2012-03-25,90.72
2012-03-26,90.72
2012-03-27,90.62
2012-03-28,90.4
2012-03-29,90.38
2012-03-30,90.37
2012-03-31,90.36
2012-04-01,90.33
2012-04-02,90.33
2012-04-03,90.3
2012-04-04,90.24
2012-04-05,90.19
2012-04-06,102.04
2012-04-07,113.88
2012-04-08,90.27
2012-04-09,90.26
2012-04-10,90.24
2012-04-11,90.25
2012-04-12,90.18
2012-04-13,90.18
2012-04-14,90.1
2012-04-15,90.08
2012-04-16,90.06
2012-04-17,89.95
2012-04-18,89.84
2012-04-19,89.82
2012-04-20,89.79
2012-04-21,89.68
2012-04-22,89.66
2012-04-23,89.63
2012-04-24,89.59
2012-04-25,89.55
2012-04-26,89.53
2012-04-27,89.51
2012-04-28,89.56
2012-04-29,89.61
2012-04-30,89.64
2012-05-01,89.54
2012-05-02,89.43
2012-05-03,89.4
2012-05-04,89.48
2012-05-05,89.48
2012-05-06,89.57
2012-05-07,89.95
2012-05-08,90.33
2012-05-09,90.3
2012-05-10,90.27
2012-05-11,89.92
2012-05-12,89.57
2012-05-13,89.38
2012-05-14,89.34
2012-05-15,89.3
2012-05-16,89.24
2012-05-17,89.1
2012-05-18,89.1
2012-05-19,88.95
2012-05-20,88.92
2012-05-21,88.89
2012-05-22,89.23
2012-05-23,89.21
2012-05-24,89.18
2012-05-25,89.06
2012-05-26,88.94
2012-05-27,88.88
2012-05-28,88.82
2012-05-29,88.35
2012-05-30,87.88
2012-05-31,87.29
2012-06-01,86.8
2012-06-02,86.8
2012-06-03,86.3
2012-06-04,85.86
2012-06-05,85.42
2012-06-06,84.97
2012-06-07,84.59
2012-06-08,84.21
2012-06-09,83.84
2012-06-10,83.48
2012-06-11,83.13
2012-06-12,82.78
2012-06-13,82.34
2012-06-14,81.96
2012-06-15,81.58
2012-06-16,81.58
2012-06-17,81.58
2012-06-18,81.58
2012-06-19,80.6
2012-06-20,79.61
2012-06-21,79.24
2012-06-22,78.88
2012-06-23,78.34
2012-06-24,78.34
2012-06-25,77.8
2012-06-26,77.36
2012-06-27,76.9
2012-06-28,76.45
2012-06-29,76.2
2012-06-30,75.8
2012-07-01,75.39
2012-07-02,75.02
2012-07-03,74.65
2012-07-04,74.24
2012-07-05,73.83
2012-07-06,73.45
2012-07-07,73.07
2012-07-08,72.71
2012-07-09,72.35
2012-07-10,72.01
2012-07-11,71.39
2012-07-12,71.39
2012-07-13,70.76
2012-07-14,70.38
2012-07-15,69.99
2012-07-16,69.67
2012-07-17,69.35
2012-07-18,68.94
2012-07-19,68.54
2012-07-20,67.97
2012-07-21,67.97
2012-07-22,67.41
2012-07-23,67.09
2012-07-24,66.77
2012-07-25,66.38
2012-07-26,65.98
2012-07-27,65.63
2012-07-28,65.26
2012-07-29,64.89
2012-07-30,64.56
2012-07-31,64.22
2012-08-01,63.82
2012-08-02,63.41
2012-08-03,63.02
2012-08-04,62.64
2012-08-05,62.27
2012-08-06,61.96
2012-08-07,61.66
2012-08-08,61.3
2012-08-09,60.95
2012-08-10,60.61
2012-08-11,60.27
2012-08-12,59.98
2012-08-13,59.7
2012-08-14,59.4
2012-08-15,59.1
2012-08-16,58.92
2012-08-17,58.6
2012-08-18,58.29
2012-08-19,58.02
2012-08-20,57.74
2012-08-21,57.46
2012-08-22,57.17
2012-08-23,57.08
2012-08-24,57.02
2012-08-25,57.02
2012-08-26,56.95
2012-08-27,56.91
2012-08-28,56.87
2012-08-29,56.61
2012-08-30,56.29
2012-08-31,55.97
2012-09-01,55.68
2012-09-02,55.38
2012-09-03,55.08
2012-09-04,55.01
2012-09-05,54.94
2012-09-06,54.88
2012-09-07,54.88
2012-09-08,54.82
2012-09-09,54.8
2012-09-10,54.78
2012-09-11,54.75
2012-09-12,54.72
2012-09-13,54.69
2012-09-14,54.71
2012-09-15,54.67
2012-09-16,54.67
2012-09-17,54.63
2012-09-18,54.35
2012-09-19,54.07
2012-09-20,53.8
2012-09-21,53.53
2012-09-22,53.5
2012-09-23,53.5
2012-09-24,53.51
2012-09-25,53.47
2012-09-26,53.43
2012-09-27,54.18
2012-09-28,54.93
2012-09-29,54.99
2012-09-30,55.05
2012-10-01,55.06
2012-10-02,55.07
2012-10-03,55.17
2012-10-04,55.24
2012-10-05,55.3
2012-10-06,55.3
2012-10-07,55.35
2012-10-08,55.11
2012-10-09,54.87
2012-10-10,54.86
2012-10-11,54.85
2012-10-12,54.86
2012-10-13,54.87
2012-10-14,54.85
2012-10-15,54.86
2012-10-16,54.87
2012-10-17,54.88
2012-10-18,54.88
2012-10-19,54.8
2012-10-20,54.73
2012-10-21,54.72
2012-10-22,54.74
2012-10-23,54.74
2012-10-24,54.75
2012-10-25,54.92
2012-10-26,55.93
2012-10-27,55.98
2012-10-28,55.98
2012-10-29,56.02
2012-10-30,55.05
2012-10-31,55.6
2012-11-01,55.6
2012-11-02,56.14
2012-11-03,56.99
2012-11-04,57.84
2012-11-05,60.9
2012-11-06,61.18
2012-11-07,61.46
2012-11-08,62.12
2012-11-09,63.64
2012-11-10,65.17
2012-11-11,65.54
2012-11-12,65.92
2012-11-13,65.81
2012-11-14,65.7
2012-11-15,65.76
2012-11-16,65.82
2012-11-17,65.98
2012-11-18,68.42
2012-11-19,70.86
2012-11-20,71.28
2012-11-21,71.69
2012-11-22,71.94
2012-11-23,72.2
2012-11-24,72.41
2012-11-25,72.41
2012-11-26,72.62
2012-11-27,72.75
2012-11-28,72.83
2012-11-29,72.94
2012-11-30,72.94
2012-12-01,73.06
2012-12-02,73.09
2012-12-03,73.15
2012-12-04,73.15
2012-12-05,73.21
2012-12-06,73.25
2012-12-07,73.38
2012-12-08,73.51
2012-12-09,73.61
2012-12-10,73.71
2012-12-11,73.8
2012-12-12,73.78
2012-12-13,73.78
2012-12-14,73.76
2012-12-15,73.88
2012-12-16,75.26
2012-12-17,76.64
2012-12-18,77.0
2012-12-19,77.35
2012-12-20,77.72
2012-12-21,77.88
2012-12-22,78.05
2012-12-23,78.22
2012-12-24,78.22
2012-12-25,78.4
2012-12-26,78.5
2012-12-27,78.6
2012-12-28,78.67
2012-12-29,78.74
2012-12-30,78.75
2012-12-31,78.78
2013-01-01,78.81
2013-01-02,78.87
2013-01-03,78.95
2013-01-04,78.98
2013-01-05,79.01
2013-01-06,79.02
2013-01-07,79.03
2013-01-08,79.02
2013-01-09,79.0
2013-01-10,79.04
