Fecha,Reserva
01/01/2014,94.67
02/01/2014,94.72
03/01/2014,94.76
05/01/2014,95.33
07/01/2014,95.54
09/01/2014,95.66
11/01/2014,95.74
13/01/2014,95.72
14/01/2014,95.77
17/01/2014,95.89
18/01/2014,96.11
21/01/2014,97.15
22/01/2014,97.63
23/01/2014,97.81
26/01/2014,97.5
27/01/2014,97.23
30/01/2014,96.57
01/02/2014,96.09
02/02/2014,95.89
04/02/2014,95.73
05/02/2014,96.14
08/02/2014,98.31
10/02/2014,103.49
12/02/2014,104.97
13/02/2014,105.38
15/02/2014,105.23
16/02/2014,105.4
18/02/2014,104.81
20/02/2014,103.82
22/02/2014,104.11
24/02/2014,104.33
25/02/2014,104.48
28/02/2014,104.76
01/03/2014,104.81
04/03/2014,105.05
05/03/2014,105.11
06/03/2014,105.17
09/03/2014,105.29
11/03/2014,105.35
12/03/2014,105.39
15/03/2014,105.49
16/03/2014,105.51
18/03/2014,105.55
20/03/2014,105.57
22/03/2014,105.65
23/03/2014,105.69
26/03/2014,105.7
27/03/2014,105.59
28/03/2014,105.64
31/03/2014,106.38
02/04/2014,106.89
04/04/2014,109.11
05/04/2014,109.45
07/04/2014,109.84
09/04/2014,109.95
10/04/2014,110.12
13/04/2014,110.3
15/04/2014,110.37
16/04/2014,110.43
18/04/2014,110.47
20/04/2014,110.52
21/04/2014,111.41
23/04/2014,111.89
26/04/2014,112.06
27/04/2014,112.07
29/04/2014,112.12
30/04/2014,112.07
03/05/2014,112.05
04/05/2014,112.07
07/05/2014,112.07
08/05/2014,112.06
09/05/2014,112.02
11/05/2014,112.02
13/05/2014,111.94
15/05/2014,111.78
17/05/2014,111.69
19/05/2014,111.63
21/05/2014,111.68
23/05/2014,111.62
25/05/2014,111.43
27/05/2014,111.36
28/05/2014,110.97
30/05/2014,109.94
01/06/2014,108.89
02/06/2014,108.56
04/06/2014,107.39
06/06/2014,107.18
09/06/2014,107.08
10/06/2014,107.03
12/06/2014,106.87
13/06/2014,106.62
15/06/2014,105.8
18/06/2014,104.79
20/06/2014,104.05
21/06/2014,103.72
22/06/2014,103.4
24/06/2014,102.8
27/06/2014,101.84
29/06/2014,101.16
01/07/2014,100.57
02/07/2014,100.2
04/07/2014,99.57
06/07/2014,98.89
08/07/2014,98.26
09/07/2014,98.07
11/07/2014,97.64
13/07/2014,97.22
15/07/2014,96.91
16/07/2014,96.68
18/07/2014,96.25
21/07/2014,95.77
22/07/2014,95.68
24/07/2014,95.22
25/07/2014,95.06
27/07/2014,94.71
30/07/2014,94.34
31/07/2014,94.19
02/08/2014,93.91
03/08/2014,93.79
05/08/2014,93.49
08/08/2014,92.89
09/08/2014,92.75
11/08/2014,92.56
13/08/2014,92.17
15/08/2014,91.86
17/08/2014,91.63
18/08/2014,91.45
20/08/2014,91.17
23/08/2014,90.7
24/08/2014,90.59
26/08/2014,90.35
27/08/2014,90.21
29/08/2014,89.66
01/09/2014,88.92
02/09/2014,88.73
03/09/2014,88.49
06/09/2014,88.34
08/09/2014,88.27
10/09/2014,88.19
11/09/2014,88.1
13/09/2014,88.03
15/09/2014,87.91
16/09/2014,87.89
18/09/2014,87.98
20/09/2014,88.3
23/09/2014,88.26
24/09/2014,88.32
26/09/2014,88.34
28/09/2014,89.47
29/09/2014,89.67
01/10/2014,89.66
04/10/2014,89.6
05/10/2014,89.6
07/10/2014,89.64
09/10/2014,89.61
10/10/2014,89.75
12/10/2014,91.28
15/10/2014,92.55
16/10/2014,92.66
17/10/2014,92.73
19/10/2014,92.8
22/10/2014,92.82
23/10/2014,92.83
25/10/2014,92.81
27/10/2014,92.81
29/10/2014,92.8
30/10/2014,92.75
02/11/2014,92.72
03/11/2014,92.72
05/11/2014,93.03
06/11/2014,93.07
09/11/2014,93.13
10/11/2014,93.15
13/11/2014,96.76
15/11/2014,100.22
16/11/2014,100.86
18/11/2014,101.25
19/11/2014,101.11
21/11/2014,100.76
23/11/2014,100.34
26/11/2014,99.79
27/11/2014,100.19
29/11/2014,106.85
01/12/2014,107.59
02/12/2014,107.0
05/12/2014,104.72
06/12/2014,103.9
08/12/2014,102.19
10/12/2014,100.47
12/12/2014,98.68
13/12/2014,97.8
15/12/2014,98.61
18/12/2014,96.96
19/12/2014,97.02
20/12/2014,97.1
22/12/2014,97.3
25/12/2014,97.56
27/12/2014,97.73
29/12/2014,97.83
30/12/2014,97.82
