Fecha,Reserva
01/01/2019,159.53
02/01/2019,159.57
03/01/2019,159.63
06/01/2019,159.77
07/01/2019,159.83
10/01/2019,159.97
11/01/2019,159.99
12/01/2019,160.05
14/01/2019,160.05
16/01/2019,160.24
19/01/2019,160.37
20/01/2019,160.58
22/01/2019,160.69
24/01/2019,160.9
25/01/2019,161.02
28/01/2019,161.04
30/01/2019,161.2
01/02/2019,161.62
02/02/2019,162.23
03/02/2019,162.48
05/02/2019,162.81
08/02/2019,163.17
09/02/2019,163.24
11/02/2019,163.29
13/02/2019,163.51
15/02/2019,163.63
16/02/2019,163.71
18/02/2019,163.76
21/02/2019,163.95
23/02/2019,164.03
24/02/2019,164.1
26/02/2019,164.2
28/02/2019,159.98
01/03/2019,164.27
04/03/2019,164.35
05/03/2019,164.54
06/03/2019,164.6
08/03/2019,164.18
11/03/2019,163.5
13/03/2019,162.99
14/03/2019,162.78
16/03/2019,162.28
18/03/2019,161.81
20/03/2019,161.29
21/03/2019,161.04
23/03/2019,160.48
26/03/2019,159.59
27/03/2019,159.31
29/03/2019,158.66
31/03/2019,158.21
01/04/2019,157.94
04/04/2019,157.05
05/04/2019,156.72
07/04/2019,156.85
08/04/2019,156.96
10/04/2019,157.29
13/04/2019,157.56
15/04/2019,157.71
16/04/2019,157.79
18/04/2019,157.85
20/04/2019,158.15
22/04/2019,158.34
24/04/2019,158.59
25/04/2019,158.84
27/04/2019,159.77
29/04/2019,160.15
01/05/2019,160.37
03/05/2019,160.5
04/05/2019,160.54
07/05/2019,160.54
08/05/2019,160.65
09/05/2019,160.62
12/05/2019,160.8
13/05/2019,160.24
16/05/2019,156.93
17/05/2019,155.89
19/05/2019,154.01
21/05/2019,151.91
22/05/2019,150.82
24/05/2019,148.74
26/05/2019,147.27
28/05/2019,145.77
30/05/2019,143.69
31/05/2019,142.66
03/06/2019,140.56
05/06/2019,138.61
06/06/2019,138.53
08/06/2019,136.67
10/06/2019,134.88
12/06/2019,132.46
14/06/2019,130.67
16/06/2019,128.91
18/06/2019,127.54
20/06/2019,126.04
21/06/2019,125.35
23/06/2019,123.98
25/06/2019,122.32
26/06/2019,121.51
28/06/2019,120.0
30/06/2019,118.46
02/07/2019,116.8
03/07/2019,116.01
05/07/2019,114.3
08/07/2019,111.78
10/07/2019,110.33
11/07/2019,109.49
13/07/2019,108.48
14/07/2019,107.96
17/07/2019,105.78
19/07/2019,104.67
20/07/2019,104.46
22/07/2019,104.12
23/07/2019,103.57
25/07/2019,102.66
27/07/2019,101.43
29/07/2019,100.59
31/07/2019,98.96
02/08/2019,97.27
04/08/2019,95.57
05/08/2019,94.74
08/08/2019,92.9
09/08/2019,92.06
12/08/2019,90.38
13/08/2019,89.96
15/08/2019,88.87
16/08/2019,88.78
18/08/2019,87.51
21/08/2019,87.44
22/08/2019,87.05
24/08/2019,85.4
26/08/2019,83.78
27/08/2019,83.21
30/08/2019,83.19
01/09/2019,83.2
02/09/2019,83.18
04/09/2019,83.17
06/09/2019,83.13
08/09/2019,83.13
09/09/2019,83.12
11/09/2019,83.07
13/09/2019,83.08
14/09/2019,83.09
16/09/2019,83.33
19/09/2019,83.5
20/09/2019,83.5
23/09/2019,83.55
24/09/2019,83.59
25/09/2019,83.59
27/09/2019,83.6
29/09/2019,83.64
01/10/2019,83.66
03/10/2019,83.66
05/10/2019,83.68
07/10/2019,83.7
09/10/2019,83.7
11/10/2019,83.73
13/10/2019,83.79
14/10/2019,83.8
16/10/2019,83.79
18/10/2019,83.8
20/10/2019,83.9
21/10/2019,83.9
24/10/2019,83.98
26/10/2019,84.09
27/10/2019,84.1
29/10/2019,84.18
30/10/2019,84.2
01/11/2019,84.25
04/11/2019,84.41
05/11/2019,84.41
07/11/2019,84.46
08/11/2019,84.5
10/11/2019,84.54
12/11/2019,84.61
14/11/2019,84.67
16/11/2019,84.75
17/11/2019,84.76
19/11/2019,84.96
22/11/2019,85.11
23/11/2019,85.67
25/11/2019,86.08
27/11/2019,86.37
29/11/2019,86.57
01/12/2019,86.72
03/12/2019,87.03
05/12/2019,87.23
07/12/2019,87.37
08/12/2019,87.42
10/12/2019,87.56
12/12/2019,87.63
13/12/2019,87.73
15/12/2019,87.82
18/12/2019,87.99
19/12/2019,88.07
20/12/2019,89.18
22/12/2019,106.36
24/12/2019,109.16
26/12/2019,109.99
28/12/2019,110.43
30/12/2019,110.74
