Fecha,Reserva
01/01/2017,14.37
02/01/2017,14.38
04/01/2017,14.38
06/01/2017,14.4
07/01/2017,14.4
09/01/2017,14.4
11/01/2017,14.4
13/01/2017,14.4
14/01/2017,14.38
17/01/2017,14.37
19/01/2017,14.34
20/01/2017,14.34
22/01/2017,14.34
24/01/2017,14.33
26/01/2017,14.3
28/01/2017,14.34
30/01/2017,14.34
01/02/2017,14.37
02/02/2017,14.37
04/02/2017,14.41
05/02/2017,14.46
07/02/2017,15.01
09/02/2017,15.18
11/02/2017,15.31
13/02/2017,15.46
15/02/2017,15.73
17/02/2017,15.86
19/02/2017,15.95
21/02/2017,16.01
22/02/2017,16.04
24/02/2017,16.15
25/02/2017,16.2
28/02/2017,16.29
01/03/2017,16.32
04/03/2017,16.38
05/03/2017,16.67
07/03/2017,17.45
08/03/2017,17.69
10/03/2017,17.94
13/03/2017,18.11
14/03/2017,18.21
16/03/2017,18.67
17/03/2017,18.8
19/03/2017,18.99
21/03/2017,19.12
23/03/2017,19.2
25/03/2017,19.26
27/03/2017,19.3
28/03/2017,19.31
31/03/2017,19.38
01/04/2017,19.39
03/04/2017,19.41
06/04/2017,19.38
07/04/2017,19.36
08/04/2017,19.34
10/04/2017,19.31
13/04/2017,19.28
15/04/2017,19.25
17/04/2017,19.21
18/04/2017,19.2
19/04/2017,19.18
21/04/2017,19.12
24/04/2017,19.04
26/04/2017,18.94
27/04/2017,18.88
29/04/2017,18.92
01/05/2017,19.07
03/05/2017,19.09
05/05/2017,19.09
06/05/2017,19.09
08/05/2017,19.07
09/05/2017,19.05
11/05/2017,18.97
14/05/2017,18.86
16/05/2017,18.83
17/05/2017,18.8
19/05/2017,18.64
20/05/2017,18.54
23/05/2017,18.22
24/05/2017,18.1
27/05/2017,17.77
29/05/2017,17.58
30/05/2017,17.47
31/05/2017,17.38
03/06/2017,17.08
04/06/2017,16.99
07/06/2017,16.74
08/06/2017,16.68
10/06/2017,16.61
12/06/2017,16.51
14/06/2017,16.42
15/06/2017,16.38
17/06/2017,16.32
20/06/2017,16.16
21/06/2017,16.15
22/06/2017,16.12
24/06/2017,15.94
27/06/2017,15.7
29/06/2017,15.56
30/06/2017,15.52
02/07/2017,15.41
03/07/2017,15.37
06/07/2017,15.18
08/07/2017,15.09
09/07/2017,15.04
11/07/2017,14.92
12/07/2017,14.82
14/07/2017,14.59
17/07/2017,14.19
18/07/2017,14.08
21/07/2017,13.73
22/07/2017,13.62
23/07/2017,13.49
26/07/2017,13.17
28/07/2017,12.97
30/07/2017,12.81
31/07/2017,12.74
02/08/2017,12.62
04/08/2017,12.47
06/08/2017,12.36
08/08/2017,12.2
10/08/2017,12.07
12/08/2017,11.96
13/08/2017,11.89
14/08/2017,11.82
16/08/2017,11.74
19/08/2017,11.58
20/08/2017,11.51
22/08/2017,11.42
24/08/2017,11.3
25/08/2017,11.23
27/08/2017,11.14
30/08/2017,11.03
31/08/2017,10.98
02/09/2017,10.9
03/09/2017,10.88
06/09/2017,10.76
08/09/2017,10.63
09/09/2017,10.59
12/09/2017,10.41
13/09/2017,10.32
15/09/2017,10.1
17/09/2017,9.83
18/09/2017,9.71
20/09/2017,9.48
22/09/2017,9.3
24/09/2017,9.07
26/09/2017,8.84
27/09/2017,8.72
30/09/2017,8.5
02/10/2017,8.4
03/10/2017,8.34
05/10/2017,8.25
07/10/2017,8.18
08/10/2017,8.1
10/10/2017,7.99
13/10/2017,7.83
14/10/2017,7.77
16/10/2017,7.74
17/10/2017,7.71
19/10/2017,7.71
22/10/2017,7.66
23/10/2017,7.65
25/10/2017,7.61
27/10/2017,7.59
29/10/2017,7.53
30/10/2017,7.52
01/11/2017,7.46
04/11/2017,7.43
05/11/2017,7.43
07/11/2017,7.42
08/11/2017,7.41
11/11/2017,7.33
13/11/2017,7.29
15/11/2017,7.27
16/11/2017,7.25
17/11/2017,7.24
20/11/2017,7.18
21/11/2017,7.17
24/11/2017,7.12
25/11/2017,7.09
27/11/2017,7.07
29/11/2017,7.08
30/11/2017,7.23
02/12/2017,7.26
04/12/2017,7.25
07/12/2017,7.22
08/12/2017,7.2
10/12/2017,7.18
11/12/2017,7.17
14/12/2017,7.18
15/12/2017,7.18
17/12/2017,8.17
19/12/2017,8.25
20/12/2017,8.27
22/12/2017,8.28
25/12/2017,8.28
27/12/2017,8.31
28/12/2017,9.5
30/12/2017,14.11
