Fecha,Reserva
2012-01-01,739.15
2012-01-02,739.15
2012-01-03,739.15
2012-01-04,739.15
2012-01-05,739.15
2012-01-06,739.15
2012-01-07,739.5
2012-01-08,739.41
2012-01-09,739.32
2012-01-10,739.32
2012-01-11,739.32
2012-01-12,739.25
2012-01-13,739.18
2012-01-14,739.16
2012-01-15,739.15
2012-01-16,739.32
2012-01-17,739.5
2012-01-18,739.42
2012-01-19,739.34
2012-01-20,739.49
2012-01-21,739.4
2012-01-22,739.32
2012-01-23,739.41
2012-01-24,739.5
2012-01-25,739.5
2012-01-26,739.5
2012-01-27,739.48
2012-01-28,739.48
2012-01-29,739.48
2012-01-30,739.48
2012-01-31,739.49
2012-02-01,739.5
2012-02-02,739.32
2012-02-03,739.32
2012-02-04,739.32
2012-02-05,739.32
2012-02-06,739.31
2012-02-07,739.15
2012-02-08,739.18
2012-02-09,739.21
2012-02-10,739.09
2012-02-11,738.97
2012-02-12,739.02
2012-02-13,739.06
2012-02-14,738.99
2012-02-15,738.93
2012-02-16,738.89
2012-02-17,738.85
2012-02-18,738.62
2012-02-19,738.68
2012-02-20,738.75
2012-02-21,738.7
2012-02-22,738.65
2012-02-23,738.6
2012-02-24,738.55
2012-02-25,738.58
2012-02-26,738.62
2012-02-27,738.42
2012-02-28,738.4
2012-02-29,738.4
2012-03-01,738.39
2012-03-02,738.5
2012-03-03,738.62
2012-03-04,738.62
2012-03-05,738.52
2012-03-06,738.41
2012-03-07,738.36
2012-03-08,738.31
2012-03-09,738.62
2012-03-10,738.62
2012-03-11,738.62
2012-03-12,738.44
2012-03-13,738.26
2012-03-14,738.13
2012-03-15,738.0
2012-03-16,738.04
2012-03-17,738.09
2012-03-18,738.07
2012-03-19,738.05
2012-03-20,737.95
2012-03-21,737.92
2012-03-22,737.92
2012-03-23,737.88
2012-03-24,738.09
2012-03-25,738.09
2012-03-26,738.09
2012-03-27,738.09
2012-03-28,738.09
2012-03-29,738.09
2012-03-30,738.09
2012-03-31,738.09
2012-04-01,738.09
2012-04-02,737.22
2012-04-03,737.19
2012-04-04,737.16
2012-04-05,737.62
2012-04-06,738.09
2012-04-07,738.09
2012-04-08,738.09
2012-04-09,738.09
2012-04-10,737.51
2012-04-11,737.8
2012-04-12,738.09
2012-04-13,736.85
2012-04-14,737.47
2012-04-15,738.09
2012-04-16,736.86
2012-04-17,735.62
2012-04-18,735.62
2012-04-19,735.62
2012-04-20,735.62
2012-04-21,734.92
2012-04-22,734.92
2012-04-23,733.48
2012-04-24,732.05
2012-04-25,730.86
2012-04-26,730.86
2012-04-27,729.67
2012-04-28,731.24
2012-04-29,731.24
2012-04-30,731.24
2012-05-01,731.24
2012-05-02,730.2
