Fecha,Reserva
01/01/2020,180.1
02/01/2020,180.1
03/01/2020,180.24
05/01/2020,180.55
07/01/2020,180.66
09/01/2020,180.91
11/01/2020,181.04
13/01/2020,181.28
14/01/2020,181.28
17/01/2020,181.35
19/01/2020,181.67
21/01/2020,181.89
23/01/2020,181.97
24/01/2020,182.27
25/01/2020,182.72
27/01/2020,184.57
29/01/2020,185.28
31/01/2020,185.88
03/02/2020,186.39
04/02/2020,186.47
05/02/2020,186.68
07/02/2020,186.83
10/02/2020,187.26
11/02/2020,187.28
13/02/2020,187.54
15/02/2020,187.71
17/02/2020,187.84
19/02/2020,188.12
20/02/2020,188.03
23/02/2020,188.25
24/02/2020,188.37
26/02/2020,188.5
28/02/2020,188.66
29/02/2020,188.64
02/03/2020,188.73
05/03/2020,188.82
06/03/2020,188.95
08/03/2020,189.09
09/03/2020,188.97
12/03/2020,189.15
13/03/2020,189.22
16/03/2020,189.35
17/03/2020,189.51
19/03/2020,189.52
20/03/2020,189.54
22/03/2020,189.96
24/03/2020,190.17
26/03/2020,190.31
29/03/2020,190.42
30/03/2020,190.33
31/03/2020,190.75
02/04/2020,191.28
04/04/2020,191.55
06/04/2020,191.64
09/04/2020,191.98
10/04/2020,192.06
12/04/2020,192.22
14/04/2020,192.38
15/04/2020,192.39
17/04/2020,193.15
19/04/2020,193.35
21/04/2020,193.51
22/04/2020,193.83
25/04/2020,194.02
26/04/2020,194.45
28/04/2020,195.79
30/04/2020,196.44
02/05/2020,196.84
03/05/2020,196.96
06/05/2020,197.14
07/05/2020,197.18
10/05/2020,196.12
11/05/2020,196.24
13/05/2020,196.36
14/05/2020,196.33
16/05/2020,196.46
18/05/2020,196.47
21/05/2020,196.42
23/05/2020,196.35
24/05/2020,196.37
26/05/2020,196.31
28/05/2020,194.23
29/05/2020,193.54
01/06/2020,193.49
03/06/2020,193.39
04/06/2020,193.09
06/06/2020,191.43
07/06/2020,191.17
09/06/2020,191.05
12/06/2020,190.93
14/06/2020,190.7
15/06/2020,190.71
16/06/2020,190.66
18/06/2020,189.78
21/06/2020,189.54
22/06/2020,189.56
25/06/2020,186.84
26/06/2020,186.66
28/06/2020,185.02
29/06/2020,184.39
02/07/2020,180.67
03/07/2020,179.56
05/07/2020,177.21
07/07/2020,174.24
09/07/2020,171.45
11/07/2020,169.22
12/07/2020,167.86
14/07/2020,164.77
17/07/2020,161.51
18/07/2020,161.18
20/07/2020,159.78
22/07/2020,157.69
23/07/2020,157.26
26/07/2020,158.06
28/07/2020,156.23
29/07/2020,155.86
30/07/2020,155.38
02/08/2020,155.99
03/08/2020,155.91
05/08/2020,154.09
07/08/2020,153.7
09/08/2020,150.94
11/08/2020,147.55
12/08/2020,147.07
15/08/2020,147.38
16/08/2020,147.35
19/08/2020,144.49
20/08/2020,144.04
22/08/2020,143.43
24/08/2020,142.43
25/08/2020,141.61
28/08/2020,140.19
29/08/2020,139.62
31/08/2020,137.88
02/09/2020,136.76
04/09/2020,137.48
06/09/2020,138.08
08/09/2020,138.16
10/09/2020,138.47
11/09/2020,138.72
13/09/2020,139.02
14/09/2020,139.03
16/09/2020,137.6
19/09/2020,138.92
21/09/2020,139.01
22/09/2020,139.08
23/09/2020,138.56
26/09/2020,137.1
27/09/2020,136.46
30/09/2020,134.17
01/10/2020,134.63
03/10/2020,134.63
04/10/2020,134.63
07/10/2020,134.63
08/10/2020,135.3
11/10/2020,132.46
12/10/2020,131.58
14/10/2020,131.5
15/10/2020,131.53
18/10/2020,130.73
19/10/2020,130.7
21/10/2020,130.78
23/10/2020,131.1
25/10/2020,131.16
27/10/2020,131.27
29/10/2020,131.28
31/10/2020,131.25
02/11/2020,131.25
04/11/2020,131.28
05/11/2020,131.45
06/11/2020,131.9
08/11/2020,132.26
10/11/2020,132.5
12/11/2020,132.52
15/11/2020,132.75
16/11/2020,132.76
18/11/2020,132.82
19/11/2020,132.91
21/11/2020,132.96
24/11/2020,133.01
25/11/2020,133.02
27/11/2020,133.81
29/11/2020,134.63
30/11/2020,134.84
03/12/2020,135.17
05/12/2020,135.4
06/12/2020,135.52
08/12/2020,135.61
09/12/2020,135.73
11/12/2020,135.94
13/12/2020,136.02
16/12/2020,136.4
18/12/2020,136.47
19/12/2020,136.65
20/12/2020,136.79
23/12/2020,137.35
25/12/2020,137.62
27/12/2020,137.82
28/12/2020,137.87
30/12/2020,138.07
