Fecha,Reserva
2012-01-01,185.69
2012-01-02,185.68
2012-01-03,185.68
2012-01-04,185.67
2012-01-05,185.51
2012-01-06,185.35
2012-01-07,184.52
2012-01-08,184.55
2012-01-09,184.58
2012-01-10,184.58
2012-01-11,184.58
2012-01-12,184.58
2012-01-13,184.55
2012-01-14,184.64
2012-01-15,184.73
2012-01-16,184.55
2012-01-17,184.52
2012-01-18,184.52
2012-01-19,184.5
2012-01-20,184.54
2012-01-21,184.57
2012-01-22,184.58
2012-01-23,184.58
2012-01-24,184.57
2012-01-25,184.65
2012-01-26,184.73
2012-01-27,184.56
2012-01-28,184.4
2012-01-29,184.54
2012-01-30,184.69
2012-01-31,184.41
2012-02-01,184.4
2012-02-02,184.4
2012-02-03,184.4
2012-02-04,184.16
2012-02-05,184.05
2012-02-06,184.08
2012-02-07,184.1
2012-02-08,184.08
2012-02-09,184.08
2012-02-10,184.05
2012-02-11,183.95
2012-02-12,183.85
2012-02-13,183.85
2012-02-14,183.8
2012-02-15,183.75
2012-02-16,183.81
2012-02-17,183.82
2012-02-18,183.83
2012-02-19,183.68
2012-02-20,183.53
2012-02-21,183.5
2012-02-22,183.5
2012-02-23,183.48
2012-02-24,183.5
2012-02-25,183.53
2012-02-26,183.5
2012-02-27,183.56
2012-02-28,183.44
2012-02-29,183.32
2012-03-01,183.32
2012-03-02,183.32
2012-03-03,183.33
2012-03-04,183.35
2012-03-05,183.38
2012-03-06,183.4
2012-03-07,183.32
2012-03-08,183.23
2012-03-09,183.17
2012-03-10,183.11
2012-03-11,183.1
2012-03-12,183.08
2012-03-13,183.07
2012-03-14,183.06
2012-03-15,182.98
2012-03-16,182.93
2012-03-17,182.93
2012-03-18,182.88
2012-03-19,182.79
2012-03-20,182.79
2012-03-21,182.79
2012-03-22,182.75
2012-03-23,182.74
2012-03-24,182.72
2012-03-25,182.67
2012-03-26,182.67
2012-03-27,182.61
2012-03-28,182.68
2012-03-29,182.76
2012-03-30,182.25
2012-03-31,182.25
2012-04-01,182.25
2012-04-02,182.6
2012-04-03,182.52
2012-04-04,182.52
2012-04-05,182.45
2012-04-06,182.48
2012-04-07,182.4
2012-04-08,182.32
2012-04-09,182.26
2012-04-10,182.2
2012-04-11,182.09
2012-04-12,182.1
2012-04-13,182.1
2012-04-14,182.12
2012-04-15,182.33
2012-04-16,182.37
2012-04-17,182.37
2012-04-18,182.41
2012-04-19,182.19
2012-04-20,182.22
2012-04-21,182.26
2012-04-22,182.28
2012-04-23,182.22
2012-04-24,182.16
2012-04-25,182.1
2012-04-26,182.1
2012-04-27,182.05
2012-04-28,182.18
2012-04-29,182.3
2012-04-30,182.32
2012-05-01,182.29
2012-05-02,182.26
2012-05-03,182.19
2012-05-04,182.2
2012-05-05,182.2
2012-05-06,182.2
2012-05-07,182.46
2012-05-08,182.73
2012-05-09,182.74
2012-05-10,182.76
2012-05-11,182.57
2012-05-12,182.54
2012-05-13,182.51
2012-05-14,182.56
2012-05-15,182.44
2012-05-16,182.33
2012-05-17,182.31
2012-05-18,182.29
2012-05-19,182.34
2012-05-20,182.34
2012-05-21,182.4
2012-05-22,182.32
2012-05-23,182.24
2012-05-24,182.17
2012-05-25,182.08
2012-05-26,182.0
2012-05-27,181.98
2012-05-28,181.95
2012-05-29,181.88
2012-05-30,181.8
2012-05-31,181.72
2012-06-01,181.64
2012-06-02,181.48
2012-06-03,181.44
2012-06-04,181.4
2012-06-05,181.32
2012-06-06,181.25
2012-06-07,181.18
2012-06-08,181.08
2012-06-09,180.97
2012-06-10,180.88
2012-06-11,180.78
2012-06-12,180.69
2012-06-13,180.6
2012-06-14,180.54
2012-06-15,180.47
2012-06-16,180.47
2012-06-17,180.47
2012-06-18,180.47
2012-06-19,180.28
2012-06-20,180.08
2012-06-21,179.93
2012-06-22,179.93
2012-06-23,179.78
2012-06-24,179.72
2012-06-25,179.65
2012-06-26,179.08
2012-06-27,178.43
2012-06-28,177.78
2012-06-29,177.1
2012-06-30,176.42
2012-07-01,175.65
2012-07-02,174.7
2012-07-03,174.7
2012-07-04,173.74
2012-07-05,173.24
2012-07-06,172.75
2012-07-07,171.74
2012-07-08,171.08
2012-07-09,170.39
2012-07-10,169.7
2012-07-11,168.7
2012-07-12,168.7
2012-07-13,167.7
2012-07-14,167.11
2012-07-15,166.06
2012-07-16,166.06
2012-07-17,165.02
2012-07-18,164.4
2012-07-19,163.76
2012-07-20,163.07
2012-07-21,162.39
2012-07-22,161.39
2012-07-23,161.39
2012-07-24,160.39
2012-07-25,159.79
2012-07-26,159.14
2012-07-27,158.48
2012-07-28,157.86
2012-07-29,157.25
2012-07-30,156.58
2012-07-31,155.91
2012-08-01,155.17
2012-08-02,154.43
2012-08-03,153.78
2012-08-04,153.14
2012-08-05,152.4
2012-08-06,151.73
2012-08-07,151.06
2012-08-08,150.44
2012-08-09,149.81
2012-08-10,149.12
2012-08-11,148.42
2012-08-12,147.85
2012-08-13,147.17
2012-08-14,146.49
2012-08-15,145.78
2012-08-16,145.07
2012-08-17,144.38
2012-08-18,143.7
2012-08-19,143.09
2012-08-20,142.48
2012-08-21,141.75
2012-08-22,140.79
2012-08-23,140.79
2012-08-24,139.83
2012-08-25,139.11
2012-08-26,138.12
2012-08-27,138.12
2012-08-28,137.13
2012-08-29,136.42
2012-08-30,135.79
2012-08-31,135.16
2012-09-01,134.44
2012-09-02,133.73
2012-09-03,133.08
2012-09-04,132.43
2012-09-05,132.03
2012-09-06,131.96
2012-09-07,131.9
2012-09-08,131.82
2012-09-09,131.82
2012-09-10,131.75
2012-09-11,131.68
2012-09-12,131.62
2012-09-13,131.55
2012-09-14,131.44
2012-09-15,131.42
2012-09-16,131.4
2012-09-17,131.32
2012-09-18,131.23
2012-09-19,131.2
2012-09-20,131.16
2012-09-21,131.07
2012-09-22,130.99
2012-09-23,130.94
2012-09-24,130.86
2012-09-25,130.86
2012-09-26,130.79
2012-09-27,130.83
2012-09-28,130.88
2012-09-29,131.08
2012-09-30,131.02
2012-10-01,131.02
2012-10-02,130.96
2012-10-03,130.94
2012-10-04,130.92
2012-10-05,130.89
2012-10-06,130.88
2012-10-07,130.8
2012-10-08,130.71
2012-10-09,130.65
2012-10-10,130.65
2012-10-11,130.59
2012-10-12,130.59
2012-10-13,130.59
2012-10-14,130.51
2012-10-15,130.47
2012-10-16,130.43
2012-10-17,130.4
2012-10-18,130.37
2012-10-19,130.38
2012-10-20,130.39
2012-10-21,130.41
2012-10-22,130.37
2012-10-23,130.33
2012-10-24,130.36
2012-10-25,130.4
2012-10-26,131.06
2012-10-27,131.72
2012-10-28,131.86
2012-10-29,131.99
2012-10-30,131.05
2012-10-31,131.7
2012-11-01,131.7
2012-11-02,132.34
2012-11-03,132.79
2012-11-04,145.3
2012-11-05,157.81
2012-11-06,162.16
2012-11-07,164.8
2012-11-08,164.8
2012-11-09,167.43
2012-11-10,177.18
2012-11-11,179.99
2012-11-12,182.8
2012-11-13,184.25
2012-11-14,185.7
2012-11-15,186.24
2012-11-16,186.78
2012-11-17,187.16
2012-11-18,187.42
2012-11-19,187.67
2012-11-20,187.83
2012-11-21,187.99
2012-11-22,188.1
2012-11-23,188.1
2012-11-24,188.21
2012-11-25,188.28
2012-11-26,188.35
2012-11-27,188.52
2012-11-28,188.63
2012-11-29,188.7
2012-11-30,188.7
2012-12-01,188.76
2012-12-02,188.75
2012-12-03,188.74
2012-12-04,188.79
2012-12-05,188.81
2012-12-06,188.83
2012-12-07,188.87
2012-12-08,188.91
2012-12-09,188.92
2012-12-10,188.94
2012-12-11,188.97
2012-12-12,189.0
2012-12-13,189.01
2012-12-14,189.02
2012-12-15,189.08
2012-12-16,190.48
2012-12-17,191.89
2012-12-18,192.5
2012-12-19,193.12
2012-12-20,193.42
2012-12-21,193.71
2012-12-22,193.94
2012-12-23,194.1
2012-12-24,194.25
2012-12-25,194.4
2012-12-26,194.55
2012-12-27,194.74
2012-12-28,194.74
2012-12-29,194.92
2012-12-30,194.99
2012-12-31,195.09
2013-01-01,195.19
2013-01-02,195.28
2013-01-03,195.32
2013-01-04,195.41
2013-01-05,195.41
2013-01-06,195.5
2013-01-07,195.5
2013-01-08,195.55
2013-01-09,195.55
2013-01-10,195.6
2013-01-11,195.64
2013-01-12,195.69
2013-01-13,195.72
2013-01-14,195.72
2013-01-15,195.76
2013-01-16,195.78
2013-01-17,196.26
2013-01-18,196.26
2013-01-19,196.75
2013-01-20,208.5
2013-01-21,212.28
2013-01-22,216.06
2013-01-23,217.37
2013-01-24,218.68
2013-01-25,219.37
2013-01-26,220.06
2013-01-27,220.26
2013-01-28,220.46
2013-01-29,220.4
2013-01-30,220.35
2013-01-31,220.1
2013-02-01,219.84
2013-02-02,219.53
2013-02-03,219.21
2013-02-04,218.58
2013-02-05,218.58
2013-02-06,217.94
2013-02-07,217.61
2013-02-08,217.13
2013-02-09,216.65
2013-02-10,216.16
2013-02-11,215.66
2013-02-12,215.64
2013-02-13,215.61
2013-02-14,215.57
2013-02-15,215.64
2013-02-16,215.72
2013-02-17,215.77
2013-02-18,215.82
2013-02-19,215.92
2013-02-20,215.92
2013-02-21,216.01
2013-02-22,216.44
2013-02-23,216.87
2013-02-24,196.19
2013-02-25,216.53
2013-02-26,216.5
2013-02-27,216.48
2013-02-28,216.02
2013-03-01,215.55
2013-03-02,214.96
2013-03-03,214.96
2013-03-04,214.38
2013-03-05,214.0
2013-03-06,213.64
2013-03-07,213.27
2013-03-08,220.65
2013-03-09,227.04
2013-03-10,227.04
2013-03-11,233.43
2013-03-12,235.2
2013-03-13,236.98
2013-03-14,236.77
2013-03-15,236.56
2013-03-16,234.26
2013-03-17,231.88
2013-03-18,229.51
2013-03-19,228.28
2013-03-20,228.9
2013-03-21,229.51
2013-03-22,228.08
2013-03-23,228.08
2013-03-24,226.66
2013-03-25,225.45
2013-03-26,224.24
2013-03-27,223.64
2013-03-28,224.64
2013-03-29,223.84
2013-03-30,223.84
2013-03-31,223.04
2013-04-01,223.04
2013-04-02,230.64
2013-04-03,238.24
2013-04-04,240.04
2013-04-05,241.85
2013-04-06,242.02
2013-04-07,242.2
2013-04-08,242.2
2013-04-09,238.75
2013-04-10,235.3
2013-04-11,234.2
2013-04-12,233.1
2013-04-13,232.9
2013-04-14,232.69
2013-04-15,232.28
2013-04-16,232.28
2013-04-17,231.86
2013-04-18,231.24
2013-04-19,230.83
2013-04-20,230.42
2013-04-21,230.01
2013-04-22,229.4
2013-04-23,228.78
2013-04-24,228.27
