Fecha,Reserva
01/01/2016,146.97
02/01/2016,146.97
03/01/2016,146.98
05/01/2016,147.14
07/01/2016,147.08
10/01/2016,147.18
11/01/2016,147.18
13/01/2016,147.51
15/01/2016,147.66
16/01/2016,147.68
18/01/2016,147.69
21/01/2016,147.73
23/01/2016,147.72
24/01/2016,147.7
25/01/2016,147.71
28/01/2016,147.69
30/01/2016,147.76
31/01/2016,147.75
03/02/2016,147.76
04/02/2016,147.7
05/02/2016,147.14
07/02/2016,147.69
09/02/2016,147.66
12/02/2016,147.85
14/02/2016,148.69
15/02/2016,149.65
16/02/2016,149.99
18/02/2016,150.25
20/02/2016,150.38
22/02/2016,150.44
24/02/2016,150.45
26/02/2016,150.49
27/02/2016,150.89
29/02/2016,151.22
03/03/2016,151.45
04/03/2016,151.52
07/03/2016,151.53
08/03/2016,151.38
09/03/2016,151.38
12/03/2016,151.72
14/03/2016,151.72
16/03/2016,151.62
17/03/2016,151.61
19/03/2016,151.72
21/03/2016,151.72
22/03/2016,151.85
24/03/2016,151.87
26/03/2016,151.81
29/03/2016,151.82
30/03/2016,151.81
01/04/2016,151.73
03/04/2016,151.68
04/04/2016,151.67
06/04/2016,153.42
08/04/2016,153.98
10/04/2016,154.18
12/04/2016,154.37
14/04/2016,154.5
16/04/2016,154.55
18/04/2016,154.68
19/04/2016,154.65
21/04/2016,155.63
22/04/2016,156.3
24/04/2016,156.9
26/04/2016,157.15
28/04/2016,157.16
30/04/2016,157.29
02/05/2016,157.3
03/05/2016,157.26
06/05/2016,157.22
07/05/2016,157.4
10/05/2016,157.61
11/05/2016,157.79
13/05/2016,158.49
15/05/2016,159.5
16/05/2016,159.77
18/05/2016,160.07
20/05/2016,160.17
22/05/2016,160.16
24/05/2016,160.2
25/05/2016,160.15
28/05/2016,160.05
29/05/2016,160.09
31/05/2016,160.02
02/06/2016,159.93
04/06/2016,159.81
06/06/2016,159.72
07/06/2016,159.65
09/06/2016,159.54
12/06/2016,159.32
13/06/2016,159.27
15/06/2016,159.11
16/06/2016,158.97
19/06/2016,158.73
21/06/2016,158.61
22/06/2016,158.45
24/06/2016,157.5
26/06/2016,156.52
27/06/2016,156.06
30/06/2016,154.48
02/07/2016,153.45
04/07/2016,152.52
05/07/2016,151.96
07/07/2016,150.91
09/07/2016,149.89
11/07/2016,148.81
13/07/2016,147.71
15/07/2016,146.66
16/07/2016,146.21
18/07/2016,145.28
20/07/2016,144.22
21/07/2016,143.67
23/07/2016,142.59
25/07/2016,141.61
28/07/2016,139.96
29/07/2016,139.42
31/07/2016,138.34
01/08/2016,137.87
04/08/2016,136.23
06/08/2016,135.15
08/08/2016,134.25
09/08/2016,133.68
10/08/2016,133.12
13/08/2016,131.5
15/08/2016,130.51
16/08/2016,130.0
19/08/2016,128.38
20/08/2016,127.76
22/08/2016,126.87
23/08/2016,126.31
26/08/2016,124.84
27/08/2016,124.33
30/08/2016,122.87
31/08/2016,122.3
02/09/2016,121.16
03/09/2016,120.53
05/09/2016,120.43
07/09/2016,120.31
10/09/2016,120.07
11/09/2016,120.01
13/09/2016,119.88
14/09/2016,119.83
16/09/2016,119.72
18/09/2016,119.59
20/09/2016,119.45
22/09/2016,119.33
24/09/2016,119.21
26/09/2016,119.12
28/09/2016,119.02
30/09/2016,118.86
02/10/2016,118.8
03/10/2016,118.71
04/10/2016,118.65
06/10/2016,118.62
09/10/2016,118.45
11/10/2016,118.34
12/10/2016,118.31
14/10/2016,118.42
16/10/2016,118.36
17/10/2016,118.29
20/10/2016,118.2
22/10/2016,118.14
24/10/2016,118.14
25/10/2016,118.18
26/10/2016,118.15
29/10/2016,118.03
31/10/2016,117.97
02/11/2016,117.88
03/11/2016,117.86
05/11/2016,117.8
06/11/2016,118.04
08/11/2016,117.95
11/11/2016,117.88
12/11/2016,117.82
14/11/2016,117.77
16/11/2016,117.66
18/11/2016,117.59
20/11/2016,117.52
21/11/2016,117.64
24/11/2016,118.69
26/11/2016,119.08
27/11/2016,119.31
29/11/2016,120.56
30/11/2016,120.86
02/12/2016,121.2
05/12/2016,121.55
06/12/2016,121.6
08/12/2016,121.68
10/12/2016,121.74
12/12/2016,121.79
13/12/2016,121.73
16/12/2016,121.98
17/12/2016,122.1
19/12/2016,122.2
21/12/2016,122.3
22/12/2016,122.34
25/12/2016,122.42
26/12/2016,122.45
28/12/2016,122.5
30/12/2016,122.48
