Fecha,Reserva
01/01/2016,43.18
02/01/2016,42.98
03/01/2016,42.73
06/01/2016,42.04
07/01/2016,41.82
10/01/2016,42.23
11/01/2016,42.04
13/01/2016,42.32
15/01/2016,42.59
17/01/2016,42.82
19/01/2016,42.4
20/01/2016,42.48
22/01/2016,42.7
24/01/2016,42.98
25/01/2016,42.73
28/01/2016,43.13
30/01/2016,43.35
31/01/2016,43.47
02/02/2016,43.32
04/02/2016,43.47
05/02/2016,42.32
07/02/2016,43.5
09/02/2016,43.3
12/02/2016,43.61
13/02/2016,43.72
15/02/2016,43.24
17/02/2016,43.38
19/02/2016,43.61
20/02/2016,43.72
22/02/2016,43.27
24/02/2016,43.38
26/02/2016,43.55
27/02/2016,43.72
01/03/2016,43.01
02/03/2016,43.07
05/03/2016,43.27
07/03/2016,42.76
08/03/2016,42.79
09/03/2016,42.73
12/03/2016,43.01
14/03/2016,42.51
16/03/2016,42.62
18/03/2016,42.12
19/03/2016,41.93
21/03/2016,41.58
23/03/2016,41.31
25/03/2016,40.99
26/03/2016,40.83
28/03/2016,40.59
30/03/2016,40.28
31/03/2016,40.1
03/04/2016,39.59
04/04/2016,39.46
06/04/2016,39.43
08/04/2016,39.33
10/04/2016,39.18
12/04/2016,39.03
14/04/2016,38.96
15/04/2016,38.83
17/04/2016,38.61
20/04/2016,38.21
21/04/2016,38.66
23/04/2016,38.98
25/04/2016,38.73
27/04/2016,38.91
28/04/2016,38.96
30/04/2016,39.21
02/05/2016,38.93
03/05/2016,38.78
05/05/2016,39.18
08/05/2016,40.1
10/05/2016,42.96
12/05/2016,47.77
13/05/2016,48.17
15/05/2016,48.08
16/05/2016,47.93
19/05/2016,47.26
20/05/2016,47.17
22/05/2016,47.17
24/05/2016,47.13
26/05/2016,47.05
28/05/2016,46.99
29/05/2016,46.99
31/05/2016,46.94
03/06/2016,46.84
04/06/2016,46.72
06/06/2016,46.4
07/06/2016,46.16
10/06/2016,45.62
11/06/2016,45.39
14/06/2016,44.78
15/06/2016,44.62
16/06/2016,44.62
18/06/2016,44.8
20/06/2016,44.51
22/06/2016,44.56
25/06/2016,44.56
26/06/2016,44.33
27/06/2016,44.01
29/06/2016,43.93
02/07/2016,43.98
04/07/2016,43.58
05/07/2016,43.58
07/07/2016,43.81
09/07/2016,44.04
11/07/2016,43.7
13/07/2016,43.98
15/07/2016,44.39
16/07/2016,44.56
18/07/2016,44.27
20/07/2016,44.62
22/07/2016,45.03
23/07/2016,45.21
25/07/2016,44.97
28/07/2016,45.33
29/07/2016,45.56
30/07/2016,45.8
01/08/2016,45.5
04/08/2016,45.15
06/08/2016,44.8
07/08/2016,44.74
09/08/2016,44.38
10/08/2016,44.27
12/08/2016,43.93
15/08/2016,43.64
16/08/2016,43.47
19/08/2016,43.13
20/08/2016,43.07
21/08/2016,42.9
24/08/2016,42.51
25/08/2016,42.34
27/08/2016,42.07
30/08/2016,41.63
31/08/2016,41.31
01/09/2016,41.04
03/09/2016,40.72
05/09/2016,40.46
07/09/2016,40.15
09/09/2016,39.79
11/09/2016,39.53
12/09/2016,39.43
15/09/2016,38.98
16/09/2016,39.23
18/09/2016,40.25
20/09/2016,41.31
22/09/2016,42.4
24/09/2016,43.41
26/09/2016,44.56
28/09/2016,45.39
30/09/2016,46.1
01/10/2016,45.98
03/10/2016,45.36
05/10/2016,45.33
06/10/2016,45.39
08/10/2016,45.42
10/10/2016,44.97
12/10/2016,45.03
14/10/2016,44.56
16/10/2016,43.98
18/10/2016,43.5
19/10/2016,43.41
22/10/2016,43.75
24/10/2016,43.5
25/10/2016,43.61
27/10/2016,43.81
29/10/2016,43.98
31/10/2016,43.55
02/11/2016,43.41
04/11/2016,43.52
05/11/2016,43.67
07/11/2016,43.24
09/11/2016,43.32
11/11/2016,43.5
12/11/2016,43.61
14/11/2016,43.21
16/11/2016,43.32
18/11/2016,43.5
19/11/2016,43.58
21/11/2016,43.32
24/11/2016,43.04
25/11/2016,42.93
27/11/2016,43.04
28/11/2016,43.07
01/12/2016,42.84
03/12/2016,42.9
05/12/2016,45.15
06/12/2016,45.42
08/12/2016,45.33
10/12/2016,45.12
12/12/2016,44.71
14/12/2016,44.56
15/12/2016,44.65
17/12/2016,45.44
19/12/2016,45.21
20/12/2016,45.24
23/12/2016,45.27
24/12/2016,45.27
27/12/2016,44.65
28/12/2016,44.65
30/12/2016,44.62
