Fecha,Reserva
01/01/2013,13.86
02/01/2013,13.82
04/01/2013,13.71
06/01/2013,13.63
08/01/2013,13.58
10/01/2013,13.59
11/01/2013,13.57
13/01/2013,13.53
15/01/2013,13.49
17/01/2013,13.54
19/01/2013,12.03
20/01/2013,12.14
22/01/2013,12.23
23/01/2013,12.27
26/01/2013,12.36
27/01/2013,12.41
30/01/2013,12.48
01/02/2013,12.55
02/02/2013,12.57
04/02/2013,12.57
05/02/2013,12.58
08/02/2013,12.63
09/02/2013,12.63
11/02/2013,12.67
13/02/2013,12.7
14/02/2013,12.72
17/02/2013,12.76
19/02/2013,12.8
21/02/2013,13.17
22/02/2013,11.23
24/02/2013,11.63
26/02/2013,11.65
27/02/2013,10.56
01/03/2013,10.65
03/03/2013,10.9
05/03/2013,11.07
07/03/2013,12.03
08/03/2013,12.96
11/03/2013,14.12
12/03/2013,14.11
14/03/2013,14.57
16/03/2013,14.87
18/03/2013,15.14
19/03/2013,14.02
21/03/2013,14.8
23/03/2013,15.18
25/03/2013,15.64
27/03/2013,15.98
29/03/2013,16.29
30/03/2013,16.46
02/04/2013,17.4
04/04/2013,15.47
05/04/2013,15.6
07/04/2013,16.0
09/04/2013,16.3
11/04/2013,16.54
13/04/2013,16.75
15/04/2013,16.93
16/04/2013,17.02
18/04/2013,17.13
19/04/2013,17.18
22/04/2013,17.3
23/04/2013,17.32
26/04/2013,17.33
27/04/2013,17.32
29/04/2013,17.28
01/05/2013,17.27
02/05/2013,17.26
04/05/2013,17.22
06/05/2013,17.17
08/05/2013,17.11
09/05/2013,17.05
11/05/2013,16.98
13/05/2013,16.92
15/05/2013,16.85
17/05/2013,16.76
19/05/2013,16.69
21/05/2013,16.61
23/05/2013,16.53
24/05/2013,16.49
27/05/2013,16.35
28/05/2013,16.31
30/05/2013,16.21
31/05/2013,16.17
02/06/2013,16.07
05/06/2013,15.94
06/06/2013,15.88
09/06/2013,15.81
10/06/2013,15.78
11/06/2013,15.77
13/06/2013,15.72
15/06/2013,15.66
18/06/2013,15.58
19/06/2013,15.56
21/06/2013,15.5
23/06/2013,15.46
24/06/2013,15.43
26/06/2013,15.37
29/06/2013,15.28
30/06/2013,15.25
02/07/2013,15.2
04/07/2013,15.1
06/07/2013,15.03
07/07/2013,15.01
09/07/2013,14.95
11/07/2013,14.89
13/07/2013,14.81
14/07/2013,14.76
17/07/2013,14.66
19/07/2013,14.63
20/07/2013,14.6
22/07/2013,14.52
24/07/2013,14.44
26/07/2013,14.36
27/07/2013,14.32
30/07/2013,14.18
31/07/2013,14.15
02/08/2013,14.05
04/08/2013,13.96
06/08/2013,13.88
08/08/2013,13.76
10/08/2013,13.67
12/08/2013,13.59
13/08/2013,13.54
14/08/2013,13.49
16/08/2013,13.42
18/08/2013,13.33
20/08/2013,13.25
23/08/2013,13.15
24/08/2013,13.1
26/08/2013,13.0
27/08/2013,12.95
30/08/2013,12.86
31/08/2013,12.83
02/09/2013,12.8
03/09/2013,12.73
05/09/2013,12.64
07/09/2013,12.59
10/09/2013,12.58
12/09/2013,12.5
13/09/2013,12.45
15/09/2013,12.35
17/09/2013,12.29
19/09/2013,12.25
20/09/2013,12.23
22/09/2013,12.16
24/09/2013,12.1
26/09/2013,12.03
28/09/2013,11.99
30/09/2013,11.91
02/10/2013,11.81
03/10/2013,11.73
05/10/2013,11.64
07/10/2013,11.56
09/10/2013,11.49
10/10/2013,11.46
12/10/2013,11.4
15/10/2013,11.31
16/10/2013,11.27
17/10/2013,11.24
19/10/2013,11.18
21/10/2013,11.11
23/10/2013,11.1
25/10/2013,11.1
27/10/2013,11.09
28/10/2013,11.09
30/10/2013,11.07
01/11/2013,11.07
03/11/2013,11.05
05/11/2013,11.05
07/11/2013,11.0
09/11/2013,10.99
10/11/2013,10.95
12/11/2013,10.9
14/11/2013,10.83
16/11/2013,10.77
18/11/2013,10.71
19/11/2013,10.69
22/11/2013,10.59
24/11/2013,10.51
25/11/2013,10.46
27/11/2013,10.38
29/11/2013,10.3
30/11/2013,10.25
03/12/2013,10.12
05/12/2013,10.01
07/12/2013,9.93
08/12/2013,9.88
10/12/2013,9.8
11/12/2013,9.77
14/12/2013,9.75
16/12/2013,9.71
17/12/2013,9.71
19/12/2013,9.69
20/12/2013,9.68
23/12/2013,9.67
24/12/2013,9.67
26/12/2013,9.7
29/12/2013,9.69
30/12/2013,9.67
