Fecha,Reserva
01/01/2018,29.55
02/01/2018,29.57
04/01/2018,29.62
06/01/2018,29.7
07/01/2018,29.78
09/01/2018,29.88
11/01/2018,29.93
13/01/2018,29.98
15/01/2018,30.08
16/01/2018,30.08
19/01/2018,30.14
20/01/2018,30.19
22/01/2018,30.21
23/01/2018,30.24
25/01/2018,30.29
28/01/2018,30.42
30/01/2018,30.47
01/02/2018,30.53
02/02/2018,30.55
03/02/2018,30.55
06/02/2018,30.63
08/02/2018,30.66
10/02/2018,30.79
12/02/2018,30.84
13/02/2018,30.89
14/02/2018,30.92
16/02/2018,30.94
18/02/2018,31.0
21/02/2018,31.08
22/02/2018,31.08
24/02/2018,31.16
25/02/2018,31.18
28/02/2018,31.29
02/03/2018,33.34
03/03/2018,39.69
05/03/2018,42.22
06/03/2018,43.07
08/03/2018,44.02
10/03/2018,44.75
12/03/2018,46.07
15/03/2018,47.1
16/03/2018,47.65
17/03/2018,48.04
19/03/2018,49.56
21/03/2018,50.64
24/03/2018,51.62
26/03/2018,52.28
27/03/2018,52.54
28/03/2018,52.73
31/03/2018,53.4
01/04/2018,53.62
04/04/2018,54.19
05/04/2018,54.34
07/04/2018,54.68
09/04/2018,55.02
10/04/2018,55.25
13/04/2018,56.71
14/04/2018,57.14
17/04/2018,58.0
18/04/2018,58.23
20/04/2018,58.67
21/04/2018,58.83
24/04/2018,59.38
25/04/2018,59.62
28/04/2018,60.22
29/04/2018,60.38
01/05/2018,60.71
02/05/2018,60.91
04/05/2018,61.19
06/05/2018,61.6
08/05/2018,61.92
10/05/2018,62.21
12/05/2018,62.46
14/05/2018,62.62
15/05/2018,62.74
18/05/2018,62.87
19/05/2018,62.95
21/05/2018,63.28
23/05/2018,63.53
24/05/2018,63.65
26/05/2018,63.82
29/05/2018,63.94
30/05/2018,64.07
31/05/2018,64.11
02/06/2018,64.15
05/06/2018,64.19
07/06/2018,64.11
09/06/2018,63.94
10/06/2018,63.9
12/06/2018,63.94
14/06/2018,63.86
16/06/2018,63.69
18/06/2018,63.53
19/06/2018,63.4
21/06/2018,63.15
22/06/2018,63.03
25/06/2018,62.74
26/06/2018,62.62
28/06/2018,62.7
30/06/2018,62.33
02/07/2018,62.01
03/07/2018,61.88
06/07/2018,61.35
07/07/2018,61.27
10/07/2018,60.87
11/07/2018,60.67
12/07/2018,60.47
14/07/2018,60.1
16/07/2018,59.74
18/07/2018,59.38
20/07/2018,59.11
22/07/2018,58.79
24/07/2018,58.47
25/07/2018,58.35
28/07/2018,57.8
29/07/2018,57.65
01/08/2018,57.1
02/08/2018,56.94
04/08/2018,56.56
06/08/2018,56.21
07/08/2018,56.01
10/08/2018,55.44
12/08/2018,55.06
13/08/2018,54.87
15/08/2018,54.49
16/08/2018,54.3
18/08/2018,54.45
20/08/2018,54.41
22/08/2018,54.04
24/08/2018,53.66
25/08/2018,53.44
28/08/2018,52.87
29/08/2018,52.73
01/09/2018,52.25
02/09/2018,52.06
04/09/2018,51.73
06/09/2018,51.36
08/09/2018,51.07
10/09/2018,51.44
12/09/2018,51.51
13/09/2018,51.51
15/09/2018,51.36
17/09/2018,51.51
18/09/2018,51.69
20/09/2018,51.62
22/09/2018,51.69
24/09/2018,51.77
26/09/2018,51.58
28/09/2018,51.62
29/09/2018,51.51
01/10/2018,51.44
04/10/2018,51.22
05/10/2018,51.18
06/10/2018,51.11
09/10/2018,50.82
11/10/2018,50.71
13/10/2018,50.53
14/10/2018,50.42
16/10/2018,50.64
18/10/2018,50.82
20/10/2018,51.18
21/10/2018,51.66
23/10/2018,51.84
26/10/2018,52.06
27/10/2018,52.17
29/10/2018,52.32
30/10/2018,52.39
01/11/2018,53.14
03/11/2018,53.44
05/11/2018,53.66
06/11/2018,53.88
08/11/2018,54.11
11/11/2018,54.49
12/11/2018,54.56
15/11/2018,54.91
16/11/2018,54.98
18/11/2018,55.17
20/11/2018,55.75
21/11/2018,56.05
23/11/2018,56.83
25/11/2018,57.37
27/11/2018,57.8
29/11/2018,58.12
30/11/2018,58.27
02/12/2018,58.55
04/12/2018,58.75
06/12/2018,58.99
08/12/2018,59.19
10/12/2018,59.38
12/12/2018,59.62
14/12/2018,59.9
15/12/2018,60.02
18/12/2018,60.38
19/12/2018,60.51
21/12/2018,60.75
22/12/2018,60.83
24/12/2018,61.07
26/12/2018,61.23
29/12/2018,61.52
30/12/2018,61.64
