Fecha,Reserva
2012-01-01,96.65
2012-01-02,96.65
2012-01-03,95.97
2012-01-04,95.74
2012-01-05,95.74
2012-01-06,95.52
2012-01-07,89.16
2012-01-08,89.81
2012-01-09,90.46
2012-01-10,90.24
2012-01-11,90.24
2012-01-12,90.02
2012-01-13,89.8
2012-01-14,89.66
2012-01-15,89.52
2012-01-16,89.41
2012-01-17,89.3
2012-01-18,89.16
2012-01-19,89.01
2012-01-20,88.87
2012-01-21,88.73
2012-01-22,88.58
2012-01-23,88.44
2012-01-24,88.3
2012-01-25,88.16
2012-01-26,88.01
2012-01-27,87.87
2012-01-28,87.55
2012-01-29,87.55
2012-01-30,87.23
2012-01-31,87.16
2012-02-01,87.09
2012-02-02,86.81
2012-02-03,86.63
2012-02-04,86.45
2012-02-05,86.56
2012-02-06,86.66
2012-02-07,85.82
2012-02-08,85.61
2012-02-09,85.4
2012-02-10,85.19
2012-02-11,84.98
2012-02-12,84.77
2012-02-13,84.56
2012-02-14,84.35
2012-02-15,84.14
2012-02-16,84.01
2012-02-17,83.8
2012-02-18,83.8
2012-02-19,83.59
2012-02-20,83.38
2012-02-21,83.18
2012-02-22,82.97
2012-02-23,82.76
2012-02-24,82.49
2012-02-25,82.28
2012-02-26,82.08
2012-02-27,81.84
2012-02-28,81.6
2012-02-29,81.39
2012-03-01,81.19
2012-03-02,80.99
2012-03-03,80.68
2012-03-04,80.68
2012-03-05,80.38
2012-03-06,80.17
2012-03-07,79.97
2012-03-08,79.77
2012-03-09,79.57
2012-03-10,79.37
2012-03-11,79.16
2012-03-12,78.96
2012-03-13,78.76
2012-03-14,78.56
2012-03-15,78.3
2012-03-16,78.03
2012-03-17,78.76
2012-03-18,78.76
2012-03-19,78.76
2012-03-20,77.17
2012-03-21,76.78
2012-03-22,76.78
2012-03-23,76.38
2012-03-24,76.12
2012-03-25,75.82
2012-03-26,75.82
2012-03-27,75.53
2012-03-28,75.33
2012-03-29,75.07
2012-03-30,74.81
2012-03-31,74.62
2012-04-01,74.42
2012-04-02,74.3
2012-04-03,74.43
2012-04-04,74.56
2012-04-05,74.46
2012-04-06,74.36
2012-04-07,74.16
2012-04-08,74.16
2012-04-09,73.97
2012-04-10,73.78
2012-04-11,73.59
2012-04-12,73.4
2012-04-13,73.2
2012-04-14,73.08
2012-04-15,72.95
2012-04-16,72.66
2012-04-17,72.66
2012-04-18,72.37
2012-04-19,72.31
2012-04-20,72.25
2012-04-21,71.99
2012-04-22,71.87
2012-04-23,71.68
2012-04-24,71.68
2012-04-25,71.49
2012-04-26,71.33
2012-04-27,71.17
2012-04-28,70.98
2012-04-29,70.95
2012-04-30,70.95
2012-05-01,70.92
2012-05-02,70.79
2012-05-03,70.64
2012-05-04,70.48
2012-05-05,70.42
2012-05-06,71.08
2012-05-07,71.74
2012-05-08,72.28
2012-05-09,72.82
2012-05-10,72.98
2012-05-11,73.14
2012-05-12,73.08
2012-05-13,73.01
2012-05-14,72.82
2012-05-15,72.54
2012-05-16,72.54
2012-05-17,72.25
2012-05-18,72.12
2012-05-19,71.99
2012-05-20,71.99
2012-05-21,71.8
2012-05-22,71.8
2012-05-23,71.61
2012-05-24,71.87
2012-05-25,71.36
2012-05-26,71.08
2012-05-27,71.08
2012-05-28,70.79
2012-05-29,70.61
2012-05-30,70.32
2012-05-31,70.32
2012-06-01,70.04
2012-06-02,69.86
2012-06-03,69.67
2012-06-04,69.48
2012-06-05,69.3
2012-06-06,69.11
2012-06-07,68.87
2012-06-08,68.62
2012-06-09,68.37
2012-06-10,68.12
2012-06-11,67.88
2012-06-12,67.69
2012-06-13,67.51
2012-06-14,67.33
2012-06-15,67.15
2012-06-16,67.15
2012-06-17,67.15
2012-06-18,67.15
2012-06-19,66.67
2012-06-20,66.18
2012-06-21,66.0
2012-06-22,65.82
2012-06-23,65.64
2012-06-24,65.46
2012-06-25,65.28
2012-06-26,65.1
2012-06-27,64.92
2012-06-28,64.56
2012-06-29,64.56
2012-06-30,64.2
2012-07-01,64.0
2012-07-02,63.79
2012-07-03,63.79
2012-07-04,63.61
2012-07-05,63.44
2012-07-06,63.11
2012-07-07,62.79
2012-07-08,62.56
2012-07-09,62.32
2012-07-10,62.09
2012-07-11,61.8
2012-07-12,61.8
2012-07-13,61.51
2012-07-14,61.28
2012-07-15,60.94
2012-07-16,60.94
2012-07-17,60.59
2012-07-18,60.3
2012-07-19,60.04
2012-07-20,59.79
2012-07-21,59.48
2012-07-22,59.17
2012-07-23,59.17
2012-07-24,58.94
2012-07-25,58.72
2012-07-26,58.55
2012-07-27,58.38
2012-07-28,58.21
2012-07-29,58.04
2012-07-30,57.88
2012-07-31,57.63
2012-08-01,57.63
2012-08-02,57.38
2012-08-03,57.27
2012-08-04,57.03
2012-08-05,57.03
2012-08-06,56.78
2012-08-07,56.61
2012-08-08,56.44
2012-08-09,56.28
2012-08-10,56.12
2012-08-11,55.95
2012-08-12,55.74
2012-08-13,55.52
2012-08-14,55.36
2012-08-15,55.19
2012-08-16,55.08
2012-08-17,54.84
2012-08-18,54.84
2012-08-19,54.6
2012-08-20,54.49
2012-08-21,54.36
2012-08-22,54.22
2012-08-23,54.04
2012-08-24,53.85
2012-08-25,53.69
2012-08-26,53.53
2012-08-27,53.42
2012-08-28,53.26
2012-08-29,53.1
2012-08-30,52.94
2012-08-31,52.79
2012-09-01,52.58
2012-09-02,52.26
2012-09-03,52.26
2012-09-04,51.95
2012-09-05,51.69
2012-09-06,51.3
2012-09-07,51.3
2012-09-08,50.91
2012-09-09,50.66
2012-09-10,50.4
2012-09-11,50.19
2012-09-12,49.98
2012-09-13,49.78
2012-09-14,49.53
2012-09-15,49.25
2012-09-16,49.25
2012-09-17,48.97
2012-09-18,48.92
2012-09-19,48.82
2012-09-20,48.72
2012-09-21,48.67
2012-09-22,48.62
2012-09-23,48.57
2012-09-24,48.52
2012-09-25,48.62
2012-09-26,48.62
2012-09-27,48.62
2012-09-28,48.62
2012-09-29,49.4
2012-09-30,50.19
2012-10-01,50.5
2012-10-02,50.5
2012-10-03,50.5
2012-10-04,50.42
2012-10-05,50.34
2012-10-06,50.24
2012-10-07,50.14
2012-10-08,50.04
2012-10-09,49.94
2012-10-10,49.83
2012-10-11,49.73
2012-10-12,49.63
2012-10-13,49.53
2012-10-14,49.43
2012-10-15,49.33
2012-10-16,49.23
2012-10-17,49.12
2012-10-18,48.97
2012-10-19,48.97
2012-10-20,48.82
2012-10-21,48.74
2012-10-22,48.67
2012-10-23,48.57
2012-10-24,48.47
2012-10-25,48.62
2012-10-26,51.1
2012-10-27,53.58
2012-10-28,55.03
2012-10-29,55.68
2012-10-30,56.34
2012-10-31,57.53
2012-11-01,57.53
2012-11-02,58.72
2012-11-03,59.91
2012-11-04,64.48
2012-11-05,69.05
2012-11-06,73.54
2012-11-07,78.03
2012-11-08,84.64
2012-11-09,91.25
2012-11-10,96.0
2012-11-11,100.76
2012-11-12,104.81
2012-11-13,107.32
2012-11-14,109.83
2012-11-15,111.42
2012-11-16,113.01
2012-11-17,114.0
2012-11-18,115.24
2012-11-19,116.49
2012-11-20,113.81
2012-11-21,113.81
2012-11-22,111.13
2012-11-23,108.79
2012-11-24,109.23
2012-11-25,109.23
2012-11-26,109.67
2012-11-27,109.83
2012-11-28,109.92
2012-11-29,110.0
2012-11-30,109.96
2012-12-01,109.92
2012-12-02,109.84
2012-12-03,109.75
2012-12-04,109.67
2012-12-05,109.71
2012-12-06,109.71
2012-12-07,109.75
2012-12-08,111.29
2012-12-09,111.46
2012-12-10,111.54
2012-12-11,111.62
2012-12-12,111.62
2012-12-13,111.62
2012-12-14,111.62
2012-12-15,111.7
2012-12-16,111.78
2012-12-17,116.07
2012-12-18,113.96
2012-12-19,111.86
2012-12-20,109.08
2012-12-21,106.31
2012-12-22,103.3
2012-12-23,100.3
2012-12-24,97.25
2012-12-25,96.92
2012-12-26,96.58
2012-12-27,96.57
2012-12-28,96.57
2012-12-29,96.57
2012-12-30,96.58
2012-12-31,96.62
2013-01-01,96.65
2013-01-02,96.58
2013-01-03,96.65
2013-01-04,96.62
2013-01-05,96.62
2013-01-06,96.58
2013-01-07,96.5
2013-01-08,96.39
2013-01-09,96.39
2013-01-10,96.28
2013-01-11,96.28
2013-01-12,96.2
2013-01-13,96.12
2013-01-14,96.12
2013-01-15,96.05
2013-01-16,96.32
2013-01-17,96.58
2013-01-18,97.79
2013-01-19,99.0
2013-01-20,99.0
2013-01-21,106.38
2013-01-22,113.75
2013-01-23,114.24
2013-01-24,114.74
2013-01-25,116.62
2013-01-26,118.51
2013-01-27,118.51
2013-01-28,118.51
2013-01-29,113.67
2013-01-30,114.46
2013-01-31,115.24
2013-02-01,115.95
2013-02-02,116.66
2013-02-03,117.0
2013-02-04,117.33
2013-02-05,117.54
2013-02-06,117.75
2013-02-07,117.84
2013-02-08,117.92
2013-02-09,118.0
2013-02-10,118.17
2013-02-11,118.34
2013-02-12,118.38
2013-02-13,118.42
2013-02-14,118.51
2013-02-15,118.55
2013-02-16,118.55
2013-02-17,118.59
2013-02-18,118.64
2013-02-19,118.68
2013-02-20,121.82
2013-02-21,122.94
2013-02-22,122.94
2013-02-23,124.06
2013-02-24,122.77
2013-02-25,120.42
2013-02-26,118.08
2013-02-27,118.84
2013-02-28,119.6
2013-03-01,120.46
2013-03-02,116.57
2013-03-03,116.57
2013-03-04,112.68
2013-03-05,113.26
2013-03-06,119.4
2013-03-07,125.54
2013-03-08,125.62
2013-03-09,126.8
2013-03-10,126.8
2013-03-11,127.99
2013-03-12,126.59
2013-03-13,125.19
2013-03-14,124.84
2013-03-15,123.59
2013-03-16,122.34
2013-03-17,120.76
2013-03-18,119.18
2013-03-19,117.16
2013-03-20,117.46
2013-03-21,117.75
2013-03-22,116.04
2013-03-23,114.33
2013-03-24,113.34
2013-03-25,112.36
2013-03-26,113.76
2013-03-27,115.16
2013-03-28,116.62
2013-03-29,118.08
2013-03-30,123.28
2013-03-31,124.28
2013-04-01,125.28
2013-04-02,124.06
2013-04-03,124.06
2013-04-04,122.85
2013-04-05,123.97
2013-04-06,126.16
2013-04-07,128.34
2013-04-08,129.58
2013-04-09,130.82
