Fecha,Reserva
01/01/2014,85.54
02/01/2014,85.54
03/01/2014,85.54
05/01/2014,86.31
07/01/2014,86.24
09/01/2014,86.24
11/01/2014,86.31
13/01/2014,86.1
14/01/2014,86.03
17/01/2014,86.24
19/01/2014,86.95
20/01/2014,86.95
22/01/2014,91.69
24/01/2014,92.86
26/01/2014,93.97
28/01/2014,94.19
30/01/2014,95.01
31/01/2014,95.08
02/02/2014,96.2
04/02/2014,96.8
05/02/2014,97.03
08/02/2014,101.15
10/02/2014,115.57
11/02/2014,116.16
13/02/2014,120.03
14/02/2014,120.88
16/02/2014,119.27
19/02/2014,114.08
20/02/2014,111.86
22/02/2014,113.5
24/02/2014,114.5
25/02/2014,114.99
28/02/2014,115.82
02/03/2014,116.41
04/03/2014,118.34
05/03/2014,117.83
07/03/2014,116.41
08/03/2014,116.74
10/03/2014,117.24
12/03/2014,117.5
14/03/2014,117.66
16/03/2014,117.83
18/03/2014,118.0
20/03/2014,118.0
21/03/2014,118.08
23/03/2014,118.17
26/03/2014,118.08
27/03/2014,116.41
28/03/2014,110.08
30/03/2014,109.67
02/04/2014,109.67
04/04/2014,111.86
06/04/2014,112.36
07/04/2014,112.44
08/04/2014,112.52
10/04/2014,112.52
12/04/2014,112.6
14/04/2014,112.68
16/04/2014,112.68
18/04/2014,112.52
20/04/2014,112.44
22/04/2014,115.74
24/04/2014,116.49
26/04/2014,116.91
28/04/2014,116.91
29/04/2014,117.16
30/04/2014,117.16
03/05/2014,117.16
04/05/2014,117.16
06/05/2014,116.99
08/05/2014,116.83
09/05/2014,116.74
12/05/2014,116.49
14/05/2014,116.15
15/05/2014,115.9
18/05/2014,115.41
19/05/2014,115.32
21/05/2014,115.15
23/05/2014,114.91
24/05/2014,114.14
26/05/2014,114.58
29/05/2014,114.08
30/05/2014,114.91
31/05/2014,113.75
02/06/2014,113.34
05/06/2014,112.93
07/06/2014,112.44
08/06/2014,112.19
10/06/2014,111.78
12/06/2014,111.29
14/06/2014,110.81
15/06/2014,110.56
17/06/2014,110.08
19/06/2014,109.59
21/06/2014,109.11
23/06/2014,108.79
24/06/2014,108.54
27/06/2014,108.06
29/06/2014,107.58
30/06/2014,107.82
02/07/2014,106.86
04/07/2014,106.39
06/07/2014,105.91
08/07/2014,105.44
09/07/2014,105.2
11/07/2014,104.65
12/07/2014,104.34
14/07/2014,103.87
17/07/2014,102.93
19/07/2014,102.46
20/07/2014,102.15
22/07/2014,101.69
23/07/2014,101.38
25/07/2014,100.91
27/07/2014,100.38
29/07/2014,99.92
31/07/2014,99.38
02/08/2014,98.77
04/08/2014,98.23
06/08/2014,97.78
07/08/2014,97.48
10/08/2014,96.8
11/08/2014,96.57
13/08/2014,95.98
14/08/2014,95.75
17/08/2014,94.85
18/08/2014,94.56
21/08/2014,93.67
23/08/2014,93.22
24/08/2014,92.93
26/08/2014,92.42
28/08/2014,91.83
29/08/2014,91.54
31/08/2014,91.03
02/09/2014,90.6
03/09/2014,90.38
05/09/2014,89.8
08/09/2014,88.94
09/09/2014,88.73
11/09/2014,88.16
13/09/2014,87.66
14/09/2014,87.37
17/09/2014,86.74
19/09/2014,86.6
20/09/2014,86.38
23/09/2014,85.75
24/09/2014,85.61
26/09/2014,85.4
27/09/2014,85.2
29/09/2014,84.77
02/10/2014,84.14
03/10/2014,83.94
05/10/2014,83.52
07/10/2014,83.11
09/10/2014,82.9
11/10/2014,82.42
13/10/2014,82.21
14/10/2014,82.28
16/10/2014,82.14
17/10/2014,82.01
20/10/2014,81.39
21/10/2014,81.39
24/10/2014,81.53
25/10/2014,81.33
27/10/2014,80.92
29/10/2014,80.51
31/10/2014,80.11
02/11/2014,79.7
03/11/2014,79.5
05/11/2014,79.5
07/11/2014,79.23
09/11/2014,79.57
10/11/2014,79.5
12/11/2014,79.5
15/11/2014,83.52
16/11/2014,84.01
18/11/2014,84.49
19/11/2014,84.49
22/11/2014,84.28
23/11/2014,84.42
26/11/2014,84.35
27/11/2014,84.84
29/11/2014,90.09
01/12/2014,91.69
02/12/2014,91.98
04/12/2014,92.42
06/12/2014,92.64
08/12/2014,92.64
09/12/2014,92.57
11/12/2014,92.94
13/12/2014,93.23
15/12/2014,94.49
17/12/2014,94.93
19/12/2014,94.78
20/12/2014,94.93
22/12/2014,95.08
24/12/2014,95.01
26/12/2014,94.78
29/12/2014,94.56
30/12/2014,94.63
