Fecha,Reserva
01/01/2016,6.15
02/01/2016,6.24
03/01/2016,6.27
05/01/2016,6.31
08/01/2016,6.31
09/01/2016,6.37
12/01/2016,6.47
13/01/2016,6.48
14/01/2016,6.5
16/01/2016,6.52
18/01/2016,6.54
21/01/2016,6.57
22/01/2016,6.59
24/01/2016,6.61
25/01/2016,6.62
27/01/2016,6.66
30/01/2016,6.69
01/02/2016,6.7
02/02/2016,6.7
04/02/2016,6.7
06/02/2016,6.71
07/02/2016,6.71
10/02/2016,6.71
12/02/2016,6.72
13/02/2016,6.73
15/02/2016,7.89
16/02/2016,7.92
19/02/2016,7.93
21/02/2016,7.94
23/02/2016,6.8
24/02/2016,6.8
26/02/2016,6.83
27/02/2016,6.85
29/02/2016,6.86
02/03/2016,6.86
05/03/2016,6.86
06/03/2016,6.86
08/03/2016,6.87
09/03/2016,6.88
11/03/2016,6.88
14/03/2016,6.89
15/03/2016,6.91
18/03/2016,6.91
19/03/2016,6.92
20/03/2016,6.95
22/03/2016,7.0
24/03/2016,7.02
26/03/2016,7.02
28/03/2016,7.05
30/03/2016,7.05
31/03/2016,7.05
02/04/2016,7.05
05/04/2016,7.05
07/04/2016,7.06
09/04/2016,7.06
10/04/2016,7.08
12/04/2016,7.08
13/04/2016,7.1
16/04/2016,7.13
18/04/2016,7.21
19/04/2016,7.22
21/04/2016,7.91
22/04/2016,7.97
24/04/2016,8.01
27/04/2016,8.02
28/04/2016,8.03
30/04/2016,8.03
02/05/2016,8.05
03/05/2016,8.05
06/05/2016,8.05
08/05/2016,8.22
10/05/2016,9.41
12/05/2016,11.84
13/05/2016,11.98
14/05/2016,12.02
16/05/2016,12.0
19/05/2016,11.98
21/05/2016,12.0
22/05/2016,12.0
24/05/2016,11.98
26/05/2016,4.54
27/05/2016,11.98
29/05/2016,11.96
31/05/2016,11.96
02/06/2016,11.94
04/06/2016,11.94
06/06/2016,11.9
07/06/2016,11.9
10/06/2016,11.9
11/06/2016,11.88
13/06/2016,11.84
15/06/2016,11.62
16/06/2016,11.44
18/06/2016,11.44
21/06/2016,11.44
22/06/2016,11.42
24/06/2016,11.4
26/06/2016,11.4
27/06/2016,11.38
29/06/2016,11.36
01/07/2016,11.38
04/07/2016,11.31
06/07/2016,11.31
07/07/2016,11.29
08/07/2016,11.29
11/07/2016,11.25
12/07/2016,11.25
14/07/2016,10.79
16/07/2016,10.53
18/07/2016,10.53
20/07/2016,10.53
21/07/2016,9.89
24/07/2016,9.44
26/07/2016,10.53
28/07/2016,10.53
29/07/2016,8.79
30/07/2016,10.53
02/08/2016,10.53
04/08/2016,8.01
05/08/2016,7.87
07/08/2016,7.53
09/08/2016,7.17
10/08/2016,6.92
12/08/2016,6.57
14/08/2016,6.19
16/08/2016,5.87
18/08/2016,5.53
20/08/2016,5.08
22/08/2016,4.71
24/08/2016,4.48
26/08/2016,4.29
28/08/2016,4.01
30/08/2016,3.79
31/08/2016,3.74
01/09/2016,3.59
03/09/2016,3.48
05/09/2016,3.19
07/09/2016,3.24
09/09/2016,3.24
11/09/2016,3.24
12/09/2016,3.24
14/09/2016,3.25
16/09/2016,3.23
18/09/2016,3.25
21/09/2016,3.25
22/09/2016,3.26
23/09/2016,3.26
25/09/2016,3.26
27/09/2016,3.26
29/09/2016,3.26
01/10/2016,3.26
03/10/2016,3.26
05/10/2016,3.26
07/10/2016,3.32
09/10/2016,3.51
10/10/2016,3.54
12/10/2016,3.59
14/10/2016,3.62
15/10/2016,3.67
17/10/2016,3.69
20/10/2016,3.7
22/10/2016,3.72
24/10/2016,3.8
25/10/2016,3.93
27/10/2016,3.98
29/10/2016,3.99
30/10/2016,3.93
01/11/2016,4.0
03/11/2016,4.01
05/11/2016,4.07
07/11/2016,3.99
08/11/2016,3.99
11/11/2016,4.06
13/11/2016,4.06
15/11/2016,4.0
16/11/2016,4.08
18/11/2016,4.09
20/11/2016,4.09
22/11/2016,4.17
23/11/2016,4.17
26/11/2016,4.24
27/11/2016,4.34
28/11/2016,4.58
01/12/2016,4.82
02/12/2016,7.5
05/12/2016,12.21
06/12/2016,12.09
08/12/2016,12.03
10/12/2016,12.0
12/12/2016,11.95
14/12/2016,12.01
16/12/2016,12.15
17/12/2016,12.05
19/12/2016,11.99
20/12/2016,12.21
22/12/2016,12.01
25/12/2016,12.01
26/12/2016,11.85
29/12/2016,11.91
30/12/2016,11.91
