Fecha,Reserva
01/01/2013,16.47
02/01/2013,16.47
04/01/2013,16.47
06/01/2013,16.48
07/01/2013,16.51
10/01/2013,16.5
11/01/2013,16.48
13/01/2013,16.48
15/01/2013,16.47
16/01/2013,16.47
19/01/2013,16.58
20/01/2013,17.58
22/01/2013,17.95
23/01/2013,17.96
25/01/2013,17.93
27/01/2013,17.91
30/01/2013,17.89
31/01/2013,17.89
02/02/2013,17.89
03/02/2013,17.86
05/02/2013,17.85
08/02/2013,17.86
10/02/2013,17.83
11/02/2013,17.86
13/02/2013,17.83
15/02/2013,17.83
16/02/2013,17.79
18/02/2013,17.78
21/02/2013,17.82
23/02/2013,17.95
24/02/2013,17.92
25/02/2013,17.88
28/02/2013,17.86
01/03/2013,17.88
03/03/2013,17.89
05/03/2013,17.86
07/03/2013,17.92
08/03/2013,18.27
10/03/2013,18.05
13/03/2013,18.1
14/03/2013,17.99
16/03/2013,17.9
17/03/2013,17.89
20/03/2013,17.95
22/03/2013,17.9
24/03/2013,17.97
26/03/2013,17.93
27/03/2013,18.12
29/03/2013,17.97
31/03/2013,17.93
02/04/2013,18.08
03/04/2013,17.98
06/04/2013,17.96
07/04/2013,17.91
08/04/2013,17.91
11/04/2013,17.86
12/04/2013,17.86
15/04/2013,17.83
16/04/2013,17.83
18/04/2013,17.82
19/04/2013,17.83
21/04/2013,17.8
23/04/2013,17.79
25/04/2013,17.76
28/04/2013,17.73
29/04/2013,17.73
30/04/2013,17.75
02/05/2013,17.72
05/05/2013,17.66
07/05/2013,17.65
08/05/2013,17.63
10/05/2013,17.59
12/05/2013,17.55
13/05/2013,17.54
15/05/2013,17.5
17/05/2013,17.49
19/05/2013,17.49
20/05/2013,17.48
22/05/2013,17.44
24/05/2013,17.42
26/05/2013,17.37
28/05/2013,17.36
30/05/2013,17.32
31/05/2013,17.31
02/06/2013,17.26
04/06/2013,17.21
06/06/2013,17.18
09/06/2013,17.11
10/06/2013,17.1
12/06/2013,17.07
14/06/2013,17.03
16/06/2013,16.96
18/06/2013,16.91
19/06/2013,16.89
21/06/2013,16.86
22/06/2013,16.83
24/06/2013,16.79
26/06/2013,16.74
28/06/2013,16.68
01/07/2013,16.63
02/07/2013,16.58
03/07/2013,16.6
05/07/2013,16.52
08/07/2013,16.45
09/07/2013,16.42
11/07/2013,16.37
13/07/2013,16.32
15/07/2013,16.29
17/07/2013,16.23
19/07/2013,16.19
21/07/2013,16.13
22/07/2013,16.12
23/07/2013,16.11
25/07/2013,16.04
27/07/2013,15.98
29/07/2013,15.94
01/08/2013,15.86
02/08/2013,15.84
03/08/2013,15.81
06/08/2013,15.75
07/08/2013,15.72
09/08/2013,15.68
11/08/2013,15.62
13/08/2013,15.57
15/08/2013,15.52
17/08/2013,15.48
18/08/2013,15.45
20/08/2013,15.41
23/08/2013,15.34
24/08/2013,15.29
25/08/2013,15.26
28/08/2013,15.22
30/08/2013,15.21
31/08/2013,15.18
02/09/2013,15.15
04/09/2013,15.1
06/09/2013,15.06
07/09/2013,15.05
09/09/2013,14.99
11/09/2013,14.96
13/09/2013,14.92
15/09/2013,14.89
17/09/2013,14.85
18/09/2013,14.84
20/09/2013,14.8
23/09/2013,14.73
24/09/2013,14.72
25/09/2013,14.69
28/09/2013,14.64
30/09/2013,14.64
01/10/2013,14.66
03/10/2013,14.66
05/10/2013,14.59
07/10/2013,14.55
08/10/2013,14.54
10/10/2013,14.51
13/10/2013,14.44
14/10/2013,14.44
16/10/2013,14.39
18/10/2013,14.37
19/10/2013,14.31
22/10/2013,14.27
23/10/2013,14.28
25/10/2013,14.25
27/10/2013,14.23
29/10/2013,14.21
30/10/2013,14.2
02/11/2013,14.14
03/11/2013,14.13
05/11/2013,14.02
06/11/2013,14.01
08/11/2013,13.98
10/11/2013,13.93
12/11/2013,13.91
15/11/2013,13.85
16/11/2013,13.82
18/11/2013,13.8
20/11/2013,13.77
22/11/2013,13.75
23/11/2013,13.73
26/11/2013,13.71
27/11/2013,13.69
29/11/2013,13.67
01/12/2013,13.64
03/12/2013,13.62
05/12/2013,13.59
06/12/2013,13.58
08/12/2013,13.56
09/12/2013,13.56
11/12/2013,13.53
14/12/2013,13.42
15/12/2013,13.42
17/12/2013,13.38
19/12/2013,13.42
21/12/2013,13.42
23/12/2013,13.39
24/12/2013,13.41
26/12/2013,13.56
29/12/2013,13.6
30/12/2013,13.6
