Fecha,Reserva
2012-01-01,153.23
2012-01-02,153.03
2012-01-03,152.74
2012-01-04,152.49
2012-01-05,152.49
2012-01-06,152.24
2012-01-07,144.75
2012-01-08,145.52
2012-01-09,146.3
2012-01-10,146.0
2012-01-11,146.0
2012-01-12,145.7
2012-01-13,145.58
2012-01-14,145.4
2012-01-15,145.22
2012-01-16,145.58
2012-01-17,145.17
2012-01-18,144.75
2012-01-19,144.45
2012-01-20,144.45
2012-01-21,144.15
2012-01-22,144.03
2012-01-23,143.91
2012-01-24,143.91
2012-01-25,143.74
2012-01-26,143.56
2012-01-27,143.26
2012-01-28,142.97
2012-01-29,143.08
2012-01-30,143.2
2012-01-31,142.5
2012-02-01,142.26
2012-02-02,142.26
2012-02-03,142.01
2012-02-04,141.79
2012-02-05,141.64
2012-02-06,141.49
2012-02-07,141.17
2012-02-08,140.85
2012-02-09,140.74
2012-02-10,140.62
2012-02-11,140.44
2012-02-12,140.27
2012-02-13,140.04
2012-02-14,139.8
2012-02-15,139.8
2012-02-16,139.58
2012-02-17,139.37
2012-02-18,138.99
2012-02-19,138.82
2012-02-20,138.82
2012-02-21,138.66
2012-02-22,138.36
2012-02-23,138.06
2012-02-24,137.99
2012-02-25,137.8
2012-02-26,137.6
2012-02-27,137.37
2012-02-28,137.14
2012-02-29,137.21
2012-03-01,137.28
2012-03-02,136.86
2012-03-03,136.45
2012-03-04,136.33
2012-03-05,136.18
2012-03-06,136.02
2012-03-07,135.55
2012-03-08,135.07
2012-03-09,134.73
2012-03-10,134.39
2012-03-11,134.39
2012-03-12,133.76
2012-03-13,133.12
2012-03-14,132.49
2012-03-15,132.49
2012-03-16,131.86
2012-03-17,131.63
2012-03-18,131.23
2012-03-19,130.83
2012-03-20,130.37
2012-03-21,129.69
2012-03-22,129.69
2012-03-23,129.01
2012-03-24,128.44
2012-03-25,127.88
2012-03-26,127.88
2012-03-27,127.31
2012-03-28,126.86
2012-03-29,126.42
2012-03-30,126.08
2012-03-31,125.85
2012-04-01,125.68
2012-04-02,125.52
2012-04-03,125.41
2012-04-04,125.41
2012-04-05,125.3
2012-04-06,123.89
2012-04-07,122.48
2012-04-08,125.18
2012-04-09,125.02
2012-04-10,124.85
2012-04-11,124.68
2012-04-12,124.52
2012-04-13,124.29
2012-04-14,124.07
2012-04-15,123.96
2012-04-16,123.74
2012-04-17,123.52
2012-04-18,123.35
2012-04-19,123.35
2012-04-20,123.18
2012-04-21,122.85
2012-04-22,122.63
2012-04-23,122.41
2012-04-24,122.19
2012-04-25,121.92
2012-04-26,121.92
2012-04-27,121.64
2012-04-28,121.53
2012-04-29,121.36
2012-04-30,121.36
2012-05-01,121.2
2012-05-02,121.05
2012-05-03,120.9
2012-05-04,120.76
2012-05-05,120.76
2012-05-06,120.76
2012-05-07,120.71
2012-05-08,120.65
2012-05-09,120.76
2012-05-10,120.87
2012-05-11,120.98
2012-05-12,121.15
2012-05-13,121.31
2012-05-14,121.53
2012-05-15,121.75
2012-05-16,121.75
2012-05-17,121.97
2012-05-18,121.97
2012-05-19,121.8
2012-05-20,121.8
2012-05-21,121.64
2012-05-22,121.42
2012-05-23,121.42
2012-05-24,121.42
2012-05-25,121.31
2012-05-26,121.2
2012-05-27,121.42
2012-05-28,121.36
2012-05-29,121.36
2012-05-30,121.31
2012-05-31,121.53
2012-06-01,121.86
2012-06-02,122.19
2012-06-03,122.57
2012-06-04,122.96
2012-06-05,123.18
2012-06-06,123.4
2012-06-07,123.52
2012-06-08,123.63
2012-06-09,123.46
2012-06-10,123.29
2012-06-11,123.4
2012-06-12,123.68
2012-06-13,123.96
2012-06-14,124.12
2012-06-15,124.29
2012-06-16,124.29
2012-06-17,124.29
2012-06-18,124.57
2012-06-19,124.85
2012-06-20,124.85
2012-06-21,124.96
2012-06-22,124.96
2012-06-23,125.07
2012-06-24,125.3
2012-06-25,125.41
2012-06-26,125.52
2012-06-27,125.41
2012-06-28,125.3
2012-06-29,125.07
2012-06-30,124.85
2012-07-01,124.85
2012-07-02,124.63
2012-07-03,124.63
2012-07-04,124.52
2012-07-05,124.4
2012-07-06,124.24
2012-07-07,124.07
2012-07-08,123.85
2012-07-09,123.63
2012-07-10,123.52
2012-07-11,123.4
2012-07-12,129.33
2012-07-13,126.2
2012-07-14,123.07
2012-07-15,122.79
2012-07-16,122.79
2012-07-17,122.52
2012-07-18,122.52
2012-07-19,122.41
2012-07-20,122.3
2012-07-21,122.14
2012-07-22,121.97
2012-07-23,121.86
2012-07-24,121.75
2012-07-25,121.64
2012-07-26,121.36
2012-07-27,121.36
2012-07-28,121.09
2012-07-29,120.98
2012-07-30,120.82
2012-07-31,120.65
2012-08-01,121.2
2012-08-02,121.15
2012-08-03,121.09
2012-08-04,120.93
2012-08-05,120.76
2012-08-06,120.65
2012-08-07,120.65
2012-08-08,120.54
2012-08-09,120.54
2012-08-10,120.43
2012-08-11,120.43
2012-08-12,120.43
2012-08-13,120.32
2012-08-14,120.21
2012-08-15,120.26
2012-08-16,120.32
2012-08-17,120.32
2012-08-18,120.32
2012-08-19,120.32
2012-08-20,120.1
2012-08-21,119.88
2012-08-22,119.72
2012-08-23,119.72
2012-08-24,119.56
2012-08-25,119.4
2012-08-26,119.23
2012-08-27,119.18
2012-08-28,119.12
2012-08-29,119.01
2012-08-30,118.8
2012-08-31,118.58
2012-09-01,118.36
2012-09-02,117.93
2012-09-03,117.93
2012-09-04,117.5
2012-09-05,117.06
2012-09-06,116.63
2012-09-07,116.2
2012-09-08,115.78
2012-09-09,115.46
2012-09-10,115.08
2012-09-11,114.71
2012-09-12,114.28
2012-09-13,113.86
2012-09-14,113.86
2012-09-15,113.43
2012-09-16,113.43
2012-09-17,113.32
2012-09-18,113.32
2012-09-19,113.22
2012-09-20,113.22
2012-09-21,113.17
2012-09-22,113.12
2012-09-23,113.01
2012-09-24,112.96
2012-09-25,112.96
2012-09-26,112.91
2012-09-27,113.02
2012-09-28,113.12
2012-09-29,113.12
2012-09-30,113.12
2012-10-01,113.12
2012-10-02,113.12
2012-10-03,113.01
2012-10-04,113.01
2012-10-05,112.9
2012-10-06,112.9
2012-10-07,112.8
2012-10-08,112.8
2012-10-09,112.8
2012-10-10,112.69
2012-10-11,112.69
2012-10-12,112.69
2012-10-13,112.64
2012-10-14,112.59
2012-10-15,112.48
2012-10-16,112.43
2012-10-17,112.38
2012-10-18,112.43
2012-10-19,112.43
2012-10-20,112.48
2012-10-21,112.59
2012-10-22,112.59
2012-10-23,112.59
2012-10-24,112.59
2012-10-25,112.69
2012-10-26,113.01
2012-10-27,113.12
2012-10-28,113.22
2012-10-29,113.28
2012-10-30,113.28
2012-10-31,113.33
2012-11-01,113.28
2012-11-02,113.22
2012-11-03,113.91
2012-11-04,114.6
2012-11-05,117.6
2012-11-06,117.82
2012-11-07,118.26
2012-11-08,118.69
2012-11-09,119.62
2012-11-10,119.62
2012-11-11,120.54
2012-11-12,122.08
2012-11-13,122.14
2012-11-14,122.14
2012-11-15,122.19
2012-11-16,122.3
2012-11-17,122.85
2012-11-18,136.32
2012-11-19,149.8
2012-11-20,150.96
2012-11-21,152.12
2012-11-22,152.74
2012-11-23,153.35
2012-11-24,153.66
2012-11-25,153.97
2012-11-26,154.16
2012-11-27,154.35
2012-11-28,154.59
2012-11-29,154.72
2012-11-30,154.84
2012-12-01,155.16
2012-12-02,155.47
2012-12-03,155.53
2012-12-04,155.59
2012-12-05,155.66
2012-12-06,155.72
2012-12-07,155.97
2012-12-08,156.22
2012-12-09,156.35
2012-12-10,156.41
2012-12-11,156.47
2012-12-12,156.47
2012-12-13,156.47
2012-12-14,156.47
2012-12-15,156.72
2012-12-16,157.48
2012-12-17,158.24
2012-12-18,158.88
2012-12-19,159.51
2012-12-20,160.15
2012-12-21,160.6
2012-12-22,160.6
2012-12-23,161.05
2012-12-24,161.24
2012-12-25,161.43
2012-12-26,161.56
2012-12-27,161.69
2012-12-28,161.82
2012-12-29,161.88
2012-12-30,161.95
2012-12-31,162.08
2013-01-01,162.21
2013-01-02,162.34
2013-01-03,162.34
2013-01-04,162.47
2013-01-05,162.47
2013-01-06,162.6
2013-01-07,162.6
2013-01-08,162.6
2013-01-09,162.73
2013-01-10,162.8
2013-01-11,162.86
2013-01-12,162.93
2013-01-13,162.99
2013-01-14,162.99
2013-01-15,162.99
2013-01-16,162.99
2013-01-17,163.25
2013-01-18,163.25
2013-01-19,163.51
2013-01-20,164.81
2013-01-21,165.54
2013-01-22,166.26
2013-01-23,166.92
2013-01-24,167.38
2013-01-25,167.85
2013-01-26,168.79
2013-01-27,168.79
2013-01-28,169.73
2013-01-29,170.13
2013-01-30,170.4
2013-01-31,170.67
2013-02-01,170.94
2013-02-02,171.22
2013-02-03,171.36
2013-02-04,171.49
2013-02-05,171.62
2013-02-06,171.69
2013-02-07,171.69
2013-02-08,171.76
2013-02-09,171.9
2013-02-10,171.96
2013-02-11,172.03
2013-02-12,172.03
2013-02-13,172.03
2013-02-14,172.17
2013-02-15,172.17
2013-02-16,172.17
2013-02-17,172.51
2013-02-18,172.51
2013-02-19,172.85
2013-02-20,175.49
2013-02-21,178.13
2013-02-22,182.84
2013-02-23,183.49
2013-02-24,184.14
2013-02-25,183.13
2013-02-26,182.12
2013-02-27,181.25
2013-02-28,182.26
2013-03-01,183.27
2013-03-02,181.62
2013-03-03,181.62
2013-03-04,179.97
2013-03-05,182.26
2013-03-06,201.2
2013-03-07,200.09
2013-03-08,200.09
2013-03-09,198.98
2013-03-10,196.18
2013-03-11,193.39
2013-03-12,193.39
