Fecha,Reserva
01/01/2016,165.47
02/01/2016,165.6
04/01/2016,165.6
05/01/2016,166.0
08/01/2016,166.0
09/01/2016,166.26
11/01/2016,166.53
13/01/2016,167.19
14/01/2016,167.32
16/01/2016,167.46
19/01/2016,167.46
20/01/2016,167.59
23/01/2016,167.59
24/01/2016,167.72
25/01/2016,167.85
27/01/2016,167.85
29/01/2016,167.85
01/02/2016,167.85
02/02/2016,167.99
04/02/2016,167.85
05/02/2016,166.0
07/02/2016,167.85
09/02/2016,167.99
11/02/2016,167.93
13/02/2016,167.99
15/02/2016,168.26
17/02/2016,168.13
18/02/2016,168.26
20/02/2016,167.99
22/02/2016,167.99
24/02/2016,167.99
26/02/2016,167.99
27/02/2016,168.12
29/02/2016,168.12
03/03/2016,168.12
05/03/2016,167.99
06/03/2016,168.12
08/03/2016,167.99
10/03/2016,167.99
12/03/2016,167.85
14/03/2016,167.85
16/03/2016,167.46
18/03/2016,166.92
19/03/2016,166.79
20/03/2016,166.66
23/03/2016,166.79
24/03/2016,166.66
26/03/2016,166.66
28/03/2016,166.66
30/03/2016,166.66
01/04/2016,166.53
03/04/2016,166.39
05/04/2016,166.92
06/04/2016,166.92
08/04/2016,166.92
10/04/2016,166.92
11/04/2016,166.79
13/04/2016,166.92
16/04/2016,166.92
18/04/2016,167.72
19/04/2016,167.72
21/04/2016,168.52
23/04/2016,168.92
25/04/2016,169.19
27/04/2016,169.19
29/04/2016,169.13
30/04/2016,169.06
02/05/2016,169.06
04/05/2016,168.66
06/05/2016,168.79
08/05/2016,169.86
09/05/2016,173.26
11/05/2016,186.63
13/05/2016,190.96
15/05/2016,189.16
17/05/2016,187.82
18/05/2016,187.37
20/05/2016,186.78
22/05/2016,186.49
24/05/2016,186.19
26/05/2016,185.75
27/05/2016,185.31
30/05/2016,184.58
31/05/2016,184.05
02/06/2016,183.27
04/06/2016,182.98
05/06/2016,182.69
08/06/2016,182.12
10/06/2016,181.54
11/06/2016,181.11
13/06/2016,180.4
15/06/2016,179.83
16/06/2016,179.54
18/06/2016,178.69
20/06/2016,177.99
22/06/2016,177.29
24/06/2016,176.31
26/06/2016,175.89
28/06/2016,175.61
30/06/2016,175.33
02/07/2016,174.92
04/07/2016,174.64
06/07/2016,174.09
07/07/2016,173.95
08/07/2016,173.68
10/07/2016,173.54
13/07/2016,173.13
14/07/2016,172.85
16/07/2016,172.58
18/07/2016,172.17
20/07/2016,171.62
21/07/2016,171.76
23/07/2016,171.35
26/07/2016,170.95
27/07/2016,171.62
29/07/2016,171.49
31/07/2016,171.08
01/08/2016,170.95
03/08/2016,170.67
06/08/2016,170.27
07/08/2016,170.13
09/08/2016,169.86
11/08/2016,169.6
13/08/2016,169.6
14/08/2016,169.46
16/08/2016,169.33
18/08/2016,169.33
20/08/2016,169.19
21/08/2016,169.19
24/08/2016,169.19
25/08/2016,169.19
27/08/2016,169.06
30/08/2016,168.66
31/08/2016,169.33
01/09/2016,169.86
03/09/2016,169.73
05/09/2016,169.73
08/09/2016,169.46
09/09/2016,169.06
11/09/2016,167.99
13/09/2016,166.79
14/09/2016,166.53
17/09/2016,165.73
19/09/2016,165.21
21/09/2016,165.08
22/09/2016,164.81
24/09/2016,164.29
26/09/2016,163.77
28/09/2016,163.69
29/09/2016,163.6
02/10/2016,162.47
03/10/2016,162.21
05/10/2016,161.44
06/10/2016,161.1
08/10/2016,160.98
11/10/2016,160.7
12/10/2016,160.61
14/10/2016,160.69
15/10/2016,160.67
17/10/2016,160.41
20/10/2016,160.54
21/10/2016,160.47
24/10/2016,163.0
25/10/2016,163.53
26/10/2016,163.84
28/10/2016,163.95
31/10/2016,164.01
01/11/2016,163.85
04/11/2016,163.78
05/11/2016,163.9
06/11/2016,164.1
08/11/2016,164.0
11/11/2016,163.88
13/11/2016,163.75
14/11/2016,163.73
16/11/2016,163.64
18/11/2016,163.59
20/11/2016,163.5
22/11/2016,164.75
24/11/2016,164.94
25/11/2016,164.84
27/11/2016,168.61
28/11/2016,169.25
01/12/2016,170.0
03/12/2016,170.82
05/12/2016,180.33
06/12/2016,178.9
08/12/2016,173.34
09/12/2016,170.35
12/12/2016,170.66
14/12/2016,170.76
15/12/2016,172.05
17/12/2016,176.5
19/12/2016,177.89
21/12/2016,178.42
22/12/2016,178.33
25/12/2016,178.45
27/12/2016,178.7
28/12/2016,176.17
30/12/2016,170.08
