Fecha,Reserva
2012-01-01,355.94
2012-01-02,356.28
2012-01-03,356.46
2012-01-04,356.63
2012-01-05,356.88
2012-01-06,357.14
2012-01-07,361.63
2012-01-08,361.02
2012-01-09,360.42
2012-01-10,360.5
2012-01-11,360.5
2012-01-12,360.59
2012-01-13,360.76
2012-01-14,360.85
2012-01-15,360.94
2012-01-16,360.76
2012-01-17,361.2
2012-01-18,361.63
2012-01-19,361.98
2012-01-20,361.98
2012-01-21,362.32
2012-01-22,362.32
2012-01-23,362.4
2012-01-24,362.49
2012-01-25,362.84
2012-01-26,363.1
2012-01-27,363.1
2012-01-28,363.36
2012-01-29,363.28
2012-01-30,363.19
2012-01-31,363.53
2012-02-01,363.7
2012-02-02,363.88
2012-02-03,363.88
2012-02-04,363.88
2012-02-05,363.88
2012-02-06,364.14
2012-02-07,364.14
2012-02-08,364.4
2012-02-09,364.58
2012-02-10,364.66
2012-02-11,364.66
2012-02-12,364.75
2012-02-13,364.58
2012-02-14,364.66
2012-02-15,364.75
2012-02-16,364.92
2012-02-17,365.1
2012-02-18,365.1
2012-02-19,365.1
2012-02-20,365.18
2012-02-21,365.27
2012-02-22,365.27
2012-02-23,365.27
2012-02-24,365.45
2012-02-25,365.54
2012-02-26,365.62
2012-02-27,365.62
2012-02-28,365.62
2012-02-29,365.62
2012-03-01,365.62
2012-03-02,365.79
2012-03-03,365.88
2012-03-04,365.97
2012-03-05,366.06
2012-03-06,366.06
2012-03-07,366.14
2012-03-08,365.79
2012-03-09,366.06
2012-03-10,366.32
2012-03-11,366.14
2012-03-12,366.14
2012-03-13,366.14
2012-03-14,365.96
2012-03-15,365.96
2012-03-16,365.79
2012-03-17,365.97
2012-03-18,365.88
2012-03-19,365.79
2012-03-20,366.14
2012-03-21,366.49
2012-03-22,366.66
2012-03-23,366.84
2012-03-24,366.84
2012-03-25,366.84
2012-03-26,366.84
2012-03-27,366.84
2012-03-28,367.02
2012-03-29,367.02
2012-03-30,367.02
2012-03-31,367.02
2012-04-01,367.02
2012-04-02,367.02
2012-04-03,367.02
2012-04-04,367.2
2012-04-05,367.37
2012-04-06,367.37
2012-04-07,367.37
2012-04-08,367.37
2012-04-09,367.37
2012-04-10,367.37
2012-04-11,367.54
2012-04-12,367.63
2012-04-13,367.63
2012-04-14,367.72
2012-04-15,368.24
2012-04-16,368.33
2012-04-17,368.41
2012-04-18,368.59
2012-04-19,368.59
2012-04-20,368.77
2012-04-21,369.82
2012-04-22,370.52
2012-04-23,371.48
2012-04-24,371.48
2012-04-25,372.45
2012-04-26,372.8
2012-04-27,373.16
2012-04-28,372.98
2012-04-29,373.07
2012-04-30,373.16
2012-05-01,373.16
2012-05-02,373.16
2012-05-03,373.34
2012-05-04,373.34
2012-05-05,373.34
2012-05-06,373.34
2012-05-07,373.34
2012-05-08,374.14
2012-05-09,374.93
2012-05-10,375.28
2012-05-11,375.64
2012-05-12,375.82
2012-05-13,375.99
2012-05-14,376.17
2012-05-15,376.35
2012-05-16,376.17
2012-05-17,376.08
2012-05-18,376.08
2012-05-19,375.99
2012-05-20,375.81
2012-05-21,375.81
2012-05-22,375.81
2012-05-23,375.81
2012-05-24,375.81
2012-05-25,375.81
2012-05-26,375.81
2012-05-27,375.64
2012-05-28,375.64
2012-05-29,375.64
2012-05-30,375.46
2012-05-31,375.46
2012-06-01,375.28
2012-06-02,374.84
2012-06-03,374.4
2012-06-04,374.22
2012-06-05,374.04
2012-06-06,373.78
2012-06-07,373.51
2012-06-08,373.16
2012-06-09,372.81
2012-06-10,372.46
2012-06-11,372.1
2012-06-12,371.58
2012-06-13,371.58
2012-06-14,371.05
2012-06-15,370.69
2012-06-16,370.69
2012-06-17,370.69
2012-06-18,370.69
2012-06-19,369.82
2012-06-20,368.94
2012-06-21,368.59
2012-06-22,368.24
2012-06-23,367.89
2012-06-24,367.54
2012-06-25,367.19
2012-06-26,366.84
2012-06-27,366.49
2012-06-28,366.14
2012-06-29,365.79
2012-06-30,365.45
2012-07-01,364.92
2012-07-02,364.4
2012-07-03,364.4
2012-07-04,363.88
2012-07-05,363.36
2012-07-06,362.92
2012-07-07,362.49
2012-07-08,362.15
2012-07-09,361.63
2012-07-10,361.63
2012-07-11,361.11
2012-07-12,360.68
2012-07-13,360.25
2012-07-14,359.55
2012-07-15,359.3
2012-07-16,359.04
2012-07-17,358.52
2012-07-18,358.01
2012-07-19,357.49
2012-07-20,356.88
2012-07-21,356.88
2012-07-22,356.28
2012-07-23,355.85
2012-07-24,355.42
2012-07-25,354.9
2012-07-26,354.39
2012-07-27,353.96
2012-07-28,353.54
2012-07-29,353.02
2012-07-30,352.51
2012-07-31,351.92
2012-08-01,351.92
2012-08-02,351.32
2012-08-03,350.81
2012-08-04,350.3
2012-08-05,349.96
2012-08-06,349.54
2012-08-07,349.11
2012-08-08,348.52
2012-08-09,347.92
2012-08-10,347.75
2012-08-11,347.33
2012-08-12,346.91
2012-08-13,346.16
2012-08-14,346.16
2012-08-15,345.4
2012-08-16,345.06
2012-08-17,344.56
2012-08-18,344.05
2012-08-19,343.72
2012-08-20,343.38
2012-08-21,342.88
2012-08-22,342.3
2012-08-23,342.3
2012-08-24,341.72
2012-08-25,341.05
2012-08-26,340.64
2012-08-27,340.22
2012-08-28,339.73
2012-08-29,339.24
2012-08-30,338.83
2012-08-31,338.42
2012-09-01,338.09
2012-09-02,337.52
2012-09-03,336.94
2012-09-04,336.54
2012-09-05,336.13
2012-09-06,335.4
2012-09-07,335.4
2012-09-08,334.66
2012-09-09,334.34
2012-09-10,334.01
2012-09-11,333.53
2012-09-12,333.21
2012-09-13,332.56
2012-09-14,332.56
2012-09-15,331.92
2012-09-16,331.52
2012-09-17,331.11
2012-09-18,330.79
2012-09-19,330.47
2012-09-20,329.99
2012-09-21,329.67
2012-09-22,329.35
2012-09-23,328.87
2012-09-24,328.39
2012-09-25,328.07
2012-09-26,327.91
2012-09-27,327.91
2012-09-28,327.75
2012-09-29,328.39
2012-09-30,328.55
2012-10-01,328.55
2012-10-02,328.71
2012-10-03,328.71
2012-10-04,328.71
2012-10-05,328.95
2012-10-06,328.95
2012-10-07,329.19
2012-10-08,329.35
2012-10-09,329.43
2012-10-10,329.51
2012-10-11,329.51
2012-10-12,329.51
2012-10-13,329.51
2012-10-14,329.51
2012-10-15,329.51
2012-10-16,329.51
2012-10-17,329.51
2012-10-18,329.51
2012-10-19,329.51
2012-10-20,329.67
2012-10-21,329.83
2012-10-22,329.91
2012-10-23,329.91
2012-10-24,329.99
2012-10-25,330.15
2012-10-26,330.31
2012-10-27,330.47
2012-10-28,330.55
2012-10-29,330.63
2012-10-30,328.55
2012-10-31,330.07
2012-11-01,331.59
2012-11-02,331.84
2012-11-03,332.08
2012-11-04,332.48
2012-11-05,332.88
2012-11-06,333.37
2012-11-07,334.66
2012-11-08,335.96
2012-11-09,336.94
2012-11-10,337.92
