Fecha,Reserva
01/01/2021,188.95
02/01/2021,189.31
03/01/2021,189.68
06/01/2021,191.01
08/01/2021,192.35
09/01/2021,192.84
12/01/2021,194.07
14/01/2021,195.05
16/01/2021,195.91
17/01/2021,196.41
18/01/2021,196.9
21/01/2021,198.39
23/01/2021,199.38
25/01/2021,201.0
27/01/2021,204.13
28/01/2021,206.02
31/01/2021,211.36
01/02/2021,213.28
02/02/2021,214.56
05/02/2021,217.27
07/02/2021,213.31
08/02/2021,219.86
10/02/2021,221.29
12/02/2021,226.01
14/02/2021,231.96
16/02/2021,235.97
17/02/2021,237.18
19/02/2021,238.93
21/02/2021,240.69
24/02/2021,242.99
25/02/2021,243.4
28/02/2021,244.9
02/03/2021,245.71
04/03/2021,246.81
05/03/2021,247.22
06/03/2021,247.63
08/03/2021,248.18
10/03/2021,248.59
12/03/2021,248.87
15/03/2021,249.28
17/03/2021,249.69
18/03/2021,249.69
20/03/2021,250.1
22/03/2021,250.1
23/03/2021,250.38
25/03/2021,250.65
28/03/2021,250.93
30/03/2021,251.07
31/03/2021,251.07
02/04/2021,251.07
04/04/2021,251.07
06/04/2021,251.2
08/04/2021,251.48
09/04/2021,251.34
11/04/2021,251.62
13/04/2021,251.62
15/04/2021,252.03
17/04/2021,252.59
19/04/2021,252.86
20/04/2021,253.14
22/04/2021,253.42
25/04/2021,254.39
26/04/2021,254.53
29/04/2021,255.36
30/04/2021,255.78
03/05/2021,256.61
05/05/2021,257.03
06/05/2021,256.61
07/05/2021,255.78
09/05/2021,254.53
12/05/2021,251.89
14/05/2021,251.76
15/05/2021,249.41
18/05/2021,247.08
19/05/2021,246.12
21/05/2021,244.35
22/05/2021,243.26
24/05/2021,241.5
26/05/2021,239.6
28/05/2021,237.58
30/05/2021,235.7
01/06/2021,233.7
04/06/2021,230.37
05/06/2021,229.57
07/06/2021,227.46
09/06/2021,225.48
11/06/2021,224.43
13/06/2021,223.12
15/06/2021,221.69
17/06/2021,221.42
18/06/2021,220.77
20/06/2021,219.6
22/06/2021,218.56
23/06/2021,217.92
25/06/2021,216.88
28/06/2021,215.33
30/06/2021,214.3
02/07/2021,213.28
04/07/2021,212.13
06/07/2021,211.1
07/07/2021,210.34
08/07/2021,209.32
11/07/2021,206.66
12/07/2021,205.9
14/07/2021,204.01
17/07/2021,201.38
19/07/2021,199.38
20/07/2021,198.51
22/07/2021,196.53
23/07/2021,195.54
25/07/2021,193.82
28/07/2021,190.89
30/07/2021,188.95
01/08/2021,186.78
03/08/2021,184.87
05/08/2021,182.97
06/08/2021,181.91
08/08/2021,179.91
10/08/2021,178.04
11/08/2021,176.99
14/08/2021,174.23
16/08/2021,172.17
17/08/2021,171.27
19/08/2021,169.23
21/08/2021,167.44
23/08/2021,165.43
24/08/2021,164.44
27/08/2021,161.9
28/08/2021,161.24
30/08/2021,160.15
02/09/2021,158.95
03/09/2021,158.63
06/09/2021,157.33
07/09/2021,157.33
08/09/2021,156.46
10/09/2021,155.6
13/09/2021,154.64
14/09/2021,154.74
16/09/2021,154.64
18/09/2021,154.64
21/09/2021,154.32
22/09/2021,154.32
24/09/2021,154.32
25/09/2021,154.42
27/09/2021,154.42
30/09/2021,154.42
01/10/2021,154.32
03/10/2021,153.78
05/10/2021,153.36
07/10/2021,152.93
09/10/2021,152.5
11/10/2021,152.08
12/10/2021,151.66
15/10/2021,150.99
17/10/2021,150.39
19/10/2021,149.86
21/10/2021,149.44
22/10/2021,149.19
22/10/2021,149.19
24/10/2021,148.71
26/10/2021,148.4
28/10/2021,148.08
30/10/2021,148.29
01/11/2021,148.19
02/11/2021,148.4
02/11/2021,148.4
03/11/2021,148.5
05/11/2021,148.5
06/11/2021,148.61
08/11/2021,148.82
11/11/2021,149.13
13/11/2021,149.13
15/11/2021,149.34
16/11/2021,149.33
18/11/2021,149.49
19/11/2021,149.54
22/11/2021,150.02
23/11/2021,150.22
25/11/2021,150.47
28/11/2021,150.76
29/11/2021,150.92
02/12/2021,151.39
03/12/2021,151.47
04/12/2021,151.55
05/12/2021,151.69
06/12/2021,151.78
07/12/2021,151.98
08/12/2021,152.19
09/12/2021,152.29
10/12/2021,152.4
12/12/2021,152.72
14/12/2021,153.04
15/12/2021,153.04
17/12/2021,153.46
19/12/2021,153.57
21/12/2021,153.68
23/12/2021,154.1
26/12/2021,154.53
28/12/2021,154.74
30/12/2021,155.07
