Fecha,Reserva
2012-01-01,41.72
2012-01-02,41.7
2012-01-03,41.84
2012-01-04,41.99
2012-01-05,42.64
2012-01-06,42.5
2012-01-07,42.5
2012-01-08,42.37
2012-01-09,43.67
2012-01-10,43.04
2012-01-11,42.42
2012-01-12,42.28
2012-01-13,42.15
2012-01-14,42.21
2012-01-15,42.18
2012-01-16,42.15
2012-01-17,42.45
2012-01-18,42.75
2012-01-19,42.8
2012-01-20,42.8
2012-01-21,42.86
2012-01-22,43.18
2012-01-23,43.5
2012-01-24,43.5
2012-01-25,43.53
2012-01-26,43.56
2012-01-27,43.48
2012-01-28,43.4
2012-01-29,43.78
2012-01-30,44.15
2012-01-31,43.45
2012-02-01,43.72
2012-02-02,43.99
2012-02-03,43.88
2012-02-04,43.77
2012-02-05,44.07
2012-02-06,44.37
2012-02-07,44.64
2012-02-08,44.2
2012-02-09,44.2
2012-02-10,43.77
2012-02-11,43.67
2012-02-12,44.02
2012-02-13,44.37
2012-02-14,44.18
2012-02-15,43.99
2012-02-16,43.86
2012-02-17,43.72
2012-02-18,43.56
2012-02-19,43.94
2012-02-20,44.31
2012-02-21,44.02
2012-02-22,43.72
2012-02-23,43.37
2012-02-24,43.37
2012-02-25,43.02
2012-02-26,43.23
2012-02-27,43.67
2012-02-28,43.48
2012-02-29,43.29
2012-03-01,43.1
2012-03-02,42.91
2012-03-03,43.39
2012-03-04,43.39
2012-03-05,43.87
2012-03-06,43.23
2012-03-07,43.15
2012-03-08,43.07
2012-03-09,42.79
2012-03-10,42.51
2012-03-11,42.74
2012-03-12,42.98
2012-03-13,42.62
2012-03-14,42.26
2012-03-15,42.34
2012-03-16,42.42
2012-03-17,41.56
2012-03-18,41.78
2012-03-19,41.99
2012-03-20,41.72
2012-03-21,40.99
2012-03-22,40.99
2012-03-23,40.26
2012-03-24,40.26
2012-03-25,40.61
2012-03-26,40.97
2012-03-27,40.59
2012-03-28,40.59
2012-03-29,40.21
2012-03-30,40.12
2012-03-31,40.05
2012-04-01,40.59
2012-04-02,41.13
2012-04-03,41.18
2012-04-04,41.18
2012-04-05,41.24
2012-04-06,41.7
2012-04-07,42.15
2012-04-08,42.47
2012-04-09,42.8
2012-04-10,42.64
2012-04-11,42.42
2012-04-12,42.21
2012-04-13,41.96
2012-04-14,41.72
2012-04-15,41.94
2012-04-16,42.21
2012-04-17,42.48
2012-04-18,42.61
2012-04-19,42.61
2012-04-20,42.75
2012-04-21,43.5
2012-04-22,43.5
2012-04-23,43.66
2012-04-24,43.83
2012-04-25,44.02
2012-04-26,44.21
2012-04-27,44.66
2012-04-28,44.66
2012-04-29,45.12
2012-04-30,45.58
2012-05-01,46.04
2012-05-02,46.2
2012-05-03,46.69
2012-05-04,47.39
2012-05-05,47.39
2012-05-06,48.09
2012-05-07,48.47
2012-05-08,48.68
2012-05-09,48.9
2012-05-10,49.2
2012-05-11,49.2
2012-05-12,49.49
2012-05-13,57.07
2012-05-14,53.34
2012-05-15,49.6
2012-05-16,49.65
2012-05-17,49.52
2012-05-18,49.38
2012-05-19,49.38
2012-05-20,49.38
2012-05-21,49.49
2012-05-22,49.6
2012-05-23,49.68
2012-05-24,49.76
2012-05-25,49.71
2012-05-26,49.74
2012-05-27,49.76
2012-05-28,49.76
2012-05-29,49.76
2012-05-30,49.62
2012-05-31,49.62
2012-06-01,49.49
2012-06-02,49.22
2012-06-03,49.16
2012-06-04,49.11
2012-06-05,48.79
2012-06-06,48.68
2012-06-07,48.57
2012-06-08,47.87
2012-06-09,47.17
2012-06-10,47.14
2012-06-11,47.12
2012-06-12,46.47
2012-06-13,46.47
2012-06-14,45.83
2012-06-15,45.34
2012-06-16,45.34
2012-06-17,45.34
2012-06-18,45.34
2012-06-19,44.61
2012-06-20,43.88
