Fecha,Reserva
01/01/2015,38.51
02/01/2015,38.36
03/01/2015,38.14
06/01/2015,38.74
07/01/2015,38.6
10/01/2015,38.09
11/01/2015,38.6
13/01/2015,38.69
14/01/2015,38.6
17/01/2015,38.0
19/01/2015,39.61
20/01/2015,39.93
22/01/2015,39.98
24/01/2015,39.75
26/01/2015,40.48
28/01/2015,40.8
30/01/2015,40.75
01/02/2015,40.48
02/02/2015,40.21
04/02/2015,39.89
06/02/2015,39.4
07/02/2015,39.06
09/02/2015,39.75
11/02/2015,39.8
13/02/2015,39.61
15/02/2015,39.57
16/02/2015,40.21
18/02/2015,40.12
20/02/2015,39.66
22/02/2015,39.89
24/02/2015,40.32
25/02/2015,40.03
28/02/2015,39.84
01/03/2015,39.57
03/03/2015,39.8
05/03/2015,39.2
07/03/2015,38.6
09/03/2015,39.01
11/03/2015,38.55
13/03/2015,37.91
15/03/2015,37.5
16/03/2015,37.63
18/03/2015,37.22
19/03/2015,36.99
21/03/2015,36.99
23/03/2015,37.73
25/03/2015,37.77
27/03/2015,37.4
29/03/2015,37.13
31/03/2015,37.04
02/04/2015,35.66
04/04/2015,35.33
06/04/2015,35.29
07/04/2015,35.15
09/04/2015,34.69
11/04/2015,34.27
12/04/2015,34.37
15/04/2015,35.38
17/04/2015,35.56
18/04/2015,36.02
19/04/2015,36.16
21/04/2015,36.76
23/04/2015,37.08
25/04/2015,37.73
27/04/2015,38.05
29/04/2015,38.65
01/05/2015,39.15
03/05/2015,39.24
04/05/2015,39.29
06/05/2015,39.66
08/05/2015,39.93
09/05/2015,40.07
11/05/2015,39.93
13/05/2015,40.43
15/05/2015,40.16
18/05/2015,40.32
19/05/2015,39.7
21/05/2015,39.52
22/05/2015,39.52
24/05/2015,39.84
27/05/2015,39.98
29/05/2015,39.47
30/05/2015,39.89
01/06/2015,38.69
02/06/2015,38.55
04/06/2015,38.74
06/06/2015,38.83
08/06/2015,38.6
10/06/2015,38.69
11/06/2015,38.74
14/06/2015,39.06
15/06/2015,39.2
17/06/2015,38.83
19/06/2015,38.19
21/06/2015,37.77
23/06/2015,37.63
24/06/2015,37.08
27/06/2015,36.07
29/06/2015,35.75
30/06/2015,35.47
02/07/2015,34.69
04/07/2015,33.86
06/07/2015,33.54
07/07/2015,33.17
10/07/2015,31.6
11/07/2015,31.05
13/07/2015,30.41
15/07/2015,29.62
17/07/2015,28.67
18/07/2015,28.27
21/07/2015,27.25
22/07/2015,27.05
23/07/2015,26.62
25/07/2015,25.47
27/07/2015,24.76
30/07/2015,23.22
31/07/2015,22.67
02/08/2015,22.64
04/08/2015,22.53
06/08/2015,22.35
08/08/2015,22.43
10/08/2015,22.71
12/08/2015,22.85
13/08/2015,22.71
15/08/2015,22.89
17/08/2015,22.74
18/08/2015,23.22
20/08/2015,23.3
23/08/2015,23.49
24/08/2015,23.77
26/08/2015,24.09
28/08/2015,24.44
29/08/2015,24.4
31/08/2015,24.6
02/09/2015,24.88
04/09/2015,24.8
06/09/2015,24.8
07/09/2015,25.0
10/09/2015,25.04
11/09/2015,25.04
13/09/2015,24.96
14/09/2015,25.0
16/09/2015,24.92
19/09/2015,25.11
20/09/2015,25.15
22/09/2015,25.19
24/09/2015,25.15
26/09/2015,25.11
28/09/2015,25.39
30/09/2015,25.39
01/10/2015,25.39
03/10/2015,25.79
05/10/2015,25.83
06/10/2015,26.18
09/10/2015,26.85
10/10/2015,27.17
12/10/2015,27.6
15/10/2015,28.55
16/10/2015,28.23
17/10/2015,28.0
20/10/2015,29.18
21/10/2015,29.42
24/10/2015,29.06
26/10/2015,29.38
27/10/2015,29.46
28/10/2015,29.42
31/10/2015,29.1
02/11/2015,30.05
03/11/2015,32.43
05/11/2015,33.4
06/11/2015,33.4
09/11/2015,33.77
10/11/2015,33.72
13/11/2015,33.17
14/11/2015,32.98
16/11/2015,33.21
17/11/2015,33.21
20/11/2015,32.89
21/11/2015,32.29
24/11/2015,32.52
25/11/2015,32.52
27/11/2015,31.74
28/11/2015,31.46
01/12/2015,31.6
02/12/2015,31.28
04/12/2015,30.8
06/12/2015,30.45
08/12/2015,30.57
09/12/2015,30.57
12/12/2015,30.45
13/12/2015,30.45
15/12/2015,30.92
18/12/2015,30.76
19/12/2015,30.41
21/12/2015,30.88
22/12/2015,30.92
25/12/2015,30.88
26/12/2015,31.23
29/12/2015,31.88
30/12/2015,31.88
