Fecha,Reserva
01/01/2021,14.75
02/01/2021,14.73
03/01/2021,14.72
06/01/2021,14.66
07/01/2021,14.67
09/01/2021,15.35
11/01/2021,15.56
13/01/2021,15.59
15/01/2021,15.59
17/01/2021,15.57
19/01/2021,15.57
20/01/2021,15.55
22/01/2021,15.96
24/01/2021,16.05
26/01/2021,16.6
28/01/2021,16.84
30/01/2021,16.8
01/02/2021,16.86
03/02/2021,16.94
05/02/2021,16.97
07/02/2021,16.99
09/02/2021,17.31
11/02/2021,18.54
12/02/2021,18.9
14/02/2021,19.14
16/02/2021,19.25
18/02/2021,19.42
19/02/2021,19.44
22/02/2021,19.54
23/02/2021,19.57
25/02/2021,19.61
27/02/2021,19.63
01/03/2021,19.65
04/03/2021,19.68
05/03/2021,19.68
07/03/2021,19.82
08/03/2021,20.25
10/03/2021,20.43
12/03/2021,20.49
15/03/2021,20.53
16/03/2021,20.55
18/03/2021,20.56
20/03/2021,20.58
22/03/2021,20.58
24/03/2021,20.62
25/03/2021,20.63
28/03/2021,20.64
30/03/2021,20.62
31/03/2021,20.62
02/04/2021,20.58
04/04/2021,20.57
06/04/2021,20.56
08/04/2021,20.56
09/04/2021,20.54
11/04/2021,20.52
13/04/2021,20.46
16/04/2021,20.44
17/04/2021,20.42
19/04/2021,20.42
21/04/2021,20.36
23/04/2021,20.34
24/04/2021,20.26
26/04/2021,20.31
29/04/2021,20.3
30/04/2021,20.29
03/05/2021,20.23
05/05/2021,20.21
06/05/2021,20.19
08/05/2021,20.24
09/05/2021,20.24
12/05/2021,20.05
14/05/2021,20.23
16/05/2021,20.2
17/05/2021,20.17
20/05/2021,20.1
21/05/2021,20.07
22/05/2021,20.05
24/05/2021,19.96
26/05/2021,19.91
28/05/2021,19.84
31/05/2021,19.75
01/06/2021,19.64
03/06/2021,19.36
05/06/2021,19.14
06/06/2021,19.02
09/06/2021,18.69
11/06/2021,18.43
12/06/2021,18.33
14/06/2021,18.15
17/06/2021,18.05
18/06/2021,18.03
20/06/2021,17.97
22/06/2021,17.9
23/06/2021,17.71
25/06/2021,17.65
28/06/2021,17.54
29/06/2021,17.49
02/07/2021,17.4
03/07/2021,17.29
06/07/2021,17.01
07/07/2021,16.88
09/07/2021,16.7
11/07/2021,16.51
13/07/2021,16.28
14/07/2021,16.21
16/07/2021,16.03
18/07/2021,15.59
20/07/2021,15.55
22/07/2021,15.49
23/07/2021,15.28
25/07/2021,15.22
28/07/2021,15.1
30/07/2021,15.06
31/07/2021,14.99
02/08/2021,14.79
04/08/2021,14.6
06/08/2021,14.39
08/08/2021,14.13
10/08/2021,13.89
12/08/2021,13.68
13/08/2021,13.58
16/08/2021,13.3
17/08/2021,13.21
20/08/2021,13.12
21/08/2021,13.1
22/08/2021,13.08
24/08/2021,13.03
26/08/2021,12.97
28/08/2021,12.93
31/08/2021,12.84
01/09/2021,12.82
03/09/2021,12.57
06/09/2021,12.27
07/09/2021,12.27
08/09/2021,11.9
11/09/2021,11.72
12/09/2021,11.73
15/09/2021,11.39
17/09/2021,11.36
18/09/2021,11.33
21/09/2021,11.24
22/09/2021,11.25
24/09/2021,11.18
25/09/2021,11.16
27/09/2021,11.11
29/09/2021,11.05
02/10/2021,10.96
03/10/2021,10.93
05/10/2021,10.89
07/10/2021,10.83
09/10/2021,10.77
10/10/2021,10.75
12/10/2021,10.69
15/10/2021,10.6
16/10/2021,10.58
18/10/2021,10.52
21/10/2021,10.43
22/10/2021,10.41
22/10/2021,10.41
24/10/2021,10.35
26/10/2021,10.3
28/10/2021,10.24
30/10/2021,10.19
01/11/2021,10.18
02/11/2021,10.22
02/11/2021,10.22
03/11/2021,10.2
05/11/2021,10.14
07/11/2021,10.09
09/11/2021,10.03
10/11/2021,10.01
13/11/2021,9.93
14/11/2021,9.91
17/11/2021,9.82
18/11/2021,9.8
20/11/2021,9.76
22/11/2021,9.7
24/11/2021,9.66
25/11/2021,9.63
28/11/2021,9.56
30/11/2021,9.5
01/12/2021,9.48
03/12/2021,9.43
04/12/2021,9.4
05/12/2021,9.37
06/12/2021,9.35
07/12/2021,9.32
08/12/2021,9.31
09/12/2021,9.28
10/12/2021,9.25
12/12/2021,9.2
13/12/2021,9.18
15/12/2021,9.11
18/12/2021,9.04
20/12/2021,8.98
22/12/2021,8.94
23/12/2021,8.92
26/12/2021,9.06
28/12/2021,9.06
30/12/2021,9.02
