Fecha,Reserva
01/01/2021,66.14
02/01/2021,66.07
03/01/2021,66.01
06/01/2021,65.91
08/01/2021,65.99
10/01/2021,70.29
11/01/2021,70.76
13/01/2021,71.14
15/01/2021,71.32
17/01/2021,71.38
19/01/2021,71.31
20/01/2021,71.33
23/01/2021,72.17
24/01/2021,72.4
26/01/2021,72.74
28/01/2021,72.95
30/01/2021,73.09
01/02/2021,73.18
02/02/2021,73.18
05/02/2021,73.29
07/02/2021,73.43
09/02/2021,74.01
11/02/2021,76.16
12/02/2021,76.98
14/02/2021,77.68
16/02/2021,78.05
18/02/2021,78.27
20/02/2021,78.38
22/02/2021,78.54
23/02/2021,78.59
26/02/2021,78.65
27/02/2021,78.59
01/03/2021,78.58
03/03/2021,78.48
05/03/2021,78.44
06/03/2021,78.43
08/03/2021,78.5
10/03/2021,78.46
13/03/2021,78.42
14/03/2021,78.33
17/03/2021,78.22
19/03/2021,78.1
20/03/2021,78.05
21/03/2021,77.93
24/03/2021,77.74
25/03/2021,77.68
27/03/2021,77.62
30/03/2021,77.43
31/03/2021,77.4
02/04/2021,77.23
04/04/2021,77.13
06/04/2021,76.99
08/04/2021,76.85
10/04/2021,76.7
12/04/2021,76.61
14/04/2021,76.47
16/04/2021,76.43
17/04/2021,76.36
19/04/2021,76.2
21/04/2021,76.05
22/04/2021,76.06
25/04/2021,75.9
26/04/2021,75.95
28/04/2021,76.42
30/04/2021,76.48
03/05/2021,76.39
04/05/2021,76.37
06/05/2021,76.33
08/05/2021,76.23
10/05/2021,76.15
11/05/2021,76.18
14/05/2021,76.0
16/05/2021,75.93
18/05/2021,75.81
19/05/2021,75.73
21/05/2021,75.61
23/05/2021,75.43
24/05/2021,75.41
27/05/2021,75.21
29/05/2021,75.08
31/05/2021,75.0
02/06/2021,74.86
03/06/2021,74.74
05/06/2021,74.61
06/06/2021,74.73
08/06/2021,74.57
11/06/2021,74.36
12/06/2021,74.26
15/06/2021,74.05
17/06/2021,73.92
18/06/2021,73.88
20/06/2021,73.64
21/06/2021,73.58
23/06/2021,73.4
26/06/2021,73.19
28/06/2021,72.99
30/06/2021,72.86
01/07/2021,72.76
03/07/2021,71.77
05/07/2021,71.65
07/07/2021,70.6
09/07/2021,69.55
10/07/2021,69.07
12/07/2021,68.95
14/07/2021,67.87
17/07/2021,66.39
19/07/2021,66.27
21/07/2021,65.2
22/07/2021,64.72
24/07/2021,63.71
26/07/2021,63.54
28/07/2021,62.51
30/07/2021,61.65
01/08/2021,61.5
02/08/2021,61.4
05/08/2021,59.95
06/08/2021,59.7
07/08/2021,59.19
10/08/2021,58.54
11/08/2021,58.49
14/08/2021,58.42
15/08/2021,58.38
18/08/2021,58.16
19/08/2021,58.1
21/08/2021,57.14
23/08/2021,57.05
25/08/2021,56.13
27/08/2021,55.17
28/08/2021,54.68
30/08/2021,54.6
01/09/2021,53.65
04/09/2021,52.23
05/09/2021,52.16
07/09/2021,52.13
08/09/2021,52.01
10/09/2021,51.93
13/09/2021,51.87
15/09/2021,52.22
17/09/2021,52.16
19/09/2021,52.13
20/09/2021,52.08
22/09/2021,52.0
23/09/2021,52.04
26/09/2021,52.02
27/09/2021,52.0
29/09/2021,51.95
01/10/2021,51.9
03/10/2021,51.77
05/10/2021,51.65
07/10/2021,51.57
09/10/2021,51.46
11/10/2021,51.39
12/10/2021,51.33
14/10/2021,51.24
17/10/2021,51.12
18/10/2021,51.1
21/10/2021,50.96
22/10/2021,50.92
22/10/2021,50.92
23/10/2021,50.85
26/10/2021,50.76
28/10/2021,50.69
29/10/2021,50.66
31/10/2021,50.98
02/11/2021,50.95
02/11/2021,50.95
03/11/2021,50.94
05/11/2021,50.8
06/11/2021,50.81
08/11/2021,50.72
11/11/2021,50.61
12/11/2021,50.57
14/11/2021,50.54
16/11/2021,50.48
18/11/2021,50.43
20/11/2021,50.38
21/11/2021,50.37
24/11/2021,50.48
26/11/2021,50.48
28/11/2021,50.4
29/11/2021,50.25
01/12/2021,50.25
03/12/2021,50.1
04/12/2021,50.03
05/12/2021,49.96
06/12/2021,49.89
07/12/2021,49.82
08/12/2021,49.82
09/12/2021,49.68
11/12/2021,49.61
12/12/2021,49.54
13/12/2021,49.47
15/12/2021,49.4
18/12/2021,49.19
19/12/2021,49.12
22/12/2021,49.05
25/12/2021,49.82
26/12/2021,50.6
28/12/2021,50.81
30/12/2021,50.86
