Fecha,Reserva
01/01/2020,11.59
02/01/2020,11.57
04/01/2020,11.53
05/01/2020,11.5
07/01/2020,11.45
10/01/2020,11.41
12/01/2020,11.37
13/01/2020,11.36
14/01/2020,11.33
16/01/2020,11.3
18/01/2020,11.25
21/01/2020,11.22
22/01/2020,11.21
24/01/2020,11.17
26/01/2020,11.16
28/01/2020,11.14
30/01/2020,11.12
01/02/2020,11.11
03/02/2020,11.11
04/02/2020,11.1
06/02/2020,11.08
08/02/2020,11.06
10/02/2020,11.03
12/02/2020,11.01
13/02/2020,10.99
15/02/2020,10.96
16/02/2020,10.95
18/02/2020,10.91
20/02/2020,10.88
22/02/2020,10.84
24/02/2020,10.8
26/02/2020,10.76
27/02/2020,10.73
01/03/2020,10.67
03/03/2020,10.64
05/03/2020,10.59
06/03/2020,10.57
08/03/2020,10.53
09/03/2020,10.5
11/03/2020,10.46
13/03/2020,10.4
16/03/2020,10.33
17/03/2020,10.3
19/03/2020,10.26
20/03/2020,10.23
22/03/2020,10.19
25/03/2020,10.13
26/03/2020,10.12
28/03/2020,10.06
30/03/2020,10.02
31/03/2020,9.99
03/04/2020,9.95
04/04/2020,9.97
06/04/2020,10.06
08/04/2020,10.14
10/04/2020,10.22
12/04/2020,10.29
14/04/2020,10.37
15/04/2020,10.41
18/04/2020,10.51
19/04/2020,10.54
21/04/2020,10.63
23/04/2020,10.73
25/04/2020,10.83
27/04/2020,10.98
29/04/2020,11.1
30/04/2020,11.16
02/05/2020,11.25
03/05/2020,11.3
05/05/2020,11.37
07/05/2020,11.45
09/05/2020,11.52
11/05/2020,11.58
13/05/2020,11.67
14/05/2020,11.7
16/05/2020,11.77
18/05/2020,11.85
20/05/2020,11.92
22/05/2020,11.98
24/05/2020,12.02
26/05/2020,12.06
28/05/2020,12.1
30/05/2020,12.14
01/06/2020,12.17
02/06/2020,12.19
04/06/2020,12.23
06/06/2020,12.27
07/06/2020,12.28
10/06/2020,12.33
11/06/2020,12.34
14/06/2020,12.39
15/06/2020,12.4
16/06/2020,12.42
18/06/2020,12.33
20/06/2020,12.25
23/06/2020,12.13
25/06/2020,12.04
26/06/2020,11.99
27/06/2020,11.95
30/06/2020,11.81
01/07/2020,11.77
04/07/2020,11.62
06/07/2020,11.54
07/07/2020,11.49
08/07/2020,11.45
11/07/2020,11.3
12/07/2020,11.26
14/07/2020,11.16
17/07/2020,11.04
18/07/2020,10.99
19/07/2020,10.95
21/07/2020,10.86
23/07/2020,10.76
26/07/2020,10.62
27/07/2020,10.58
29/07/2020,10.48
31/07/2020,10.38
01/08/2020,10.34
04/08/2020,10.19
05/08/2020,10.14
07/08/2020,10.05
09/08/2020,10.05
11/08/2020,10.06
13/08/2020,10.06
15/08/2020,10.07
17/08/2020,10.07
18/08/2020,10.08
20/08/2020,10.09
22/08/2020,10.09
24/08/2020,10.1
26/08/2020,10.1
27/08/2020,10.11
29/08/2020,10.11
31/08/2020,10.11
01/09/2020,10.12
03/09/2020,10.13
06/09/2020,10.13
07/09/2020,10.14
09/09/2020,10.04
11/09/2020,9.94
12/09/2020,9.9
14/09/2020,9.8
16/09/2020,9.71
18/09/2020,9.63
21/09/2020,9.49
22/09/2020,9.45
23/09/2020,9.41
26/09/2020,9.27
28/09/2020,9.18
30/09/2020,9.1
01/10/2020,9.05
03/10/2020,9.05
04/10/2020,9.05
07/10/2020,9.05
08/10/2020,8.7
10/10/2020,8.58
12/10/2020,8.5
14/10/2020,8.42
16/10/2020,8.34
18/10/2020,8.26
20/10/2020,8.18
22/10/2020,8.1
23/10/2020,8.07
25/10/2020,7.99
27/10/2020,7.91
29/10/2020,7.84
31/10/2020,7.76
02/11/2020,7.68
03/11/2020,7.64
05/11/2020,7.57
07/11/2020,7.51
09/11/2020,7.43
10/11/2020,7.4
12/11/2020,7.33
14/11/2020,7.25
16/11/2020,7.18
17/11/2020,7.2
20/11/2020,7.24
21/11/2020,7.26
24/11/2020,7.3
26/11/2020,7.33
27/11/2020,7.36
29/11/2020,7.4
30/11/2020,7.41
03/12/2020,7.46
04/12/2020,7.47
07/12/2020,7.53
08/12/2020,7.56
10/12/2020,7.61
11/12/2020,7.65
13/12/2020,7.83
15/12/2020,7.92
17/12/2020,7.97
19/12/2020,8.01
20/12/2020,8.04
22/12/2020,8.08
24/12/2020,8.1
27/12/2020,8.1
28/12/2020,8.1
30/12/2020,8.22
