Fecha,Reserva
01/01/2012,23.09
02/01/2012,23.07
04/01/2012,23.01
06/01/2012,22.96
07/01/2012,21.75
09/01/2012,21.98
11/01/2012,21.92
13/01/2012,21.86
15/01/2012,21.8
16/01/2012,21.86
18/01/2012,21.75
20/01/2012,21.71
23/01/2012,21.63
24/01/2012,21.63
25/01/2012,21.57
28/01/2012,21.5
30/01/2012,21.52
31/01/2012,21.44
02/02/2012,21.37
04/02/2012,21.32
05/02/2012,21.29
08/02/2012,21.22
10/02/2012,21.17
11/02/2012,21.14
14/02/2012,21.05
15/02/2012,21.03
16/02/2012,20.99
19/02/2012,20.9
21/02/2012,20.86
23/02/2012,20.82
24/02/2012,20.81
26/02/2012,20.77
28/02/2012,20.73
01/03/2012,20.74
02/03/2012,20.69
04/03/2012,20.66
06/03/2012,20.62
08/03/2012,20.59
10/03/2012,20.55
12/03/2012,20.52
14/03/2012,20.48
16/03/2012,20.45
17/03/2012,20.43
19/03/2012,20.39
21/03/2012,20.35
22/03/2012,20.34
24/03/2012,20.3
26/03/2012,20.26
28/03/2012,20.22
30/03/2012,20.18
31/03/2012,20.17
02/04/2012,20.13
04/04/2012,20.1
07/04/2012,20.07
08/04/2012,20.05
10/04/2012,20.01
12/04/2012,19.97
14/04/2012,19.95
16/04/2012,20.06
18/04/2012,20.09
19/04/2012,20.09
21/04/2012,20.09
22/04/2012,20.09
25/04/2012,20.06
27/04/2012,20.03
28/04/2012,20.03
30/04/2012,20.05
02/05/2012,20.07
03/05/2012,20.07
06/05/2012,20.07
07/05/2012,20.07
09/05/2012,20.22
11/05/2012,20.23
13/05/2012,20.23
15/05/2012,20.22
16/05/2012,20.2
18/05/2012,20.18
20/05/2012,20.15
22/05/2012,20.15
24/05/2012,20.13
25/05/2012,20.11
28/05/2012,20.07
30/05/2012,20.03
31/05/2012,20.02
02/06/2012,19.98
04/06/2012,19.95
06/06/2012,19.91
08/06/2012,19.89
09/06/2012,19.86
11/06/2012,19.82
13/06/2012,19.77
15/06/2012,19.73
17/06/2012,19.73
18/06/2012,19.73
20/06/2012,19.63
22/06/2012,19.58
24/06/2012,19.54
26/06/2012,19.5
28/06/2012,19.46
29/06/2012,19.43
01/07/2012,19.38
03/07/2012,19.34
06/07/2012,19.27
07/07/2012,19.24
09/07/2012,19.18
10/07/2012,19.17
13/07/2012,19.11
14/07/2012,19.08
17/07/2012,19.02
18/07/2012,18.99
20/07/2012,18.95
22/07/2012,18.89
24/07/2012,18.85
25/07/2012,18.82
27/07/2012,18.78
29/07/2012,18.73
31/07/2012,18.69
01/08/2012,18.66
03/08/2012,18.62
05/08/2012,18.56
07/08/2012,18.51
09/08/2012,18.47
11/08/2012,18.43
13/08/2012,18.37
15/08/2012,18.33
16/08/2012,18.3
18/08/2012,18.26
20/08/2012,18.2
21/08/2012,18.17
23/08/2012,18.13
25/08/2012,18.08
27/08/2012,18.04
30/08/2012,17.97
31/08/2012,17.94
02/09/2012,17.88
03/09/2012,17.84
06/09/2012,17.79
07/09/2012,17.77
09/09/2012,17.69
11/09/2012,17.64
13/09/2012,17.6
15/09/2012,17.54
17/09/2012,17.47
18/09/2012,17.44
21/09/2012,17.39
22/09/2012,17.35
24/09/2012,17.28
25/09/2012,17.27
28/09/2012,17.2
29/09/2012,17.22
01/10/2012,17.19
03/10/2012,17.15
05/10/2012,17.11
07/10/2012,17.07
09/10/2012,17.04
11/10/2012,17.0
12/10/2012,16.98
14/10/2012,16.94
16/10/2012,16.89
17/10/2012,16.86
19/10/2012,16.85
22/10/2012,16.78
24/10/2012,16.79
25/10/2012,16.76
26/10/2012,16.73
29/10/2012,16.67
30/10/2012,17.2
01/11/2012,16.65
03/11/2012,16.63
05/11/2012,17.08
07/11/2012,17.31
09/11/2012,17.52
10/11/2012,17.95
13/11/2012,18.66
15/11/2012,18.89
16/11/2012,18.95
17/11/2012,19.0
19/11/2012,19.16
21/11/2012,19.27
24/11/2012,19.37
25/11/2012,19.39
27/11/2012,19.42
29/11/2012,19.42
30/11/2012,19.41
03/12/2012,19.41
04/12/2012,19.41
07/12/2012,19.39
08/12/2012,19.4
10/12/2012,19.39
12/12/2012,19.37
14/12/2012,19.34
15/12/2012,19.34
17/12/2012,19.54
19/12/2012,19.62
21/12/2012,19.66
22/12/2012,19.68
25/12/2012,19.71
26/12/2012,19.76
29/12/2012,19.83
30/12/2012,19.84
