Fecha,Reserva
2012-01-01,49.28
2012-01-02,49.33
2012-01-03,49.35
2012-01-04,49.37
2012-01-05,49.42
2012-01-06,49.47
2012-01-07,48.42
2012-01-08,48.32
2012-01-09,48.23
2012-01-10,48.26
2012-01-11,48.26
2012-01-12,48.28
2012-01-13,48.33
2012-01-14,48.33
2012-01-15,48.33
2012-01-16,48.37
2012-01-17,48.41
2012-01-18,48.42
2012-01-19,48.42
2012-01-20,48.44
2012-01-21,48.47
2012-01-22,48.47
2012-01-23,48.47
2012-01-24,48.47
2012-01-25,48.42
2012-01-26,48.42
2012-01-27,48.42
2012-01-28,48.42
2012-01-29,48.42
2012-01-30,48.42
2012-01-31,48.44
2012-02-01,48.47
2012-02-02,48.14
2012-02-03,48.16
2012-02-04,48.18
2012-02-05,48.18
2012-02-06,48.18
2012-02-07,48.18
2012-02-08,48.18
2012-02-09,48.2
2012-02-10,48.23
2012-02-11,48.23
2012-02-12,48.23
2012-02-13,48.28
2012-02-14,48.26
2012-02-15,48.23
2012-02-16,48.23
2012-02-17,48.23
2012-02-18,48.23
2012-02-19,48.23
2012-02-20,48.11
2012-02-21,47.99
2012-02-22,47.99
2012-02-23,47.99
2012-02-24,47.99
2012-02-25,47.99
2012-02-26,47.99
2012-02-27,47.99
2012-02-28,47.99
2012-02-29,47.99
2012-03-01,47.99
2012-03-02,48.04
2012-03-03,48.04
2012-03-04,48.04
2012-03-05,48.04
2012-03-06,48.04
2012-03-07,48.04
2012-03-08,48.04
2012-03-09,48.04
2012-03-10,48.04
2012-03-11,48.04
2012-03-12,48.04
2012-03-13,48.04
2012-03-14,48.04
2012-03-15,48.04
2012-03-16,48.04
2012-03-17,48.09
2012-03-18,48.09
2012-03-19,48.09
2012-03-20,48.09
2012-03-21,48.09
2012-03-22,48.09
2012-03-23,48.09
2012-03-24,48.09
2012-03-25,48.09
2012-03-26,48.04
2012-03-27,48.04
2012-03-28,48.04
2012-03-29,48.04
2012-03-30,48.04
2012-03-31,48.04
2012-04-01,48.04
2012-04-02,48.04
2012-04-03,48.04
2012-04-04,48.18
2012-04-05,48.2
2012-04-06,48.2
2012-04-07,48.23
2012-04-08,48.2
2012-04-09,48.18
2012-04-10,48.19
2012-04-11,48.18
2012-04-12,48.18
2012-04-13,48.16
2012-04-14,48.14
2012-04-15,48.18
2012-04-16,48.16
2012-04-17,48.14
2012-04-18,48.14
2012-04-19,48.14
2012-04-20,48.14
2012-04-21,48.09
2012-04-22,48.09
2012-04-23,48.09
2012-04-24,48.09
2012-04-25,48.09
2012-04-26,48.09
2012-04-27,48.09
2012-04-28,48.09
2012-04-29,48.16
2012-04-30,48.23
2012-05-01,48.2
2012-05-02,48.18
2012-05-03,48.26
2012-05-04,48.33
2012-05-05,48.33
2012-05-06,48.33
2012-05-07,48.44
2012-05-08,48.56
2012-05-09,48.56
2012-05-10,48.56
2012-05-11,48.61
2012-05-12,48.61
2012-05-13,48.61
2012-05-14,48.61
2012-05-15,48.61
2012-05-16,48.6
2012-05-17,48.58
2012-05-18,48.56
2012-05-19,48.46
2012-05-20,48.37
2012-05-21,48.34
2012-05-22,48.34
2012-05-23,48.31
2012-05-24,48.28
2012-05-25,48.28
2012-05-26,48.23
2012-05-27,48.23
2012-05-28,48.18
2012-05-29,48.18
2012-05-30,48.18
2012-05-31,48.14
2012-06-01,47.81
2012-06-02,47.48
2012-06-03,47.22
2012-06-04,46.96
2012-06-05,46.75
2012-06-06,46.54
2012-06-07,46.4
2012-06-08,46.26
2012-06-09,46.08
2012-06-10,45.89
2012-06-11,45.7
2012-06-12,45.38
2012-06-13,45.38
2012-06-14,45.06
2012-06-15,44.79
2012-06-16,44.79
2012-06-17,44.79
2012-06-18,44.79
2012-06-19,44.2
2012-06-20,43.61
2012-06-21,43.38
2012-06-22,43.16
2012-06-23,42.87
2012-06-24,42.87
2012-06-25,42.58
2012-06-26,42.36
2012-06-27,42.1
2012-06-28,41.83
2012-06-29,41.61
2012-06-30,41.28
2012-07-01,41.28
2012-07-02,40.95
2012-07-03,40.78
2012-07-04,40.6
2012-07-05,40.39
2012-07-06,40.13
2012-07-07,39.87
2012-07-08,39.64
2012-07-09,39.4
2012-07-10,39.14
2012-07-11,38.89
2012-07-12,38.66
2012-07-13,38.43
2012-07-14,38.18
2012-07-15,37.93
2012-07-16,37.72
2012-07-17,37.47
2012-07-18,37.23
2012-07-19,36.98
2012-07-20,36.61
2012-07-21,36.61
2012-07-22,36.25
2012-07-23,35.97
2012-07-24,35.64
2012-07-25,35.64
2012-07-26,35.32
2012-07-27,35.06
2012-07-28,34.78
2012-07-29,34.5
2012-07-30,34.28
2012-07-31,34.07
2012-08-01,34.03
2012-08-02,33.99
2012-08-03,33.99
2012-08-04,33.93
2012-08-05,33.93
2012-08-06,33.87
2012-08-07,33.83
2012-08-08,33.81
2012-08-09,33.79
2012-08-10,33.79
2012-08-11,33.79
2012-08-12,33.75
2012-08-13,33.72
2012-08-14,33.64
2012-08-15,33.6
2012-08-16,33.6
2012-08-17,33.56
2012-08-18,33.53
2012-08-19,33.49
2012-08-20,33.49
2012-08-21,33.49
2012-08-22,33.43
2012-08-23,33.43
2012-08-24,33.37
2012-08-25,33.37
2012-08-26,33.33
2012-08-27,33.29
2012-08-28,33.25
2012-08-29,33.25
2012-08-30,33.22
2012-08-31,33.22
2012-09-01,33.18
2012-09-02,33.14
2012-09-03,33.14
2012-09-04,33.1
2012-09-05,33.06
2012-09-06,33.06
2012-09-07,33.06
2012-09-08,33.04
2012-09-09,33.02
2012-09-10,32.98
2012-09-11,32.95
2012-09-12,32.99
2012-09-13,32.95
2012-09-14,32.91
2012-09-15,32.91
2012-09-16,32.91
2012-09-17,32.87
2012-09-18,32.83
2012-09-19,32.82
2012-09-20,32.8
2012-09-21,32.78
2012-09-22,32.76
2012-09-23,32.76
2012-09-24,32.7
2012-09-25,32.7
2012-09-26,32.64
2012-09-27,32.98
2012-09-28,33.33
2012-09-29,33.37
2012-09-30,33.37
2012-10-01,33.37
2012-10-02,33.35
2012-10-03,33.33
2012-10-04,33.31
2012-10-05,33.29
2012-10-06,33.37
2012-10-07,33.33
2012-10-08,33.3
2012-10-09,33.32
2012-10-10,33.33
2012-10-11,33.33
2012-10-12,33.33
2012-10-13,33.33
2012-10-14,33.29
2012-10-15,33.25
2012-10-16,33.25
2012-10-17,33.25
2012-10-18,33.25
2012-10-19,33.33
2012-10-20,33.41
2012-10-21,33.45
2012-10-22,33.28
2012-10-23,33.1
2012-10-24,33.16
2012-10-25,33.22
2012-10-26,33.56
2012-10-27,33.62
2012-10-28,33.68
2012-10-29,33.52
2012-10-30,33.37
2012-10-31,33.56
2012-11-01,33.56
2012-11-02,33.76
2012-11-03,33.87
2012-11-04,35.57
2012-11-05,37.27
2012-11-06,37.5
2012-11-07,37.72
2012-11-08,38.14
2012-11-09,39.3
2012-11-10,40.47
2012-11-11,40.69
2012-11-12,40.91
2012-11-13,40.97
2012-11-14,41.04
2012-11-15,41.06
2012-11-16,41.08
2012-11-17,41.21
2012-11-18,43.74
2012-11-19,46.26
2012-11-20,46.64
2012-11-21,47.01
2012-11-22,47.36
2012-11-23,47.36
2012-11-24,47.71
2012-11-25,47.8
2012-11-26,47.9
2012-11-27,48.04
2012-11-28,48.11
2012-11-29,48.18
2012-11-30,48.23
2012-12-01,48.28
2012-12-02,48.32
2012-12-03,48.37
2012-12-04,48.4
2012-12-05,48.41
2012-12-06,48.42
2012-12-07,48.49
2012-12-08,48.56
2012-12-09,48.61
2012-12-10,48.66
2012-12-11,48.68
2012-12-12,48.71
2012-12-13,48.16
2012-12-14,47.62
2012-12-15,47.71
2012-12-16,48.62
2012-12-17,49.52
2012-12-18,49.78
2012-12-19,50.05
2012-12-20,50.19
2012-12-21,50.33
2012-12-22,50.38
2012-12-23,50.53
2012-12-24,50.53
2012-12-25,50.67
2012-12-26,50.82
2012-12-27,50.87
2012-12-28,50.92
2012-12-29,50.96
2012-12-30,51.01
2012-12-31,51.06
2013-01-01,51.11
2013-01-02,51.16
2013-01-03,51.21
2013-01-04,51.26
2013-01-05,51.26
2013-01-06,51.3
2013-01-07,51.35
2013-01-08,51.4
2013-01-09,51.4
2013-01-10,51.4
2013-01-11,50.48
2013-01-12,50.43
2013-01-13,50.5
2013-01-14,50.5
2013-01-15,50.58
2013-01-16,50.58
2013-01-17,50.58
2013-01-18,50.72
2013-01-19,50.87
2013-01-20,51.64
2013-01-21,51.98
2013-01-22,52.33
2013-01-23,52.57
2013-01-24,52.84
2013-01-25,52.84
2013-01-26,53.12
2013-01-27,53.26
2013-01-28,53.48
2013-01-29,53.48
2013-01-30,53.71
2013-01-31,53.76
2013-02-01,53.83
2013-02-02,53.91
2013-02-03,54.01
2013-02-04,54.06
2013-02-05,54.11
2013-02-06,54.16
2013-02-07,54.2
2013-02-08,54.25
2013-02-09,54.3
2013-02-10,54.38
2013-02-11,54.38
