Fecha,Reserva
01/01/2017,43.38
02/01/2017,43.43
03/01/2017,43.43
06/01/2017,43.52
07/01/2017,43.52
09/01/2017,43.61
11/01/2017,43.61
12/01/2017,43.65
15/01/2017,43.7
16/01/2017,43.08
18/01/2017,43.07
21/01/2017,43.11
22/01/2017,43.16
24/01/2017,43.16
25/01/2017,43.2
27/01/2017,43.2
29/01/2017,43.29
31/01/2017,43.34
02/02/2017,43.34
03/02/2017,43.43
06/02/2017,43.56
08/02/2017,43.65
09/02/2017,43.65
12/02/2017,43.79
13/02/2017,45.38
14/02/2017,46.82
16/02/2017,47.48
19/02/2017,47.9
21/02/2017,48.09
22/02/2017,48.14
24/02/2017,48.33
26/02/2017,48.42
27/02/2017,48.47
01/03/2017,48.51
04/03/2017,48.71
05/03/2017,49.18
07/03/2017,49.47
08/03/2017,49.52
10/03/2017,49.71
12/03/2017,49.8
15/03/2017,49.95
16/03/2017,49.95
17/03/2017,50.0
20/03/2017,50.05
21/03/2017,49.57
23/03/2017,49.56
25/03/2017,49.61
27/03/2017,49.95
29/03/2017,50.33
31/03/2017,50.48
01/04/2017,50.24
04/04/2017,50.33
06/04/2017,50.43
07/04/2017,50.43
09/04/2017,50.48
11/04/2017,50.48
13/04/2017,50.53
14/04/2017,50.53
16/04/2017,50.53
18/04/2017,50.53
19/04/2017,50.58
21/04/2017,50.53
24/04/2017,50.53
26/04/2017,50.51
27/04/2017,50.48
29/04/2017,51.5
30/04/2017,52.18
02/05/2017,52.53
04/05/2017,52.67
07/05/2017,52.82
08/05/2017,52.33
10/05/2017,51.96
11/05/2017,51.89
14/05/2017,52.04
15/05/2017,52.08
17/05/2017,51.69
19/05/2017,51.45
21/05/2017,51.25
22/05/2017,51.16
25/05/2017,50.39
27/05/2017,49.85
29/05/2017,49.28
30/05/2017,49.04
31/05/2017,48.76
02/06/2017,48.26
05/06/2017,47.75
06/06/2017,47.57
09/06/2017,46.9
10/06/2017,46.63
12/06/2017,46.17
14/06/2017,45.65
15/06/2017,45.34
18/06/2017,44.51
19/06/2017,44.28
21/06/2017,43.74
22/06/2017,43.42
25/06/2017,42.53
26/06/2017,42.31
28/06/2017,41.69
01/07/2017,40.78
02/07/2017,40.52
04/07/2017,40.0
05/07/2017,39.7
07/07/2017,39.19
10/07/2017,38.35
11/07/2017,38.1
13/07/2017,37.6
14/07/2017,37.31
16/07/2017,36.78
18/07/2017,36.21
20/07/2017,35.69
22/07/2017,35.09
23/07/2017,34.85
25/07/2017,34.31
28/07/2017,33.49
29/07/2017,33.25
01/08/2017,32.46
02/08/2017,32.42
04/08/2017,32.34
06/08/2017,32.34
07/08/2017,32.27
09/08/2017,32.23
11/08/2017,32.15
13/08/2017,32.08
15/08/2017,32.04
16/08/2017,32.0
19/08/2017,31.93
21/08/2017,31.85
22/08/2017,31.85
24/08/2017,31.78
25/08/2017,31.78
27/08/2017,31.7
30/08/2017,31.59
01/09/2017,31.52
02/09/2017,31.52
04/09/2017,31.52
06/09/2017,31.41
07/09/2017,31.41
10/09/2017,31.3
11/09/2017,31.3
13/09/2017,30.95
15/09/2017,30.67
17/09/2017,30.34
18/09/2017,30.34
20/09/2017,30.05
22/09/2017,29.84
24/09/2017,29.59
26/09/2017,29.44
27/09/2017,29.12
30/09/2017,28.49
01/10/2017,28.49
04/10/2017,28.42
05/10/2017,28.42
06/10/2017,28.42
09/10/2017,28.35
11/10/2017,28.35
12/10/2017,28.35
15/10/2017,28.28
16/10/2017,28.28
18/10/2017,28.42
20/10/2017,28.42
21/10/2017,28.39
23/10/2017,28.38
25/10/2017,28.33
27/10/2017,28.32
29/10/2017,27.49
30/10/2017,27.38
02/11/2017,26.98
03/11/2017,26.98
05/11/2017,27.05
06/11/2017,27.01
08/11/2017,27.01
10/11/2017,27.01
13/11/2017,27.01
14/11/2017,26.94
16/11/2017,26.94
17/11/2017,26.94
20/11/2017,25.68
21/11/2017,25.68
24/11/2017,25.68
25/11/2017,25.64
27/11/2017,25.66
29/11/2017,25.71
30/11/2017,25.71
02/12/2017,25.71
04/12/2017,25.71
06/12/2017,25.71
08/12/2017,25.71
10/12/2017,25.68
12/12/2017,25.84
14/12/2017,25.84
16/12/2017,25.81
17/12/2017,25.84
19/12/2017,25.84
20/12/2017,25.81
22/12/2017,25.81
24/12/2017,25.81
26/12/2017,25.81
28/12/2017,25.81
30/12/2017,25.81
