Fecha,Reserva
2012-01-01,84.71
2012-01-02,84.7
2012-01-03,84.69
2012-01-04,84.68
2012-01-05,84.72
2012-01-06,84.77
2012-01-07,86.95
2012-01-08,86.78
2012-01-09,86.61
2012-01-10,86.66
2012-01-11,86.72
2012-01-12,86.74
2012-01-13,86.77
2012-01-14,86.79
2012-01-15,86.81
2012-01-16,86.86
2012-01-17,86.92
2012-01-18,86.96
2012-01-19,87.01
2012-01-20,87.03
2012-01-21,87.05
2012-01-22,87.1
2012-01-23,87.16
2012-01-24,87.22
2012-01-25,87.25
2012-01-26,87.28
2012-01-27,87.32
2012-01-28,87.36
2012-01-29,87.32
2012-01-30,87.44
2012-01-31,87.57
2012-02-01,87.64
2012-02-02,87.64
2012-02-03,87.72
2012-02-04,87.68
2012-02-05,87.72
2012-02-06,87.71
2012-02-07,87.71
2012-02-08,87.7
2012-02-09,87.71
2012-02-10,87.72
2012-02-11,87.72
2012-02-12,87.72
2012-02-13,87.7
2012-02-14,87.67
2012-02-15,87.67
2012-02-16,87.67
2012-02-17,87.67
2012-02-18,87.67
2012-02-19,87.67
2012-02-20,87.66
2012-02-21,87.66
2012-02-22,87.72
2012-02-23,87.74
2012-02-24,87.74
2012-02-25,87.76
2012-02-26,87.74
2012-02-27,87.71
2012-02-28,87.75
2012-02-29,87.79
2012-03-01,87.8
2012-03-02,87.8
2012-03-03,87.84
2012-03-04,87.88
2012-03-05,87.9
2012-03-06,87.93
2012-03-07,87.94
2012-03-08,87.96
2012-03-09,87.95
2012-03-10,87.95
2012-03-11,87.95
2012-03-12,87.98
2012-03-13,88.01
2012-03-14,88.0
2012-03-15,88.0
2012-03-16,87.99
2012-03-17,88.01
2012-03-18,88.0
2012-03-19,87.99
2012-03-20,88.04
2012-03-21,88.08
2012-03-22,88.1
2012-03-23,88.12
2012-03-24,88.12
2012-03-25,88.13
2012-03-26,88.18
2012-03-27,88.21
2012-03-28,88.24
2012-03-29,88.26
2012-03-30,88.27
2012-03-31,88.28
2012-04-01,88.3
2012-04-02,88.3
2012-04-03,88.3
2012-04-04,88.36
2012-04-05,88.36
2012-04-06,88.36
2012-04-07,88.36
