Fecha,Reserva
01/01/2019,98.95
02/01/2019,98.89
03/01/2019,98.81
06/01/2019,98.61
07/01/2019,98.53
09/01/2019,98.36
11/01/2019,98.18
13/01/2019,98.16
14/01/2019,98.18
17/01/2019,98.16
18/01/2019,98.13
21/01/2019,98.16
22/01/2019,98.13
23/01/2019,98.1
25/01/2019,98.16
28/01/2019,98.1
29/01/2019,98.07
01/02/2019,98.21
02/02/2019,98.58
03/02/2019,98.7
05/02/2019,98.89
08/02/2019,99.07
10/02/2019,99.15
12/02/2019,99.21
13/02/2019,99.21
14/02/2019,99.24
17/02/2019,99.44
19/02/2019,99.52
20/02/2019,99.58
23/02/2019,99.67
24/02/2019,99.72
26/02/2019,99.72
27/02/2019,99.75
02/03/2019,99.84
04/03/2019,99.87
05/03/2019,99.92
06/03/2019,99.92
08/03/2019,99.98
11/03/2019,100.07
13/03/2019,100.15
14/03/2019,100.18
16/03/2019,100.24
17/03/2019,100.3
19/03/2019,100.33
21/03/2019,100.44
24/03/2019,100.53
26/03/2019,100.61
27/03/2019,100.61
29/03/2019,100.61
30/03/2019,100.61
01/04/2019,100.73
04/04/2019,100.84
05/04/2019,100.87
07/04/2019,101.1
09/04/2019,101.31
10/04/2019,101.42
12/04/2019,101.54
14/04/2019,101.62
16/04/2019,101.68
18/04/2019,101.71
19/04/2019,101.97
22/04/2019,102.49
23/04/2019,102.67
26/04/2019,103.34
27/04/2019,103.49
29/04/2019,103.75
01/05/2019,104.04
02/05/2019,104.19
04/05/2019,104.57
06/05/2019,104.98
08/05/2019,105.42
09/05/2019,105.69
12/05/2019,106.58
13/05/2019,106.82
15/05/2019,107.41
17/05/2019,107.86
19/05/2019,108.28
20/05/2019,108.31
22/05/2019,108.4
24/05/2019,108.61
26/05/2019,108.7
28/05/2019,108.85
30/05/2019,108.91
31/05/2019,108.97
03/06/2019,109.15
05/06/2019,109.15
07/06/2019,109.06
08/06/2019,109.06
10/06/2019,109.0
11/06/2019,108.94
14/06/2019,108.76
15/06/2019,108.7
17/06/2019,108.55
19/06/2019,108.37
21/06/2019,108.19
23/06/2019,107.98
24/06/2019,107.89
27/06/2019,107.62
28/06/2019,107.5
30/06/2019,107.32
02/07/2019,107.08
03/07/2019,106.97
06/07/2019,106.55
07/07/2019,106.43
09/07/2019,106.07
11/07/2019,105.84
13/07/2019,105.6
15/07/2019,105.31
17/07/2019,105.01
19/07/2019,104.69
20/07/2019,104.57
22/07/2019,104.25
24/07/2019,103.95
26/07/2019,103.66
27/07/2019,103.49
29/07/2019,103.16
31/07/2019,102.84
02/08/2019,102.58
03/08/2019,102.41
05/08/2019,102.12
07/08/2019,101.83
10/08/2019,101.33
11/08/2019,101.19
13/08/2019,100.82
15/08/2019,100.53
16/08/2019,100.33
19/08/2019,99.89
20/08/2019,99.72
23/08/2019,99.21
24/08/2019,99.01
26/08/2019,98.67
28/08/2019,98.3
29/08/2019,98.13
01/09/2019,97.62
02/09/2019,97.42
04/09/2019,97.08
06/09/2019,96.71
08/09/2019,96.43
10/09/2019,96.18
11/09/2019,96.01
13/09/2019,95.76
14/09/2019,95.68
16/09/2019,95.48
18/09/2019,95.23
21/09/2019,94.81
22/09/2019,94.68
24/09/2019,94.34
26/09/2019,94.04
28/09/2019,93.73
29/09/2019,93.54
01/10/2019,93.24
03/10/2019,92.88
05/10/2019,92.55
07/10/2019,92.22
08/10/2019,92.03
10/10/2019,91.7
12/10/2019,91.38
14/10/2019,91.05
16/10/2019,90.67
18/10/2019,90.35
19/10/2019,90.16
22/10/2019,89.73
24/10/2019,89.4
26/10/2019,89.16
27/10/2019,89.0
28/10/2019,88.87
30/10/2019,88.63
02/11/2019,88.28
04/11/2019,88.07
05/11/2019,87.91
07/11/2019,87.8
08/11/2019,87.64
10/11/2019,87.38
12/11/2019,87.22
14/11/2019,86.98
16/11/2019,86.77
17/11/2019,86.66
19/11/2019,86.5
22/11/2019,86.35
23/11/2019,86.64
25/11/2019,86.77
27/11/2019,86.85
28/11/2019,86.87
30/11/2019,86.87
02/12/2019,86.87
05/12/2019,86.87
06/12/2019,86.87
08/12/2019,86.82
10/12/2019,86.77
11/12/2019,86.74
13/12/2019,86.61
15/12/2019,86.56
17/12/2019,86.5
19/12/2019,86.4
20/12/2019,86.5
22/12/2019,90.08
24/12/2019,91.59
26/12/2019,92.39
28/12/2019,92.93
30/12/2019,93.38
