Fecha,Reserva
2012-01-01,98.69
2012-01-02,98.66
2012-01-03,98.68
2012-01-04,98.69
2012-01-05,98.66
2012-01-06,98.64
2012-01-07,98.31
2012-01-08,98.32
2012-01-09,98.33
2012-01-10,98.3
2012-01-11,98.3
2012-01-12,98.28
2012-01-13,98.36
2012-01-14,98.36
2012-01-15,98.36
2012-01-16,98.36
2012-01-17,98.36
2012-01-18,98.31
2012-01-19,98.31
2012-01-20,98.31
2012-01-21,98.31
2012-01-22,98.26
2012-01-23,98.26
2012-01-24,98.26
2012-01-25,98.24
2012-01-26,98.21
2012-01-27,98.24
2012-01-28,98.26
2012-01-29,98.21
2012-01-30,98.21
2012-01-31,98.21
2012-02-01,98.21
2012-02-02,98.21
2012-02-03,98.21
2012-02-04,98.21
2012-02-05,98.21
2012-02-06,98.21
2012-02-07,98.09
2012-02-08,97.97
2012-02-09,84.81
2012-02-10,89.46
2012-02-11,94.12
2012-02-12,96.04
2012-02-13,97.96
2012-02-14,97.94
2012-02-15,97.91
2012-02-16,97.91
2012-02-17,97.91
2012-02-18,97.87
2012-02-19,97.86
2012-02-20,97.86
2012-02-21,97.84
2012-02-22,97.81
2012-02-23,97.81
2012-02-24,97.81
2012-02-25,97.79
2012-02-26,97.77
2012-02-27,97.76
2012-02-28,97.75
2012-02-29,97.75
2012-03-01,97.75
2012-03-02,97.68
2012-03-03,97.66
2012-03-04,97.66
2012-03-05,97.63
2012-03-06,97.53
2012-03-07,97.36
2012-03-08,97.19
2012-03-09,97.49
2012-03-10,97.47
2012-03-11,97.45
2012-03-12,97.07
2012-03-13,96.69
2012-03-14,96.42
2012-03-15,96.42
2012-03-16,96.16
2012-03-17,96.14
2012-03-18,96.13
2012-03-19,96.54
2012-03-20,95.88
2012-03-21,95.86
2012-03-22,95.85
2012-03-23,95.85
2012-03-24,95.85
2012-03-25,95.86
2012-03-26,95.79
2012-03-27,95.66
2012-03-28,95.53
2012-03-29,95.51
2012-03-30,95.49
2012-03-31,95.47
2012-04-01,95.45
2012-04-02,95.34
2012-04-03,95.22
2012-04-04,95.3
2012-04-05,95.28
2012-04-06,95.28
2012-04-07,95.27
2012-04-08,95.23
2012-04-09,95.19
2012-04-10,95.06
2012-04-11,94.92
2012-04-12,94.88
2012-04-13,94.85
2012-04-14,94.9
2012-04-15,94.9
2012-04-16,94.94
2012-04-17,94.91
2012-04-18,94.8
2012-04-19,94.8
2012-04-20,94.7
2012-04-21,94.57
2012-04-22,94.57
2012-04-23,94.44
2012-04-24,94.31
2012-04-25,94.04
2012-04-26,94.04
2012-04-27,93.77
2012-04-28,93.81
2012-04-29,93.85
2012-04-30,93.89
2012-05-01,93.91
2012-05-02,93.93
2012-05-03,93.91
2012-05-04,93.92
2012-05-05,93.92
2012-05-06,93.94
2012-05-07,94.43
2012-05-08,94.92
2012-05-09,94.96
2012-05-10,95.0
2012-05-11,95.01
2012-05-12,95.01
2012-05-13,95.01
2012-05-14,94.98
2012-05-15,94.86
2012-05-16,94.74
2012-05-17,94.64
2012-05-18,94.54
2012-05-19,94.48
2012-05-20,94.48
2012-05-21,94.41
2012-05-22,94.41
2012-05-23,94.29
2012-05-24,94.17
2012-05-25,94.02
2012-05-26,93.98
2012-05-27,93.95
2012-05-28,93.8
2012-05-29,93.64
2012-05-30,93.36
2012-05-31,93.36
2012-06-01,93.08
2012-06-02,93.04
2012-06-03,93.0
2012-06-04,92.82
2012-06-05,92.57
2012-06-06,92.17
2012-06-07,92.17
2012-06-08,91.77
2012-06-09,91.72
2012-06-10,91.67
2012-06-11,91.45
2012-06-12,91.18
2012-06-13,90.9
2012-06-14,90.57
2012-06-15,90.24
2012-06-16,90.24
2012-06-17,90.24
2012-06-18,90.24
2012-06-19,89.65
2012-06-20,89.06
2012-06-21,88.57
2012-06-22,88.57
2012-06-23,88.08
2012-06-24,88.05
2012-06-25,87.79
2012-06-26,87.53
2012-06-27,87.21
2012-06-28,86.89
2012-06-29,86.53
2012-06-30,86.17
2012-07-01,86.04
2012-07-02,85.9
2012-07-03,85.57
2012-07-04,85.24
2012-07-05,84.89
2012-07-06,84.54
2012-07-07,84.5
2012-07-08,84.44
2012-07-09,84.14
2012-07-10,83.83
2012-07-11,83.3
2012-07-12,83.3
2012-07-13,82.78
2012-07-14,82.43
2012-07-15,82.28
2012-07-16,82.13
2012-07-17,81.78
2012-07-18,81.44
2012-07-19,81.1
2012-07-20,80.77
2012-07-21,80.71
2012-07-22,80.65
2012-07-23,80.34
2012-07-24,80.02
2012-07-25,80.02
2012-07-26,79.51
2012-07-27,79.0
2012-07-28,78.8
2012-07-29,78.59
2012-07-30,78.34
2012-07-31,77.82
2012-08-01,77.82
2012-08-02,77.31
2012-08-03,76.93
2012-08-04,76.87
2012-08-05,76.8
2012-08-06,76.56
2012-08-07,76.33
2012-08-08,75.91
2012-08-09,75.5
2012-08-10,75.17
2012-08-11,74.84
2012-08-12,74.78
2012-08-13,74.46
2012-08-14,74.14
2012-08-15,73.62
2012-08-16,73.62
2012-08-17,73.1
2012-08-18,73.06
2012-08-19,73.02
2012-08-20,72.77
2012-08-21,72.44
2012-08-22,72.1
2012-08-23,71.74
2012-08-24,71.38
2012-08-25,71.32
2012-08-26,71.26
2012-08-27,71.02
2012-08-28,70.66
2012-08-29,70.31
2012-08-30,69.96
2012-08-31,69.62
2012-09-01,69.56
2012-09-02,69.51
2012-09-03,69.25
2012-09-04,68.79
2012-09-05,68.79
2012-09-06,68.33
2012-09-07,68.3
2012-09-08,68.26
2012-09-09,68.21
2012-09-10,68.15
2012-09-11,67.95
2012-09-12,67.74
2012-09-13,67.53
2012-09-14,67.3
2012-09-15,67.26
2012-09-16,67.21
2012-09-17,67.1
2012-09-18,67.0
2012-09-19,66.67
2012-09-20,66.67
2012-09-21,66.34
2012-09-22,66.33
2012-09-23,66.28
2012-09-24,66.22
2012-09-25,66.12
2012-09-26,66.01
2012-09-27,66.0
2012-09-28,65.99
2012-09-29,66.15
2012-09-30,66.11
2012-10-01,66.07
2012-10-02,66.04
2012-10-03,66.02
2012-10-04,65.96
2012-10-05,65.91
2012-10-06,65.9
2012-10-07,65.86
2012-10-08,65.81
2012-10-09,65.79
2012-10-10,65.77
2012-10-11,65.72
2012-10-12,65.66
2012-10-13,65.62
2012-10-14,65.58
2012-10-15,65.54
2012-10-16,65.5
2012-10-17,65.47
2012-10-18,65.44
2012-10-19,65.44
2012-10-20,65.39
2012-10-21,65.39
2012-10-22,65.34
2012-10-23,65.32
2012-10-24,65.29
