Fecha,Reserva
01/01/2015,91.16
02/01/2015,91.13
03/01/2015,91.13
06/01/2015,91.1
07/01/2015,91.12
09/01/2015,91.1
11/01/2015,91.06
12/01/2015,91.07
14/01/2015,91.07
16/01/2015,91.05
19/01/2015,91.1
20/01/2015,91.09
22/01/2015,91.1
23/01/2015,91.11
25/01/2015,91.1
27/01/2015,91.11
30/01/2015,91.12
31/01/2015,91.26
02/02/2015,91.65
03/02/2015,91.79
05/02/2015,92.44
07/02/2015,92.79
09/02/2015,92.94
11/02/2015,93.03
13/02/2015,93.1
14/02/2015,93.12
17/02/2015,93.4
19/02/2015,93.79
20/02/2015,93.95
22/02/2015,94.13
24/02/2015,94.21
25/02/2015,94.44
27/02/2015,94.34
01/03/2015,94.39
04/03/2015,94.45
05/03/2015,94.44
07/03/2015,94.46
08/03/2015,94.45
11/03/2015,94.46
13/03/2015,94.44
14/03/2015,94.45
16/03/2015,94.41
17/03/2015,94.35
20/03/2015,94.05
22/03/2015,94.07
24/03/2015,94.21
26/03/2015,94.65
27/03/2015,94.8
29/03/2015,94.95
30/03/2015,95.01
01/04/2015,95.06
03/04/2015,95.07
06/04/2015,95.06
07/04/2015,94.97
09/04/2015,94.77
10/04/2015,119.63
12/04/2015,94.72
15/04/2015,94.68
17/04/2015,94.86
18/04/2015,94.89
19/04/2015,94.9
21/04/2015,94.92
24/04/2015,94.86
26/04/2015,94.81
27/04/2015,94.83
29/04/2015,94.71
01/05/2015,94.55
02/05/2015,94.56
05/05/2015,94.43
06/05/2015,94.32
08/05/2015,93.92
10/05/2015,93.87
12/05/2015,93.49
14/05/2015,92.96
15/05/2015,92.71
17/05/2015,92.62
19/05/2015,92.18
21/05/2015,91.69
22/05/2015,91.46
24/05/2015,91.36
26/05/2015,90.92
29/05/2015,90.12
30/05/2015,90.09
01/06/2015,89.83
03/06/2015,89.22
05/06/2015,88.56
07/06/2015,88.47
08/06/2015,88.27
10/06/2015,87.53
12/06/2015,86.79
13/06/2015,86.48
15/06/2015,86.25
18/06/2015,85.33
19/06/2015,85.04
21/06/2015,84.96
22/06/2015,84.72
25/06/2015,83.62
26/06/2015,83.3
28/06/2015,83.21
30/06/2015,82.6
02/07/2015,81.86
04/07/2015,81.15
06/07/2015,80.88
08/07/2015,80.14
10/07/2015,79.38
11/07/2015,79.01
12/07/2015,78.96
14/07/2015,78.33
17/07/2015,77.23
18/07/2015,76.87
20/07/2015,76.56
22/07/2015,75.82
24/07/2015,75.07
25/07/2015,74.73
27/07/2015,74.4
30/07/2015,73.3
01/08/2015,72.53
02/08/2015,72.5
03/08/2015,72.28
06/08/2015,71.22
07/08/2015,70.87
09/08/2015,70.78
11/08/2015,70.19
13/08/2015,69.5
14/08/2015,69.17
16/08/2015,69.04
18/08/2015,68.46
21/08/2015,67.49
23/08/2015,67.37
24/08/2015,67.11
25/08/2015,66.79
28/08/2015,65.86
30/08/2015,65.78
31/08/2015,65.56
02/09/2015,64.92
03/09/2015,64.7
06/09/2015,64.56
08/09/2015,64.73
10/09/2015,64.65
11/09/2015,64.6
13/09/2015,64.52
14/09/2015,64.32
17/09/2015,63.64
18/09/2015,63.49
21/09/2015,63.38
23/09/2015,63.28
24/09/2015,63.24
26/09/2015,63.14
28/09/2015,63.03
29/09/2015,62.87
02/10/2015,62.05
03/10/2015,62.03
05/10/2015,61.96
06/10/2015,62.03
09/10/2015,61.95
10/10/2015,61.9
13/10/2015,61.84
14/10/2015,61.8
16/10/2015,61.74
18/10/2015,61.68
19/10/2015,61.69
21/10/2015,61.65
23/10/2015,61.56
26/10/2015,61.47
27/10/2015,61.45
28/10/2015,61.44
31/10/2015,61.36
01/11/2015,61.32
03/11/2015,61.51
05/11/2015,61.54
06/11/2015,61.52
08/11/2015,61.52
11/11/2015,61.42
13/11/2015,61.38
14/11/2015,61.36
16/11/2015,61.29
17/11/2015,61.26
20/11/2015,61.24
21/11/2015,61.2
23/11/2015,61.1
25/11/2015,61.04
27/11/2015,61.02
29/11/2015,60.97
01/12/2015,60.91
02/12/2015,60.9
04/12/2015,60.84
06/12/2015,60.82
08/12/2015,60.78
10/12/2015,60.74
12/12/2015,60.68
14/12/2015,60.65
16/12/2015,60.58
17/12/2015,60.57
19/12/2015,60.52
21/12/2015,60.48
23/12/2015,60.42
25/12/2015,60.4
26/12/2015,60.37
29/12/2015,60.35
30/12/2015,60.32
