Fecha,Reserva
2012-01-01,28.83
2012-01-02,28.82
2012-01-03,28.81
2012-01-04,28.8
2012-01-05,28.78
2012-01-06,28.77
2012-01-07,28.12
2012-01-08,28.2
2012-01-09,28.27
2012-01-10,28.25
2012-01-11,28.23
2012-01-12,28.21
2012-01-13,28.19
2012-01-14,28.18
2012-01-15,28.16
2012-01-16,28.19
2012-01-17,28.16
2012-01-18,28.12
2012-01-19,28.1
2012-01-20,28.08
2012-01-21,28.06
2012-01-22,28.06
2012-01-23,28.03
2012-01-24,28.03
2012-01-25,27.99
2012-01-26,27.97
2012-01-27,27.95
2012-01-28,27.95
2012-01-29,27.95
2012-01-30,27.95
2012-01-31,27.89
2012-02-01,27.88
2012-02-02,27.86
2012-02-03,27.84
2012-02-04,27.81
2012-02-05,27.78
2012-02-06,27.76
2012-02-07,27.74
2012-02-08,27.72
2012-02-09,27.71
2012-02-10,27.68
2012-02-11,27.68
2012-02-12,27.65
2012-02-13,27.62
2012-02-14,27.6
2012-02-15,27.59
2012-02-16,27.57
2012-02-17,27.55
2012-02-18,27.54
2012-02-19,27.52
2012-02-20,27.5
2012-02-21,27.48
2012-02-22,27.45
2012-02-23,27.42
2012-02-24,27.4
2012-02-25,27.38
2012-02-26,27.36
2012-02-27,27.34
2012-02-28,27.33
2012-02-29,27.33
2012-03-01,27.33
2012-03-02,27.27
2012-03-03,27.26
2012-03-04,27.24
2012-03-05,27.22
2012-03-06,27.2
2012-03-07,27.18
2012-03-08,27.16
2012-03-09,27.13
2012-03-10,27.1
2012-03-11,27.07
2012-03-12,27.02
2012-03-13,27.02
2012-03-14,26.98
2012-03-15,26.94
2012-03-16,26.9
2012-03-17,26.87
2012-03-18,26.83
2012-03-19,26.79
2012-03-20,26.78
2012-03-21,26.76
2012-03-22,26.69
2012-03-23,26.62
2012-03-24,26.62
2012-03-25,26.54
2012-03-26,26.48
2012-03-27,26.43
2012-03-28,26.39
2012-03-29,26.34
2012-03-30,26.29
2012-03-31,26.25
2012-04-01,26.18
2012-04-02,26.18
2012-04-03,26.11
2012-04-04,26.07
2012-04-05,26.03
2012-04-06,25.98
2012-04-07,25.92
2012-04-08,25.92
2012-04-09,25.86
2012-04-10,25.81
2012-04-11,25.76
2012-04-12,25.71
2012-04-13,25.68
2012-04-14,25.64
2012-04-15,25.8
2012-04-16,25.96
2012-04-17,26.03
2012-04-18,26.1
2012-04-19,26.1
2012-04-20,26.16
2012-04-21,26.38
2012-04-22,26.2
2012-04-23,26.03
2012-04-24,26.7
2012-04-25,26.72
2012-04-26,26.74
2012-04-27,26.74
2012-04-28,26.73
2012-04-29,26.71
2012-04-30,26.69
2012-05-01,26.67
2012-05-02,26.65
2012-05-03,26.63
2012-05-04,26.61
2012-05-05,26.61
2012-05-06,26.61
2012-05-07,26.62
2012-05-08,26.62
2012-05-09,26.62
2012-05-10,26.62
2012-05-11,26.6
2012-05-12,26.57
2012-05-13,26.54
2012-05-14,26.5
2012-05-15,26.47
2012-05-16,26.42
2012-05-17,26.37
2012-05-18,26.31
2012-05-19,26.24
2012-05-20,26.16
2012-05-21,26.09
2012-05-22,26.02
2012-05-23,25.95
2012-05-24,25.88
2012-05-25,25.81
2012-05-26,25.7
2012-05-27,25.7
2012-05-28,25.58
2012-05-29,25.51
2012-05-30,25.39
2012-05-31,25.39
2012-06-01,25.27
2012-06-02,25.2
2012-06-03,25.13
2012-06-04,25.06
2012-06-05,24.99
2012-06-06,24.92
2012-06-07,24.84
2012-06-08,24.72
2012-06-09,24.72
2012-06-10,24.6
2012-06-11,24.51
2012-06-12,24.39
2012-06-13,24.39
2012-06-14,24.27
2012-06-15,24.18
2012-06-16,24.18
2012-06-17,24.18
2012-06-18,24.18
2012-06-19,23.98
2012-06-20,23.79
2012-06-21,23.7
2012-06-22,23.62
2012-06-23,23.54
2012-06-24,23.47
2012-06-25,23.39
2012-06-26,23.31
2012-06-27,23.24
2012-06-28,23.16
2012-06-29,23.08
2012-06-30,23.0
2012-07-01,22.91
2012-07-02,22.79
2012-07-03,22.79
2012-07-04,22.67
2012-07-05,22.6
2012-07-06,22.52
2012-07-07,22.44
2012-07-08,22.36
2012-07-09,22.28
2012-07-10,22.2
2012-07-11,22.12
2012-07-12,22.04
2012-07-13,21.96
2012-07-14,21.88
2012-07-15,21.8
2012-07-16,21.72
2012-07-17,21.64
2012-07-18,21.56
2012-07-19,21.48
2012-07-20,21.4
2012-07-21,21.32
2012-07-22,21.25
2012-07-23,21.17
2012-07-24,21.09
2012-07-25,21.02
2012-07-26,20.94
2012-07-27,20.87
2012-07-28,20.8
2012-07-29,20.73
2012-07-30,20.66
2012-07-31,20.59
2012-08-01,20.52
2012-08-02,20.45
2012-08-03,20.38
2012-08-04,20.3
2012-08-05,20.23
2012-08-06,20.16
2012-08-07,20.09
2012-08-08,20.02
2012-08-09,19.96
2012-08-10,19.89
2012-08-11,19.82
2012-08-12,19.76
2012-08-13,19.69
2012-08-14,19.62
2012-08-15,19.52
2012-08-16,19.52
2012-08-17,19.41
2012-08-18,19.35
2012-08-19,19.29
2012-08-20,19.23
2012-08-21,19.17
2012-08-22,19.11
2012-08-23,19.06
2012-08-24,18.99
2012-08-25,18.93
2012-08-26,18.87
2012-08-27,18.81
2012-08-28,18.75
2012-08-29,18.69
2012-08-30,18.63
2012-08-31,18.57
2012-09-01,18.52
2012-09-02,18.47
2012-09-03,18.41
2012-09-04,18.34
2012-09-05,18.34
2012-09-06,18.26
2012-09-07,18.22
2012-09-08,18.17
2012-09-09,18.12
2012-09-10,18.07
2012-09-11,18.02
2012-09-12,17.97
2012-09-13,17.93
2012-09-14,17.89
2012-09-15,17.81
2012-09-16,17.81
2012-09-17,17.74
2012-09-18,17.7
2012-09-19,17.65
2012-09-20,17.6
2012-09-21,17.55
2012-09-22,17.51
2012-09-23,17.46
2012-09-24,17.42
2012-09-25,17.37
2012-09-26,17.33
2012-09-27,17.29
2012-09-28,17.28
2012-09-29,17.28
2012-09-30,17.24
