Fecha,Reserva
01/01/2013,20.94
02/01/2013,20.94
04/01/2013,20.95
06/01/2013,20.97
08/01/2013,20.98
10/01/2013,20.98
11/01/2013,20.99
13/01/2013,21.0
15/01/2013,21.0
17/01/2013,21.02
18/01/2013,21.12
20/01/2013,22.16
22/01/2013,23.19
24/01/2013,23.9
25/01/2013,24.41
27/01/2013,25.29
29/01/2013,26.06
31/01/2013,26.58
02/02/2013,26.99
04/02/2013,27.39
06/02/2013,27.66
08/02/2013,27.87
10/02/2013,28.0
11/02/2013,28.08
13/02/2013,28.18
14/02/2013,28.23
17/02/2013,28.56
19/02/2013,28.77
21/02/2013,29.13
22/02/2013,29.44
24/02/2013,31.23
26/02/2013,24.05
27/02/2013,32.3
01/03/2013,32.63
04/03/2013,32.93
05/03/2013,33.11
07/03/2013,33.77
09/03/2013,35.42
11/03/2013,36.5
13/03/2013,38.16
14/03/2013,38.85
16/03/2013,39.56
18/03/2013,40.29
19/03/2013,41.03
21/03/2013,42.26
23/03/2013,42.99
26/03/2013,43.46
27/03/2013,43.74
29/03/2013,44.26
30/03/2013,44.5
01/04/2013,44.97
03/04/2013,47.32
05/04/2013,48.1
07/04/2013,48.53
08/04/2013,48.53
11/04/2013,48.61
13/04/2013,48.61
15/04/2013,48.51
16/04/2013,48.46
18/04/2013,48.31
20/04/2013,48.12
21/04/2013,48.01
23/04/2013,47.77
25/04/2013,47.49
28/04/2013,47.1
29/04/2013,47.0
01/05/2013,46.7
03/05/2013,46.43
05/05/2013,46.14
07/05/2013,45.99
08/05/2013,45.7
10/05/2013,45.54
11/05/2013,45.25
13/05/2013,44.93
16/05/2013,44.47
17/05/2013,44.31
19/05/2013,44.01
20/05/2013,43.88
22/05/2013,43.68
25/05/2013,43.4
27/05/2013,28.96
28/05/2013,43.02
30/05/2013,42.78
01/06/2013,42.51
02/06/2013,42.4
04/06/2013,42.14
06/06/2013,41.9
09/06/2013,41.55
10/06/2013,41.4
12/06/2013,41.19
14/06/2013,40.96
16/06/2013,40.72
17/06/2013,40.61
19/06/2013,40.35
21/06/2013,40.12
22/06/2013,40.0
24/06/2013,39.78
27/06/2013,39.47
28/06/2013,39.36
30/06/2013,39.16
02/07/2013,38.96
03/07/2013,38.87
05/07/2013,38.66
08/07/2013,38.35
09/07/2013,38.25
11/07/2013,38.08
12/07/2013,37.97
14/07/2013,37.78
17/07/2013,37.48
18/07/2013,37.37
20/07/2013,37.17
22/07/2013,36.96
24/07/2013,36.75
26/07/2013,36.56
28/07/2013,36.33
30/07/2013,36.11
31/07/2013,36.01
02/08/2013,35.8
04/08/2013,35.6
06/08/2013,35.4
08/08/2013,35.2
10/08/2013,35.0
12/08/2013,34.82
13/08/2013,34.72
15/08/2013,34.52
17/08/2013,34.32
19/08/2013,34.12
21/08/2013,33.92
22/08/2013,33.83
24/08/2013,33.65
26/08/2013,33.47
28/08/2013,33.32
30/08/2013,33.47
31/08/2013,33.49
02/09/2013,33.44
03/09/2013,33.4
05/09/2013,33.3
08/09/2013,33.18
10/09/2013,33.09
11/09/2013,33.04
13/09/2013,32.93
14/09/2013,32.87
16/09/2013,32.77
19/09/2013,32.58
20/09/2013,32.51
23/09/2013,32.32
24/09/2013,32.25
26/09/2013,32.13
27/09/2013,32.06
29/09/2013,31.93
01/10/2013,31.81
03/10/2013,31.72
05/10/2013,31.62
07/10/2013,31.52
09/10/2013,31.41
11/10/2013,31.31
13/10/2013,31.19
14/10/2013,31.14
16/10/2013,31.01
18/10/2013,30.89
19/10/2013,30.84
21/10/2013,30.72
24/10/2013,30.57
25/10/2013,30.52
27/10/2013,30.4
29/10/2013,30.3
30/10/2013,30.24
01/11/2013,30.12
03/11/2013,30.06
05/11/2013,30.01
07/11/2013,29.97
09/11/2013,29.93
10/11/2013,29.9
13/11/2013,29.84
14/11/2013,29.84
16/11/2013,29.81
17/11/2013,29.79
20/11/2013,29.71
22/11/2013,29.67
24/11/2013,29.63
26/11/2013,29.59
27/11/2013,29.56
29/11/2013,29.53
01/12/2013,29.49
03/12/2013,29.45
05/12/2013,29.41
06/12/2013,29.39
08/12/2013,29.35
10/12/2013,29.31
12/12/2013,29.27
14/12/2013,29.24
16/12/2013,29.2
18/12/2013,29.16
19/12/2013,29.15
20/12/2013,29.16
22/12/2013,29.12
25/12/2013,29.08
27/12/2013,29.86
29/12/2013,30.16
30/12/2013,30.24
