Fecha,Reserva
2012-01-01,90.39
2012-01-02,90.39
2012-01-03,90.39
2012-01-04,90.39
2012-01-05,90.39
2012-01-06,90.39
2012-01-07,90.26
2012-01-08,90.26
2012-01-09,90.26
2012-01-10,90.26
2012-01-11,90.26
2012-01-12,90.26
2012-01-13,90.26
2012-01-14,90.26
2012-01-15,90.26
2012-01-16,90.26
2012-01-17,90.26
2012-01-18,90.26
2012-01-19,90.26
2012-01-20,90.26
2012-01-21,90.26
2012-01-22,90.26
2012-01-23,90.26
2012-01-24,90.26
2012-01-25,90.12
2012-01-26,90.19
2012-01-27,90.26
2012-01-28,90.22
2012-01-29,90.19
2012-01-30,90.21
2012-01-31,90.21
2012-02-01,90.23
2012-02-02,90.18
2012-02-03,90.12
2012-02-04,90.12
2012-02-05,90.05
2012-02-06,90.05
2012-02-07,90.05
2012-02-08,90.05
2012-02-09,89.99
2012-02-10,89.99
2012-02-11,89.99
2012-02-12,89.99
2012-02-13,89.92
2012-02-14,89.92
2012-02-15,89.92
2012-02-16,89.92
2012-02-17,89.92
2012-02-18,89.92
2012-02-19,89.92
2012-02-20,89.92
2012-02-21,89.92
2012-02-22,89.88
2012-02-23,89.85
2012-02-24,89.85
2012-02-25,89.85
2012-02-26,89.85
2012-02-27,89.85
2012-02-28,89.85
2012-02-29,89.85
2012-03-01,89.85
2012-03-02,89.48
2012-03-03,89.1
2012-03-04,88.9
2012-03-05,88.71
2012-03-06,88.43
2012-03-07,88.02
2012-03-08,87.62
2012-03-09,87.29
2012-03-10,86.96
2012-03-11,86.62
2012-03-12,86.36
2012-03-13,86.09
2012-03-14,85.77
2012-03-15,85.45
2012-03-16,85.17
2012-03-17,84.89
2012-03-18,84.66
2012-03-19,84.43
2012-03-20,84.2
2012-03-21,83.97
2012-03-22,83.9
2012-03-23,83.9
2012-03-24,83.9
2012-03-25,83.9
2012-03-26,83.9
2012-03-27,83.9
2012-03-28,83.84
2012-03-29,83.84
2012-03-30,83.84
2012-03-31,83.77
2012-04-01,83.77
2012-04-02,83.77
2012-04-03,83.77
2012-04-04,83.77
2012-04-05,83.77
2012-04-06,83.77
2012-04-07,83.77
2012-04-08,83.77
2012-04-09,83.77
2012-04-10,83.51
2012-04-11,83.31
2012-04-12,83.04
2012-04-13,82.78
2012-04-14,82.45
2012-04-15,82.12
2012-04-16,81.86
2012-04-17,81.59
2012-04-18,81.36
2012-04-19,81.36
2012-04-20,81.13
2012-04-21,80.6
2012-04-22,80.4
2012-04-23,80.14
2012-04-24,79.88
2012-04-25,79.45
2012-04-26,79.45
2012-04-27,79.02
2012-04-28,78.76
2012-04-29,78.63
2012-04-30,78.5
2012-05-01,78.53
2012-05-02,78.56
2012-05-03,78.56
2012-05-04,78.56
2012-05-05,78.56
2012-05-06,78.56
2012-05-07,78.72
2012-05-08,78.89
2012-05-09,78.92
2012-05-10,78.96
2012-05-11,78.89
2012-05-12,78.89
2012-05-13,78.89
2012-05-14,78.85
