Fecha,Reserva
01/01/2019,59.59
02/01/2019,59.59
04/01/2019,59.59
05/01/2019,59.64
08/01/2019,59.64
09/01/2019,59.64
11/01/2019,59.69
13/01/2019,59.69
15/01/2019,59.74
16/01/2019,59.7
19/01/2019,59.79
20/01/2019,59.79
22/01/2019,59.84
24/01/2019,59.84
25/01/2019,59.89
28/01/2019,59.86
30/01/2019,59.94
31/01/2019,59.94
02/02/2019,60.3
03/02/2019,60.35
06/02/2019,60.4
07/02/2019,60.45
10/02/2019,60.45
11/02/2019,60.5
13/02/2019,60.55
14/02/2019,60.55
17/02/2019,60.55
18/02/2019,60.6
20/02/2019,60.6
22/02/2019,60.65
24/02/2019,60.65
25/02/2019,60.7
28/02/2019,60.71
02/03/2019,60.76
03/03/2019,60.76
05/03/2019,60.76
07/03/2019,60.91
09/03/2019,60.91
10/03/2019,60.96
12/03/2019,60.96
14/03/2019,61.01
16/03/2019,61.01
17/03/2019,61.01
19/03/2019,61.01
21/03/2019,61.01
24/03/2019,61.01
25/03/2019,61.01
27/03/2019,60.65
28/03/2019,60.5
31/03/2019,59.94
02/04/2019,59.84
04/04/2019,59.55
05/04/2019,59.54
07/04/2019,59.64
09/04/2019,59.74
11/04/2019,59.74
12/04/2019,59.79
14/04/2019,59.79
16/04/2019,59.79
18/04/2019,59.79
20/04/2019,59.89
21/04/2019,59.94
24/04/2019,59.99
26/04/2019,60.2
27/04/2019,60.2
29/04/2019,60.25
01/05/2019,60.3
02/05/2019,60.3
04/05/2019,60.3
06/05/2019,60.3
08/05/2019,60.3
09/05/2019,60.3
12/05/2019,59.94
14/05/2019,59.54
15/05/2019,59.18
17/05/2019,60.4
19/05/2019,60.96
20/05/2019,61.01
23/05/2019,60.2
25/05/2019,59.79
27/05/2019,59.59
28/05/2019,59.34
30/05/2019,58.83
01/06/2019,58.28
03/06/2019,58.28
04/06/2019,58.28
06/06/2019,58.73
08/06/2019,59.34
10/06/2019,59.39
11/06/2019,59.54
14/06/2019,60.25
16/06/2019,60.5
17/06/2019,60.5
19/06/2019,59.99
21/06/2019,59.59
22/06/2019,59.34
24/06/2019,59.23
26/06/2019,58.83
29/06/2019,58.09
01/07/2019,57.94
02/07/2019,58.09
04/07/2019,58.63
06/07/2019,59.29
07/07/2019,59.79
10/07/2019,60.81
11/07/2019,61.07
12/07/2019,61.32
15/07/2019,61.16
16/07/2019,61.17
18/07/2019,60.35
20/07/2019,59.84
22/07/2019,59.79
23/07/2019,59.49
26/07/2019,58.7
27/07/2019,58.48
29/07/2019,58.48
01/08/2019,57.79
02/08/2019,57.79
03/08/2019,57.74
05/08/2019,57.74
07/08/2019,57.64
09/08/2019,57.59
11/08/2019,57.59
13/08/2019,57.59
14/08/2019,57.54
16/08/2019,57.59
19/08/2019,57.59
20/08/2019,57.59
22/08/2019,57.64
24/08/2019,57.74
25/08/2019,57.74
27/08/2019,57.84
29/08/2019,57.99
01/09/2019,58.13
02/09/2019,58.23
04/09/2019,57.99
05/09/2019,57.79
07/09/2019,57.44
10/09/2019,57.39
11/09/2019,57.34
13/09/2019,57.29
14/09/2019,57.34
17/09/2019,58.04
19/09/2019,57.79
21/09/2019,55.88
22/09/2019,54.92
24/09/2019,53.27
26/09/2019,51.5
28/09/2019,49.72
29/09/2019,48.88
01/10/2019,48.8
04/10/2019,48.49
05/10/2019,47.88
06/10/2019,47.19
09/10/2019,46.94
11/10/2019,46.77
13/10/2019,45.54
14/10/2019,45.5
16/10/2019,45.5
18/10/2019,45.5
20/10/2019,44.47
21/10/2019,44.47
24/10/2019,44.47
25/10/2019,44.51
27/10/2019,44.51
29/10/2019,44.51
31/10/2019,44.55
02/11/2019,44.55
03/11/2019,44.59
05/11/2019,44.55
07/11/2019,44.59
08/11/2019,44.59
10/11/2019,44.59
12/11/2019,44.59
14/11/2019,44.59
16/11/2019,44.59
18/11/2019,44.67
20/11/2019,44.67
22/11/2019,44.75
23/11/2019,45.13
25/11/2019,46.01
27/11/2019,46.34
29/11/2019,46.34
01/12/2019,46.38
03/12/2019,46.85
04/12/2019,46.98
06/12/2019,47.07
08/12/2019,47.15
10/12/2019,47.24
12/12/2019,47.32
13/12/2019,47.37
16/12/2019,47.41
17/12/2019,47.45
19/12/2019,47.49
21/12/2019,52.85
23/12/2019,54.92
25/12/2019,55.4
26/12/2019,55.64
28/12/2019,55.93
30/12/2019,55.98
