Fecha,Reserva
01/01/2019,32.01
02/01/2019,32.01
03/01/2019,31.97
05/01/2019,31.92
08/01/2019,31.88
09/01/2019,31.84
11/01/2019,31.8
12/01/2019,31.8
14/01/2019,31.72
16/01/2019,31.67
18/01/2019,31.63
21/01/2019,31.63
22/01/2019,31.59
24/01/2019,31.59
26/01/2019,31.5
27/01/2019,31.5
30/01/2019,31.43
31/01/2019,31.42
02/02/2019,31.5
03/02/2019,31.42
06/02/2019,31.37
08/02/2019,31.3
10/02/2019,31.25
12/02/2019,31.25
13/02/2019,31.22
14/02/2019,31.2
16/02/2019,31.12
19/02/2019,31.08
20/02/2019,31.03
23/02/2019,30.99
24/02/2019,30.95
25/02/2019,30.95
27/02/2019,30.87
02/03/2019,30.82
04/03/2019,30.74
05/03/2019,30.74
06/03/2019,30.7
08/03/2019,30.75
11/03/2019,30.66
12/03/2019,30.66
15/03/2019,30.54
16/03/2019,30.53
18/03/2019,30.45
20/03/2019,30.37
22/03/2019,30.29
23/03/2019,30.28
25/03/2019,30.19
27/03/2019,30.13
28/03/2019,30.1
30/03/2019,30.0
02/04/2019,29.96
04/04/2019,29.87
05/04/2019,29.83
07/04/2019,29.83
09/04/2019,29.79
10/04/2019,29.79
13/04/2019,29.71
15/04/2019,29.63
16/04/2019,29.59
18/04/2019,29.51
20/04/2019,29.55
22/04/2019,29.48
24/04/2019,29.44
25/04/2019,29.51
27/04/2019,29.47
29/04/2019,29.39
01/05/2019,29.31
03/05/2019,29.27
04/05/2019,29.19
06/05/2019,29.15
08/05/2019,29.07
10/05/2019,28.99
12/05/2019,28.91
13/05/2019,28.87
16/05/2019,28.71
18/05/2019,28.6
19/05/2019,28.52
21/05/2019,28.44
23/05/2019,28.34
24/05/2019,28.3
26/05/2019,28.21
29/05/2019,28.05
30/05/2019,28.02
31/05/2019,27.94
02/06/2019,27.83
04/06/2019,27.75
06/06/2019,27.61
08/06/2019,27.49
10/06/2019,27.4
12/06/2019,27.29
14/06/2019,27.19
16/06/2019,27.1
17/06/2019,27.03
19/06/2019,26.96
21/06/2019,26.86
23/06/2019,26.75
25/06/2019,26.69
26/06/2019,26.62
28/06/2019,26.55
01/07/2019,26.38
02/07/2019,26.34
04/07/2019,26.22
05/07/2019,26.17
07/07/2019,26.04
09/07/2019,25.97
11/07/2019,25.87
12/07/2019,25.8
15/07/2019,25.67
16/07/2019,25.6
19/07/2019,25.47
21/07/2019,25.37
22/07/2019,25.29
23/07/2019,25.27
25/07/2019,25.17
27/07/2019,25.03
29/07/2019,24.93
01/08/2019,24.77
02/08/2019,24.7
03/08/2019,24.67
06/08/2019,24.5
07/08/2019,24.47
10/08/2019,24.33
11/08/2019,24.27
13/08/2019,24.13
14/08/2019,24.1
17/08/2019,23.91
18/08/2019,23.88
20/08/2019,23.75
23/08/2019,23.58
24/08/2019,23.55
25/08/2019,23.48
28/08/2019,23.29
30/08/2019,23.18
01/09/2019,23.11
02/09/2019,23.04
03/09/2019,23.0
05/09/2019,22.9
07/09/2019,22.78
10/09/2019,22.63
11/09/2019,22.58
13/09/2019,22.41
14/09/2019,22.41
17/09/2019,22.3
18/09/2019,22.27
20/09/2019,22.2
22/09/2019,22.12
24/09/2019,22.05
26/09/2019,21.98
28/09/2019,21.87
30/09/2019,21.79
01/10/2019,21.76
03/10/2019,21.66
05/10/2019,21.58
06/10/2019,21.51
09/10/2019,21.4
10/10/2019,21.37
13/10/2019,21.26
14/10/2019,21.19
16/10/2019,21.12
18/10/2019,21.05
20/10/2019,21.15
22/10/2019,21.09
23/10/2019,21.08
26/10/2019,20.98
27/10/2019,20.94
29/10/2019,20.87
30/10/2019,20.87
02/11/2019,20.77
04/11/2019,20.69
05/11/2019,20.66
07/11/2019,20.59
08/11/2019,20.59
10/11/2019,20.52
13/11/2019,20.44
14/11/2019,20.4
16/11/2019,20.33
18/11/2019,20.36
20/11/2019,20.29
22/11/2019,20.29
23/11/2019,20.39
26/11/2019,20.3
27/11/2019,20.29
29/11/2019,20.26
01/12/2019,20.2
02/12/2019,20.2
04/12/2019,20.17
06/12/2019,20.1
08/12/2019,20.07
10/12/2019,20.04
12/12/2019,19.97
14/12/2019,19.94
16/12/2019,19.88
17/12/2019,19.88
19/12/2019,19.85
21/12/2019,20.66
22/12/2019,20.98
24/12/2019,21.15
26/12/2019,21.19
28/12/2019,21.22
30/12/2019,21.22
