Fecha,Reserva
2012-01-01,35.35
2012-01-02,35.35
2012-01-03,34.65
2012-01-04,33.95
2012-01-05,34.65
2012-01-06,35.35
2012-01-07,35.06
2012-01-08,34.76
2012-01-09,35.06
2012-01-10,35.35
2012-01-11,32.87
2012-01-12,34.08
2012-01-13,35.28
2012-01-14,33.93
2012-01-15,32.58
2012-01-16,35.28
2012-01-17,35.28
2012-01-18,35.28
2012-01-19,35.28
2012-01-20,35.24
2012-01-21,35.2
2012-01-22,35.28
2012-01-23,35.28
2012-01-24,35.28
2012-01-25,35.28
2012-01-26,35.28
2012-01-27,35.28
2012-01-28,35.28
2012-01-29,35.28
2012-01-30,35.28
2012-01-31,35.28
2012-02-01,35.28
2012-02-02,35.28
2012-02-03,35.28
2012-02-04,35.28
2012-02-05,35.25
2012-02-06,35.21
2012-02-07,35.2
2012-02-08,32.24
2012-02-09,29.27
2012-02-10,32.09
2012-02-11,34.91
2012-02-12,34.76
2012-02-13,34.76
2012-02-14,34.61
2012-02-15,34.66
2012-02-16,34.58
2012-02-17,34.51
2012-02-18,34.24
2012-02-19,34.19
2012-02-20,34.19
2012-02-21,34.14
2012-02-22,33.92
2012-02-23,33.84
2012-02-24,33.77
2012-02-25,33.75
2012-02-26,33.73
2012-02-27,33.68
2012-02-28,33.7
2012-02-29,33.73
2012-03-01,33.73
2012-03-02,33.73
2012-03-03,33.73
2012-03-04,33.73
2012-03-05,33.73
2012-03-06,33.7
2012-03-07,33.67
2012-03-08,33.63
2012-03-09,33.64
2012-03-10,33.66
2012-03-11,33.66
2012-03-12,33.52
2012-03-13,33.37
2012-03-14,33.11
2012-03-15,33.11
2012-03-16,32.86
2012-03-17,32.65
2012-03-18,32.44
2012-03-19,32.48
2012-03-20,32.16
2012-03-21,32.08
2012-03-22,32.01
2012-03-23,31.91
2012-03-24,31.81
2012-03-25,31.67
2012-03-26,31.53
2012-03-27,31.39
2012-03-28,31.39
2012-03-29,31.25
2012-03-30,31.11
2012-03-31,31.04
2012-04-01,30.97
2012-04-02,30.9
2012-04-03,31.0
2012-04-04,31.11
2012-04-05,31.14
2012-04-06,31.18
2012-04-07,31.14
2012-04-08,31.11
2012-04-09,31.11
2012-04-10,31.11
2012-04-11,31.1
2012-04-12,31.04
2012-04-13,31.04
2012-04-14,30.97
2012-04-15,30.97
2012-04-16,30.97
2012-04-17,30.97
2012-04-18,30.86
2012-04-19,30.75
2012-04-20,30.69
2012-04-21,30.63
2012-04-22,30.56
2012-04-23,30.49
2012-04-24,30.37
2012-04-25,30.25
2012-04-26,30.06
2012-04-27,29.88
2012-04-28,29.74
2012-04-29,29.64
2012-04-30,29.64
2012-05-01,29.54
2012-05-02,29.52
2012-05-03,29.46
2012-05-04,29.41
2012-05-05,29.41
2012-05-06,29.41
2012-05-07,29.78
2012-05-08,30.15
2012-05-09,30.15
2012-05-10,30.15
2012-05-11,30.15
2012-05-12,30.12
2012-05-13,30.08
2012-05-14,30.01
2012-05-15,29.81
2012-05-16,29.81
2012-05-17,29.61
2012-05-18,29.38
2012-05-19,29.14
2012-05-20,29.01
2012-05-21,28.88
2012-05-22,28.8
2012-05-23,28.73
2012-05-24,28.62
2012-05-25,28.51
2012-05-26,28.3
2012-05-27,28.09
2012-05-28,28.0
2012-05-29,27.91
2012-05-30,27.63
2012-05-31,27.63
2012-06-01,27.35
2012-06-02,27.14
2012-06-03,26.93
2012-06-04,26.89
2012-06-05,26.73
2012-06-06,26.46
2012-06-07,26.46
2012-06-08,26.18
2012-06-09,25.99
2012-06-10,25.8
2012-06-11,25.62
2012-06-12,25.44
2012-06-13,25.26
2012-06-14,25.07
2012-06-15,24.95
2012-06-16,24.95
2012-06-17,24.95
2012-06-18,24.95
2012-06-19,24.47
2012-06-20,23.99
2012-06-21,23.72
2012-06-22,23.46
2012-06-23,23.29
2012-06-24,23.12
2012-06-25,22.94
2012-06-26,22.77
2012-06-27,22.55
2012-06-28,22.13
2012-06-29,22.13
2012-06-30,21.71
2012-07-01,21.4
2012-07-02,21.1
2012-07-03,20.88
2012-07-04,20.67
2012-07-05,20.4
2012-07-06,20.24
2012-07-07,20.09
2012-07-08,19.88
2012-07-09,19.67
2012-07-10,19.46
2012-07-11,19.2
2012-07-12,18.95
2012-07-13,18.73
2012-07-14,18.5
2012-07-15,18.18
2012-07-16,18.18
2012-07-17,17.86
2012-07-18,17.57
2012-07-19,17.31
2012-07-20,17.05
2012-07-21,16.81
2012-07-22,16.58
2012-07-23,16.37
2012-07-24,16.16
2012-07-25,15.93
2012-07-26,15.52
2012-07-27,15.52
2012-07-28,15.12
2012-07-29,14.95
2012-07-30,14.73
2012-07-31,14.51
2012-08-01,14.29
2012-08-02,14.08
2012-08-03,13.86
2012-08-04,13.55
2012-08-05,13.55
2012-08-06,13.24
2012-08-07,13.01
2012-08-08,12.78
2012-08-09,12.58
2012-08-10,12.34
2012-08-11,12.1
2012-08-12,11.86
2012-08-13,11.63
2012-08-14,11.44
2012-08-15,11.25
2012-08-16,11.08
2012-08-17,10.91
2012-08-18,10.7
2012-08-19,10.5
2012-08-20,10.32
2012-08-21,10.14
2012-08-22,9.96
2012-08-23,9.75
2012-08-24,9.44
2012-08-25,9.13
2012-08-26,9.06
2012-08-27,8.99
2012-08-28,8.96
2012-08-29,8.96
2012-08-30,8.93
2012-08-31,8.93
2012-09-01,8.89
2012-09-02,8.88
2012-09-03,8.88
2012-09-04,8.86
2012-09-05,8.84
2012-09-06,8.83
2012-09-07,8.79
2012-09-08,8.77
2012-09-09,8.77
