Fecha,Reserva
01/01/2018,10.05
02/01/2018,10.01
04/01/2018,10.01
06/01/2018,10.22
07/01/2018,12.26
10/01/2018,13.67
11/01/2018,13.72
13/01/2018,13.72
15/01/2018,13.77
16/01/2018,13.72
18/01/2018,13.72
20/01/2018,13.72
22/01/2018,13.72
24/01/2018,13.72
26/01/2018,13.77
27/01/2018,13.72
30/01/2018,13.77
31/01/2018,13.72
02/02/2018,13.72
03/02/2018,13.67
06/02/2018,13.67
07/02/2018,13.67
10/02/2018,13.63
12/02/2018,13.67
13/02/2018,13.64
15/02/2018,13.63
17/02/2018,13.67
19/02/2018,13.67
21/02/2018,13.6
23/02/2018,13.58
24/02/2018,13.53
26/02/2018,13.58
28/02/2018,13.67
02/03/2018,14.09
03/03/2018,18.29
05/03/2018,21.83
07/03/2018,24.94
08/03/2018,25.54
10/03/2018,28.38
12/03/2018,33.64
15/03/2018,35.7
16/03/2018,38.68
17/03/2018,34.27
19/03/2018,49.18
22/03/2018,51.35
24/03/2018,46.92
25/03/2018,49.35
27/03/2018,49.49
29/03/2018,49.14
30/03/2018,49.07
01/04/2018,48.97
04/04/2018,48.86
05/04/2018,48.81
07/04/2018,48.84
09/04/2018,48.96
11/04/2018,51.05
12/04/2018,50.42
14/04/2018,52.14
16/04/2018,51.74
18/04/2018,49.65
20/04/2018,49.36
21/04/2018,49.26
23/04/2018,49.31
25/04/2018,49.08
28/04/2018,49.13
29/04/2018,49.01
01/05/2018,48.95
03/05/2018,48.9
05/05/2018,49.05
06/05/2018,49.05
08/05/2018,48.92
10/05/2018,48.85
11/05/2018,48.54
13/05/2018,48.41
16/05/2018,48.28
18/05/2018,48.06
19/05/2018,48.0
20/05/2018,47.98
22/05/2018,48.29
24/05/2018,48.25
26/05/2018,48.12
28/05/2018,48.09
30/05/2018,48.01
31/05/2018,47.97
02/06/2018,47.88
04/06/2018,47.88
07/06/2018,47.73
08/06/2018,47.63
10/06/2018,47.51
12/06/2018,47.43
14/06/2018,47.21
16/06/2018,46.78
18/06/2018,46.39
19/06/2018,46.27
21/06/2018,45.91
22/06/2018,45.7
25/06/2018,44.9
27/06/2018,44.22
29/06/2018,43.71
30/06/2018,43.34
02/07/2018,42.7
04/07/2018,42.18
06/07/2018,41.48
08/07/2018,40.92
10/07/2018,40.27
11/07/2018,40.02
13/07/2018,39.46
15/07/2018,38.85
16/07/2018,38.58
18/07/2018,37.98
20/07/2018,37.43
22/07/2018,36.76
23/07/2018,36.47
26/07/2018,35.44
27/07/2018,35.17
29/07/2018,34.55
01/08/2018,33.73
02/08/2018,33.39
03/08/2018,33.06
06/08/2018,32.11
08/08/2018,31.45
10/08/2018,30.77
11/08/2018,30.52
13/08/2018,29.95
15/08/2018,29.28
16/08/2018,28.98
18/08/2018,28.31
20/08/2018,27.74
22/08/2018,27.06
24/08/2018,26.46
25/08/2018,26.19
27/08/2018,25.6
29/08/2018,24.96
31/08/2018,24.35
02/09/2018,23.72
03/09/2018,23.44
05/09/2018,23.16
08/09/2018,22.83
10/09/2018,22.72
11/09/2018,22.65
13/09/2018,21.93
14/09/2018,21.82
16/09/2018,21.83
18/09/2018,21.76
20/09/2018,21.71
22/09/2018,21.7
24/09/2018,21.64
26/09/2018,21.58
28/09/2018,21.36
30/09/2018,21.29
01/10/2018,21.27
03/10/2018,21.21
05/10/2018,21.11
06/10/2018,21.03
08/10/2018,21.01
11/10/2018,20.91
13/10/2018,20.86
15/10/2018,20.85
16/10/2018,21.01
18/10/2018,20.98
20/10/2018,21.16
22/10/2018,21.8
23/10/2018,21.85
26/10/2018,21.83
27/10/2018,21.86
29/10/2018,21.82
30/10/2018,21.86
02/11/2018,23.32
04/11/2018,23.32
05/11/2018,23.41
06/11/2018,23.62
08/11/2018,23.68
10/11/2018,23.99
13/11/2018,24.23
14/11/2018,24.27
16/11/2018,24.28
18/11/2018,24.31
20/11/2018,24.51
22/11/2018,25.02
24/11/2018,26.99
26/11/2018,27.42
27/11/2018,27.81
28/11/2018,27.92
30/11/2018,28.0
03/12/2018,28.14
04/12/2018,28.02
07/12/2018,28.01
08/12/2018,28.07
10/12/2018,28.12
12/12/2018,28.11
13/12/2018,28.12
15/12/2018,28.36
17/12/2018,28.41
19/12/2018,28.5
20/12/2018,28.51
23/12/2018,28.6
24/12/2018,28.61
26/12/2018,28.66
29/12/2018,28.69
30/12/2018,28.73
