Fecha,Reserva
2012-01-01,378.48
2012-01-02,378.63
2012-01-03,378.86
2012-01-04,379.08
2012-01-05,369.42
2012-01-06,359.77
2012-01-07,383.57
2012-01-08,383.79
2012-01-09,383.79
2012-01-10,384.02
2012-01-11,383.72
2012-01-12,383.42
2012-01-13,383.27
2012-01-14,383.2
2012-01-15,383.12
2012-01-16,383.27
2012-01-17,383.5
2012-01-18,383.5
2012-01-19,383.72
2012-01-20,383.72
2012-01-21,383.95
2012-01-22,384.17
2012-01-23,384.17
2012-01-24,384.17
2012-01-25,384.48
2012-01-26,384.71
2012-01-27,384.71
2012-01-28,384.93
2012-01-29,384.86
2012-01-30,384.78
2012-01-31,385.08
2012-02-01,385.0
2012-02-02,384.93
2012-02-03,384.93
2012-02-04,384.93
2012-02-05,385.08
2012-02-06,385.3
2012-02-07,385.3
2012-02-08,385.53
2012-02-09,385.53
2012-02-10,385.68
2012-02-11,385.83
2012-02-12,385.9
2012-02-13,385.98
2012-02-14,386.14
2012-02-15,386.29
2012-02-16,386.44
2012-02-17,386.36
2012-02-18,386.29
2012-02-19,386.29
2012-02-20,386.29
2012-02-21,386.08
2012-02-22,386.08
2012-02-23,385.86
2012-02-24,385.84
2012-02-25,385.83
2012-02-26,385.68
2012-02-27,385.68
2012-02-28,385.68
2012-02-29,385.61
2012-03-01,385.57
2012-03-02,385.57
2012-03-03,385.53
2012-03-04,385.46
2012-03-05,385.38
2012-03-06,385.23
2012-03-07,385.08
2012-03-08,384.93
2012-03-09,384.93
2012-03-10,384.78
2012-03-11,384.78
2012-03-12,384.63
2012-03-13,384.17
2012-03-14,383.87
2012-03-15,383.87
2012-03-16,383.57
2012-03-17,383.27
2012-03-18,382.97
2012-03-19,382.82
2012-03-20,382.74
2012-03-21,382.67
2012-03-22,382.37
2012-03-23,382.07
2012-03-24,381.62
2012-03-25,380.94
2012-03-26,380.27
2012-03-27,379.9
2012-03-28,379.9
2012-03-29,379.53
2012-03-30,379.38
2012-03-31,379.0
2012-04-01,378.63
2012-04-02,378.48
2012-04-03,378.48
2012-04-04,378.48
2012-04-05,378.48
2012-04-06,378.4
2012-04-07,378.33
2012-04-08,378.19
2012-04-09,378.04
2012-04-10,377.89
2012-04-11,377.66
2012-04-12,377.44
2012-04-13,377.44
2012-04-14,377.44
2012-04-15,380.28
2012-04-16,383.12
2012-04-17,384.02
2012-04-18,384.93
2012-04-19,385.16
2012-04-20,385.38
2012-04-21,386.59
2012-04-22,387.04
2012-04-23,387.12
2012-04-24,387.19
2012-04-25,386.74
2012-04-26,386.74
2012-04-27,386.29
2012-04-28,385.98
2012-04-29,386.44
2012-04-30,386.89
2012-05-01,387.57
2012-05-02,388.25
2012-05-03,388.71
2012-05-04,389.17
2012-05-05,389.17
2012-05-06,389.17
2012-05-07,389.17
2012-05-08,391.54
2012-05-09,393.9
2012-05-10,393.67
2012-05-11,393.44
2012-05-12,392.98
2012-05-13,392.52
2012-05-14,392.21
2012-05-15,391.68
2012-05-16,391.15
2012-05-17,390.16
2012-05-18,390.16
2012-05-19,389.17
2012-05-20,388.56
2012-05-21,387.8
2012-05-22,387.8
2012-05-23,387.04
2012-05-24,386.44
2012-05-25,385.83
2012-05-26,384.78
2012-05-27,384.78
2012-05-28,383.72
2012-05-29,383.12
2012-05-30,382.52
2012-05-31,381.84
2012-06-01,381.17
2012-06-02,380.42
2012-06-03,379.68
2012-06-04,379.08
2012-06-05,378.34
2012-06-06,377.59
2012-06-07,377.29
2012-06-08,377.0
2012-06-09,375.07
2012-06-10,374.4
2012-06-11,373.74
2012-06-12,373.0
2012-06-13,372.27
2012-06-14,371.68
2012-06-15,371.09
2012-06-16,371.09
