Fecha,Reserva
01/01/2014,380.72
02/01/2014,380.72
03/01/2014,381.62
06/01/2014,384.63
07/01/2014,384.93
10/01/2014,385.53
11/01/2014,385.53
13/01/2014,385.83
14/01/2014,386.29
16/01/2014,388.41
18/01/2014,389.93
20/01/2014,392.83
22/01/2014,394.82
24/01/2014,398.83
25/01/2014,400.07
27/01/2014,401.62
30/01/2014,405.99
01/02/2014,408.03
02/02/2014,410.87
04/02/2014,413.89
05/02/2014,415.0
08/02/2014,422.05
10/02/2014,430.99
11/02/2014,434.11
13/02/2014,439.57
14/02/2014,442.9
16/02/2014,443.57
19/02/2014,440.07
21/02/2014,436.42
22/02/2014,434.93
24/02/2014,432.47
25/02/2014,431.32
28/02/2014,426.91
01/03/2014,425.61
03/03/2014,459.84
05/03/2014,463.62
06/03/2014,460.35
09/03/2014,447.26
10/03/2014,442.4
13/03/2014,436.92
14/03/2014,435.43
16/03/2014,434.93
18/03/2014,433.95
19/03/2014,433.62
21/03/2014,433.62
24/03/2014,432.96
25/03/2014,432.79
27/03/2014,433.12
29/03/2014,432.96
31/03/2014,433.29
02/04/2014,433.12
03/04/2014,433.78
06/04/2014,437.74
07/04/2014,438.74
09/04/2014,439.4
10/04/2014,440.4
12/04/2014,440.9
15/04/2014,441.9
16/04/2014,442.23
18/04/2014,442.73
20/04/2014,443.07
22/04/2014,443.57
24/04/2014,443.9
25/04/2014,444.4
28/04/2014,445.08
29/04/2014,445.41
01/05/2014,445.75
03/05/2014,446.08
05/05/2014,446.25
07/05/2014,446.59
08/05/2014,446.59
10/05/2014,446.92
11/05/2014,446.92
14/05/2014,447.26
16/05/2014,447.26
18/05/2014,446.92
19/05/2014,446.92
21/05/2014,446.42
22/05/2014,446.42
24/05/2014,446.08
27/05/2014,445.75
29/05/2014,445.75
30/05/2014,445.41
01/06/2014,445.08
02/06/2014,444.74
05/06/2014,443.4
06/06/2014,443.07
08/06/2014,442.23
10/06/2014,440.73
12/06/2014,439.57
13/06/2014,438.74
15/06/2014,437.41
18/06/2014,434.93
20/06/2014,433.62
21/06/2014,432.79
23/06/2014,431.48
25/06/2014,427.72
27/06/2014,425.94
29/06/2014,425.55
30/06/2014,423.02
02/07/2014,420.97
04/07/2014,418.96
05/07/2014,418.03
08/07/2014,415.03
09/07/2014,414.09
11/07/2014,412.12
12/07/2014,411.06
15/07/2014,408.14
17/07/2014,406.13
19/07/2014,404.05
20/07/2014,403.38
22/07/2014,401.09
24/07/2014,399.09
25/07/2014,398.01
28/07/2014,394.93
29/07/2014,394.08
01/08/2014,391.01
02/08/2014,389.9
04/08/2014,387.94
05/08/2014,387.01
07/08/2014,384.5
10/08/2014,381.37
12/08/2014,379.3
13/08/2014,378.22
15/08/2014,376.14
17/08/2014,373.98
18/08/2014,373.64
20/08/2014,371.14
22/08/2014,369.93
24/08/2014,368.89
26/08/2014,367.87
28/08/2014,366.81
29/08/2014,366.43
01/09/2014,364.89
02/09/2014,364.43
03/09/2014,363.89
06/09/2014,362.33
08/09/2014,361.4
10/09/2014,360.99
11/09/2014,359.78
13/09/2014,358.68
15/09/2014,357.62
17/09/2014,356.57
18/09/2014,356.3
20/09/2014,355.51
22/09/2014,354.75
24/09/2014,354.18
25/09/2014,353.88
28/09/2014,353.13
30/09/2014,353.1
02/10/2014,352.58
03/10/2014,352.51
05/10/2014,352.31
06/10/2014,352.1
09/10/2014,352.2
10/10/2014,352.17
13/10/2014,351.69
14/10/2014,351.8
16/10/2014,351.7
18/10/2014,351.6
20/10/2014,351.52
21/10/2014,351.37
23/10/2014,351.21
26/10/2014,350.86
27/10/2014,350.73
28/10/2014,350.73
30/10/2014,350.38
02/11/2014,350.13
04/11/2014,350.21
05/11/2014,350.65
07/11/2014,350.63
08/11/2014,351.01
11/11/2014,351.65
12/11/2014,352.61
14/11/2014,353.34
16/11/2014,354.28
17/11/2014,354.65
20/11/2014,355.27
21/11/2014,355.44
24/11/2014,355.69
25/11/2014,355.8
27/11/2014,356.24
28/11/2014,356.35
30/11/2014,356.82
03/12/2014,357.45
05/12/2014,358.0
06/12/2014,358.21
08/12/2014,358.51
10/12/2014,358.84
11/12/2014,358.93
14/12/2014,359.23
15/12/2014,359.69
17/12/2014,360.27
19/12/2014,360.82
21/12/2014,361.28
22/12/2014,361.41
25/12/2014,361.96
26/12/2014,362.12
28/12/2014,362.42
30/12/2014,362.58
