Fecha,Reserva
2012-01-01,115.94
2012-01-02,115.88
2012-01-03,115.88
2012-01-04,115.88
2012-01-05,115.85
2012-01-06,115.82
2012-01-07,115.94
2012-01-08,115.82
2012-01-09,115.69
2012-01-10,115.69
2012-01-11,115.69
2012-01-12,115.69
2012-01-13,115.69
2012-01-14,115.69
2012-01-15,115.69
2012-01-16,115.69
2012-01-17,115.82
2012-01-18,115.94
2012-01-19,115.91
2012-01-20,115.88
2012-01-21,115.88
2012-01-22,115.88
2012-01-23,115.85
2012-01-24,115.82
2012-01-25,115.82
2012-01-26,115.82
2012-01-27,115.75
2012-01-28,115.75
2012-01-29,115.75
2012-01-30,115.75
2012-01-31,115.72
2012-02-01,115.69
2012-02-02,115.78
2012-02-03,115.88
2012-02-04,115.88
2012-02-05,115.91
2012-02-06,115.94
2012-02-07,116.0
2012-02-08,116.07
2012-02-09,116.07
2012-02-10,116.13
2012-02-11,116.19
2012-02-12,116.19
2012-02-13,116.19
2012-02-14,116.22
2012-02-15,116.26
2012-02-16,116.32
2012-02-17,116.38
2012-02-18,116.38
2012-02-19,116.44
2012-02-20,116.51
2012-02-21,116.54
2012-02-22,116.54
2012-02-23,116.57
2012-02-24,116.64
2012-02-25,116.67
2012-02-26,116.7
2012-02-27,116.73
2012-02-28,116.76
2012-02-29,116.76
2012-03-01,116.76
2012-03-02,116.86
2012-03-03,116.95
2012-03-04,116.95
2012-03-05,116.95
2012-03-06,116.95
2012-03-07,116.95
2012-03-08,117.02
2012-03-09,117.02
2012-03-10,117.02
2012-03-11,116.95
2012-03-12,116.95
2012-03-13,116.95
2012-03-14,116.95
2012-03-15,116.95
2012-03-16,116.92
2012-03-17,116.92
2012-03-18,116.89
2012-03-19,116.83
2012-03-20,116.83
2012-03-21,116.83
2012-03-22,116.83
2012-03-23,116.83
2012-03-24,116.76
2012-03-25,116.73
2012-03-26,116.7
2012-03-27,116.7
2012-03-28,116.7
2012-03-29,116.67
2012-03-30,116.64
2012-03-31,116.6
2012-04-01,116.57
2012-04-02,116.57
2012-04-03,116.57
2012-04-04,116.64
2012-04-05,116.74
2012-04-06,116.74
2012-04-07,116.83
2012-04-08,116.89
2012-04-09,116.89
2012-04-10,116.89
2012-04-11,116.89
2012-04-12,116.89
2012-04-13,116.92
2012-04-14,116.95
2012-04-15,117.11
2012-04-16,117.27
2012-04-17,117.34
2012-04-18,117.4
2012-04-19,117.4
2012-04-20,117.4
2012-04-21,117.46
2012-04-22,117.4
2012-04-23,117.4
2012-04-24,117.4
2012-04-25,117.4
2012-04-26,117.36
2012-04-27,117.33
2012-04-28,117.4
2012-04-29,117.46
2012-04-30,117.59
2012-05-01,117.65
2012-05-02,117.71
2012-05-03,117.78
2012-05-04,117.78
2012-05-05,117.78
2012-05-06,117.78
2012-05-07,118.16
2012-05-08,118.54
2012-05-09,118.61
2012-05-10,118.61
2012-05-11,118.61
2012-05-12,118.61
2012-05-13,118.61
2012-05-14,118.61
2012-05-15,118.61
2012-05-16,118.54
2012-05-17,118.48
2012-05-18,118.48
2012-05-19,118.38
2012-05-20,118.29
2012-05-21,118.32
2012-05-22,118.35
2012-05-23,118.35
2012-05-24,118.35
2012-05-25,118.28
2012-05-26,118.22
2012-05-27,118.16
2012-05-28,118.1
