Fecha,Reserva
01/01/2018,35.04
02/01/2018,35.07
04/01/2018,35.15
06/01/2018,35.26
07/01/2018,35.46
10/01/2018,35.7
11/01/2018,36.07
12/01/2018,36.2
15/01/2018,36.54
17/01/2018,36.68
19/01/2018,36.79
20/01/2018,36.82
22/01/2018,36.91
24/01/2018,37.02
25/01/2018,37.05
27/01/2018,37.19
30/01/2018,37.27
01/02/2018,37.39
02/02/2018,37.42
04/02/2018,37.5
06/02/2018,37.64
07/02/2018,37.7
09/02/2018,37.79
11/02/2018,37.85
13/02/2018,37.9
14/02/2018,37.96
16/02/2018,38.05
18/02/2018,38.1
20/02/2018,38.16
23/02/2018,38.25
24/02/2018,38.25
26/02/2018,38.31
28/02/2018,38.42
02/03/2018,39.44
03/03/2018,43.12
05/03/2018,46.93
06/03/2018,49.71
08/03/2018,52.31
11/03/2018,57.5
12/03/2018,60.99
15/03/2018,65.38
16/03/2018,68.52
17/03/2018,70.04
19/03/2018,87.28
21/03/2018,93.45
24/03/2018,97.43
26/03/2018,101.01
27/03/2018,102.11
28/03/2018,103.04
31/03/2018,105.98
02/04/2018,107.77
04/04/2018,109.33
06/04/2018,110.55
07/04/2018,111.1
09/04/2018,112.21
10/04/2018,112.76
13/04/2018,118.48
15/04/2018,121.57
16/04/2018,313.54
18/04/2018,124.91
19/04/2018,125.77
22/04/2018,128.1
23/04/2018,128.78
25/04/2018,129.99
27/04/2018,131.15
29/04/2018,132.24
30/04/2018,132.72
02/05/2018,133.89
05/05/2018,135.34
06/05/2018,135.76
08/05/2018,136.74
09/05/2018,137.58
11/05/2018,138.56
13/05/2018,139.4
15/05/2018,140.18
18/05/2018,141.24
19/05/2018,141.6
21/05/2018,142.74
23/05/2018,143.67
25/05/2018,144.46
26/05/2018,144.82
29/05/2018,145.76
30/05/2018,145.54
01/06/2018,145.18
02/06/2018,145.4
05/06/2018,144.82
07/06/2018,144.24
09/06/2018,144.1
10/06/2018,143.96
12/06/2018,143.81
14/06/2018,143.24
15/06/2018,142.95
17/06/2018,142.17
20/06/2018,141.1
21/06/2018,140.67
23/06/2018,139.97
24/06/2018,139.47
26/06/2018,138.7
29/06/2018,137.44
30/06/2018,137.02
02/07/2018,136.04
04/07/2018,135.14
06/07/2018,134.17
08/07/2018,133.13
10/07/2018,132.17
11/07/2018,131.68
13/07/2018,130.81
14/07/2018,130.26
16/07/2018,129.25
18/07/2018,128.3
20/07/2018,127.3
22/07/2018,126.23
23/07/2018,125.63
26/07/2018,124.12
27/07/2018,123.66
30/07/2018,122.02
01/08/2018,121.11
02/08/2018,120.6
03/08/2018,120.08
05/08/2018,119.05
08/08/2018,117.52
10/08/2018,116.45
11/08/2018,115.94
13/08/2018,115.38
15/08/2018,114.38
16/08/2018,113.88
18/08/2018,113.01
21/08/2018,111.59
22/08/2018,111.16
24/08/2018,110.18
25/08/2018,109.7
28/08/2018,108.13
29/08/2018,107.65
31/08/2018,106.63
02/09/2018,105.56
03/09/2018,105.08
06/09/2018,103.56
07/09/2018,103.56
09/09/2018,102.57
11/09/2018,101.82
13/09/2018,100.95
15/09/2018,100.09
16/09/2018,100.21
18/09/2018,99.35
21/09/2018,98.22
22/09/2018,97.77
24/09/2018,96.76
26/09/2018,95.76
27/09/2018,95.32
29/09/2018,94.38
02/10/2018,92.85
04/10/2018,91.93
05/10/2018,91.61
06/10/2018,91.29
09/10/2018,90.22
10/10/2018,90.01
12/10/2018,89.48
14/10/2018,88.79
16/10/2018,88.42
18/10/2018,88.48
19/10/2018,88.63
21/10/2018,88.63
24/10/2018,88.84
26/10/2018,89.06
27/10/2018,89.16
29/10/2018,89.42
30/10/2018,89.53
01/11/2018,89.95
04/11/2018,90.38
05/11/2018,90.49
06/11/2018,90.7
08/11/2018,90.97
11/11/2018,91.5
13/11/2018,91.72
14/11/2018,91.88
16/11/2018,92.15
18/11/2018,92.42
20/11/2018,93.61
21/11/2018,94.05
24/11/2018,94.88
26/11/2018,95.26
27/11/2018,95.82
28/11/2018,96.04
30/11/2018,96.32
02/12/2018,96.65
04/12/2018,96.93
06/12/2018,97.15
08/12/2018,97.43
10/12/2018,97.71
12/12/2018,97.94
14/12/2018,98.28
15/12/2018,98.45
18/12/2018,98.79
19/12/2018,98.96
21/12/2018,99.18
22/12/2018,99.3
24/12/2018,99.52
27/12/2018,99.87
29/12/2018,100.09
30/12/2018,100.21
